"Subgenus","Pigment","label"
"C. purpurata","Chl.b","paste(italic(""P""),"" = 0.152"")"
"Cuscuta","Chl.b","paste(italic(""P""),"" = 0.015"")"
"Grammica","Chl.b","paste(italic(""P""),"" = 3.99e-20"")"
"Ipomoea nil","Chl.b","paste(italic(""P""),"" = 0.00033"")"
"Monogynella","Chl.b","paste(italic(""P""),"" = 0.000364"")"
"C. purpurata","Chl.a","paste(italic(""P""),"" = 0.008"")"
"Cuscuta","Chl.a","paste(italic(""P""),"" = 0.006"")"
"Grammica","Chl.a","paste(italic(""P""),"" = 6.82e-10"")"
"Ipomoea nil","Chl.a","paste(italic(""P""),"" = 0.000364"")"
"Monogynella","Chl.a","paste(italic(""P""),"" = 0.00033"")"
"C. purpurata","Tot.Chl","paste(italic(""P""),"" = 0.009"")"
"Cuscuta","Tot.Chl","paste(italic(""P""),"" = 0.006"")"
"Grammica","Tot.Chl","paste(italic(""P""),"" = 2.74e-18"")"
"Ipomoea nil","Tot.Chl","paste(italic(""P""),"" = 0.00033"")"
"Monogynella","Tot.Chl","paste(italic(""P""),"" = 0.00033"")"
"Cuscuta","Chl.a.b","paste(italic(""P""),"" = 0.006"")"
"Grammica","Chl.a.b","paste(italic(""P""),"" = 1.1e-08"")"
"Ipomoea nil","Chl.a.b","paste(italic(""P""),"" = 0.000301"")"
"Monogynella","Chl.a.b","paste(italic(""P""),"" = 0.000487"")"
"C. purpurata","Tot.Car","paste(italic(""P""),"" = 0.106"")"
"Cuscuta","Tot.Car","paste(italic(""P""),"" = 0.006"")"
"Grammica","Tot.Car","paste(italic(""P""),"" = 8.42e-20"")"
"Ipomoea nil","Tot.Car","paste(italic(""P""),"" = 0.00033"")"
"Monogynella","Tot.Car","paste(italic(""P""),"" = 0.003"")"
"C. purpurata","VAZ.Car","paste(italic(""P""),"" = 0.003"")"
"Cuscuta","VAZ.Car","paste(italic(""P""),"" = 0.008"")"
"Grammica","VAZ.Car","paste(italic(""P""),"" = 4.29e-14"")"
"Ipomoea nil","VAZ.Car","paste(italic(""P""),"" = 0.000403"")"
"Monogynella","VAZ.Car","paste(italic(""P""),"" = 0.000301"")"
"C. purpurata","Lut.Car","paste(italic(""P""),"" = 0.011"")"
"Cuscuta","Lut.Car","paste(italic(""P""),"" = 0.006"")"
"Grammica","Lut.Car","paste(italic(""P""),"" = 2.87e-22"")"
"Ipomoea nil","Lut.Car","paste(italic(""P""),"" = 0.000705"")"
"Monogynella","Lut.Car","paste(italic(""P""),"" = 0.000705"")"
"C. purpurata","Lut.epo.Car","paste(italic(""P""),"" = 0.519"")"
"Cuscuta","Lut.epo.Car","paste(italic(""P""),"" = 0.03"")"
"Grammica","Lut.epo.Car","paste(italic(""P""),"" = 1.75e-09"")"
"Ipomoea nil","Lut.epo.Car","paste(italic(""P""),"" = 0.074"")"
"Monogynella","Lut.epo.Car","paste(italic(""P""),"" = 0.085"")"
"C. purpurata","a.Car.Car","paste(italic(""P""),"" = 0.015"")"
"Cuscuta","a.Car.Car","paste(italic(""P""),"" = 0.026"")"
"Grammica","a.Car.Car","paste(italic(""P""),"" = 0.015"")"
"Ipomoea nil","a.Car.Car","paste(italic(""P""),"" = 0.000241"")"
"Monogynella","a.Car.Car","paste(italic(""P""),"" = 0.02"")"
"C. purpurata","b.Car.Car","paste(italic(""P""),"" = 0.007"")"
"Cuscuta","b.Car.Car","paste(italic(""P""),"" = 0.007"")"
"Grammica","b.Car.Car","paste(italic(""P""),"" = 3.99e-20"")"
"Ipomoea nil","b.Car.Car","paste(italic(""P""),"" = 0.000378"")"
"Monogynella","b.Car.Car","paste(italic(""P""),"" = 0.000102"")"
"Grammica","Neo.Car","paste(italic(""P""),"" = 6.33e-10"")"
"Ipomoea nil","Neo.Car","paste(italic(""P""),"" = 0.016"")"
"Monogynella","Neo.Car","paste(italic(""P""),"" = 2.91e-05"")"
