"Species","Pigment","label"
"C_australis","a.Tocopherol","paste(italic(""P""),"" = 0.118"")"
"C_polygonorum","a.Tocopherol","paste(italic(""P""),"" = 0.342"")"
"C_sandwichiana","a.Tocopherol","paste(italic(""P""),"" = 0.252"")"
"C_californica","a.Tocopherol","paste(italic(""P""),"" = 0.164"")"
"C_compacta","a.Tocopherol","paste(italic(""P""),"" = 0.021"")"
"C_cephalanthii","a.Tocopherol","paste(italic(""P""),"" = 0.002"")"
"C_denticulata","a.Tocopherol","paste(italic(""P""),"" = 0.521"")"
"C_tasmanica","a.Tocopherol","paste(italic(""P""),"" = 0.002"")"
"C_costaricensis","a.Tocopherol","paste(italic(""P""),"" = 0.056"")"
"C_indecora","a.Tocopherol","paste(italic(""P""),"" = 0.164"")"
"C_australis","Violaxanthin","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Violaxanthin","paste(italic(""P""),"" = 0.042"")"
"C_sandwichiana","Violaxanthin","paste(italic(""P""),"" = 0.013"")"
"C_californica","Violaxanthin","paste(italic(""P""),"" = 0.000605"")"
"C_compacta","Violaxanthin","paste(italic(""P""),"" = 0.046"")"
"C_cephalanthii","Violaxanthin","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","Violaxanthin","paste(italic(""P""),"" = 0.014"")"
"C_tasmanica","Violaxanthin","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","Violaxanthin","paste(italic(""P""),"" = 0.005"")"
"C_indecora","Violaxanthin","paste(italic(""P""),"" = 0.051"")"
"C_australis","Neoxanthin","paste(italic(""P""),"" = 0.309"")"
"C_polygonorum","Neoxanthin","paste(italic(""P""),"" = 0.127"")"
"C_cephalanthii","Neoxanthin","paste(italic(""P""),"" = 0.000605"")"
"C_australis","Lutein.epoxide","paste(italic(""P""),"" = 0.106"")"
"C_polygonorum","Lutein.epoxide","paste(italic(""P""),"" = 0.123"")"
"C_sandwichiana","Lutein.epoxide","paste(italic(""P""),"" = 0.093"")"
"C_californica","Lutein.epoxide","paste(italic(""P""),"" = 0.51"")"
"C_compacta","Lutein.epoxide","paste(italic(""P""),"" = 0.605"")"
"C_cephalanthii","Lutein.epoxide","paste(italic(""P""),"" = 0.001"")"
"C_denticulata","Lutein.epoxide","paste(italic(""P""),"" = 0.044"")"
"C_tasmanica","Lutein.epoxide","paste(italic(""P""),"" = 0.000605"")"
"C_costaricensis","Lutein.epoxide","paste(italic(""P""),"" = 0.127"")"
"C_indecora","Lutein.epoxide","paste(italic(""P""),"" = 0.042"")"
"C_australis","Antheraxanthin","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Antheraxanthin","paste(italic(""P""),"" = 0.033"")"
"C_sandwichiana","Antheraxanthin","paste(italic(""P""),"" = 0.014"")"
"C_californica","Antheraxanthin","paste(italic(""P""),"" = 0.000635"")"
"C_compacta","Antheraxanthin","paste(italic(""P""),"" = 0.009"")"
"C_cephalanthii","Antheraxanthin","paste(italic(""P""),"" = 0.001"")"
"C_denticulata","Antheraxanthin","paste(italic(""P""),"" = 0.008"")"
"C_tasmanica","Antheraxanthin","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","Antheraxanthin","paste(italic(""P""),"" = 0.003"")"
"C_indecora","Antheraxanthin","paste(italic(""P""),"" = 0.111"")"
"C_australis","Lutein","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Lutein","paste(italic(""P""),"" = 0.028"")"
"C_sandwichiana","Lutein","paste(italic(""P""),"" = 0.019"")"
"C_californica","Lutein","paste(italic(""P""),"" = 0.003"")"
"C_compacta","Lutein","paste(italic(""P""),"" = 0.011"")"
"C_cephalanthii","Lutein","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","Lutein","paste(italic(""P""),"" = 0.031"")"
"C_tasmanica","Lutein","paste(italic(""P""),"" = 0.000605"")"
"C_costaricensis","Lutein","paste(italic(""P""),"" = 0.005"")"
"C_indecora","Lutein","paste(italic(""P""),"" = 0.034"")"
"C_australis","Zeaxanthin","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Zeaxanthin","paste(italic(""P""),"" = 0.056"")"
"C_sandwichiana","Zeaxanthin","paste(italic(""P""),"" = 0.014"")"
"C_californica","Zeaxanthin","paste(italic(""P""),"" = 0.043"")"
"C_compacta","Zeaxanthin","paste(italic(""P""),"" = 0.012"")"
"C_cephalanthii","Zeaxanthin","paste(italic(""P""),"" = 0.000745"")"
"C_denticulata","Zeaxanthin","paste(italic(""P""),"" = 0.014"")"
"C_tasmanica","Zeaxanthin","paste(italic(""P""),"" = 0.000592"")"
"C_costaricensis","Zeaxanthin","paste(italic(""P""),"" = 0.003"")"
"C_indecora","Zeaxanthin","paste(italic(""P""),"" = 0.061"")"
"C_australis","a.Carotene","paste(italic(""P""),"" = 0.168"")"
"C_polygonorum","a.Carotene","paste(italic(""P""),"" = 0.176"")"
"C_sandwichiana","a.Carotene","paste(italic(""P""),"" = 0.07"")"
"C_californica","a.Carotene","paste(italic(""P""),"" = 0.488"")"
"C_compacta","a.Carotene","paste(italic(""P""),"" = 0.012"")"
"C_cephalanthii","a.Carotene","paste(italic(""P""),"" = 0.018"")"
"C_denticulata","a.Carotene","paste(italic(""P""),"" = 0.095"")"
"C_tasmanica","a.Carotene","paste(italic(""P""),"" = 0.025"")"
"C_costaricensis","a.Carotene","paste(italic(""P""),"" = 0.018"")"
"C_indecora","a.Carotene","paste(italic(""P""),"" = 0.494"")"
"C_australis","b.Carotene","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","b.Carotene","paste(italic(""P""),"" = 0.024"")"
"C_sandwichiana","b.Carotene","paste(italic(""P""),"" = 0.129"")"
"C_californica","b.Carotene","paste(italic(""P""),"" = 0.217"")"
"C_compacta","b.Carotene","paste(italic(""P""),"" = 0.024"")"
"C_cephalanthii","b.Carotene","paste(italic(""P""),"" = 0.004"")"
"C_denticulata","b.Carotene","paste(italic(""P""),"" = 0.105"")"
"C_tasmanica","b.Carotene","paste(italic(""P""),"" = 0.011"")"
"C_costaricensis","b.Carotene","paste(italic(""P""),"" = 0.011"")"
"C_indecora","b.Carotene","paste(italic(""P""),"" = 0.547"")"
"C_australis","cis.B.carotene","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","cis.B.carotene","paste(italic(""P""),"" = 0.075"")"
"C_sandwichiana","cis.B.carotene","paste(italic(""P""),"" = 0.201"")"
"C_californica","cis.B.carotene","paste(italic(""P""),"" = 0.016"")"
"C_compacta","cis.B.carotene","paste(italic(""P""),"" = 0.007"")"
"C_cephalanthii","cis.B.carotene","paste(italic(""P""),"" = 0.024"")"
"C_denticulata","cis.B.carotene","paste(italic(""P""),"" = 0.098"")"
"C_tasmanica","cis.B.carotene","paste(italic(""P""),"" = 0.027"")"
"C_costaricensis","cis.B.carotene","paste(italic(""P""),"" = 0.13"")"
"C_indecora","cis.B.carotene","paste(italic(""P""),"" = 0.118"")"
"C_australis","Chl.b","paste(italic(""P""),"" = 0.918"")"
"C_polygonorum","Chl.b","paste(italic(""P""),"" = 0.089"")"
"C_sandwichiana","Chl.b","paste(italic(""P""),"" = 0.027"")"
"C_californica","Chl.b","paste(italic(""P""),"" = 0.004"")"
"C_compacta","Chl.b","paste(italic(""P""),"" = 0.028"")"
"C_cephalanthii","Chl.b","paste(italic(""P""),"" = 0.000605"")"
