Date.Extracted,Date.Run,Sample..,Subgenus,Species,Sample.Name,Accession.No,Tissue.code,Replicate,Weight..g.,FW.mg.,Dil..ul.,Inj.vol..ul.,Conversion,Pigment,FW.norm,Tissue.code_names,Subgenus.Tissue,Subgenus.Pigment,logFW.norm
-,12/6/17,AS-01,Grammica,C_sandwichiana,155sdlg,155,sdlg,1,0.0344,34.4,2050,100,0.595930233,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-06,Grammica,C_sandwichiana,155sdlg,155,sdlg,2,0.0328,32.8,2050,100,0.625,a.Tocopherol,1.9252250000000002,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0.655042895968311
6/14/18,6/14/18,AS-197,Grammica,C_sandwichiana,155Cy,155,y,1,0.0435,43.5,1250,100,0.287356322,a.Tocopherol,7.73188793536434,Young,Grammica__Young,Grammica__a.Tocopherol,2.0453530805589235
7/14/18,6/3/18,AS-228,Grammica,C_sandwichiana,155Ay,155,y,1,0.0464,46.4,1250,100,0.269396552,a.Tocopherol,27.93045261480768,Young,Grammica__Young,Grammica__a.Tocopherol,3.3297175887339816
7/2/18,6/3/18,AS-231,Grammica,C_sandwichiana,155Dy,155,y,1,0.053900000000000003,53.9,1250,100,0.231910946,a.Tocopherol,11.760148413032962,Young,Grammica__Young,Grammica__a.Tocopherol,2.464716571050005
7/2/18,6/3/18,AS-241,Grammica,C_sandwichiana,155By,155,y,1,0.0448,44.8,1250,100,0.279017857,a.Tocopherol,5.90618861304746,Young,Grammica__Young,Grammica__a.Tocopherol,1.7760007355791934
7/11/18,7/11/18,AS-309,Grammica,C_sandwichiana,155Cy,155,y,1,0.084,84,1250,100,0.148809524,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
6/14/18,6/14/18,AS-184,Grammica,C_sandwichiana,155Ao,155,o,1,0.0484,48.4,1250,100,0.258264463,a.Tocopherol,3.38796229588197,Old,Grammica__Old,Grammica__a.Tocopherol,1.22022867751982
6/14/18,6/14/18,AS-186,Grammica,C_sandwichiana,155Do,155,o,1,0.0455,45.5,1250,100,0.274725275,a.Tocopherol,1.7946181336627498,Old,Grammica__Old,Grammica__a.Tocopherol,0.5847923161237242
6/14/18,6/14/18,AS-187,Grammica,C_sandwichiana,155Bo,155,o,1,0.0477,47.7,1250,100,0.262054507,a.Tocopherol,1.8522379431069798,Old,Grammica__Old,Grammica__a.Tocopherol,0.6163946609594595
7/2/18,6/3/18,AS-203,Grammica,C_sandwichiana,155Co,155,o,1,0.0498,49.8,1250,100,0.251004016,a.Tocopherol,2.56091365396288,Old,Grammica__Old,Grammica__a.Tocopherol,0.9403641299470274
7/2/18,6/3/18,AS-229,Grammica,C_sandwichiana,155Bh,155,h,1,0.045,45,1250,100,0.277777778,a.Tocopherol,32.879091692969936,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,3.4928369479381773
7/2/18,6/3/18,AS-230,Grammica,C_sandwichiana,155Ch,155,h,1,0.0446,44.6,1250,100,0.280269058,a.Tocopherol,8.77661714319826,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,2.172091053589721
7/2/18,6/3/18,AS-232,Grammica,C_sandwichiana,155Dh,155,h,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,25.81768994932806,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,3.251059917796251
7/2/18,6/3/18,AS-245,Grammica,C_sandwichiana,155Ch,155,h,1,0.0482,48.2,1250,100,0.2593361,a.Tocopherol,5.227015049857001,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.6538403981113179
7/10/18,7/11/18,AS-281,Grammica,C_sandwichiana,155Ah,155,h,1,0.0488,48.8,1250,100,0.256147541,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0
6/14/18,6/14/18,AS-196,Grammica,C_sandwichiana,155Cf,155,f,1,0.0441,44.1,1250,100,0.283446712,a.Tocopherol,0,Flower,Grammica__Flower,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-247,Grammica,C_sandwichiana,155Af,155,f,1,0.0445,44.5,1250,100,0.280898876,a.Tocopherol,3.8873089831663203,Flower,Grammica__Flower,Grammica__a.Tocopherol,1.3577171658598637
-,12/6/17,AS-02,Grammica,C_polygonorum,1705sdlg,1705,sdlg,1,0.0142,14.2,2050,100,1.443661972,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-04,Grammica,C_polygonorum,1705sdlg,1705,sdlg,2,0.0369,36.9,2050,100,0.555555556,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-05,Grammica,C_polygonorum,1705sdlg,1705,sdlg,3,0.0501,50.1,2050,100,0.409181637,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
7/11/18,7/11/18,AS-304,Grammica,C_polygonorum,1705sdlg,1705,sdlg,1,0.0338,33.8,950,100,0.281065089,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
7/11/18,7/11/18,AS-310,Grammica,C_polygonorum,1705sdlg,1705,sdlg,1,0.0298,29.8,950,100,0.318791946,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
6/14/18,6/14/18,AS-183,Grammica,C_polygonorum,1705Ay,1705,y,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,2.36673100475049,Young,Grammica__Young,Grammica__a.Tocopherol,0.861509722367864
7/10/18,7/11/18,AS-288,Grammica,C_polygonorum,1705Cy,1705,y,1,0.0524,52.4,1250,100,0.238549618,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
7/10/18,7/11/18,AS-295,Grammica,C_polygonorum,1705Dy,1705,y,1,0.0432,43.2,1250,100,0.289351852,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
7/11/18,7/11/18,AS-303,Grammica,C_polygonorum,1705By,1705,y,1,0.0672,67.2,1250,100,0.186011905,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
