"Date.Extracted","Date.Run","Sample..","Subgenus","Species","Sample.Name","Accession.No","Tissue.code","Replicate","Weight..g.","FW.mg.","Dil..ul.","Inj.vol..ul.","Conversion","Pigment","FW.norm"
"6/11/18","6/11/18","AS-120","Ipomoea_nil","Ipomoea_nil","IPNICy","IPNI","y",1,0.0404,40.4,1250,100,0.309405941,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-121","Ipomoea_nil","Ipomoea_nil","IPNICy","IPNI","y",2,0.0552,55.2,1250,100,0.226449275,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-206","Ipomoea_nil","Ipomoea_nil","IPNIEy","IPNI","y",1,0.0463,46.3,1250,100,0.269978402,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-217","Ipomoea_nil","Ipomoea_nil","IPNIAy","IPNI","y",1,0.0418,41.8,1250,100,0.299043062,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-219","Ipomoea_nil","Ipomoea_nil","IPNIBy","IPNI","y",1,0.0511,51.1,1250,100,0.244618395,"Lutein.epoxide",0
"6/5/18","6/11/18","AS-33","Ipomoea_nil","Ipomoea_nil","IPNIEo","IPNI","o",1,0.0456,45.6,2050,100,0.449561404,"Lutein.epoxide",0
"6/5/18","6/11/18","AS-34","Ipomoea_nil","Ipomoea_nil","IPNIEo","IPNI","o",2,0.0442,44.2,2050,100,0.463800905,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-116","Ipomoea_nil","Ipomoea_nil","IPNIDo","IPNI","o",1,0.0533,53.3,1250,100,0.234521576,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-117","Ipomoea_nil","Ipomoea_nil","IPNIDo","IPNI","o",2,0.0504,50.4,1250,100,0.248015873,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-118","Ipomoea_nil","Ipomoea_nil","IPNIAo","IPNI","o",1,0.0415,41.5,1250,100,0.301204819,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-119","Ipomoea_nil","Ipomoea_nil","IPNIAo","IPNI","o",2,0.046,46,1250,100,0.27173913,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-218","Ipomoea_nil","Ipomoea_nil","IPNIBo","IPNI","o",1,0.0411,41.1,1250,100,0.304136253,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-220","Ipomoea_nil","Ipomoea_nil","IPNICo","IPNI","o",1,0.0431,43.1,1250,100,0.290023202,"Lutein.epoxide",0
"6/5/18","6/11/18","AS-35","Ipomoea_nil","Ipomoea_nil","IPNIEl","IPNI","l",1,0.0409,40.9,2050,100,0.501222494,"Lutein.epoxide",0
"6/5/18","6/11/18","AS-36","Ipomoea_nil","Ipomoea_nil","IPNIEl","IPNI","l",2,0.0443,44.3,2050,100,0.46275395,"Lutein.epoxide",1.4636768612315
"6/11/18","6/11/18","AS-108","Ipomoea_nil","Ipomoea_nil","IPNIAl","IPNI","l",1,0.0428,42.8,1250,100,0.292056075,"Lutein.epoxide",5.403014023014
"6/11/18","6/11/18","AS-109","Ipomoea_nil","Ipomoea_nil","IPNIAl","IPNI","l",2,0.045,45,1250,100,0.277777778,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-112","Ipomoea_nil","Ipomoea_nil","IPNICl","IPNI","l",1,0.0477,47.7,1250,100,0.262054507,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-113","Ipomoea_nil","Ipomoea_nil","IPNICl","IPNI","l",2,0.0465,46.5,1250,100,0.268817204,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-114","Ipomoea_nil","Ipomoea_nil","IPNIBl","IPNI","l",1,0.0495,49.5,1250,100,0.252525253,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-115","Ipomoea_nil","Ipomoea_nil","IPNIBl","IPNI","l",2,0.0415,41.5,1250,100,0.301204819,"Lutein.epoxide",12.3188855308353
"6/11/18","6/11/18","AS-124","Ipomoea_nil","Ipomoea_nil","IPNIGl","IPNI","l",1,0.0455,45.5,1250,100,0.274725275,"Lutein.epoxide",0
"6/11/18","6/11/18","AS-125","Ipomoea_nil","Ipomoea_nil","IPNIGl","IPNI","l",2,0.042,42,1250,100,0.297619048,"Lutein.epoxide",0
"7/2/18","6/3/18","AS-221","Ipomoea_nil","Ipomoea_nil","IPNIDl","IPNI","l",1,0.0526,52.6,1250,100,0.237642586,"Lutein.epoxide",7.61370486228342
