"Species","Pigment",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"C_australis","a.Tocopherol","FW.norm",7,4.78260869565217,2,0.0915,"Kruskal-Wallis",0.128576146788991," "
"C_polygonorum","a.Tocopherol","FW.norm",21,5.85918367346939,5,0.32,"Kruskal-Wallis",0.344788732394366," "
"C_sandwichiana","a.Tocopherol","FW.norm",18,5.64598540145986,4,0.227,"Kruskal-Wallis",0.261135338345865," "
"C_californica","a.Tocopherol","FW.norm",28,5.47642403189516,3,0.14,"Kruskal-Wallis",0.17136," "
"C_compacta","a.Tocopherol","FW.norm",17,11.5694408877507,3,0.00901,"Kruskal-Wallis",0.0229755,"*"
"C_cephalanthii","a.Tocopherol","FW.norm",32,20.0959722404085,4,0.000478,"Kruskal-Wallis",0.00270866666666667,"**"
"C_denticulata","a.Tocopherol","FW.norm",18,2.33795309168444,3,0.505,"Kruskal-Wallis",0.518557046979866," "
"C_tasmanica","a.Tocopherol","FW.norm",31,18.4835128573786,3,0.00035,"Kruskal-Wallis",0.00237482608695652,"**"
"C_costaricensis","a.Tocopherol","FW.norm",19,6.71447368421053,2,0.0348,"Kruskal-Wallis",0.05916,"."
"C_indecora","a.Tocopherol","FW.norm",13,5.48898071625345,3,0.139,"Kruskal-Wallis",0.17136," "
"C_australis","cis.B.carotene","FW.norm",7,5.35714285714286,2,0.0687,"Kruskal-Wallis",0.102049514563107," "
"C_polygonorum","cis.B.carotene","FW.norm",21,11.1038961038961,5,0.0494,"Kruskal-Wallis",0.0804063829787234,"."
"C_sandwichiana","cis.B.carotene","FW.norm",18,6.28421052631578,4,0.179,"Kruskal-Wallis",0.207477272727273," "
"C_californica","cis.B.carotene","FW.norm",28,12.4566033309875,3,0.00597,"Kruskal-Wallis",0.01791,"*"
"C_compacta","cis.B.carotene","FW.norm",17,14.7058823529412,3,0.00209,"Kruskal-Wallis",0.00743651162790698,"**"
"C_cephalanthii","cis.B.carotene","FW.norm",32,13.0737012987013,4,0.0109,"Kruskal-Wallis",0.0264714285714286,"*"
"C_denticulata","cis.B.carotene","FW.norm",18,6.97669172932331,3,0.0726,"Kruskal-Wallis",0.105788571428571," "
"C_tasmanica","cis.B.carotene","FW.norm",31,10.794470046083,3,0.0129,"Kruskal-Wallis",0.0281957142857143,"*"
"C_costaricensis","cis.B.carotene","FW.norm",19,4.48,2,0.106,"Kruskal-Wallis",0.139810344827586," "
"C_indecora","cis.B.carotene","FW.norm",13,6.45054945054945,3,0.0916,"Kruskal-Wallis",0.128576146788991," "
"C_australis","Chl.b","FW.norm",7,0.178571428571427,2,0.915,"Kruskal-Wallis",0.915," "
"C_polygonorum","Chl.b","FW.norm",21,10.5541125541125,5,0.061,"Kruskal-Wallis",0.093789,"."
"C_sandwichiana","Chl.b","FW.norm",18,12.7087719298246,4,0.0128,"Kruskal-Wallis",0.0281957142857143,"*"
"C_californica","Chl.b","FW.norm",28,16.4731409805301,3,0.000907,"Kruskal-Wallis",0.0040815,"**"
"C_compacta","Chl.b","FW.norm",17,10.6320261437909,3,0.0139,"Kruskal-Wallis",0.0295375,"*"
"C_cephalanthii","Chl.b","FW.norm",32,24.7481331168831,4,5.65e-05,"Kruskal-Wallis",0.00067524,"***"
"C_denticulata","Chl.b","FW.norm",18,10.4077694235589,3,0.0154,"Kruskal-Wallis",0.031824,"*"
"C_tasmanica","Chl.b","FW.norm",31,22.1298858399665,3,6.13e-05,"Kruskal-Wallis",0.00067524,"***"
"C_costaricensis","Chl.b","FW.norm",19,14.3273684210526,2,0.000774,"Kruskal-Wallis",0.0037006875,"**"
"C_indecora","Chl.b","FW.norm",13,10.8296703296703,3,0.0127,"Kruskal-Wallis",0.0281957142857143,"*"
"C_australis","Chl.a","FW.norm",7,1.46428571428572,2,0.481,"Kruskal-Wallis",0.500632653061225," "
