"Subgenus","Pigment",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"C_purpurata","a.Tocopherol","FW.norm",19,1.52130681818181,3,0.677,"Kruskal-Wallis",0.686026666666667," "
"Cuscuta","a.Tocopherol","FW.norm",16,1.75240384615386,2,0.416,"Kruskal-Wallis",0.451657142857143," "
"Grammica","a.Tocopherol","FW.norm",213,36.6801171404594,5,6.94e-07,"Kruskal-Wallis",4.05723076923077e-06,"***"
"Ipomoea_nil","a.Tocopherol","FW.norm",24,15.1843260188088,2,0.000504,"Kruskal-Wallis",0.00103524324324324,"**"
"C_purpurata","cis.B.carotene","FW.norm",19,14.2231578947368,3,0.00262,"Kruskal-Wallis",0.00485658536585366,"**"
"Cuscuta","cis.B.carotene","FW.norm",16,0.245798319327726,2,0.884,"Kruskal-Wallis",0.884," "
"Grammica","cis.B.carotene","FW.norm",213,26.6926302124982,5,6.55e-05,"Kruskal-Wallis",0.000262,"***"
"Ipomoea_nil","cis.B.carotene","FW.norm",24,16.1025,2,0.000319,"Kruskal-Wallis",0.000713058823529412,"***"
"Monogynella","cis.B.carotene","FW.norm",32,10.9120490620491,4,0.0276,"Kruskal-Wallis",0.0338322580645161,"*"
"C_purpurata","Chl.b","FW.norm",19,5.33333333333331,3,0.149,"Kruskal-Wallis",0.166529411764706," "
"Cuscuta","Chl.b","FW.norm",16,8.75672268907562,2,0.0125,"Kruskal-Wallis",0.0169642857142857,"*"
"Grammica","Chl.b","FW.norm",213,106.98598557141,5,1.78e-21,"Kruskal-Wallis",5.82666666666667e-20,"***"
"Ipomoea_nil","Chl.b","FW.norm",24,18.096,2,0.000118,"Kruskal-Wallis",0.000357481481481481,"***"
"Monogynella","Chl.b","FW.norm",32,22.5704184704185,4,0.000154,"Kruskal-Wallis",0.000390133333333333,"***"
"C_purpurata","Chl.a","FW.norm",19,12.5860714285714,3,0.00562,"Kruskal-Wallis",0.0085424,"**"
"Cuscuta","Chl.a","FW.norm",16,11.0357142857143,2,0.00401,"Kruskal-Wallis",0.00662521739130435,"**"
"Grammica","Chl.a","FW.norm",213,55.4669528498716,5,1.05e-10,"Kruskal-Wallis",7.98e-10,"***"
"Ipomoea_nil","Chl.a","FW.norm",24,17.576,2,0.000153,"Kruskal-Wallis",0.000390133333333333,"***"
"Monogynella","Chl.a","FW.norm",32,23.1177669552669,4,0.00012,"Kruskal-Wallis",0.000357481481481481,"***"
"C_purpurata","Tot.Chl","FW.norm",19,12.2946428571429,3,0.00644,"Kruskal-Wallis",0.00941230769230769,"**"
"Cuscuta","Tot.Chl","FW.norm",16,11.0357142857143,2,0.00401,"Kruskal-Wallis",0.00662521739130435,"**"
