Biorep,Sample,Internode Number,Distance.from.AM,AOI,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv.Fm,PSII,phiNPQ,"Φf,D",NPQ,1-qP
A,1567A1,0,1,1,17.04.18,17:30:31,0.0608,0.151,0.0588,0.0843,0.046110046,0.597350993,0.302491103,0.308104923,0.389403974,0.791221827,0.332285139
A,1567A1,1,5,2,17.04.18,17:30:31,0.0412,0.0912,0.0387,0.05,0.03002378,0.548245614,0.226,0.349657895,0.424342105,0.824,0.434327424
A,1567A1,2,20,3,17.04.18,17:30:31,0.0319,0.0637,0.0304,0.0387,0.024102676,0.499215071,0.214470284,0.308292667,0.477237049,0.645994832,0.43140262
A,1567A1,3,30,4,17.04.18,17:30:31,0.0235,0.0441,0.026,0.0333,0.020037075,0.467120181,0.219219219,0.19121162,0.589569161,0.324324324,0.449593519
A,1567A1,4,40,5,17.04.18,17:30:31,0.0191,0.0353,0.0191,0.0245,0.01542169,0.458923513,0.220408163,0.238515349,0.541076487,0.440816327,0.405175621
A,1567A2,0,1,1,17.04.18,17:21:51,0.052,0.1275,0.0559,0.0755,0.0405965,0.592156863,0.259602649,0.301965978,0.438431373,0.688741722,0.438451724
A,1567A2,1,3,2,17.04.18,17:21:51,0.0529,0.124,0.0471,0.0613,0.036829307,0.573387097,0.231647635,0.388513656,0.37983871,1.022838499,0.41971402
A,1567A2,2,9,3,17.04.18,17:21:51,0.0338,0.0716,0.0314,0.0392,0.024313436,0.527932961,0.198979592,0.362472922,0.438547486,0.826530612,0.476037597
A,1567A2,3,23,4,17.04.18,17:21:51,0.0358,0.0765,0.0368,0.0495,0.028520023,0.532026144,0.256565657,0.262388592,0.481045752,0.545454545,0.394660927
A,1567A2,4,38,5,17.04.18,17:21:51,0.0397,0.0799,0.0353,0.0451,0.028697516,0.503128911,0.2172949,0.340902847,0.441802253,0.771618625,0.402529513
A,1567A2,5,54,6,17.04.18,17:21:51,0.0255,0.0451,0.0235,0.0279,0.018908942,0.4345898,0.157706093,0.321229605,0.521064302,0.616487455,0.510624877
