Species,Accession#,Individual,AOI # (Sample per Replicate),Tissue,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv/Fm,φPSII,ΦNPQ,"Φf,D",NPQ,1-qP,Comments,exclude,
C_epithymum,CUEP,A,1,flower,8/20/18,15:54:37,0.024,0.026,0.0255,0.0196,0.018441496,0.076923077,-0.301020408,0.320251177,0.980769231,0.326530612,6.092773844,quantum yields too far from summing to one,exclude,
C_polygonorum,1705,B,2,haustorium,2017-12-13,2:59:42 PM,0.0103,0.0113,0.0103,0.0093,0.008611878,0.088495575,-0.107526882,0.196022457,0.911504425,0.215053763,2.453231587,,exclude,
C_polygonorum,1705,B,3,haustorium,2017-12-13,2:59:42 PM,0.0088,0.0103,0.0064,0.0059,0.005375173,0.145631068,-0.084745763,0.463386539,0.621359223,0.745762712,1.952695586,,exclude,
C_epithymum,CUEP,A,4,flower,8/20/18,16:09:41,0.0221,0.026,0.0201,0.0186,0.016515066,0.15,-0.080645161,0.307568238,0.773076923,0.397849462,1.719447335,ok to 0,,
C_polygonorum,1705,B,1,haustorium,2017-12-13,2:59:42 PM,0.0157,0.0206,0.0157,0.0147,0.01202244,0.237864078,-0.068027211,0.305891289,0.762135922,0.401360544,1.373474393,plant was wilted,exclude,
C_cephalanthii,1567,A,2,seed,2017-12-21,10:53:16 AM,0.1157,0.3887,0.276,0.2608,0.100961965,0.702341137,-0.058282209,0.348223037,0.710059172,0.49041411,1.095096264,ok to 0,,
C_epithymum,CUEP,A,4,flower,8/20/18,15:54:37,0.0294,0.0446,0.0284,0.027,0.020563811,0.340807175,-0.051851852,0.415080551,0.6367713,0.651851852,1.217520035,ok to 0,,
C_tasmanica,ss.17.15,D,4,flower,2018-05-29,10:52:34 AM,0.0088,0.0123,0.0108,0.0103,0.007726606,0.284552846,-0.048543689,0.170494909,0.87804878,0.194174757,1.194295948,other aois had signal,exclude,
C_indecora,ss.16.77,B,3,flower,2018-03-23,3:39:17 PM,0.0309,0.0549,0.0466,0.0446,0.02734553,0.43715847,-0.044843049,0.19602702,0.848816029,0.230941704,1.115911993,other aois had signal,exclude,
C_indecora,ss.16.77,A,7,seed,2018-01-15,10:19:56 AM,0.0603,0.15,0.123,0.1186,0.054499523,0.598,-0.037099494,0.217099494,0.82,0.264755481,1.068642235,other aoi had signal,,
C_tasmanica,ss.17.15,D,3,flower,2018-05-29,10:52:34 AM,0.0118,0.0181,0.0152,0.0147,0.010253849,0.348066298,-0.034013605,0.1942346,0.839779006,0.231292517,1.112456817,other aois had signal,exclude,
C_epithymum,CUEP,A,3,flower,8/20/18,15:54:37,0.0363,0.0515,0.0417,0.0407,0.030580331,0.295145631,-0.024570025,0.214861287,0.809708738,0.265356265,1.098817458,ok to 0,,
C_indecora,ss.16.77,D,4,fruit,2018-02-16,3:35:35 PM,0.1078,0.4098,0.299,0.2926,0.097524267,0.736944851,-0.021872864,0.292248657,0.729624207,0.400546822,1.032807771,noisy file; probably shouldn’t use?,exclude,
