"Subgenus","Metric","label"
"Cuscuta","Fv.Fm","paste(italic(""P""),"" = 0.2"")"
"Grammica","Fv.Fm","paste(italic(""P""),"" = 3.1e-25"")"
"Ipomoea nil","Fv.Fm","paste(italic(""P""),"" = 2.4e-06"")"
"Monogynella","Fv.Fm","paste(italic(""P""),"" = 2.5e-08"")"
"Cuscuta","φPSII","paste(italic(""P""),"" = 0.0015"")"
"Grammica","φPSII","paste(italic(""P""),"" = 2.1e-23"")"
"Ipomoea nil","φPSII","paste(italic(""P""),"" = 2.4e-06"")"
"Monogynella","φPSII","paste(italic(""P""),"" = 1.2e-09"")"
"Cuscuta","ΦNPQ","paste(italic(""P""),"" = 8.4e-08"")"
"Grammica","ΦNPQ","paste(italic(""P""),"" = 2.8e-20"")"
"Ipomoea nil","ΦNPQ","paste(italic(""P""),"" = 3.7e-07"")"
"Monogynella","ΦNPQ","paste(italic(""P""),"" = 5.5e-09"")"
