"Species","Metric","label"
"C_australis","Fv.Fm","paste(italic(""P""),"" = 0.00042"")"
"C_polygonorum","Fv.Fm","paste(italic(""P""),"" = 0.009"")"
"C_sandwichiana","Fv.Fm","paste(italic(""P""),"" = 0.003"")"
"C_californica","Fv.Fm","paste(italic(""P""),"" = 0.009"")"
"C_compacta","Fv.Fm","paste(italic(""P""),"" = 0.02"")"
"C_cephalanthii","Fv.Fm","paste(italic(""P""),"" = 7.95e-10"")"
"C_denticulata","Fv.Fm","paste(italic(""P""),"" = 0.000198"")"
"C_tasmanica","Fv.Fm","paste(italic(""P""),"" = 7.95e-10"")"
"C_costaricensis","Fv.Fm","paste(italic(""P""),"" = 0.002"")"
"C_indecora","Fv.Fm","paste(italic(""P""),"" = 0.013"")"
"C_australis","φPSII","paste(italic(""P""),"" = 0.000617"")"
"C_polygonorum","φPSII","paste(italic(""P""),"" = 5.51e-05"")"
"C_sandwichiana","φPSII","paste(italic(""P""),"" = 0.013"")"
"C_californica","φPSII","paste(italic(""P""),"" = 0.009"")"
"C_compacta","φPSII","paste(italic(""P""),"" = 0.005"")"
"C_cephalanthii","φPSII","paste(italic(""P""),"" = 9.7e-07"")"
"C_denticulata","φPSII","paste(italic(""P""),"" = 0.018"")"
"C_tasmanica","φPSII","paste(italic(""P""),"" = 7.95e-10"")"
"C_costaricensis","φPSII","paste(italic(""P""),"" = 0.174"")"
"C_indecora","φPSII","paste(italic(""P""),"" = 0.013"")"
"C_australis","ΦNPQ","paste(italic(""P""),"" = 0.583"")"
"C_polygonorum","ΦNPQ","paste(italic(""P""),"" = 0.193"")"
"C_sandwichiana","ΦNPQ","paste(italic(""P""),"" = 0.094"")"
"C_californica","ΦNPQ","paste(italic(""P""),"" = 4.54e-06"")"
"C_compacta","ΦNPQ","paste(italic(""P""),"" = 0.091"")"
"C_cephalanthii","ΦNPQ","paste(italic(""P""),"" = 7.95e-10"")"
"C_denticulata","ΦNPQ","paste(italic(""P""),"" = 0.000155"")"
"C_tasmanica","ΦNPQ","paste(italic(""P""),"" = 6.54e-08"")"
"C_costaricensis","ΦNPQ","paste(italic(""P""),"" = 0.000155"")"
"C_indecora","ΦNPQ","paste(italic(""P""),"" = 0.00042"")"
