Subgenus,Species,Accession.,Individual,AOI....Sample.per.Replicate.,Tissue,Measurement.Date,Time,Comments,exclude,Tissue.edit,ID,Metric,Value,Subgenus.Metric,Tissue.edit_names,Subgenus.Tissue,drop,Species.Metric
Grammica,C_cephalanthii,1567,A,2,seed,2017-12-21,10:53:16 AM,ok to 0,,s,2,Fm,0.3887,Grammica__Fm,Seed,Grammica__Seed,1567s,C_cephalanthii__Fm
Grammica,C_californica,ss17-105,B,2,old,2018-05-29,3:42:33 PM,,,o,6,Fm,0.0054,Grammica__Fm,Old,Grammica__Old,ss17-105o,C_californica__Fm
Grammica,C_cephalanthii,1567,B,4,old,2017-12-13,12:12:56 PM,,,o,7,Fm,0.0123,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,A,6,flower,2017-12-21,10:53:16 AM,,,f,8,Fm,0.0696,Grammica__Fm,Flower,Grammica__Flower,1567f,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,A,8,flower,2017-12-21,10:53:16 AM,,,f,9,Fm,0.0809,Grammica__Fm,Flower,Grammica__Flower,1567f,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,A,6,old,2017-12-21,10:20:01 AM,,,o,10,Fm,0.0118,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,D,4,old,2018-03-08,12:10:52 PM,,,o,11,Fm,0.0083,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,E,2,old,2018-03-08,1:10:13 PM,truly 0 signal,,o,12,Fm,0.0025,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,E,3,old,2018-03-08,1:10:13 PM,truly 0 signal,,o,13,Fm,0.0025,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,E,5,old,2018-03-08,1:10:13 PM,,,o,14,Fm,0.0147,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_cephalanthii,1567,E,6,old,2018-03-08,1:10:13 PM,truly 0 signal,,o,15,Fm,0.0108,Grammica__Fm,Old,Grammica__Old,1567o,C_cephalanthii__Fm
Grammica,C_indecora,ss16-17,A,1,young,2017-12-13,1:12:06 PM,,,y,16,Fm,0.0088,Grammica__Fm,Young,Grammica__Young,ss16-17y,C_indecora__Fm
Grammica,C_indecora,ss16-17,A,2,young,2017-12-13,1:12:06 PM,truly 0 signal,,y,17,Fm,0.0191,Grammica__Fm,Young,Grammica__Young,ss16-17y,C_indecora__Fm
Grammica,C_indecora,ss16-17,A,3,young,2017-12-13,1:12:06 PM,truly 0 signal,,y,18,Fm,0.0206,Grammica__Fm,Young,Grammica__Young,ss16-17y,C_indecora__Fm
Grammica,C_indecora,ss16-17,A,3,flower,2018-01-15,10:19:56 AM,flowers themselves have 0 signal; their stems have a little,,f,19,Fm,0.0147,Grammica__Fm,Flower,Grammica__Flower,ss16-17f,C_indecora__Fm
Grammica,C_indecora,ss16-17,A,4,flower,2018-01-15,10:19:56 AM,flowers themselves have 0 signal; their stems have a little,,f,20,Fm,0.0186,Grammica__Fm,Flower,Grammica__Flower,ss16-17f,C_indecora__Fm
Grammica,C_indecora,ss16-17,A,5,flower,2018-01-15,10:19:56 AM,flowers themselves have 0 signal; their stems have a little,,f,21,Fm,0.0211,Grammica__Fm,Flower,Grammica__Flower,ss16-17f,C_indecora__Fm
Grammica,C_indecora,ss16-17,C,2,old,2018-01-25,11:51:38 AM,truly 0 signal,,o,22,Fm,0.0064,Grammica__Fm,Old,Grammica__Old,ss16-17o,C_indecora__Fm
Grammica,C_indecora,ss16-17,C,3,old,2018-01-25,11:51:38 AM,truly 0 signal,,o,23,Fm,0.0034,Grammica__Fm,Old,Grammica__Old,ss16-17o,C_indecora__Fm
Grammica,C_indecora,ss16-17,C,4,old,2018-01-25,11:51:38 AM,truly 0 signal,,o,24,Fm,0.0034,Grammica__Fm,Old,Grammica__Old,ss16-17o,C_indecora__Fm
Grammica,C_indecora,ss16-17,C,4,flower,2018-03-23,4:45:38 PM,0 YPSII,,f,25,Fm,0.0402,Grammica__Fm,Flower,Grammica__Flower,ss16-17f,C_indecora__Fm
Grammica,C_indecora,ss16-17,C,5,flower,2018-03-23,4:45:38 PM,,,f,26,Fm,0.0583,Grammica__Fm,Flower,Grammica__Flower,ss16-17f,C_indecora__Fm
Grammica,C_sandwichiana,155,-,1,seedling,8/24/18,12:33:37,,,sdlg,75,Fm,0.0069,Grammica__Fm,Seedling,Grammica__Seedling,155sdlg,C_sandwichiana__Fm
Grammica,C_sandwichiana,155,A,9,flower,2018-01-15,11:13:48 AM,0 YPSII,,f,76,Fm,0.1265,Grammica__Fm,Flower,Grammica__Flower,155f,C_sandwichiana__Fm
Grammica,C_sandwichiana,155,D,2,young,2018-01-25,1:05:39 PM,0 signal for this AOI; one AOI/sample did have a signal though,,y,77,Fm,0,Grammica__Fm,Young,Grammica__Young,155y,C_sandwichiana__Fm
Grammica,C_sandwichiana,155,D,3,young,2018-01-25,1:05:39 PM,0 signal for this AOI; one AOI/sample did have a signal though,,y,78,Fm,0,Grammica__Fm,Young,Grammica__Young,155y,C_sandwichiana__Fm
Grammica,C_polygonorum,1705,A,4,old,2018-01-25,9:58:34 AM,truly 0 signal,,o,79,Fm,0.0083,Grammica__Fm,Old,Grammica__Old,1705o,C_polygonorum__Fm
Grammica,C_compacta,1566,-,1,seedling,2017-11-08,9:46:35 AM,0 YPSII,,sdlg,80,Fm,0.1593,Grammica__Fm,Seedling,Grammica__Seedling,1566sdlg,C_compacta__Fm
Grammica,C_compacta,1566,-,2,seedling,2017-11-08,9:46:35 AM,0 YPSII,,sdlg,81,Fm,0.2975,Grammica__Fm,Seedling,Grammica__Seedling,1566sdlg,C_compacta__Fm
Grammica,C_compacta,1566,E,1,young,2017-11-15,9:59:32 AM,0 PSII; others have some level of PSII though… just not this one,,y,82,Fm,0.0809,Grammica__Fm,Young,Grammica__Young,1566y,C_compacta__Fm
Grammica,C_compacta,1566,B,1,haustorium,2017-12-21,11:32:37 AM,truly 0 signal,,h,83,Fm,0.0275,Grammica__Fm,Haustorium,Grammica__Haustorium,1566h,C_compacta__Fm
Grammica,C_compacta,1566,B,2,haustorium,2017-12-21,11:32:37 AM,truly 0 signal,,h,84,Fm,0.0294,Grammica__Fm,Haustorium,Grammica__Haustorium,1566h,C_compacta__Fm
Grammica,C_compacta,1566,B,4,old,2017-12-21,11:24:24 AM,truly 0 signal,,o,85,Fm,0.0201,Grammica__Fm,Old,Grammica__Old,1566o,C_compacta__Fm
Grammica,C_compacta,1566,B,2,flower,2018-03-15,3:45:50 PM,truly 0 signal,,f,86,Fm,0.0216,Grammica__Fm,Flower,Grammica__Flower,1566f,C_compacta__Fm
Grammica,C_compacta,1566,B,3,flower,2018-03-15,3:45:50 PM,truly 0 signal,,f,87,Fm,0.0132,Grammica__Fm,Flower,Grammica__Flower,1566f,C_compacta__Fm
Grammica,C_compacta,1566,B,4,flower,2018-03-15,3:45:50 PM,truly 0 signal,,f,88,Fm,0.0172,Grammica__Fm,Flower,Grammica__Flower,1566f,C_compacta__Fm
Grammica,C_compacta,1566,B,5,flower,2018-03-15,3:45:50 PM,truly 0 signal,,f,89,Fm,0.0402,Grammica__Fm,Flower,Grammica__Flower,1566f,C_compacta__Fm
Grammica,C_denticulata,ss13-46,-,4,seedling,2018-04-17,1:38:52 PM,,,sdlg,90,Fm,0.0613,Grammica__Fm,Seedling,Grammica__Seedling,ss13-46sdlg,C_denticulata__Fm
Grammica,C_denticulata,ss13-46,A,2,old,2018-05-29,3:19:24 PM,,,o,91,Fm,0.0039,Grammica__Fm,Old,Grammica__Old,ss13-46o,C_denticulata__Fm
Grammica,C_tasmanica,17-15,A,3,young,2017-12-21,11:50:46 AM,truly 0 signal,,y,103,Fm,0.0368,Grammica__Fm,Young,Grammica__Young,17-15y,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,A,2,old,2018-04-17,3:00:16 PM,truly 0 signal,,o,104,Fm,0.0034,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,A,3,old,2018-04-17,3:00:16 PM,,,o,105,Fm,0.0059,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,A,4,old,2018-04-17,3:00:16 PM,truly 0 signal,,o,106,Fm,0.0034,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,A,5,old,2018-04-17,3:00:16 PM,truly 0 signal,,o,107,Fm,0.0034,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,B,3,old,2017-12-21,12:02:39 PM,truly 0 signal,,o,108,Fm,0.0015,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,B,4,old,2017-12-21,12:02:39 PM,,,o,109,Fm,0.0025,Grammica__Fm,Old,Grammica__Old,17-15o,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,B,4,flower,2018-05-25,12:21:17 PM,,,f,110,Fm,0.0485,Grammica__Fm,Flower,Grammica__Flower,17-15f,C_tasmanica__Fm
Grammica,C_tasmanica,17-15,D,5,flower,2018-05-29,10:52:34 AM,,,f,111,Fm,0.0118,Grammica__Fm,Flower,Grammica__Flower,17-15f,C_tasmanica__Fm
