Subgenus,Species,Accession.,Individual,AOI....Sample.per.Replicate.,Tissue,Measurement.Date,Time,Comments,exclude,Tissue.edit,ID,Metric,Value,Subgenus.Metric,Tissue.edit_names,Subgenus.Tissue
Cuscuta,C_epithymum,CUEP,A,4,flower,8/20/18,16:09:41,ok to 0,,f,1,Fv.Fm,0.15,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,4,flower,8/20/18,15:54:37,ok to 0,,f,3,Fv.Fm,0.340807175,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,3,flower,8/20/18,15:54:37,ok to 0,,f,5,Fv.Fm,0.295145631,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,D,1,old,2018-06-20,3:33:30 PM,,,o,92,Fv.Fm,0,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,2,old,2018-06-20,3:33:30 PM,,,o,93,Fv.Fm,0,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,4,old,2018-06-20,3:33:30 PM,,,o,94,Fv.Fm,0,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,1,young,2018-06-20,2:48:08 PM,,,y,95,Fv.Fm,0,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,3,young,2018-06-20,2:48:08 PM,,,y,96,Fv.Fm,0,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,4,young,2018-06-20,2:48:08 PM,,,y,97,Fv.Fm,0,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,5,young,2018-06-20,2:48:08 PM,,,y,98,Fv.Fm,0,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,A,6,old,2018-05-25,4:27:35 PM,,,o,99,Fv.Fm,0.113636364,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,5,flower,8/20/18,17:36:48,,,f,100,Fv.Fm,0.401162791,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,3,flower,8/20/18,16:09:41,,,f,102,Fv.Fm,0.232727273,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,D,1,flower,8/20/18,17:36:48,,,f,145,Fv.Fm,0.655487805,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,D,4,flower,8/20/18,17:36:48,,,f,173,Fv.Fm,0.635057471,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,C,3,old,2018-05-29,2:05:22 PM,,,o,217,Fv.Fm,0.258114374,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,3,flower,8/20/18,18:10:01,,,f,223,Fv.Fm,0.570833333,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,2,flower,8/20/18,15:54:37,,,f,248,Fv.Fm,0.342679128,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,D,1,flower,8/20/18,18:10:01,,,f,255,Fv.Fm,0.61516035,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,D,6,seed,8/20/18,17:50:06,,,s,289,Fv.Fm,0.56,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,D,2,flower,8/20/18,18:10:01,,,f,302,Fv.Fm,0.65920398,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,3,haustorium,2018-05-25,4:36:01 PM,,,h,316,Fv.Fm,0.384816754,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,D,5,seed,8/20/18,17:50:06,,,s,340,Fv.Fm,0.531100478,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,A,2,haustorium,2018-05-25,4:36:01 PM,,,h,373,Fv.Fm,0.493702771,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,D,6,flower,8/20/18,17:36:48,,,f,375,Fv.Fm,0.651884701,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,A,5,old,2018-05-25,4:27:35 PM,,,o,381,Fv.Fm,0.34939759,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,5,haustorium,2018-05-25,4:36:01 PM,,,h,424,Fv.Fm,0.444230769,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,C,3,haustorium,2018-05-29,2:14:27 PM,,,h,472,Fv.Fm,0.422413793,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,D,2,seed,8/20/18,17:50:06,,,s,478,Fv.Fm,0.634817814,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,D,4,flower,8/20/18,18:10:01,,,f,487,Fv.Fm,0.564102564,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,C,1,haustorium,2018-05-29,2:14:27 PM,,,h,514,Fv.Fm,0.500342231,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,D,4,seed,8/20/18,17:50:06,,,s,531,Fv.Fm,0.633528265,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,D,3,flower,8/20/18,17:36:48,,,f,539,Fv.Fm,0.603351955,Cuscuta__Fv.Fm,Flower,Cuscuta__Flower
Cuscuta,C_epithymum,CUEP,C,4,haustorium,2018-05-29,2:14:27 PM,,,h,561,Fv.Fm,0.48457223,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,D,3,old,2018-06-20,3:33:30 PM,,,o,564,Fv.Fm,0.337837838,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,2,young,2018-05-25,4:13:09 PM,,,y,588,Fv.Fm,0.314814815,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,1,haustorium,2018-06-20,3:54:20 PM,,,h,598,Fv.Fm,0.474048443,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,6,young,2018-05-25,4:13:09 PM,,,y,633,Fv.Fm,0.319444444,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,1,seed,8/20/18,17:50:06,,,s,657,Fv.Fm,0.626307922,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,2,1,seedling,2018-05-01,2:08:56 PM,,,sdlg,660,Fv.Fm,0.431989924,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,C,3,young,2018-05-29,1:56:11 PM,,,y,692,Fv.Fm,0.566326531,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,2,3,seedling,2018-05-01,2:08:56 PM,,,sdlg,708,Fv.Fm,0.458923513,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,1,2,seedling,2018-01-05,1:52:00 PM,,,sdlg,721,Fv.Fm,0.535714286,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,1,3,seedling,2018-01-05,1:52:00 PM,,,sdlg,731,Fv.Fm,0.549327354,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,A,4,old,2018-05-25,4:27:35 PM,,,o,758,Fv.Fm,0.481632653,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,3,young,2018-05-25,4:13:09 PM,,,y,772,Fv.Fm,0.460431655,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,2,haustorium,2018-06-20,3:54:20 PM,,,h,783,Fv.Fm,0.483561644,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,C,5,haustorium,2018-05-29,2:14:27 PM,,,h,798,Fv.Fm,0.620889749,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,5,young,2018-05-25,4:13:09 PM,,,y,801,Fv.Fm,0.441471572,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,2,haustorium,2018-05-29,2:14:27 PM,,,h,805,Fv.Fm,0.678531073,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,1,old,2018-05-25,4:27:35 PM,,,o,810,Fv.Fm,0.598639456,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,3,haustorium,2018-06-20,3:54:20 PM,,,h,823,Fv.Fm,0.543057996,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
