Subgenus,Species,Accession.,Individual,Tissue.edit,Metric,mean,n,sd
C_purpurata,C_purpurata,1432,A,y,Fo,0.006483333333333333,6,0.004753279569588419
C_purpurata,C_purpurata,1432,A,y,Fm,0.005483333333333333,6,0.0036651966750321416
C_purpurata,C_purpurata,1432,A,y,Ft,0.006233333333333334,6,0.004303332042344242
C_purpurata,C_purpurata,1432,A,y,Fo.,0.005656787833333334,6,0.0038425436917287185
C_purpurata,C_purpurata,1432,A,y,Fv.Fm,0,6,0
C_purpurata,C_purpurata,1432,A,y,φPSII,0,6,0
C_purpurata,C_purpurata,1432,A,y,ΦNPQ,0,6,0
C_purpurata,C_purpurata,1432,A,y,Φf.D,1,5,0
C_purpurata,C_purpurata,1432,A,y,NPQ,0,6,0
C_purpurata,C_purpurata,1432,A,h,Fo,0.00295,2,0.0013435028842544402
C_purpurata,C_purpurata,1432,A,h,Fm,0.002,2,7.071067811865475e-4
C_purpurata,C_purpurata,1432,A,h,Ft,0.00295,2,0.0013435028842544402
C_purpurata,C_purpurata,1432,A,h,Fo.,0.00295,2,0.0013435028842544402
C_purpurata,C_purpurata,1432,A,h,Fv.Fm,0,2,0
C_purpurata,C_purpurata,1432,A,h,φPSII,0,2,0
C_purpurata,C_purpurata,1432,A,h,ΦNPQ,0,2,0
C_purpurata,C_purpurata,1432,A,h,Φf.D,1,2,0
C_purpurata,C_purpurata,1432,A,h,NPQ,0,2,0
C_purpurata,C_purpurata,1432,A,f,Fo,0.0353,5,0.013963881981741323
C_purpurata,C_purpurata,1432,A,f,Fm,0.033139999999999996,5,0.014202218136615138
C_purpurata,C_purpurata,1432,A,f,Ft,0.037899999999999996,6,0.013878616645761205
C_purpurata,C_purpurata,1432,A,f,Fo.,0.0362058832,5,0.013236470413186542
C_purpurata,C_purpurata,1432,A,f,Fv.Fm,0,6,0
C_purpurata,C_purpurata,1432,A,f,φPSII,0,6,0
C_purpurata,C_purpurata,1432,A,f,ΦNPQ,0,6,0
C_purpurata,C_purpurata,1432,A,f,Φf.D,1,6,0
C_purpurata,C_purpurata,1432,A,f,NPQ,0,6,0
C_purpurata,C_purpurata,1432,B,y,Fo,0.009166666666666667,3,0.0017039170558842745
C_purpurata,C_purpurata,1432,B,y,Fm,0.0077,3,0.001473091986265623
C_purpurata,C_purpurata,1432,B,y,Ft,0.008333333333333333,3,0.0025890796305508513
C_purpurata,C_purpurata,1432,B,y,Fo.,0.008094050333333333,3,0.00283946688803591
