Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
C_purpurata,C_purpurata,1432,y,Fo,0.00994375,16,0.004431247943111887
C_purpurata,C_purpurata,1432,y,Fm,0.00849375,16,0.0037444125039851044
C_purpurata,C_purpurata,1432,y,Ft,0.00874375,16,0.003783819719102202
C_purpurata,C_purpurata,1432,y,Fo.,0.008236889125,16,0.0036653083766321377
C_purpurata,C_purpurata,1432,y,Fv.Fm,0,16,0
C_purpurata,C_purpurata,1432,y,φPSII,0,16,0
C_purpurata,C_purpurata,1432,y,ΦNPQ,0,16,0
C_purpurata,C_purpurata,1432,y,Φf.D,1,15,0
C_purpurata,C_purpurata,1432,y,NPQ,0,16,0
C_purpurata,C_purpurata,1432,o,Fo,0.010525,4,0.0022066188313042802
C_purpurata,C_purpurata,1432,o,Fm,0.0087,4,0.002289104628451919
C_purpurata,C_purpurata,1432,o,Ft,0.010025,4,0.00220661883130428
C_purpurata,C_purpurata,1432,o,Fo.,0.0095436475,4,0.0019255767661570044
C_purpurata,C_purpurata,1432,o,Fv.Fm,0,4,0
C_purpurata,C_purpurata,1432,o,φPSII,0,4,0
C_purpurata,C_purpurata,1432,o,ΦNPQ,0,4,0
C_purpurata,C_purpurata,1432,o,Φf.D,1,4,0
C_purpurata,C_purpurata,1432,o,NPQ,0,4,0
C_purpurata,C_purpurata,1432,h,Fo,0.00737,10,0.005303258956109494
C_purpurata,C_purpurata,1432,h,Fm,0.00594,10,0.0043300500382020225
C_purpurata,C_purpurata,1432,h,Ft,0.00683,10,0.004879674397152152
C_purpurata,C_purpurata,1432,h,Fo.,0.0068757372999999995,10,0.005247897974069111
C_purpurata,C_purpurata,1432,h,Fv.Fm,0,10,0
C_purpurata,C_purpurata,1432,h,φPSII,0,10,0
C_purpurata,C_purpurata,1432,h,ΦNPQ,0,10,0
C_purpurata,C_purpurata,1432,h,Φf.D,1,10,0
C_purpurata,C_purpurata,1432,h,NPQ,0,10,0
C_purpurata,C_purpurata,1432,f,Fo,0.03491428571428571,14,0.015222294234386672
C_purpurata,C_purpurata,1432,f,Fm,0.0332,14,0.015289161570814194
C_purpurata,C_purpurata,1432,f,Ft,0.03623571428571429,14,0.013579770426452902
C_purpurata,C_purpurata,1432,f,Fo.,0.035145836,13,0.013113028005305533
C_purpurata,C_purpurata,1432,f,Fv.Fm,0,18,0
C_purpurata,C_purpurata,1432,f,φPSII,0,18,0
C_purpurata,C_purpurata,1432,f,ΦNPQ,0,18,0
C_purpurata,C_purpurata,1432,f,Φf.D,1,18,0
C_purpurata,C_purpurata,1432,f,NPQ,0,18,0
Cuscuta,C_epithymum,CUEP,sdlg,Fo,0.0603,1,NA
