Subgenus,Tissue.edit,Metric,mean,n,sd
C_purpurata,y,Fo,0.00994375,16,0.004431247943111887
C_purpurata,y,Fm,0.00849375,16,0.0037444125039851044
C_purpurata,y,Ft,0.00874375,16,0.003783819719102202
C_purpurata,y,Fo.,0.008236889125,16,0.0036653083766321377
C_purpurata,y,Fv.Fm,0,16,0
C_purpurata,y,φPSII,0,16,0
C_purpurata,y,ΦNPQ,0,16,0
C_purpurata,y,Φf.D,1,15,0
C_purpurata,y,NPQ,0,16,0
C_purpurata,o,Fo,0.010525,4,0.0022066188313042802
C_purpurata,o,Fm,0.0087,4,0.002289104628451919
C_purpurata,o,Ft,0.010025,4,0.00220661883130428
C_purpurata,o,Fo.,0.0095436475,4,0.0019255767661570044
C_purpurata,o,Fv.Fm,0,4,0
C_purpurata,o,φPSII,0,4,0
C_purpurata,o,ΦNPQ,0,4,0
C_purpurata,o,Φf.D,1,4,0
C_purpurata,o,NPQ,0,4,0
C_purpurata,h,Fo,0.00737,10,0.005303258956109494
C_purpurata,h,Fm,0.00594,10,0.0043300500382020225
C_purpurata,h,Ft,0.00683,10,0.004879674397152152
C_purpurata,h,Fo.,0.0068757372999999995,10,0.005247897974069111
C_purpurata,h,Fv.Fm,0,10,0
C_purpurata,h,φPSII,0,10,0
C_purpurata,h,ΦNPQ,0,10,0
C_purpurata,h,Φf.D,1,10,0
C_purpurata,h,NPQ,0,10,0
C_purpurata,f,Fo,0.03491428571428571,14,0.015222294234386672
C_purpurata,f,Fm,0.0332,14,0.015289161570814194
C_purpurata,f,Ft,0.03623571428571429,14,0.013579770426452902
C_purpurata,f,Fo.,0.035145836,13,0.013113028005305533
C_purpurata,f,Fv.Fm,0,18,0
C_purpurata,f,φPSII,0,18,0
C_purpurata,f,ΦNPQ,0,18,0
C_purpurata,f,Φf.D,1,18,0
C_purpurata,f,NPQ,0,18,0
Cuscuta,sdlg,Fo,0.0603,1,NA
Cuscuta,sdlg,Fm,0.108075,4,0.045307201414344724
Cuscuta,sdlg,Ft,0.06470000000000001,2,0.0028284271247461827
Cuscuta,sdlg,Fo.,0.051775946,1,NA
Cuscuta,sdlg,Fv.Fm,0.5100969488,5,0.061372379143022945
Cuscuta,sdlg,φPSII,0.32223823620000003,5,0.047539959342264
