"Species","Metric",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"C_australis","Fo","Value",36,15.6352352352352,4,0.00355,"Kruskal-Wallis",0.00486301369863014,"**"
"C_polygonorum","Fo","Value",60,38.9710422555527,5,2.41e-07,"Kruskal-Wallis",9.26923076923077e-07,"***"
"C_sandwichiana","Fo","Value",56,37.2977206481599,5,5.22e-07,"Kruskal-Wallis",1.8e-06,"***"
"C_californica","Fo","Value",110,57.5938527613169,4,9.29e-12,"Kruskal-Wallis",8.44545454545455e-11,"***"
"C_compacta","Fo","Value",36,21.1621854569904,5,0.000755,"Kruskal-Wallis",0.0011796875,"**"
"C_cephalanthii","Fo","Value",117,96.7556172126485,5,2.55e-19,"Kruskal-Wallis",8.5e-18,"***"
"C_denticulata","Fo","Value",92,24.7862499012657,4,5.55e-05,"Kruskal-Wallis",0.000102777777777778,"***"
"C_tasmanica","Fo","Value",109,64.2999446196716,4,3.61e-13,"Kruskal-Wallis",4.95e-12,"***"
"C_costaricensis","Fo","Value",38,24.9127242822186,2,3.89e-06,"Kruskal-Wallis",9.725e-06,"***"
"C_indecora","Fo","Value",50,36.2975978861398,5,8.28e-07,"Kruskal-Wallis",2.67096774193548e-06,"***"
"C_australis","Fm","Value",33,13.3498514557338,4,0.00969,"Kruskal-Wallis",0.0115357142857143,"*"
"C_polygonorum","Fm","Value",58,32.6815213426559,5,4.35e-06,"Kruskal-Wallis",1.0609756097561e-05,"***"
"C_sandwichiana","Fm","Value",57,37.822335776318,5,4.1e-07,"Kruskal-Wallis",1.46428571428571e-06,"***"
"C_californica","Fm","Value",110,40.7589202243827,4,3.02e-08,"Kruskal-Wallis",1.43809523809524e-07,"***"
"C_compacta","Fm","Value",36,19.8575276025801,5,0.00133,"Kruskal-Wallis",0.00198507462686567,"**"
"C_cephalanthii","Fm","Value",116,94.4190405385388,5,7.91e-19,"Kruskal-Wallis",1.9775e-17,"***"
"C_denticulata","Fm","Value",93,25.1490104420271,4,4.7e-05,"Kruskal-Wallis",9.2156862745098e-05,"***"
"C_tasmanica","Fm","Value",109,66.3228846250609,4,1.35e-13,"Kruskal-Wallis",2.25e-12,"***"
"C_costaricensis","Fm","Value",38,24.6172909010348,2,4.51e-06,"Kruskal-Wallis",1.07380952380952e-05,"***"
"C_indecora","Fm","Value",49,27.9251263091347,5,3.76e-05,"Kruskal-Wallis",7.52e-05,"***"
"C_australis","Ft","Value",36,12.3780182346458,4,0.0148,"Kruskal-Wallis",0.0166292134831461,"*"
"C_polygonorum","Ft","Value",59,33.7534349705512,5,2.67e-06,"Kruskal-Wallis",7.02631578947368e-06,"***"
"C_sandwichiana","Ft","Value",57,39.7188615263938,5,1.7e-07,"Kruskal-Wallis",7.39130434782609e-07,"***"
"C_californica","Ft","Value",109,51.4617733768716,4,1.79e-10,"Kruskal-Wallis",1.11875e-09,"***"
"C_compacta","Ft","Value",35,15.7737993516499,5,0.00752,"Kruskal-Wallis",0.00917073170731707,"**"
"C_cephalanthii","Ft","Value",117,99.3556815582368,5,7.23e-20,"Kruskal-Wallis",7.23e-18,"***"
"C_denticulata","Ft","Value",92,33.5245671254645,4,9.33e-07,"Kruskal-Wallis",2.915625e-06,"***"
"C_tasmanica","Ft","Value",109,67.9541838134613,4,6.13e-14,"Kruskal-Wallis",1.226e-12,"***"
"C_costaricensis","Ft","Value",38,24.0889396001502,2,5.88e-06,"Kruskal-Wallis",1.30666666666667e-05,"***"
"C_indecora","Ft","Value",47,34.75022571783,5,1.69e-06,"Kruskal-Wallis",4.97058823529412e-06,"***"
"C_australis","Fo.","Value",36,12.9134134134134,4,0.0117,"Kruskal-Wallis",0.013448275862069,"*"
"C_polygonorum","Fo.","Value",59,37.1347134786118,5,5.63e-07,"Kruskal-Wallis",1.87666666666667e-06,"***"
"C_sandwichiana","Fo.","Value",56,38.4219778800933,5,3.1e-07,"Kruskal-Wallis",1.14814814814815e-06,"***"
"C_californica","Fo.","Value",110,60.5456234520515,4,2.23e-12,"Kruskal-Wallis",2.23e-11,"***"
"C_compacta","Fo.","Value",36,20.9815672815673,5,0.000817,"Kruskal-Wallis",0.00125692307692308,"**"
"C_cephalanthii","Fo.","Value",117,97.8919753598314,5,1.47e-19,"Kruskal-Wallis",7.35e-18,"***"
"C_denticulata","Fo.","Value",92,25.9609527324623,4,3.22e-05,"Kruskal-Wallis",6.57142857142857e-05,"***"
"C_tasmanica","Fo.","Value",109,64.1101640859105,4,3.96e-13,"Kruskal-Wallis",4.95e-12,"***"
"C_costaricensis","Fo.","Value",38,24.2661264056947,2,5.38e-06,"Kruskal-Wallis",1.22272727272727e-05,"***"
"C_indecora","Fo.","Value",48,33.7662052916405,5,2.65e-06,"Kruskal-Wallis",7.02631578947368e-06,"***"
"C_australis","Fv.Fm","Value",33,22.2160258042611,4,0.000182,"Kruskal-Wallis",0.000303333333333333,"***"
"C_polygonorum","Fv.Fm","Value",61,16.2544853876953,5,0.00615,"Kruskal-Wallis",0.00779746835443038,"**"
"C_sandwichiana","Fv.Fm","Value",53,19.6595726707407,5,0.00145,"Kruskal-Wallis",0.00213235294117647,"**"
"C_californica","Fv.Fm","Value",109,14.4703125305975,4,0.00594,"Kruskal-Wallis",0.00771428571428571,"**"
"C_compacta","Fv.Fm","Value",32,13.8749053030303,5,0.0164,"Kruskal-Wallis",0.0182222222222222,"*"
"C_cephalanthii","Fv.Fm","Value",136,57.7879781719599,5,3.48e-11,"Kruskal-Wallis",2.9e-10,"***"
"C_denticulata","Fv.Fm","Value",93,24.2099168516826,4,7.25e-05,"Kruskal-Wallis",0.000131818181818182,"***"
"C_tasmanica","Fv.Fm","Value",104,52.5378358339847,4,1.06e-10,"Kruskal-Wallis",7.06666666666667e-10,"***"
"C_costaricensis","Fv.Fm","Value",38,14.0748898793234,2,0.000878,"Kruskal-Wallis",0.00133030303030303,"**"
"C_indecora","Fv.Fm","Value",43,15.0571167204888,5,0.0101,"Kruskal-Wallis",0.0118604651162791,"*"
"C_australis","φPSII","Value",35,21.207487414473,4,0.000288,"Kruskal-Wallis",0.000464516129032258,"***"
"C_polygonorum","φPSII","Value",64,30.0002218985712,5,1.47e-05,"Kruskal-Wallis",3.0625e-05,"***"
"C_sandwichiana","φPSII","Value",56,15.2661531199388,5,0.00928,"Kruskal-Wallis",0.0111807228915663,"*"
"C_californica","φPSII","Value",103,14.6383366110162,4,0.00551,"Kruskal-Wallis",0.00725,"**"
"C_compacta","φPSII","Value",35,17.8827157681856,5,0.0031,"Kruskal-Wallis",0.00436619718309859,"**"
"C_cephalanthii","φPSII","Value",138,39.4406006053259,5,1.94e-07,"Kruskal-Wallis",7.76e-07,"***"
"C_denticulata","φPSII","Value",79,12.4995116108761,4,0.014,"Kruskal-Wallis",0.0159090909090909,"*"
"C_tasmanica","φPSII","Value",109,53.4607362380396,4,6.83e-11,"Kruskal-Wallis",5.25384615384615e-10,"***"
"C_costaricensis","φPSII","Value",38,3.64475244454174,2,0.162,"Kruskal-Wallis",0.170526315789474," "
"C_indecora","φPSII","Value",54,15.0303779260439,5,0.0102,"Kruskal-Wallis",0.0118604651162791,"*"
"C_australis","ΦNPQ","Value",30,2.84937941947288,4,0.583,"Kruskal-Wallis",0.588888888888889," "
"C_polygonorum","ΦNPQ","Value",60,7.47832162373143,5,0.187,"Kruskal-Wallis",0.194791666666667," "
"C_sandwichiana","ΦNPQ","Value",56,9.69802128445623,5,0.0843,"Kruskal-Wallis",0.0906451612903226,"."
"C_californica","ΦNPQ","Value",107,33.2485836227619,4,1.06e-06,"Kruskal-Wallis",3.21212121212121e-06,"***"
"C_compacta","ΦNPQ","Value",37,9.87768496420047,5,0.0788,"Kruskal-Wallis",0.0856521739130435,"."
"C_cephalanthii","ΦNPQ","Value",136,55.5179431052402,5,1.02e-10,"Kruskal-Wallis",7.06666666666667e-10,"***"
"C_denticulata","ΦNPQ","Value",88,24.9435027617759,4,5.16e-05,"Kruskal-Wallis",9.73584905660377e-05,"***"
"C_tasmanica","ΦNPQ","Value",108,42.8901427015109,4,1.09e-08,"Kruskal-Wallis",5.73684210526316e-08,"***"
"C_costaricensis","ΦNPQ","Value",37,19.7910061837617,2,5.04e-05,"Kruskal-Wallis",9.69230769230769e-05,"***"
"C_indecora","ΦNPQ","Value",52,24.5673438885552,5,0.000169,"Kruskal-Wallis",0.000286440677966102,"***"
"C_australis","Φf.D","Value",31,5.74008736559139,4,0.219,"Kruskal-Wallis",0.225773195876289," "
"C_polygonorum","Φf.D","Value",60,30.2871170359695,5,1.29e-05,"Kruskal-Wallis",2.80434782608696e-05,"***"
"C_sandwichiana","Φf.D","Value",50,12.3322203548086,5,0.0305,"Kruskal-Wallis",0.0335164835164835,"*"
"C_californica","Φf.D","Value",107,16.4920292314875,4,0.00243,"Kruskal-Wallis",0.00347142857142857,"**"
"C_compacta","Φf.D","Value",33,19.095008912656,5,0.00185,"Kruskal-Wallis",0.00268115942028986,"**"
"C_cephalanthii","Φf.D","Value",135,30.1009491931557,5,1.41e-05,"Kruskal-Wallis",3e-05,"***"
"C_denticulata","Φf.D","Value",92,29.8988284409012,4,5.13e-06,"Kruskal-Wallis",1.19302325581395e-05,"***"
"C_tasmanica","Φf.D","Value",103,49.3493092386303,4,4.94e-10,"Kruskal-Wallis",2.90588235294118e-09,"***"
"C_costaricensis","Φf.D","Value",38,10.0405482339576,2,0.0066,"Kruskal-Wallis",0.00820987654320988,"**"
"C_indecora","Φf.D","Value",44,21.3478499278499,5,0.000696,"Kruskal-Wallis",0.0011047619047619,"**"
"C_australis","NPQ","Value",31,2.34119782214156,4,0.673,"Kruskal-Wallis",0.673," "
"C_polygonorum","NPQ","Value",64,9.52001930165349,5,0.09,"Kruskal-Wallis",0.0957446808510638,"."
"C_sandwichiana","NPQ","Value",58,5.60655312551767,5,0.346,"Kruskal-Wallis",0.353061224489796," "
"C_californica","NPQ","Value",107,30.9960320952597,4,3.07e-06,"Kruskal-Wallis",7.87179487179487e-06,"***"
"C_compacta","NPQ","Value",41,17.5870626028189,5,0.00351,"Kruskal-Wallis",0.00486301369863014,"**"
"C_cephalanthii","NPQ","Value",139,44.5705060581463,5,1.77e-08,"Kruskal-Wallis",8.85e-08,"***"
"C_denticulata","NPQ","Value",93,31.321659989,4,2.63e-06,"Kruskal-Wallis",7.02631578947368e-06,"***"
"C_tasmanica","NPQ","Value",109,40.3598955687215,4,3.65e-08,"Kruskal-Wallis",1.65909090909091e-07,"***"
"C_costaricensis","NPQ","Value",37,17.8571852027508,2,0.000133,"Kruskal-Wallis",0.000233333333333333,"***"
"C_indecora","NPQ","Value",54,16.2514713614082,5,0.00616,"Kruskal-Wallis",0.00779746835443038,"**"
"C_australis","X1.qP","Value",32,15.3983399531521,4,0.00394,"Kruskal-Wallis",0.00525333333333333,"**"
"C_polygonorum","X1.qP","Value",63,33.8451672335601,5,2.56e-06,"Kruskal-Wallis",7.02631578947368e-06,"***"
