"Subgenus","Metric",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"C_purpurata","Fv.Fm","Value",48,NA,3,NA,"Kruskal-Wallis",NA,""
"Cuscuta","Fv.Fm","Value",68,7.87802912899068,5,0.163,"Kruskal-Wallis",0.20375," "
"Grammica","Fv.Fm","Value",735,130.296661444137,5,2.06e-26,"Kruskal-Wallis",3.09e-25,"***"
"Ipomoea_nil","Fv.Fm","Value",43,32.5660406718018,4,1.47e-06,"Kruskal-Wallis",2.37e-06,"***"
"Monogynella","Fv.Fm","Value",64,45.8066748555931,5,9.94e-09,"Kruskal-Wallis",2.485e-08,"***"
"C_purpurata","φPSII","Value",48,NA,3,NA,"Kruskal-Wallis",NA,""
"Cuscuta","φPSII","Value",69,20.2471239710399,5,0.00112,"Kruskal-Wallis",0.00152727272727273,"**"
"Grammica","φPSII","Value",747,120.237725297966,5,2.79e-24,"Kruskal-Wallis",2.0925e-23,"***"
"Ipomoea_nil","φPSII","Value",43,32.4115357510707,4,1.58e-06,"Kruskal-Wallis",2.37e-06,"***"
"Monogynella","φPSII","Value",63,53.1656582504796,5,3.11e-10,"Kruskal-Wallis",1.16625e-09,"***"
"C_purpurata","ΦNPQ","Value",48,NA,3,NA,"Kruskal-Wallis",NA,""
"Cuscuta","ΦNPQ","Value",67,42.8793569804147,5,3.91e-08,"Kruskal-Wallis",8.37857142857143e-08,"***"
"Grammica","ΦNPQ","Value",742,104.609789636836,5,5.63e-21,"Kruskal-Wallis",2.815e-20,"***"
"Ipomoea_nil","ΦNPQ","Value",44,36.8288163688163,4,1.95e-07,"Kruskal-Wallis",3.65625e-07,"***"
"Monogynella","ΦNPQ","Value",62,49.4256014509471,5,1.82e-09,"Kruskal-Wallis",5.46e-09,"***"
