"Date.Extracted","Date.Run","Sample..","Subgenus","Species","Sample.Name","Accession.No","Tissue.code","Replicate","Weight..g.","FW.mg.","Dil..ul.","Inj.vol..ul.","Conversion","Pigment","FW.norm"
"6/11/18","6/11/18","AS-120","Ipomoea_nil","Ipomoea_nil","IPNICy","IPNI","y",1,0.0404,40.4,1250,100,0.309405941,"b.Carotene",3.53661819770935
"6/11/18","6/11/18","AS-121","Ipomoea_nil","Ipomoea_nil","IPNICy","IPNI","y",2,0.0552,55.2,1250,100,0.226449275,"b.Carotene",3.119827893559
"7/2/18","6/3/18","AS-206","Ipomoea_nil","Ipomoea_nil","IPNIEy","IPNI","y",1,0.0463,46.3,1250,100,0.269978402,"b.Carotene",5.32501620407172
"7/2/18","6/3/18","AS-217","Ipomoea_nil","Ipomoea_nil","IPNIAy","IPNI","y",1,0.0418,41.8,1250,100,0.299043062,"b.Carotene",4.60251793949084
"7/2/18","6/3/18","AS-219","Ipomoea_nil","Ipomoea_nil","IPNIBy","IPNI","y",1,0.0511,51.1,1250,100,0.244618395,"b.Carotene",5.41438110874605
"6/5/18","6/11/18","AS-33","Ipomoea_nil","Ipomoea_nil","IPNIEo","IPNI","o",1,0.0456,45.6,2050,100,0.449561404,"b.Carotene",6.47825176146464
"6/5/18","6/11/18","AS-34","Ipomoea_nil","Ipomoea_nil","IPNIEo","IPNI","o",2,0.0442,44.2,2050,100,0.463800905,"b.Carotene",8.96066595066335
"6/11/18","6/11/18","AS-116","Ipomoea_nil","Ipomoea_nil","IPNIDo","IPNI","o",1,0.0533,53.3,1250,100,0.234521576,"b.Carotene",4.34535412785784
"6/11/18","6/11/18","AS-117","Ipomoea_nil","Ipomoea_nil","IPNIDo","IPNI","o",2,0.0504,50.4,1250,100,0.248015873,"b.Carotene",4.99071676555361
"6/11/18","6/11/18","AS-118","Ipomoea_nil","Ipomoea_nil","IPNIAo","IPNI","o",1,0.0415,41.5,1250,100,0.301204819,"b.Carotene",4.31586746590892
"6/11/18","6/11/18","AS-119","Ipomoea_nil","Ipomoea_nil","IPNIAo","IPNI","o",2,0.046,46,1250,100,0.27173913,"b.Carotene",3.7875027113313
"7/2/18","6/3/18","AS-218","Ipomoea_nil","Ipomoea_nil","IPNIBo","IPNI","o",1,0.0411,41.1,1250,100,0.304136253,"b.Carotene",5.83920620358543
"7/2/18","6/3/18","AS-220","Ipomoea_nil","Ipomoea_nil","IPNICo","IPNI","o",1,0.0431,43.1,1250,100,0.290023202,"b.Carotene",6.41336427232256
"6/5/18","6/11/18","AS-35","Ipomoea_nil","Ipomoea_nil","IPNIEl","IPNI","l",1,0.0409,40.9,2050,100,0.501222494,"b.Carotene",32.9350443839184
"6/5/18","6/11/18","AS-36","Ipomoea_nil","Ipomoea_nil","IPNIEl","IPNI","l",2,0.0443,44.3,2050,100,0.46275395,"b.Carotene",45.9788113659055
"6/11/18","6/11/18","AS-108","Ipomoea_nil","Ipomoea_nil","IPNIAl","IPNI","l",1,0.0428,42.8,1250,100,0.292056075,"b.Carotene",56.0884492271138
"6/11/18","6/11/18","AS-109","Ipomoea_nil","Ipomoea_nil","IPNIAl","IPNI","l",2,0.045,45,1250,100,0.277777778,"b.Carotene",46.0529583701757
"6/11/18","6/11/18","AS-112","Ipomoea_nil","Ipomoea_nil","IPNICl","IPNI","l",1,0.0477,47.7,1250,100,0.262054507,"b.Carotene",31.1468788907004
"6/11/18","6/11/18","AS-113","Ipomoea_nil","Ipomoea_nil","IPNICl","IPNI","l",2,0.0465,46.5,1250,100,0.268817204,"b.Carotene",34.5194623269296
"6/11/18","6/11/18","AS-114","Ipomoea_nil","Ipomoea_nil","IPNIBl","IPNI","l",1,0.0495,49.5,1250,100,0.252525253,"b.Carotene",46.5402147339602
"6/11/18","6/11/18","AS-115","Ipomoea_nil","Ipomoea_nil","IPNIBl","IPNI","l",2,0.0415,41.5,1250,100,0.301204819,"b.Carotene",65.0805812654271
"6/11/18","6/11/18","AS-124","Ipomoea_nil","Ipomoea_nil","IPNIGl","IPNI","l",1,0.0455,45.5,1250,100,0.274725275,"b.Carotene",40.788912128701
"6/11/18","6/11/18","AS-125","Ipomoea_nil","Ipomoea_nil","IPNIGl","IPNI","l",2,0.042,42,1250,100,0.297619048,"b.Carotene",51.3329941133253
"7/2/18","6/3/18","AS-221","Ipomoea_nil","Ipomoea_nil","IPNIDl","IPNI","l",1,0.0526,52.6,1250,100,0.237642586,"b.Carotene",45.4849786980429
