Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	22.24809	19.14633	3.101764	-0.0909828	0.0811277	0.918872	0.162255	1.83774	0.02997988
1	1	20.83639	17.98841	2.847982	0.0328308	0.143155	0.856845	0.286309	1.71369	0.03864078
2	0	16.95777	15.09847	1.8593	-0.685677	0.103886	0.896114	0.207773	1.79223	0.1038544
3	1	20.62429	17.21325	3.411044	0.424688	0.113608	0.886392	0.227216	1.77278	0.02200448
4	0	18.94842	16.37056	2.57786	0.173436	0.188103	0.811897	0.376207	1.62379	0.05062425
5	1	21.11157	17.51687	3.594702	0.238147	0.0889337	0.911066	0.177867	1.82213	0.01831258
6	0	20.26861	17.4173	2.851319	0.130032	0.175782	0.824218	0.351565	1.64844	0.03851205
7	1	20.95319	18.48971	2.46348	-0.316266	0.0621537	0.937846	0.124307	1.87569	0.05675876
8	0	20.29273	16.60904	3.683694	-0.0480338	0.193989	0.806011	0.387978	1.61202	0.01675331
9	1	18.0559	15.56469	2.491207	-0.0181567	0.218626	0.781374	0.437252	1.56275	0.05520665
10	0	19.8649	17.58927	2.27563	0.599373	0.0587228	0.941277	0.117446	1.88255	0.06848809
11	1	21.75827	19.04507	2.713204	0.328174	0.0548849	0.945115	0.10977	1.89023	0.04421598
12	0	18.70103	16.2347	2.46633	0.26376	0.170394	0.829606	0.340788	1.65921	0.05659725
13	1	21.13678	18.25251	2.88427	-0.295725	0.120254	0.879746	0.240509	1.75949	0.03726372
14	0	21.43069	17.89356	3.537126	0.221388	0.110128	0.889872	0.220257	1.77974	0.01939788
15	1	20.08176	17.04804	3.033727	0.237384	0.213891	0.786109	0.427781	1.57222	0.03209059
16	0	21.59673	18.94094	2.655791	-0.147117	0.0695751	0.930425	0.13915	1.86085	0.04682886
17	1	21.97285	18.72959	3.243259	-0.245365	0.0679209	0.932079	0.135842	1.86416	0.02602431
18	0	21.4596	18.32936	3.13024	-0.32987	0.115761	0.884239	0.231523	1.76848	0.0291382
19	1	21.28373	18.5312	2.752531	-0.0398321	0.102329	0.897671	0.204658	1.79534	0.04251085
20	0	21.82967	18.95823	2.871438	-0.323073	0.0684632	0.931537	0.136926	1.86307	0.03774498
21	1	21.04267	17.65739	3.38528	0.379633	0.0783817	0.921618	0.156763	1.84324	0.02257878
22	0	21.39899	18.87668	2.522315	-0.247049	0.0535264	0.946474	0.107053	1.89295	0.0535157
23	1	19.98725	17.26321	2.72404	-0.567205	0.113972	0.886028	0.227945	1.77206	0.04373945
24	0	21.56381	18.83267	2.731143	-0.155738	0.082842	0.917158	0.165684	1.83432	0.04342987
25	1	21.92006	19.10225	2.817803	0.0039736	0.0808961	0.919104	0.161792	1.83821	0.03982469
26	0	21.58619	18.9906	2.59559	-0.153852	0.060177	0.939823	0.120354	1.87965	0.04973456
27	1	20.62934	17.68511	2.944225	0.277821	0.162943	0.837057	0.325887	1.67411	0.03509522
28	0	20.77708	18.33629	2.440788	0.104157	0.070487	0.929513	0.140974	1.85903	0.05806146
29	1	20.69181	17.12322	3.568591	-0.194804	0.170891	0.829109	0.341781	1.65822	0.01879704
30	0	22.39796	19.40308	2.994875	0.0420497	0.0505254	0.949475	0.101051	1.89895	0.03336191
31	1	20.90065	17.2987	3.601946	0.258917	0.129037	0.870963	0.258074	1.74193	0.0181804
32	0	20.84568	17.78228	3.063401	0.281028	0.163931	0.836069	0.327863	1.67214	0.03115233
33	1	22.13341	18.776	3.357405	-0.0885634	0.102241	0.897759	0.204482	1.79552	0.023217
34	0	20.91275	18.48795	2.424804	-0.268061	0.059604	0.940396	0.119208	1.88079	0.058997
35	1	21.48222	18.35292	3.129306	-0.381639	0.0938923	0.906108	0.187785	1.81222	0.02916543
36	0	19.74189	16.8011	2.940785	0.204118	0.224644	0.775356	0.449287	1.55071	0.03521616
37	1	19.95361	17.92249	2.031119	-0.154683	0.0357554	0.964245	0.0715108	1.92849	0.08745907
38	0	20.44567	17.2361	3.209574	-0.50097	0.0951509	0.904849	0.190302	1.8097	0.02691586
39	1	20.62473	18.45595	2.168782	0.19896	0.0238884	0.976112	0.0477769	1.95222	0.07621117
40	0	19.93526	16.58699	3.348276	0.410543	0.189549	0.810451	0.379097	1.6209	0.02342993
41	1	21.63104	18.27246	3.358575	-0.288535	0.0852562	0.914744	0.170512	1.82949	0.02318986
42	0	21.83635	18.47544	3.360916	0.206147	0.114103	0.885897	0.228207	1.77179	0.02313563
43	1	20.11408	16.49355	3.620529	-0.0908565	0.215055	0.784945	0.43011	1.56989	0.01784568
44	0	21.32051	18.40486	2.915653	0.44571	0.0872546	0.912745	0.174509	1.82549	0.03611242
45	1	21.1666	18.44142	2.725187	0.396901	0.0358359	0.964164	0.0716719	1.92833	0.04368928
46	0	21.50017	18.24908	3.251087	0.198543	0.143903	0.856097	0.287805	1.71219	0.02582139
47	1	19.10417	16.95146	2.152711	-0.565022	0.0753656	0.924634	0.150731	1.84927	0.07744585
48	0	21.58482	18.403	3.181816	0.313199	0.116901	0.883099	0.233802	1.7662	0.02767348
49	1	21.3726	18.2174	3.155203	0.282048	0.0440186	0.955981	0.0880373	1.91196	0.02841983
50	0	22.17896	19.00307	3.175888	0.230151	0.083143	0.916857	0.166286	1.83371	0.027838
51	1	19.32837	17.55511	1.773254	-0.0612484	0.018312	0.981688	0.0366241	1.96338	0.1131865
52	0	16.04108	13.87292	2.16816	0.75698	0.210632	0.789368	0.421265	1.57874	0.07625858
53	1	14.31247	13.25807	1.054397	-0.5796	0.00589906	0.994101	0.0117981	1.9882	0.2322682
54	0	21.96764	19.00791	2.959726	-0.302482	0.0672867	0.932713	0.134573	1.86543	0.03455543
55	1	18.63334	16.91243	1.720902	-0.148305	0.0298939	0.970106	0.0597878	1.94021	0.1192698
56	0	21.51945	18.55972	2.959726	-0.121292	0.120982	0.879018	0.241964	1.75804	0.03455543
57	1	21.50561	18.62702	2.878587	0.181683	0.109014	0.890986	0.218027	1.78197	0.0374761
58	0	20.1157	17.64245	2.473253	-0.0550268	0.101815	0.898185	0.20363	1.79637	0.05620678
59	1	18.091	16.13209	1.958909	0.399557	0.0783746	0.921625	0.156749	1.84325	0.09400809
60	0	21.19316	18.65565	2.537506	0.191681	0.0691385	0.930862	0.138277	1.86172	0.05270888
61	1	15.0965	12.99912	2.097371	0.187587	0.277759	0.722241	0.555519	1.44448	0.08185251
62	0	20.48566	18.17127	2.314389	0.47728	0.0317028	0.968297	0.0634057	1.93659	0.06588435
