Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	22.24809	19.14633	3.101764	-0.0909828	0.0811277	0.918872	0.162255	1.83774	0.02997988
10	16.95777	15.09847	1.8593	-0.685677	0.103886	0.896114	0.207773	1.79223	0.1038544
20	18.94842	16.37056	2.57786	0.173436	0.188103	0.811897	0.376207	1.62379	0.05062425
30	20.26861	17.4173	2.851319	0.130032	0.175782	0.824218	0.351565	1.64844	0.03851205
40	20.29273	16.60904	3.683694	-0.0480338	0.193989	0.806011	0.387978	1.61202	0.01675331
50	19.8649	17.58927	2.27563	0.599373	0.0587228	0.941277	0.117446	1.88255	0.06848809
60	18.70103	16.2347	2.46633	0.26376	0.170394	0.829606	0.340788	1.65921	0.05659725
70	21.43069	17.89356	3.537126	0.221388	0.110128	0.889872	0.220257	1.77974	0.01939788
80	21.59673	18.94094	2.655791	-0.147117	0.0695751	0.930425	0.13915	1.86085	0.04682886
90	21.4596	18.32936	3.13024	-0.32987	0.115761	0.884239	0.231523	1.76848	0.0291382
100	21.82967	18.95823	2.871438	-0.323073	0.0684632	0.931537	0.136926	1.86307	0.03774498
110	21.39899	18.87668	2.522315	-0.247049	0.0535264	0.946474	0.107053	1.89295	0.0535157
120	21.56381	18.83267	2.731143	-0.155738	0.082842	0.917158	0.165684	1.83432	0.04342987
130	21.58619	18.9906	2.59559	-0.153852	0.060177	0.939823	0.120354	1.87965	0.04973456
140	20.77708	18.33629	2.440788	0.104157	0.070487	0.929513	0.140974	1.85903	0.05806146
150	22.39796	19.40308	2.994875	0.0420497	0.0505254	0.949475	0.101051	1.89895	0.03336191
160	20.84568	17.78228	3.063401	0.281028	0.163931	0.836069	0.327863	1.67214	0.03115233
170	20.91275	18.48795	2.424804	-0.268061	0.059604	0.940396	0.119208	1.88079	0.058997
180	19.74189	16.8011	2.940785	0.204118	0.224644	0.775356	0.449287	1.55071	0.03521616
190	20.44567	17.2361	3.209574	-0.50097	0.0951509	0.904849	0.190302	1.8097	0.02691586
200	19.93526	16.58699	3.348276	0.410543	0.189549	0.810451	0.379097	1.6209	0.02342993
210	21.83635	18.47544	3.360916	0.206147	0.114103	0.885897	0.228207	1.77179	0.02313563
220	21.32051	18.40486	2.915653	0.44571	0.0872546	0.912745	0.174509	1.82549	0.03611242
230	21.50017	18.24908	3.251087	0.198543	0.143903	0.856097	0.287805	1.71219	0.02582139
240	21.58482	18.403	3.181816	0.313199	0.116901	0.883099	0.233802	1.7662	0.02767348
250	22.17896	19.00307	3.175888	0.230151	0.083143	0.916857	0.166286	1.83371	0.027838
260	16.04108	13.87292	2.16816	0.75698	0.210632	0.789368	0.421265	1.57874	0.07625858
