Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	24.56376	22.67841	1.885359	-0.0496296	0.0288162	0.971184	0.0576324	1.94237	0.101183
1	1	25.93635	24.31858	1.617778	0.0837317	0.00485356	0.995146	0.00970712	1.99029	0.1322259
2	0	27.34726	25.94064	1.406625	-0.13331	0.00681145	0.993189	0.0136229	1.98638	0.1633125
3	1	21.68279	19.81289	1.869895	-0.161336	0.0542319	0.945768	0.108464	1.89154	0.1027599
4	0	26.54459	24.90564	1.638955	0.139617	0.00968448	0.990316	0.019369	1.98063	0.1294552
5	1	24.92961	23.24035	1.689256	-0.55283	0.0190676	0.980932	0.0381353	1.96186	0.1231045
6	0	27.09069	25.21873	1.871952	-0.242789	0.00824654	0.991753	0.0164931	1.98351	0.1025487
7	1	26.79959	25.45206	1.347525	-0.0452993	0.00439081	0.995609	0.00878162	1.99122	0.1732551
8	0	27.42802	25.82491	1.603115	-0.117558	0.00681644	0.993184	0.0136329	1.98637	0.134179
9	1	23.22725	22.4895	0.737753	-0.413199	0.0101239	0.989876	0.0202478	1.97975	0.3187915
10	0	26.7831	24.86429	1.918817	-0.0292108	0.0123459	0.987654	0.0246918	1.97531	0.09785362
11	1	25.51032	24.37078	1.139537	-0.128043	0.0101754	0.989825	0.0203507	1.97965	0.2133115
12	0	25.18469	23.01633	2.168357	-0.328934	0.0108248	0.989175	0.0216496	1.97835	0.07624355
13	1	25.75878	24.0212	1.737574	-0.516812	0.0154569	0.984543	0.0309139	1.96909	0.1172978
14	0	27.27552	25.613	1.662523	-0.15587	0.00624022	0.99376	0.0124804	1.98752	0.12644
15	1	25.65312	23.68219	1.970933	-0.00432378	0.0206513	0.979349	0.0413026	1.9587	0.0928845
16	0	26.84723	25.53486	1.31237	-0.455182	0.00815888	0.991841	0.0163178	1.98368	0.1794542
17	1	26.79708	25.46812	1.328966	-0.269477	0.00936441	0.990636	0.0187288	1.98127	0.1765005
18	0	26.73097	25.53081	1.200162	-0.111794	0.00684146	0.993159	0.0136829	1.98632	0.2007637
19	1	25.25804	23.39708	1.86096	-0.552385	0.0100986	0.989901	0.0201972	1.9798	0.1036821
20	0	26.74159	24.80989	1.931706	-0.353878	0.0114667	0.988533	0.0229334	1.97707	0.09660053
21	1	26.5233	25.44943	1.073873	-0.41419	0.00413628	0.995864	0.00827256	1.99173	0.2277885
22	0	25.96351	24.68367	1.279843	-0.517914	0.0112494	0.988751	0.0224989	1.9775	0.1853872
23	1	24.48166	22.71183	1.769837	0.262314	0.0205728	0.979427	0.0411456	1.95885	0.1135739
24	0	25.80266	24.91803	0.8846337	-0.394955	0.00582063	0.994179	0.0116413	1.98836	0.2752436
25	1	22.98658	22.56461	0.42197	-0.642598	0.00629239	0.993708	0.0125848	1.98742	0.4371691
26	0	23.95238	22.08718	1.865203	-0.259981	0.0336629	0.966337	0.0673258	1.93267	0.1032432
27	1	24.73308	23.66133	1.07175	0.374162	0.00644404	0.993556	0.0128881	1.98711	0.2282726
28	0	25.8353	24.23891	1.59639	-0.557428	0.0133702	0.98663	0.0267404	1.97326	0.1350844
29	1	27.22213	25.83326	1.388865	-0.167109	0.00787243	0.992128	0.0157449	1.98426	0.1662388
30	0	23.55421	22.4331	1.121113	-0.445253	0.0180743	0.981926	0.0361485	1.96385	0.217278
31	1	24.09679	23.36954	0.7272445	0.322828	0.004514	0.995486	0.00902799	1.99097	0.3221591
32	0	27.37562	25.98144	1.394173	-0.229067	0.00718296	0.992817	0.0143659	1.98563	0.1653587
33	1	24.35627	23.09786	1.258411	-0.442832	0.00280444	0.997196	0.00560888	1.99439	0.1894034
34	0	26.94838	25.31652	1.631866	-0.457347	0.00860679	0.991393	0.0172136	1.98279	0.1303763
35	1	25.10323	24.13549	0.9677371	-0.0392853	0.00239212	0.997608	0.00478424	1.99522	0.2532945
36	0	24.54935	23.77845	0.7709034	0.211313	0.0049412	0.995059	0.0098824	1.99012	0.3083966
37	1	25.67486	24.91373	0.7611236	-0.340013	0.00378177	0.996218	0.00756354	1.99244	0.3114275
38	0	24.38207	23.51387	0.8682041	-0.481871	0.00978682	0.990213	0.0195736	1.98043	0.2798031
39	1	24.88301	23.89166	0.9913513	-0.484806	0.0105441	0.989456	0.0210881	1.97891	0.2473833
40	0	26.08003	24.66995	1.410074	-0.52887	0.00517116	0.994829	0.0103423	1.98966	0.1627501
41	1	25.24275	24.05876	1.183989	-0.170045	0.0121133	0.987887	0.0242266	1.97577	0.2040369
42	0	25.85175	24.73501	1.116733	-0.53688	0.00911111	0.990889	0.0182222	1.98178	0.2182317
43	1	25.55786	24.60585	0.9520138	0.0561717	0.0030086	0.996991	0.0060172	1.99398	0.2573086
44	0	26.48124	24.96488	1.516361	-0.405138	0.0131345	0.986866	0.0262689	1.97373	0.1463394
45	1	27.02634	25.79506	1.231285	-0.248643	0.00665694	0.993343	0.0133139	1.98669	0.1946115
46	0	26.95706	25.44069	1.516361	-0.226768	0.00474048	0.99526	0.00948096	1.99052	0.1463394
47	1	26.83863	25.33867	1.499958	0.035237	0.00938827	0.990612	0.0187765	1.98122	0.1487596
48	0	27.37903	25.65108	1.727954	-0.113601	0.00942784	0.990572	0.0188557	1.98114	0.1184317
49	1	25.52479	24.73285	0.791936	-0.0778855	0.00400651	0.995993	0.00801303	1.99199	0.301978
50	0	26.9006	25.46605	1.434552	-0.186346	0.0102763	0.989724	0.0205525	1.97945	0.1588148
