Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	24.56376	22.67841	1.885359	-0.0496296	0.0288162	0.971184	0.0576324	1.94237	0.101183
10	27.34726	25.94064	1.406625	-0.13331	0.00681145	0.993189	0.0136229	1.98638	0.1633125
20	26.54459	24.90564	1.638955	0.139617	0.00968448	0.990316	0.019369	1.98063	0.1294552
30	27.09069	25.21873	1.871952	-0.242789	0.00824654	0.991753	0.0164931	1.98351	0.1025487
40	27.42802	25.82491	1.603115	-0.117558	0.00681644	0.993184	0.0136329	1.98637	0.134179
50	26.7831	24.86429	1.918817	-0.0292108	0.0123459	0.987654	0.0246918	1.97531	0.09785362
60	25.18469	23.01633	2.168357	-0.328934	0.0108248	0.989175	0.0216496	1.97835	0.07624355
70	27.27552	25.613	1.662523	-0.15587	0.00624022	0.99376	0.0124804	1.98752	0.12644
80	26.84723	25.53486	1.31237	-0.455182	0.00815888	0.991841	0.0163178	1.98368	0.1794542
90	26.73097	25.53081	1.200162	-0.111794	0.00684146	0.993159	0.0136829	1.98632	0.2007637
100	26.74159	24.80989	1.931706	-0.353878	0.0114667	0.988533	0.0229334	1.97707	0.09660053
110	25.96351	24.68367	1.279843	-0.517914	0.0112494	0.988751	0.0224989	1.9775	0.1853872
120	25.80266	24.91803	0.8846337	-0.394955	0.00582063	0.994179	0.0116413	1.98836	0.2752436
130	23.95238	22.08718	1.865203	-0.259981	0.0336629	0.966337	0.0673258	1.93267	0.1032432
140	25.8353	24.23891	1.59639	-0.557428	0.0133702	0.98663	0.0267404	1.97326	0.1350844
150	23.55421	22.4331	1.121113	-0.445253	0.0180743	0.981926	0.0361485	1.96385	0.217278
160	27.37562	25.98144	1.394173	-0.229067	0.00718296	0.992817	0.0143659	1.98563	0.1653587
170	26.94838	25.31652	1.631866	-0.457347	0.00860679	0.991393	0.0172136	1.98279	0.1303763
180	24.54935	23.77845	0.7709034	0.211313	0.0049412	0.995059	0.0098824	1.99012	0.3083966
190	24.38207	23.51387	0.8682041	-0.481871	0.00978682	0.990213	0.0195736	1.98043	0.2798031
200	26.08003	24.66995	1.410074	-0.52887	0.00517116	0.994829	0.0103423	1.98966	0.1627501
210	25.85175	24.73501	1.116733	-0.53688	0.00911111	0.990889	0.0182222	1.98178	0.2182317
220	26.48124	24.96488	1.516361	-0.405138	0.0131345	0.986866	0.0262689	1.97373	0.1463394
230	26.95706	25.44069	1.516361	-0.226768	0.00474048	0.99526	0.00948096	1.99052	0.1463394
240	27.37903	25.65108	1.727954	-0.113601	0.00942784	0.990572	0.0188557	1.98114	0.1184317
250	26.9006	25.46605	1.434552	-0.186346	0.0102763	0.989724	0.0205525	1.97945	0.1588148
260	26.54378	25.45457	1.089214	-0.267719	0.00643008	0.99357	0.0128602	1.98714	0.2243206
270	27.46433	25.9582	1.506123	-0.322891	0.00714306	0.992857	0.0142861	1.98571	0.1478453
280	25.19599	23.79483	1.401163	0.339213	0.00969499	0.990305	0.01939	1.98061	0.1642069
290	24.14882	22.86672	1.282106	0.400609	0.0122528	0.987747	0.0245056	1.97549	0.1849682
300	27.3925	25.61983	1.772672	-0.185645	0.00820642	0.991794	0.0164128	1.98359	0.1132524
310	25.90639	24.47845	1.42794	-0.607028	0.00786318	0.992137	0.0157264	1.98427	0.1598683
320	26.86131	25.43523	1.42608	0.0737261	0.00656132	0.993439	0.0131226	1.98688	0.1601659
330	26.06188	24.75428	1.307595	-0.0129055	0.0106055	0.989395	0.021211	1.97879	0.1803131
340	25.87235	24.6405	1.231854	0.173171	0.00814072	0.991859	0.0162814	1.98372	0.1945008
350	24.41182	22.82431	1.587511	-0.602185	0.019516	0.980484	0.039032	1.96097	0.1362893
360	27.34826	25.6492	1.69906	-0.278577	0.00708278	0.992917	0.0141656	1.98583	0.1219035
370	26.82613	25.12707	1.69906	-0.106893	0.013477	0.986523	0.0269539	1.97305	0.1219035
380	27.21659	25.61308	1.603514	-0.254635	0.0109267	0.989073	0.0218534	1.97815	0.1341256
