Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	27.76032	27.47102	0.2893019	-0.469403	0.000508362	0.999492	0.00101672	1.99898	0.4991908
1	1	29.23002	28.69668	0.5333472	-0.085945	0.000525709	0.999474	0.00105142	1.99895	0.391092
2	0	28.68074	28.24588	0.4348619	-0.292164	0.00105858	0.998941	0.00211716	1.99788	0.4315694
3	1	29.83372	28.96887	0.8648479	-0.0568306	0.000845524	0.999154	0.00169105	1.99831	0.2807437
4	0	27.13233	26.80268	0.3296507	-0.257526	0.00151625	0.998484	0.0030325	1.99697	0.4794499
5	1	28.14296	27.95096	0.1919964	-0.341953	0.000757381	0.999243	0.00151476	1.99849	0.5502066
6	0	27.45772	27.07878	0.3789466	0.402989	0.00125725	0.998743	0.00251449	1.99749	0.4563881
7	1	29.54608	28.92098	0.6251027	-0.238117	0.000895683	0.999104	0.00179137	1.99821	0.3568043
8	0	29.39145	28.6354	0.7560561	0.219202	0.000963334	0.999037	0.00192667	1.99807	0.3130097
9	1	28.88696	28.56313	0.3238288	-0.272285	0.000617612	0.999382	0.00123522	1.99876	0.4822494
10	0	26.81543	26.67789	0.1375431	0.335944	0.00106094	0.998939	0.00212188	1.99788	0.5809979
11	1	29.69628	29.09253	0.6037523	-0.0459231	0.000835094	0.999165	0.00167019	1.99833	0.3645041
12	0	27.99792	27.36857	0.629342	-0.0113417	0.00190769	0.998092	0.00381537	1.99618	0.3552949
13	1	29.61054	29.00631	0.6042288	-0.0550267	0.000650609	0.999349	0.00130122	1.9987	0.3643305
14	0	27.89039	26.62654	1.263849	0.208291	0.00101702	0.998983	0.00203403	1.99797	0.1883762
15	1	28.96661	28.62459	0.342017	0.119738	0.00061429	0.999386	0.00122858	1.99877	0.4735574
16	0	28.25472	27.77037	0.4843545	0.30682	0.00120691	0.998793	0.00241381	1.99759	0.4107298
17	1	29.79472	28.73726	1.05746	-0.0609267	0.00124737	0.998753	0.00249475	1.99751	0.2315578
18	0	25.02092	25.1074	-0.08647428	-0.679867	0.00115343	0.998847	0.00230685	1.99769	0.7268822
19	1	28.98527	28.14154	0.8437272	-0.311672	0.00161184	0.998388	0.00322367	1.99678	0.2867363
20	0	28.77019	28.4967	0.2734929	-0.254933	0.000564684	0.999435	0.00112937	1.99887	0.5071452
21	1	28.35269	27.82366	0.5290289	0.324229	0.00121075	0.998789	0.00242151	1.99758	0.3927846
22	0	27.72865	26.93327	0.7953782	-0.518778	0.00164517	0.998355	0.00329034	1.99671	0.3009403
23	1	28.20627	27.44182	0.7644427	-0.184876	0.00213281	0.997867	0.00426562	1.99573	0.3103956
24	0	29.63139	28.73757	0.8938237	-0.250582	0.0010963	0.998904	0.00219261	1.99781	0.2727257
25	1	29.33839	28.28615	1.05224	-0.104211	0.00183875	0.998161	0.00367749	1.99632	0.2327698
26	0	27.611	27.04739	0.5636129	-0.496215	0.000615623	0.999384	0.00123125	1.99877	0.3794327
27	1	28.51446	27.4865	1.027961	0.154022	0.000731081	0.999269	0.00146216	1.99854	0.2384905
28	0	29.74206	29.09281	0.6492485	0.0179782	0.000790508	0.999209	0.00158102	1.99842	0.3482922
29	1	27.22029	26.97033	0.2499565	0.501156	0.000778953	0.999221	0.00155791	1.99844	0.5192231
30	0	27.57613	26.64473	0.9314021	0.447732	0.00159274	0.998407	0.00318549	1.99681	0.2626673
31	1	29.24849	28.60056	0.6479253	-0.093357	0.00127814	0.998722	0.00255627	1.99744	0.3487533
32	0	26.46862	25.3373	1.131324	0.449838	0.00255322	0.997447	0.00510644	1.99489	0.2150706
33	1	29.91484	29.05145	0.8633853	-0.044136	0.00109053	0.998909	0.00218107	1.99782	0.2811547
34	0	25.84004	24.28594	1.554105	0.302307	0.00176696	0.998233	0.00353392	1.99647	0.1409189
35	1	27.8311	27.49891	0.3321898	0.403578	0.000936999	0.999063	0.001874	1.99813	0.4782341
36	0	27.59421	26.49289	1.101322	0.288832	0.00274574	0.997254	0.00549148	1.99451	0.2216208
37	1	27.11758	27.21748	-0.09990039	-0.426749	0.000464948	0.999535	0.000929896	1.99907	0.7367072
38	0	28.20621	27.18075	1.025457	0.19028	0.0024838	0.997516	0.0049676	1.99503	0.2390884
39	1	29.14061	28.47066	0.6699443	-0.166131	0.00137122	0.998629	0.00274244	1.99726	0.3411581
40	0	25.38527	24.11993	1.265346	-0.546284	0.00176972	0.99823	0.00353944	1.99646	0.1880944
