Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	27.76032	27.47102	0.2893019	-0.469403	0.000508362	0.999492	0.00101672	1.99898	0.4991908
10	28.68074	28.24588	0.4348619	-0.292164	0.00105858	0.998941	0.00211716	1.99788	0.4315694
20	27.13233	26.80268	0.3296507	-0.257526	0.00151625	0.998484	0.0030325	1.99697	0.4794499
30	27.45772	27.07878	0.3789466	0.402989	0.00125725	0.998743	0.00251449	1.99749	0.4563881
40	29.39145	28.6354	0.7560561	0.219202	0.000963334	0.999037	0.00192667	1.99807	0.3130097
50	26.81543	26.67789	0.1375431	0.335944	0.00106094	0.998939	0.00212188	1.99788	0.5809979
60	27.99792	27.36857	0.629342	-0.0113417	0.00190769	0.998092	0.00381537	1.99618	0.3552949
70	27.89039	26.62654	1.263849	0.208291	0.00101702	0.998983	0.00203403	1.99797	0.1883762
80	28.25472	27.77037	0.4843545	0.30682	0.00120691	0.998793	0.00241381	1.99759	0.4107298
90	25.02092	25.1074	-0.08647428	-0.679867	0.00115343	0.998847	0.00230685	1.99769	0.7268822
100	28.77019	28.4967	0.2734929	-0.254933	0.000564684	0.999435	0.00112937	1.99887	0.5071452
110	27.72865	26.93327	0.7953782	-0.518778	0.00164517	0.998355	0.00329034	1.99671	0.3009403
120	29.63139	28.73757	0.8938237	-0.250582	0.0010963	0.998904	0.00219261	1.99781	0.2727257
130	27.611	27.04739	0.5636129	-0.496215	0.000615623	0.999384	0.00123125	1.99877	0.3794327
140	29.74206	29.09281	0.6492485	0.0179782	0.000790508	0.999209	0.00158102	1.99842	0.3482922
150	27.57613	26.64473	0.9314021	0.447732	0.00159274	0.998407	0.00318549	1.99681	0.2626673
160	26.46862	25.3373	1.131324	0.449838	0.00255322	0.997447	0.00510644	1.99489	0.2150706
170	25.84004	24.28594	1.554105	0.302307	0.00176696	0.998233	0.00353392	1.99647	0.1409189
180	27.59421	26.49289	1.101322	0.288832	0.00274574	0.997254	0.00549148	1.99451	0.2216208
190	28.20621	27.18075	1.025457	0.19028	0.0024838	0.997516	0.0049676	1.99503	0.2390884
200	25.38527	24.11993	1.265346	-0.546284	0.00176972	0.99823	0.00353944	1.99646	0.1880944
210	27.60821	27.10882	0.4993903	-0.476055	0.000546735	0.999453	0.00109347	1.99891	0.4046004
220	29.83969	28.92412	0.9155665	0.00496242	0.00122855	0.998771	0.0024571	1.99754	0.2668599
230	26.126	24.53869	1.587303	0.254595	0.00283501	0.997165	0.00567003	1.99433	0.1363176
240	29.39565	28.39563	1.000027	0.150176	0.00149707	0.998503	0.00299414	1.99701	0.2452463
250	29.69846	29.0124	0.6860661	-0.13331	0.000717016	0.999283	0.00143403	1.99857	0.3357021
260	28.98697	28.14255	0.8444181	0.0817934	0.00177332	0.998227	0.00354665	1.99645	0.2865383
270	27.03444	26.45616	0.5782803	-0.297253	0.00227612	0.997724	0.00455223	1.99545	0.373908
280	28.29878	27.0782	1.220578	-0.310775	0.00222821	0.997772	0.00445643	1.99554	0.1967064
