Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	13.24795	10.51885	2.729098	0.851746	0.0405382	0.959462	0.0810763	1.91892	0.04351875
1	1	10.36354	7.69614	2.667397	0.164444	0.293318	0.706682	0.586636	1.41336	0.04628848
2	0	12.87589	8.411598	4.464295	-0.230354	0.414187	0.585813	0.828374	1.17163	0.007675204
3	1	14.65907	10.5534	4.105675	0.880187	0.0962522	0.903748	0.192504	1.8075	0.01098592
4	0	13.96739	10.2901	3.677285	0.842403	0.131792	0.868208	0.263584	1.73642	0.01686102
5	1	11.17896	8.608165	2.570791	0.290726	0.0631802	0.93682	0.12636	1.87364	0.05098334
6	0	13.71917	9.877362	3.841804	0.411331	0.172265	0.827735	0.34453	1.65547	0.01430324
7	1	6.703866	5.448073	1.255793	0.617874	0.936629	0.0633714	1.87326	0.126743	0.1899
8	0	12.19818	8.497259	3.70092	0.321843	0.51413	0.48587	1.02826	0.97174	0.01646719
9	1	9.924138	7.65763	2.266508	0.831983	0.37108	0.62892	0.74216	1.25784	0.06911573
10	0	14.73519	11.00102	3.734174	0.626747	0.0540664	0.945934	0.108133	1.89187	0.0159286
11	1	10.17383	7.34076	2.833068	-0.396139	0.642205	0.357795	1.28441	0.715589	0.03922139
12	0	13.32627	9.879746	3.446527	0.127114	0.0786489	0.921351	0.157298	1.8427	0.02123738
13	1	13.85133	8.267014	5.58432	0.618812	0.13806	0.86194	0.276119	1.72388	0.002504203
14	0	9.692286	6.984419	2.707866	-0.418973	0.765605	0.234395	1.53121	0.46879	0.04445262
15	1	15.43414	10.78737	4.646766	0.44303	0.0913432	0.908657	0.182686	1.81731	0.006395046
16	0	14.2656	10.43091	3.834691	-0.0060386	0.0455744	0.954426	0.0911488	1.90885	0.01440534
17	1	10.88852	8.031117	2.857404	0.669956	0.441428	0.558572	0.882856	1.11714	0.0382784
18	0	14.34112	10.71349	3.627634	0.443464	0.0489309	0.951069	0.0978617	1.90214	0.01771933
19	1	13.64441	8.056816	5.587597	0.399736	0.196637	0.803363	0.393274	1.60673	0.002496009
20	0	15.23291	10.19525	5.037667	0.216851	0.0656353	0.934365	0.131271	1.86873	0.004325911
21	1	13.75065	9.804515	3.946139	-0.0558903	0.139855	0.860145	0.27971	1.72029	0.01288612
22	0	14.30783	10.11571	4.192122	0.183667	0.146044	0.853956	0.292088	1.70791	0.01007612
23	1	15.54504	11.3715	4.173541	0.632769	0.0459324	0.954068	0.0918648	1.90814	0.01026509
24	0	13.99942	9.664466	4.334952	-0.0639167	0.0190912	0.980909	0.0381825	1.96182	0.008734998
25	1	14.03664	10.86862	3.168021	0.670138	0.0264708	0.973529	0.0529415	1.94706	0.02805786
26	0	4.34248	3.744915	0.5975652	0.0803614	0.669964	0.330036	1.33993	0.660072	0.3667663
27	1	9.963028	7.943166	2.019862	0.68015	0.107342	0.892658	0.214684	1.78532	0.08844921
28	0	15.13932	11.02518	4.114139	0.329994	0.0333725	0.966628	0.066745	1.93326	0.01089333
29	1	12.485	9.332606	3.152389	0.959464	0.125179	0.874821	0.250357	1.74964	0.02849991
30	0	13.92452	10.4588	3.465712	0.794953	0.0105998	0.9894	0.0211996	1.9788	0.02083383
31	1	13.70733	9.911523	3.795807	-0.286459	0.0236638	0.976336	0.0473275	1.95267	0.01497651
32	0	14.44713	9.826068	4.62106	-0.159541	0.0959432	0.904057	0.191886	1.80811	0.00656157
33	1	14.34838	10.03887	4.309513	0.678676	0.192903	0.807097	0.385806	1.61419	0.008960059
34	0	13.84251	10.35935	3.483155	0.950738	0.073698	0.926302	0.147396	1.8526	0.02047358
35	1	13.4724	9.498856	3.973541	-0.357048	0.134825	0.865175	0.269649	1.73035	0.01253782
36	0	15.51571	10.51106	5.004653	0.737837	0.0741441	0.925856	0.148288	1.85171	0.004471114
37	1	11.48772	8.943188	2.544537	-0.690118	0.0190193	0.980981	0.0380386	1.96196	0.0523396
38	0	15.44932	10.39697	5.052351	0.371697	0.0835375	0.916463	0.167075	1.83293	0.004262856
39	1	12.11589	9.470043	2.645844	0.98009	0.0811049	0.918895	0.16221	1.83779	0.04729698
40	0	13.39343	9.601437	3.791988	-0.131989	0.145789	0.854211	0.291579	1.70842	0.01503382
41	1	13.30339	9.404156	3.899233	0.062112	0.238323	0.761677	0.476646	1.52335	0.01350497
42	0	11.10808	7.95299	3.155088	0.272765	0.560739	0.439261	1.12148	0.878523	0.02842309
43	1	15.30017	10.57658	4.723594	0.207026	0.0459456	0.954054	0.0918912	1.90811	0.00592213
44	0	14.53457	10.30814	4.226425	-0.102997	0.0485275	0.951473	0.0970549	1.90295	0.009736339
