Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	10.36354	7.69614	2.667397	0.164444	0.293318	0.706682	0.586636	1.41336	0.04628848
10	14.65907	10.5534	4.105675	0.880187	0.0962522	0.903748	0.192504	1.8075	0.01098592
20	11.17896	8.608165	2.570791	0.290726	0.0631802	0.93682	0.12636	1.87364	0.05098334
30	6.703866	5.448073	1.255793	0.617874	0.936629	0.0633714	1.87326	0.126743	0.1899
40	9.924138	7.65763	2.266508	0.831983	0.37108	0.62892	0.74216	1.25784	0.06911573
50	10.17383	7.34076	2.833068	-0.396139	0.642205	0.357795	1.28441	0.715589	0.03922139
60	13.85133	8.267014	5.58432	0.618812	0.13806	0.86194	0.276119	1.72388	0.002504203
70	15.43414	10.78737	4.646766	0.44303	0.0913432	0.908657	0.182686	1.81731	0.006395046
80	10.88852	8.031117	2.857404	0.669956	0.441428	0.558572	0.882856	1.11714	0.0382784
90	13.64441	8.056816	5.587597	0.399736	0.196637	0.803363	0.393274	1.60673	0.002496009
100	13.75065	9.804515	3.946139	-0.0558903	0.139855	0.860145	0.27971	1.72029	0.01288612
110	15.54504	11.3715	4.173541	0.632769	0.0459324	0.954068	0.0918648	1.90814	0.01026509
120	14.03664	10.86862	3.168021	0.670138	0.0264708	0.973529	0.0529415	1.94706	0.02805786
130	9.963028	7.943166	2.019862	0.68015	0.107342	0.892658	0.214684	1.78532	0.08844921
140	12.485	9.332606	3.152389	0.959464	0.125179	0.874821	0.250357	1.74964	0.02849991
150	13.70733	9.911523	3.795807	-0.286459	0.0236638	0.976336	0.0473275	1.95267	0.01497651
160	14.34838	10.03887	4.309513	0.678676	0.192903	0.807097	0.385806	1.61419	0.008960059
170	13.4724	9.498856	3.973541	-0.357048	0.134825	0.865175	0.269649	1.73035	0.01253782
180	11.48772	8.943188	2.544537	-0.690118	0.0190193	0.980981	0.0380386	1.96196	0.0523396
190	12.11589	9.470043	2.645844	0.98009	0.0811049	0.918895	0.16221	1.83779	0.04729698
200	13.30339	9.404156	3.899233	0.062112	0.238323	0.761677	0.476646	1.52335	0.01350497
210	15.30017	10.57658	4.723594	0.207026	0.0459456	0.954054	0.0918912	1.90811	0.00592213
220	12.96931	7.948052	5.021255	0.255966	0.0165044	0.983496	0.0330089	1.96699	0.004397495
230	15.74493	11.11254	4.632393	0.657153	0.0301694	0.969831	0.0603389	1.93966	0.006487629
240	14.29415	10.16361	4.13054	0.468418	0.167017	0.832983	0.334034	1.66597	0.01071613
250	11.59757	8.443935	3.153635	0.0254003	0.272713	0.727287	0.545427	1.45457	0.02846444
260	13.92352	9.777421	4.146103	-0.156123	0.143154	0.856846	0.286309	1.71369	0.01055065
270	12.86846	8.918293	3.950166	-0.18799	0.338918	0.661082	0.677835	1.32216	0.01283434
280	15.78734	10.88697	4.90037	0.527649	0.0607748	0.939225	0.12155	1.87845	0.004962551
290	13.16156	9.193982	3.967581	0.28107	0.339174	0.660826	0.678348	1.32165	0.01261277
300	11.23546	8.586548	2.648911	0.269536	0.100574	0.899426	0.201147	1.79885	0.04715212
310	13.26935	10.2898	2.979552	0.723648	0.0520351	0.947965	0.10407	1.89593	0.03387705
320	11.01336	7.906101	3.107261	0.383053	0.577491	0.422509	1.15498	0.845018	0.02981552
330	12.27844	8.361687	3.916753	-0.402418	0.427365	0.572635	0.854731	1.14527	0.01327042
340	13.16357	8.899622	4.263953	-0.335462	0.286549	0.713451	0.573097	1.4269	0.009377723
350	13.18788	9.94767	3.24021	0.284865	0.0590711	0.940929	0.118142	1.88186	0.02610379
360	14.95332	9.613138	5.34018	0.363566	0.113538	0.886462	0.227075	1.77292	0.00319667
370	12.31416	8.418808	3.895348	0.237944	0.549293	0.450707	1.09859	0.901414	0.01355752
380	11.88332	8.278814	3.604503	-0.176625	0.510569	0.489431	1.02114	0.978863	0.01813397
390	10.04741	7.853823	2.193588	-0.016009	0.0827533	0.917247	0.165507	1.83449	0.07434395
400	11.98896	9.054998	2.933961	0.0897447	0.0885584	0.911442	0.177117	1.82288	0.03545731
410	14.15239	10.05834	4.094047	-0.0927809	0.102111	0.897889	0.204222	1.79578	0.01111442
420	11.58051	9.115066	2.465442	0.89865	0.144008	0.855992	0.288016	1.71198	0.0566475
430	15.48385	10.98833	4.495524	0.630812	0.0871994	0.912801	0.174399	1.8256	0.007439223
440	14.36555	9.672361	4.693188	0.391378	0.24374	0.75626	0.48748	1.51252	0.006104967
450	13.32993	9.233775	4.096157	-0.427534	0.162738	0.837262	0.325477	1.67452	0.01109099
460	8.902634	6.728879	2.173754	0.478077	0.562902	0.437098	1.1258	0.874196	0.07583317
470	14.94495	11.15379	3.791165	0.506408	0.022046	0.977954	0.0440921	1.95591	0.01504619
480	11.54933	8.310845	3.238489	0.0822655	0.381663	0.618337	0.763326	1.23667	0.02614873
490	14.24395	9.80476	4.439193	-0.0948671	0.155035	0.844965	0.310069	1.68993	0.007870309
500	13.77824	9.055454	4.722783	-0.285376	0.174799	0.825201	0.349598	1.6504	0.005926936
510	14.83363	10.42846	4.405163	0.60835	0.147747	0.852253	0.295495	1.70451	0.008142742
520	14.43957	10.75211	3.687468	0.232201	0.0291726	0.970827	0.0583452	1.94165	0.0166902
530	13.32329	10.16256	3.160729	0.508467	0.0526699	0.94733	0.10534	1.89466	0.02826321
540	12.72609	9.044594	3.681493	-0.0333656	0.272884	0.727116	0.545768	1.45423	0.01679022
