Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	11.56394	9.426458	2.137486	0.25491	0.203706	0.796294	0.407411	1.59259	0.07863398
1	1	14.67392	11.18556	3.488358	0.11873	0.330996	0.669004	0.661992	1.33801	0.02036732
2	0	12.71651	10.01415	2.702364	-0.0311399	0.658162	0.341838	1.31632	0.683676	0.04469787
3	1	13.05861	10.60799	2.450615	0.7083	0.296404	0.703596	0.592808	1.40719	0.05749367
4	0	14.64528	11.44666	3.198617	0.248322	0.431111	0.568889	0.862222	1.13778	0.02721241
5	1	12.77511	9.960754	2.814354	0.282561	0.760318	0.239682	1.52064	0.479364	0.0399623
6	0	12.90583	9.846113	3.059721	0.698684	0.202746	0.797254	0.405491	1.59451	0.03126717
7	1	12.39488	9.809579	2.585301	0.348689	0.75791	0.24209	1.51582	0.484179	0.05024895
8	0	14.18631	11.05237	3.133942	0.00441504	0.440685	0.559315	0.881369	1.11863	0.02903054
9	1	13.75429	10.81509	2.939201	0.726459	0.297891	0.702109	0.595782	1.40422	0.035272
10	0	8.789192	7.119908	1.669284	-0.740978	0.428444	0.571556	0.856888	1.14311	0.1255879
11	1	12.66781	10.20411	2.463694	0.831192	0.463033	0.536967	0.926065	1.07393	0.05674662
12	0	14.03595	11.03357	3.002379	0.376688	0.590246	0.409754	1.18049	0.819508	0.0331125
13	1	14.25498	11.12704	3.127934	0.123554	0.509961	0.490039	1.01992	0.980078	0.02920547
14	0	14.21025	11.15202	3.058227	0.303815	0.553115	0.446885	1.10623	0.893769	0.03131394
15	1	14.18153	11.24143	2.940102	0.579991	0.282885	0.717115	0.56577	1.43423	0.03524023
16	0	10.90561	8.732778	2.172832	-0.203371	0.440617	0.559383	0.881235	1.11877	0.07590315
17	1	13.99699	10.54201	3.454977	-0.0158848	0.59712	0.40288	1.19424	0.80576	0.02105869
18	0	14.70581	11.30004	3.405767	0.215436	0.301333	0.698667	0.602666	1.39733	0.0221209
19	1	14.89257	11.52328	3.369295	0.304525	0.451431	0.548569	0.902862	1.09714	0.02294259
20	0	14.72849	11.52255	3.205942	0.420137	0.462122	0.537878	0.924244	1.07576	0.02701381
21	1	11.16958	9.017282	2.152302	0.329001	0.542448	0.457552	1.0849	0.915105	0.07747758
22	0	14.0175	11.16937	2.848126	0.483765	0.448555	0.551445	0.89711	1.10289	0.03863523
23	1	13.64681	10.69949	2.947327	0.0510559	0.569855	0.430145	1.13971	0.86029	0.03498655
24	0	10.66885	8.47572	2.19313	-0.550286	0.530279	0.469721	1.06056	0.939442	0.07437801
25	1	12.18592	9.545798	2.640126	0.502739	0.78619	0.21381	1.57238	0.427621	0.04756818
26	0	9.311165	7.657662	1.653502	0.622102	0.861092	0.138908	1.72218	0.277816	0.1275856
27	1	14.31831	11.30133	3.016983	0.28422	0.302698	0.697302	0.605395	1.3946	0.03263244
28	0	12.27686	9.487764	2.789098	0.856785	0.472413	0.527587	0.944826	1.05517	0.04098442
29	1	12.98495	10.20546	2.779489	0.79915	0.581571	0.418429	1.16314	0.836857	0.04138012
30	0	13.44021	10.61866	2.82155	-0.0514329	0.336955	0.663045	0.67391	1.32609	0.03967575
31	1	13.69978	10.62525	3.07453	0.290478	0.174734	0.825266	0.349469	1.65053	0.03080755
32	0	12.58105	9.576819	3.004232	0.83495	0.420145	0.579855	0.84029	1.15971	0.03305121
33	1	11.8511	7.775039	4.076062	-0.213743	0.452465	0.547535	0.90493	1.09507	0.01131612
34	0	12.5445	10.01118	2.533312	0.189601	0.559029	0.440971	1.11806	0.881943	0.0529304
35	1	11.25101	9.130321	2.120685	0.863424	0.620168	0.379832	1.24034	0.759664	0.07996627
36	0	14.59976	11.24935	3.350419	0.0977596	0.329588	0.670412	0.659176	1.34082	0.02337977
37	1	11.48658	9.426264	2.060318	0.638338	0.418535	0.581465	0.83707	1.16293	0.08494233
38	0	11.70595	9.657173	2.048773	0.677507	0.169905	0.830095	0.33981	1.66019	0.0859286
39	1	9.140029	7.686685	1.453344	0.803156	0.741617	0.258383	1.48323	0.516766	0.1558581
40	0	14.51054	11.10953	3.401007	0.0977687	0.529483	0.470517	1.05897	0.941034	0.02222644
41	1	9.816076	7.836026	1.98005	-0.637397	0.577118	0.422882	1.15424	0.845765	0.09204154
42	0	13.84145	9.803626	4.037824	0.244478	0.355787	0.644213	0.711573	1.28843	0.0117572
43	1	13.58293	10.61196	2.97097	-0.115355	0.259953	0.740047	0.519907	1.48009	0.03416906
44	0	12.45446	9.400417	3.054039	-0.375252	0.646178	0.353822	1.29236	0.707644	0.03144534
45	1	13.46692	10.58853	2.878388	-0.0422126	0.225723	0.774277	0.451446	1.54855	0.03748356
46	0	11.06401	8.787822	2.276186	0.212864	0.842071	0.157929	1.68414	0.315858	0.06845004
47	1	14.39808	11.14615	3.251934	0.04517	0.315742	0.684258	0.631485	1.36852	0.02579953
48	0	13.18714	10.24395	2.94319	-0.0621825	0.174946	0.825054	0.349892	1.65011	0.03513155
49	1	14.49229	11.27084	3.221458	0.406638	0.256572	0.743428	0.513145	1.48686	0.02659791
50	0	13.48301	10.68357	2.79945	0.128585	0.204068	0.795932	0.408136	1.59186	0.04056235
51	1	14.55395	11.25314	3.300816	0.526907	0.288189	0.711811	0.576379	1.42362	0.02456872
52	0	14.63019	11.36707	3.263121	0.602471	0.373128	0.626872	0.746255	1.25374	0.02551252
53	1	13.71338	10.25722	3.456151	-0.0186479	0.6387	0.3613	1.2774	0.722599	0.02103398
54	0	14.16277	11.10692	3.05585	0.119316	0.275481	0.724519	0.550961	1.44904	0.03138846
