Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	14.67392	11.18556	3.488358	0.11873	0.330996	0.669004	0.661992	1.33801	0.02036732
10	13.05861	10.60799	2.450615	0.7083	0.296404	0.703596	0.592808	1.40719	0.05749367
20	12.77511	9.960754	2.814354	0.282561	0.760318	0.239682	1.52064	0.479364	0.0399623
30	12.39488	9.809579	2.585301	0.348689	0.75791	0.24209	1.51582	0.484179	0.05024895
40	13.75429	10.81509	2.939201	0.726459	0.297891	0.702109	0.595782	1.40422	0.035272
50	12.66781	10.20411	2.463694	0.831192	0.463033	0.536967	0.926065	1.07393	0.05674662
60	14.25498	11.12704	3.127934	0.123554	0.509961	0.490039	1.01992	0.980078	0.02920547
70	14.18153	11.24143	2.940102	0.579991	0.282885	0.717115	0.56577	1.43423	0.03524023
80	13.99699	10.54201	3.454977	-0.0158848	0.59712	0.40288	1.19424	0.80576	0.02105869
90	14.89257	11.52328	3.369295	0.304525	0.451431	0.548569	0.902862	1.09714	0.02294259
100	11.16958	9.017282	2.152302	0.329001	0.542448	0.457552	1.0849	0.915105	0.07747758
110	13.64681	10.69949	2.947327	0.0510559	0.569855	0.430145	1.13971	0.86029	0.03498655
120	12.18592	9.545798	2.640126	0.502739	0.78619	0.21381	1.57238	0.427621	0.04756818
130	14.31831	11.30133	3.016983	0.28422	0.302698	0.697302	0.605395	1.3946	0.03263244
140	12.98495	10.20546	2.779489	0.79915	0.581571	0.418429	1.16314	0.836857	0.04138012
150	13.69978	10.62525	3.07453	0.290478	0.174734	0.825266	0.349469	1.65053	0.03080755
160	11.8511	7.775039	4.076062	-0.213743	0.452465	0.547535	0.90493	1.09507	0.01131612
170	11.25101	9.130321	2.120685	0.863424	0.620168	0.379832	1.24034	0.759664	0.07996627
180	11.48658	9.426264	2.060318	0.638338	0.418535	0.581465	0.83707	1.16293	0.08494233
190	9.140029	7.686685	1.453344	0.803156	0.741617	0.258383	1.48323	0.516766	0.1558581
200	9.816076	7.836026	1.98005	-0.637397	0.577118	0.422882	1.15424	0.845765	0.09204154
210	13.58293	10.61196	2.97097	-0.115355	0.259953	0.740047	0.519907	1.48009	0.03416906
220	13.46692	10.58853	2.878388	-0.0422126	0.225723	0.774277	0.451446	1.54855	0.03748356
230	14.39808	11.14615	3.251934	0.04517	0.315742	0.684258	0.631485	1.36852	0.02579953
240	14.49229	11.27084	3.221458	0.406638	0.256572	0.743428	0.513145	1.48686	0.02659791
250	14.55395	11.25314	3.300816	0.526907	0.288189	0.711811	0.576379	1.42362	0.02456872
260	13.71338	10.25722	3.456151	-0.0186479	0.6387	0.3613	1.2774	0.722599	0.02103398
270	13.36882	10.11187	3.256948	-0.301122	0.321083	0.678917	0.642165	1.35783	0.0256705
280	11.96621	9.462684	2.503529	-0.316006	0.527746	0.472254	1.05549	0.944508	0.05453054
290	12.85577	10.25116	2.604607	0.734147	0.205378	0.794622	0.410756	1.58924	0.04928814
300	13.13659	10.48256	2.654022	0.793815	0.491671	0.508329	0.983343	1.01666	0.04691173
310	11.29758	9.090509	2.207071	0.204202	0.480761	0.519239	0.961521	1.03848	0.07334827
320	12.16392	8.69021	3.473707	0.552427	0.727387	0.272613	1.45477	0.545226	0.02066793
330	12.14425	9.718256	2.425994	-0.0448882	0.346635	0.653365	0.69327	1.30673	0.05892684
340	14.48606	11.40381	3.08225	0.614352	0.397713	0.602287	0.795425	1.20457	0.03057065
350	13.03514	9.75817	3.276974	-0.3617	0.522286	0.477714	1.04457	0.955428	0.02516153
360	14.63341	11.39705	3.236363	0.366317	0.282335	0.717665	0.564669	1.43533	0.02620439
370	13.7805	10.50229	3.278213	0.134358	0.193005	0.806995	0.38601	1.61399	0.02513036
380	14.63741	11.2938	3.343619	0.213336	0.52515	0.47485	1.0503	0.949701	0.0235393
390	13.21626	9.404461	3.811803	-0.0459026	0.270143	0.729857	0.540286	1.45971	0.01473885
400	14.83563	11.29072	3.544907	0.163234	0.381473	0.618527	0.762945	1.23705	0.01924753
410	13.28876	10.45401	2.834752	0.313908	0.686236	0.313764	1.37247	0.627528	0.03915538
420	13.06373	10.07388	2.989841	-0.162674	0.661133	0.338867	1.32227	0.677735	0.0335303
430	13.91395	10.90766	3.006292	0.0710436	0.517324	0.482676	1.03465	0.965352	0.0329832
440	13.98204	11.15782	2.824216	0.425472	0.355375	0.644625	0.710751	1.28925	0.03957013
450	10.78776	9.036888	1.750871	0.803192	0.35714	0.64286	0.71428	1.28572	0.1157484
460	7.152146	5.976373	1.175773	0.501546	0.276726	0.723274	0.553452	1.44655	0.2057202
470	11.0498	8.73689	2.312913	0.71808	0.108731	0.891269	0.217462	1.78254	0.06598167
480	11.96943	9.448414	2.521013	-0.366541	0.508993	0.491007	1.01799	0.982013	0.05358544
490	10.45159	8.558754	1.892836	0.476615	0.355486	0.644514	0.710972	1.28903	0.1004294
500	13.14048	10.5534	2.587086	0.276171	0.230164	0.769836	0.460328	1.53967	0.05015933
510	9.959884	8.115433	1.844451	-0.178487	0.0642855	0.935715	0.128571	1.87143	0.1054081
520	13.10407	10.30585	2.798218	0.260366	0.142253	0.857747	0.284506	1.71549	0.04061236
530	9.377381	7.697685	1.679696	0.423147	0.845495	0.154505	1.69099	0.309009	0.1242871
540	13.67851	10.4611	3.217409	-0.110681	0.603776	0.396224	1.20755	0.792448	0.02670581
550	14.16532	10.96587	3.199457	-0.0680457	0.357105	0.642895	0.71421	1.28579	0.02718957
560	14.04575	10.84626	3.199485	0.0701888	0.229174	0.770826	0.458348	1.54165	0.0271888
570	11.80559	9.640245	2.165342	0.618214	0.130394	0.869606	0.260787	1.73921	0.07647376
580	10.17152	8.284991	1.886527	0.0737015	0.250068	0.749932	0.500136	1.49986	0.1010649
590	13.52344	10.88339	2.640057	0.658431	0.447242	0.552758	0.894484	1.10552	0.04757148
600	14.65514	11.47237	3.182776	0.329924	0.459832	0.540168	0.919664	1.08034	0.0276469
610	14.19709	10.92428	3.272805	0.176902	0.226119	0.773881	0.452238	1.54776	0.02526664
620	12.23245	9.940477	2.29197	0.606172	0.516117	0.483883	1.03223	0.967766	0.06737813
630	10.64037	8.571178	2.069189	-0.486073	0.235396	0.764604	0.470793	1.52921	0.08419208
640	14.60159	11.50712	3.094475	0.434665	0.349375	0.650625	0.69875	1.30125	0.0301992
650	14.74825	11.40923	3.339023	0.531329	0.478377	0.521623	0.956754	1.04325	0.02364773
660	12.04829	9.368685	2.67961	-0.432425	0.601523	0.398477	1.20305	0.796954	0.04572661
670	12.36876	9.815123	2.553639	-0.283136	0.260941	0.739059	0.521882	1.47812	0.05186535
680	12.89023	10.37779	2.512432	0.802951	0.485676	0.514324	0.971351	1.02865	0.05404721
690	13.69098	10.66715	3.02383	-0.164587	0.3872	0.6128	0.7744	1.2256	0.03240976
700	14.94567	11.43837	3.507302	0.242634	0.412653	0.587347	0.825307	1.17469	0.01998513
710	13.3203	10.58737	2.732935	0.156431	0.456755	0.543245	0.913509	1.08649	0.04335209
720	13.79207	10.17348	3.618589	-0.17494	0.466264	0.533736	0.932529	1.06747	0.01788033
730	13.88639	10.90686	2.979532	0.44356	0.199328	0.800672	0.398657	1.60134	0.03387774
740	13.69802	10.59857	3.09945	0.170413	0.18008	0.81992	0.360159	1.63984	0.03004933
