Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	30.08237	26.91566	3.166711	0.236521	0.186557	0.813443	0.373114	1.62689	0.02809466
1	1	26.06495	23.45714	2.607808	0.640172	0.0762516	0.923748	0.152503	1.8475	0.04913061
2	0	29.95375	26.93415	3.019596	0.142582	0.205429	0.794571	0.410859	1.58914	0.0325473
3	1	28.16869	25.29202	2.876669	0.326094	0.25538	0.74462	0.510759	1.48924	0.03754804
4	0	31.18597	27.90776	3.278211	-0.0564557	0.163012	0.836988	0.326023	1.67398	0.02513042
5	1	31.22506	28.2116	3.013452	-0.339167	0.113034	0.886966	0.226069	1.77393	0.03274786
6	0	30.77029	27.53958	3.230715	-0.375973	0.119717	0.880283	0.239434	1.76057	0.02635281
7	1	28.75259	26.06293	2.689657	-0.641981	0.0911252	0.908875	0.18225	1.81775	0.04526949
8	0	29.24103	26.02531	3.215724	-0.521885	0.172063	0.827937	0.344126	1.65587	0.02675084
9	1	30.14543	27.01736	3.128065	-0.43244	0.0868439	0.913156	0.173688	1.82631	0.02920166
10	0	30.87282	27.50577	3.367044	0.0467683	0.165534	0.834466	0.331067	1.66893	0.02299429
11	1	31.34096	28.47833	2.862624	-0.167252	0.103926	0.896074	0.207853	1.79215	0.03807912
12	0	28.95918	26.1321	2.827086	0.0877805	0.23084	0.76916	0.46168	1.53832	0.0394567
13	1	29.88559	26.53006	3.355538	0.251523	0.170137	0.829863	0.340275	1.65973	0.02326039
14	0	31.47575	28.30881	3.166939	-0.115179	0.138193	0.861807	0.276385	1.72361	0.02808823
15	1	30.19628	26.90471	3.291572	0.115251	0.0815712	0.918429	0.163142	1.83686	0.02479689
16	0	29.94843	27.07034	2.878085	-0.238817	0.195989	0.804011	0.391978	1.60802	0.0374949
17	1	31.2104	28.12314	3.087264	0.107504	0.0946608	0.905339	0.189322	1.81068	0.03041775
18	0	31.31146	28.32404	2.987416	0.0659331	0.11263	0.88737	0.22526	1.77474	0.0336117
19	1	30.23768	27.15309	3.084587	0.0964359	0.203328	0.796672	0.406656	1.59334	0.0304993
20	0	31.41515	28.5307	2.884447	-0.109966	0.100692	0.899308	0.201384	1.79862	0.03725712
21	1	26.8317	24.68559	2.146111	-0.606102	0.142208	0.857792	0.284417	1.71558	0.07795871
22	0	29.23149	26.31529	2.916195	0.262371	0.211088	0.788912	0.422177	1.57782	0.03609287
23	1	30.25199	27.09524	3.15675	0.251137	0.0914574	0.908543	0.182915	1.81709	0.02837589
24	0	30.58158	27.53136	3.050219	0.211613	0.15046	0.84954	0.30092	1.69908	0.03156571
25	1	29.87065	27.51801	2.352646	-0.262302	0.0531539	0.946846	0.106308	1.89369	0.06341143
26	0	30.24898	27.77148	2.477503	-0.319379	0.0585595	0.94144	0.117119	1.88288	0.05596841
27	1	29.15535	26.66671	2.488639	-0.317087	0.134246	0.865754	0.268492	1.73151	0.0553486
28	0	29.46903	27.06064	2.408395	-0.489103	0.090737	0.909263	0.181474	1.81853	0.05997306
29	1	29.9812	26.99797	2.983228	-0.0319733	0.214533	0.785467	0.429066	1.57093	0.03375276
30	0	29.38619	26.30769	3.078506	-0.157764	0.268149	0.731851	0.536297	1.4637	0.03068531
31	1	30.77816	27.57043	3.207724	-0.254091	0.185132	0.814868	0.370264	1.62974	0.0269657
32	0	29.27337	25.9689	3.304472	-0.272767	0.156523	0.843477	0.313047	1.68695	0.02447907
33	1	30.19539	27.75078	2.44461	-0.0436309	0.0622452	0.937755	0.12449	1.87551	0.05784
34	0	29.73701	27.02947	2.707541	0.261723	0.135242	0.864758	0.270483	1.72952	0.04446707
35	1	30.48575	27.90153	2.584224	0.0931902	0.0637785	0.936221	0.127557	1.87244	0.05030308
36	0	28.52067	25.6064	2.914262	0.0545928	0.282862	0.717138	0.565723	1.43428	0.03616271
37	1	29.23125	26.295	2.936243	-0.293822	0.247074	0.752926	0.494148	1.50585	0.0353765
38	0	30.93723	27.8125	3.124726	-0.111536	0.178685	0.821315	0.357369	1.64263	0.02929931
39	1	30.33974	27.23547	3.104267	-0.289634	0.204025	0.795975	0.408049	1.59195	0.02990492
40	0	29.30203	25.8764	3.425629	-0.289226	0.0826089	0.917391	0.165218	1.83478	0.02168588
