Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	30.08237	26.91566	3.166711	0.236521	0.186557	0.813443	0.373114	1.62689	0.02809466
10	29.95375	26.93415	3.019596	0.142582	0.205429	0.794571	0.410859	1.58914	0.0325473
20	31.18597	27.90776	3.278211	-0.0564557	0.163012	0.836988	0.326023	1.67398	0.02513042
30	30.77029	27.53958	3.230715	-0.375973	0.119717	0.880283	0.239434	1.76057	0.02635281
40	29.24103	26.02531	3.215724	-0.521885	0.172063	0.827937	0.344126	1.65587	0.02675084
50	30.87282	27.50577	3.367044	0.0467683	0.165534	0.834466	0.331067	1.66893	0.02299429
60	28.95918	26.1321	2.827086	0.0877805	0.23084	0.76916	0.46168	1.53832	0.0394567
70	31.47575	28.30881	3.166939	-0.115179	0.138193	0.861807	0.276385	1.72361	0.02808823
80	29.94843	27.07034	2.878085	-0.238817	0.195989	0.804011	0.391978	1.60802	0.0374949
90	31.31146	28.32404	2.987416	0.0659331	0.11263	0.88737	0.22526	1.77474	0.0336117
100	31.41515	28.5307	2.884447	-0.109966	0.100692	0.899308	0.201384	1.79862	0.03725712
110	29.23149	26.31529	2.916195	0.262371	0.211088	0.788912	0.422177	1.57782	0.03609287
120	30.58158	27.53136	3.050219	0.211613	0.15046	0.84954	0.30092	1.69908	0.03156571
130	30.24898	27.77148	2.477503	-0.319379	0.0585595	0.94144	0.117119	1.88288	0.05596841
140	29.46903	27.06064	2.408395	-0.489103	0.090737	0.909263	0.181474	1.81853	0.05997306
150	29.38619	26.30769	3.078506	-0.157764	0.268149	0.731851	0.536297	1.4637	0.03068531
160	29.27337	25.9689	3.304472	-0.272767	0.156523	0.843477	0.313047	1.68695	0.02447907
170	29.73701	27.02947	2.707541	0.261723	0.135242	0.864758	0.270483	1.72952	0.04446707
180	28.52067	25.6064	2.914262	0.0545928	0.282862	0.717138	0.565723	1.43428	0.03616271
190	30.93723	27.8125	3.124726	-0.111536	0.178685	0.821315	0.357369	1.64263	0.02929931
200	29.30203	25.8764	3.425629	-0.289226	0.0826089	0.917391	0.165218	1.83478	0.02168588
210	30.55432	27.43371	3.120603	0.200591	0.161236	0.838764	0.322471	1.67753	0.02942037
220	29.34269	25.91034	3.432343	-0.36851	0.220894	0.779106	0.441789	1.55821	0.02154076
230	31.07723	28.20696	2.87027	-0.364278	0.0961241	0.903876	0.192248	1.80775	0.03778909
240	29.24973	25.98155	3.268173	-0.517157	0.14344	0.85656	0.28688	1.71312	0.02538396
250	30.10424	27.24144	2.862804	-0.0611151	0.0480846	0.951915	0.0961692	1.90383	0.03807228
260	30.98992	28.22691	2.763012	-0.0633473	0.105218	0.894782	0.210436	1.78956	0.0420676
270	30.79833	28.13763	2.660698	-0.284207	0.0647108	0.935289	0.129422	1.87058	0.04659963
280	28.45626	25.25808	3.198178	0.44201	0.174125	0.825875	0.348251	1.65175	0.02722436
290	30.78918	27.6291	3.160085	0.199791	0.136049	0.863951	0.272098	1.7279	0.02828141
300	31.37885	28.38593	2.992926	-3.11281e-05	0.0814383	0.918562	0.162877	1.83712	0.03342702
310	28.5654	26.33476	2.230643	0.285074	0.069807	0.930193	0.139614	1.86039	0.07163956
320	31.00332	28.21266	2.790653	-0.273478	0.0673032	0.932697	0.134606	1.86539	0.04092073
330	29.96497	27.30768	2.657287	-0.531927	0.0857664	0.914234	0.171533	1.82847	0.04675883
340	30.89699	28.16772	2.729278	-0.139102	0.0586021	0.941398	0.117204	1.8828	0.04351093
350	29.33941	26.35447	2.984937	0.0975853	0.243312	0.756688	0.486623	1.51338	0.03369512
360	30.80476	28.14988	2.65488	-0.0297246	0.0857746	0.914225	0.171549	1.82845	0.04687151
370	26.2982	23.33642	2.961778	-0.674989	0.246129	0.753871	0.492259	1.50774	0.03448456
380	30.40487	27.72348	2.681391	0.0542629	0.113348	0.886652	0.226696	1.7733	0.04564521
390	29.89559	27.03423	2.861361	0.32138	0.141874	0.858126	0.283749	1.71625	0.03812725
400	30.50605	27.35805	3.148004	-0.399005	0.165977	0.834023	0.331954	1.66805	0.02862518
410	29.4653	26.22956	3.235736	-0.191519	0.0608834	0.939117	0.121767	1.87823	0.02622084
420	30.66905	27.17887	3.49018	-0.14521	0.122601	0.877399	0.245202	1.7548	0.02033025
430	29.65532	27.1233	2.532026	0.119378	0.109251	0.890749	0.218502	1.7815	0.05299853
440	29.83502	27.42886	2.406163	-0.426723	0.0648357	0.935164	0.129671	1.87033	0.06010708
450	27.71959	25.41011	2.309486	0.543287	0.0844792	0.915521	0.168958	1.83104	0.06620816
460	31.2977	28.47597	2.821736	-0.0360401	0.0868015	0.913198	0.173603	1.8264	0.03966837
470	31.457	28.54872	2.908278	-0.191889	0.0862199	0.91378	0.17244	1.82756	0.03637976
480	29.27675	26.07422	3.202528	-0.493375	0.198986	0.801014	0.397972	1.60203	0.0271062
490	30.10604	26.83612	3.269919	-0.137645	0.238738	0.761262	0.477476	1.52252	0.02533966
500	29.58295	26.99146	2.591487	-0.136185	0.139595	0.860405	0.279191	1.72081	0.04993902
510	30.97621	27.85873	3.117478	-0.00495159	0.169975	0.830025	0.339949	1.66005	0.02951246
520	30.50204	27.46329	3.038753	-0.360644	0.175493	0.824507	0.350987	1.64901	0.03192972
530	30.25971	27.08425	3.175459	-0.18135	0.224495	0.775505	0.448989	1.55101	0.02784996
540	30.65778	27.50893	3.148855	-0.151622	0.198867	0.801133	0.397734	1.60227	0.02860082
550	29.67568	27.15186	2.523822	0.163037	0.102941	0.897059	0.205882	1.79412	0.05343512
560	30.92965	27.74662	3.183027	0.059829	0.169759	0.830241	0.339518	1.66048	0.02763997
570	27.95879	24.63254	3.326244	0.203343	0.0641047	0.935895	0.128209	1.87179	0.02395186
580	30.80025	27.63318	3.16707	-0.0769203	0.190872	0.809128	0.381744	1.61826	0.02808458
590	29.75575	26.47978	3.275961	0.304728	0.116175	0.883825	0.232351	1.76765	0.02518704
600	29.70826	26.56776	3.140497	-0.272051	0.247059	0.752941	0.494118	1.50588	0.02884087
610	31.40779	28.2626	3.145198	-0.102794	0.144159	0.855841	0.288319	1.71168	0.0287056
620	30.60608	27.36824	3.237845	-0.12727	0.207429	0.792571	0.414857	1.58514	0.02616558
630	28.66284	25.48357	3.179269	-0.480444	0.247265	0.752735	0.49453	1.50547	0.02774405
640	29.85294	26.6983	3.154633	0.343312	0.124195	0.875805	0.24839	1.75161	0.02843602
650	30.67674	27.74055	2.936192	0.157125	0.069479	0.930521	0.138958	1.86104	0.0353783
