Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-370.7404	-370.3373	-0.4031052	0.259307	0.0988022	0.901198	0.197604	1.8024	0.9976428
1	1	-368.9843	-368.5806	-0.4036982	0.245732	0.105351	0.894649	0.210701	1.7893	0.9982347
2	0	-371.0431	-370.6447	-0.3984219	0.231883	0.122533	0.877467	0.245067	1.75493	0.9929815
3	1	-370.2474	-369.844	-0.403467	0.293158	0.105404	0.894596	0.210807	1.78919	0.9980039
4	0	-368.9819	-368.578	-0.4039313	0.21406	0.121097	0.878903	0.242193	1.75781	0.9984673
5	1	-370.6738	-370.2693	-0.4045478	0.307622	0.102297	0.897703	0.204594	1.79541	0.9990831
6	0	-368.4732	-368.068	-0.4051832	0.219942	0.106579	0.893421	0.213158	1.78684	0.9997181
7	1	-371.2204	-370.8191	-0.4013359	0.163492	0.118353	0.881647	0.236706	1.76329	0.9958793
8	0	-369.4715	-369.0663	-0.4052369	0.283304	0.100587	0.899413	0.201174	1.79883	0.9997718
9	1	-369.6382	-369.2355	-0.402706	0.194486	0.112092	0.887908	0.224184	1.77582	0.9972447
10	0	-371.7263	-371.3218	-0.4045642	0.13741	0.127581	0.872419	0.255163	1.74484	0.9990995
11	1	-369.2737	-368.8691	-0.4046004	0.23846	0.0988358	0.901164	0.197672	1.80233	0.9991356
12	0	-368.6368	-368.2323	-0.4045066	0.235349	0.10599	0.89401	0.211979	1.78802	0.999042
13	1	-369.1861	-368.7815	-0.4046247	0.257864	0.121779	0.878221	0.243559	1.75644	0.9991599
14	0	-369.2007	-368.798	-0.4027271	0.217457	0.116407	0.883593	0.232814	1.76719	0.9972657
15	1	-372.1075	-371.7058	-0.4017607	0.298968	0.122531	0.877469	0.245061	1.75494	0.9963025
16	0	-368.834	-368.4296	-0.4043384	0.244699	0.104031	0.895969	0.208062	1.79194	0.998874
17	1	-368.4178	-368.013	-0.404759	0.224701	0.115786	0.884214	0.231571	1.76843	0.9992941
18	0	-370.0255	-369.6219	-0.4035732	0.236194	0.0964071	0.903593	0.192814	1.80719	0.9981099
19	1	-369.9356	-369.5308	-0.404759	0.217424	0.133973	0.866027	0.267947	1.73205	0.9992941
20	0	-370.5502	-370.1475	-0.402688	0.180272	0.105717	0.894283	0.211434	1.78857	0.9972267
21	1	-368.951	-368.5455	-0.4054475	0.277293	0.104965	0.895035	0.209931	1.79007	0.9999824
22	0	-368.8695	-368.4643	-0.4051332	0.248515	0.122719	0.877281	0.245438	1.75456	0.9996682
23	1	-369.5707	-369.1664	-0.4042688	0.177827	0.118341	0.881659	0.236683	1.76332	0.9988044
24	0	-368.5824	-368.1773	-0.4051332	0.231335	0.121868	0.878132	0.243736	1.75626	0.9996682
25	1	-368.3827	-367.9776	-0.4050321	0.216175	0.116198	0.883802	0.232396	1.7676	0.9995671
26	0	-370.6023	-370.1975	-0.4047857	0.303377	0.09866	0.90134	0.19732	1.80268	0.9993208
27	1	-368.688	-368.283	-0.4050321	0.24782	0.120134	0.879866	0.240267	1.75973	0.9995671
28	0	-369.8787	-369.4744	-0.4042534	0.170055	0.116519	0.883481	0.233037	1.76696	0.998789
