Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-368.9843	-368.5806	-0.4036982	0.245732	0.105351	0.894649	0.210701	1.7893	0.9982347
10	-370.2474	-369.844	-0.403467	0.293158	0.105404	0.894596	0.210807	1.78919	0.9980039
20	-370.6738	-370.2693	-0.4045478	0.307622	0.102297	0.897703	0.204594	1.79541	0.9990831
30	-371.2204	-370.8191	-0.4013359	0.163492	0.118353	0.881647	0.236706	1.76329	0.9958793
40	-369.6382	-369.2355	-0.402706	0.194486	0.112092	0.887908	0.224184	1.77582	0.9972447
50	-369.2737	-368.8691	-0.4046004	0.23846	0.0988358	0.901164	0.197672	1.80233	0.9991356
60	-369.1861	-368.7815	-0.4046247	0.257864	0.121779	0.878221	0.243559	1.75644	0.9991599
70	-372.1075	-371.7058	-0.4017607	0.298968	0.122531	0.877469	0.245061	1.75494	0.9963025
80	-368.4178	-368.013	-0.404759	0.224701	0.115786	0.884214	0.231571	1.76843	0.9992941
90	-369.9356	-369.5308	-0.404759	0.217424	0.133973	0.866027	0.267947	1.73205	0.9992941
100	-368.951	-368.5455	-0.4054475	0.277293	0.104965	0.895035	0.209931	1.79007	0.9999824
110	-369.5707	-369.1664	-0.4042688	0.177827	0.118341	0.881659	0.236683	1.76332	0.9988044
120	-368.3827	-367.9776	-0.4050321	0.216175	0.116198	0.883802	0.232396	1.7676	0.9995671
130	-368.688	-368.283	-0.4050321	0.24782	0.120134	0.879866	0.240267	1.75973	0.9995671
140	-368.5359	-368.1309	-0.4050321	0.214189	0.120112	0.879888	0.240223	1.75978	0.9995671
150	-368.6352	-368.231	-0.404131	0.22097	0.113737	0.886263	0.227475	1.77253	0.9986668
160	-368.4583	-368.0529	-0.4054188	0.259407	0.113652	0.886348	0.227303	1.7727	0.9999537
170	-368.5763	-368.1709	-0.4054097	0.250126	0.11986	0.88014	0.23972	1.76028	0.9999446
180	-369.1439	-368.739	-0.4049587	0.243976	0.125801	0.874199	0.251602	1.7484	0.9994937
190	-372.1279	-371.7231	-0.4048924	0.330886	0.108856	0.891144	0.217713	1.78229	0.9994275
200	-371.266	-370.8643	-0.4016415	0.181999	0.102211	0.897789	0.204421	1.79558	0.9961837
210	-369.8987	-369.4944	-0.4042861	0.24436	0.130087	0.869913	0.260173	1.73983	0.9988217
220	-371.8479	-371.4507	-0.397142	0.188539	0.111367	0.888633	0.222734	1.77727	0.9917114
230	-368.9234	-368.5188	-0.4046134	0.199984	0.109114	0.890886	0.218227	1.78177	0.9991487
240	-369.7692	-369.3663	-0.4028479	0.263342	0.101413	0.898587	0.202826	1.79717	0.9973862
250	-369.8829	-369.4809	-0.4019927	0.219826	0.103274	0.896726	0.206548	1.79345	0.9965336
260	-372.5596	-372.1588	-0.400816	0.241701	0.0891455	0.910854	0.178291	1.82171	0.9953616
270	-370.5932	-370.1882	-0.4049629	0.180614	0.136455	0.863545	0.272909	1.72709	0.9994979
280	-369.1094	-368.7044	-0.4049629	0.275413	0.11421	0.88579	0.22842	1.77158	0.9994979
290	-369.1549	-368.7508	-0.4041341	0.24446	0.10117	0.89883	0.20234	1.79766	0.9986699
300	-370.8439	-370.4385	-0.4053768	0.315371	0.101822	0.898178	0.203644	1.79636	0.9999117
310	-369.5452	-369.1401	-0.4051066	0.238883	0.13043	0.86957	0.260859	1.73914	0.9996415
320	-368.2181	-367.8129	-0.4052098	0.237034	0.112504	0.887496	0.225008	1.77499	0.9997447
330	-371.1309	-370.7256	-0.4052098	0.269422	0.134993	0.865007	0.269986	1.73001	0.9997447
340	-369.9418	-369.5394	-0.4023618	0.187	0.117714	0.882286	0.235427	1.76457	0.9969015
350	-372.5819	-372.1885	-0.3934932	0.21415	0.117433	0.882567	0.234865	1.76513	0.9880995
360	-376.6605	-376.2748	-0.3856821	0.28851	0.114542	0.885458	0.229084	1.77092	0.9804114
370	-373.4889	-373.0973	-0.391583	0.262549	0.107672	0.892328	0.215343	1.78466	0.9862138
380	-372.3303	-371.9356	-0.394737	0.202901	0.118769	0.881231	0.237538	1.76246	0.9893293
390	-371.9301	-371.5328	-0.3972378	0.277608	0.104622	0.895378	0.209244	1.79076	0.9918064
400	-373.5914	-373.1947	-0.3966339	0.251829	0.0908409	0.909159	0.181682	1.81832	0.9912076
410	-368.8888	-368.4853	-0.403558	0.223017	0.117096	0.882904	0.234191	1.76581	0.9980947
420	-368.399	-367.9937	-0.405343	0.23446	0.105042	0.894958	0.210084	1.78992	0.9998779
430	-368.2214	-367.816	-0.405343	0.241733	0.109244	0.890756	0.218488	1.78151	0.9998779
440	-369.8583	-369.4547	-0.4035594	0.279682	0.10197	0.89803	0.20394	1.79606	0.9980961
450	-370.3103	-369.9076	-0.402773	0.238978	0.0963067	0.903693	0.192613	1.80739	0.9973115
460	-369.8223	-369.4199	-0.4024051	0.25703	0.120094	0.879906	0.240188	1.75981	0.9969447
470	-370.1436	-369.7386	-0.4050781	0.162146	0.11088	0.88912	0.221761	1.77824	0.9996131
480	-369.7795	-369.3776	-0.4019704	0.205526	0.108309	0.891691	0.216618	1.78338	0.9965114
490	-373.5515	-373.1543	-0.3972469	0.165204	0.103254	0.896746	0.206508	1.79349	0.9918155
500	-369.5428	-369.1393	-0.4034549	0.263773	0.101598	0.898402	0.203195	1.7968	0.9979918
510	-368.9922	-368.5871	-0.4050654	0.188042	0.111998	0.888002	0.223997	1.776	0.9996003
520	-369.2064	-368.8024	-0.4039816	0.259611	0.118453	0.881547	0.236907	1.76309	0.9985176
530	-369.9373	-369.5334	-0.4039816	0.234505	0.0961516	0.903848	0.192303	1.8077	0.9985176
540	-370.4092	-370.0051	-0.4040946	0.266798	0.128412	0.871588	0.256824	1.74318	0.9986304
550	-368.6787	-368.2746	-0.4040946	0.223463	0.11654	0.88346	0.23308	1.76692	0.9986304
560	-368.7647	-368.3609	-0.4037411	0.225353	0.115018	0.884982	0.230036	1.76996	0.9982775
570	-369.0658	-368.6624	-0.4033892	0.22886	0.119822	0.880178	0.239644	1.76036	0.9979262
