Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-2246.658	-2246.252	-0.4053149	0.0833957	0.0831661	0.916834	0.166332	1.83367	0.9998498
1	1	-2251.304	-2250.9	-0.4048182	0.0775688	0.0928577	0.907142	0.185715	1.81428	0.9993533
2	0	-2248.044	-2247.639	-0.4051016	0.087368	0.0874929	0.912507	0.174986	1.82501	0.9996366
3	1	-2249.249	-2248.844	-0.4049482	0.11053	0.0864182	0.913582	0.172836	1.82716	0.9994833
4	0	-2249.159	-2248.754	-0.4047759	0.104218	0.0753244	0.924676	0.150649	1.84935	0.9993111
5	1	-2248.317	-2247.912	-0.4046933	0.0852294	0.0780362	0.921964	0.156072	1.84393	0.9992285
6	0	-2247.052	-2246.647	-0.4053909	0.0891637	0.0766492	0.923351	0.153298	1.8467	0.9999258
7	1	-2248.24	-2247.835	-0.4050733	0.0744509	0.0773383	0.922662	0.154677	1.84532	0.9996083
8	0	-2246.258	-2245.853	-0.405435	0.094232	0.0814633	0.918537	0.162927	1.83707	0.9999699
9	1	-2247.722	-2247.317	-0.4050733	0.0900096	0.0862029	0.913797	0.172406	1.82759	0.9996083
10	0	-2247.716	-2247.311	-0.4051768	0.0695915	0.0822978	0.917702	0.164596	1.8354	0.9997117
11	1	-2248.455	-2248.05	-0.4050733	0.0824338	0.0883416	0.911658	0.176683	1.82332	0.9996083
12	0	-2248.493	-2248.088	-0.4049718	0.106717	0.085282	0.914718	0.170564	1.82944	0.9995068
13	1	-2248.798	-2248.393	-0.4051068	0.0710964	0.0880864	0.911914	0.176173	1.82383	0.9996417
14	0	-2247.811	-2247.406	-0.4049718	0.0937176	0.0771938	0.922806	0.154388	1.84561	0.9995068
15	1	-2248.509	-2248.104	-0.4045204	0.097911	0.0829428	0.917057	0.165886	1.83411	0.9990557
16	0	-2247.62	-2247.215	-0.4048655	0.0975083	0.081508	0.918492	0.163016	1.83698	0.9994005
