Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-2251.304	-2250.9	-0.4048182	0.0775688	0.0928577	0.907142	0.185715	1.81428	0.9993533
10	-2249.249	-2248.844	-0.4049482	0.11053	0.0864182	0.913582	0.172836	1.82716	0.9994833
20	-2248.317	-2247.912	-0.4046933	0.0852294	0.0780362	0.921964	0.156072	1.84393	0.9992285
30	-2248.24	-2247.835	-0.4050733	0.0744509	0.0773383	0.922662	0.154677	1.84532	0.9996083
40	-2247.722	-2247.317	-0.4050733	0.0900096	0.0862029	0.913797	0.172406	1.82759	0.9996083
50	-2248.455	-2248.05	-0.4050733	0.0824338	0.0883416	0.911658	0.176683	1.82332	0.9996083
60	-2248.798	-2248.393	-0.4051068	0.0710964	0.0880864	0.911914	0.176173	1.82383	0.9996417
70	-2248.509	-2248.104	-0.4045204	0.097911	0.0829428	0.917057	0.165886	1.83411	0.9990557
80	-2253.598	-2253.193	-0.4049385	0.133071	0.0720556	0.927944	0.144111	1.85589	0.9994735
90	-2247.975	-2247.57	-0.4046628	0.0907151	0.0803108	0.919689	0.160622	1.83938	0.999198
100	-2248.252	-2247.847	-0.4052462	0.105052	0.0869348	0.913065	0.17387	1.82613	0.9997811
110	-2247.176	-2246.771	-0.4051566	0.0843897	0.084531	0.915469	0.169062	1.83094	0.9996915
120	-2248.968	-2248.563	-0.4051329	0.0602409	0.080469	0.919531	0.160938	1.83906	0.9996678
130	-2248.618	-2248.213	-0.4051329	0.116218	0.0779552	0.922045	0.15591	1.84409	0.9996678
140	-2248.063	-2247.658	-0.4054496	0.0708336	0.0763437	0.923656	0.152687	1.84731	0.9999845
150	-2247.845	-2247.44	-0.4053486	0.0659487	0.0799827	0.920017	0.159965	1.84003	0.9998835
160	-2249.244	-2248.839	-0.4046522	0.0730749	0.0775074	0.922493	0.155015	1.84499	0.9991874
170	-2247.566	-2247.16	-0.4052533	0.0756595	0.0859301	0.91407	0.17186	1.82814	0.9997882
180	-2249.031	-2248.626	-0.4048676	0.112746	0.0841105	0.91589	0.168221	1.83178	0.9994027
190	-2249.714	-2249.31	-0.4040318	0.100698	0.0791395	0.92086	0.158279	1.84172	0.9985677
200	-2249.097	-2248.693	-0.404203	0.0967863	0.0802083	0.919792	0.160417	1.83958	0.9987387
210	-2249.378	-2248.973	-0.4049759	0.120848	0.0796259	0.920374	0.159252	1.84075	0.9995109
220	-2247.743	-2247.338	-0.4049467	0.100504	0.0834566	0.916543	0.166913	1.83309	0.9994817
230	-2246.996	-2246.591	-0.405129	0.0959807	0.0804056	0.919594	0.160811	1.83919	0.9996639
240	-2247.081	-2246.676	-0.4053406	0.0761178	0.0846001	0.9154	0.1692	1.8308	0.9998755
250	-2248.931	-2248.527	-0.404506	0.0733675	0.0828677	0.917132	0.165735	1.83426	0.9990414
260	-2248.58	-2248.176	-0.404449	0.0816125	0.0820074	0.917993	0.164015	1.83599	0.9989844
270	-2251.928	-2251.524	-0.4034305	0.0665287	0.0816586	0.918341	0.163317	1.83668	0.9979675
280	-2247.949	-2247.545	-0.4046977	0.0944608	0.0823399	0.91766	0.16468	1.83532	0.9992328
290	-2248.127	-2247.722	-0.4046977	0.097454	0.0789916	0.921008	0.157983	1.84202	0.9992328
300	-2247.431	-2247.026	-0.4049209	0.0864011	0.0803904	0.91961	0.160781	1.83922	0.9994559
310	-2247.785	-2247.38	-0.4050852	0.080619	0.0774216	0.922578	0.154843	1.84516	0.9996202
320	-2247.367	-2246.962	-0.4052541	0.0804269	0.0776026	0.922397	0.155205	1.84479	0.999789
330	-2249.144	-2248.74	-0.4041792	0.093378	0.0829828	0.917017	0.165966	1.83403	0.9987149
340	-2248.095	-2247.691	-0.4046462	0.0871191	0.0796961	0.920304	0.159392	1.84061	0.9991814
350	-2249.659	-2249.253	-0.4053831	0.0797669	0.0922897	0.90771	0.184579	1.81542	0.999918
360	-2247.635	-2247.23	-0.4053831	0.0767285	0.0765549	0.923445	0.15311	1.84689	0.999918
370	-2248.282	-2247.876	-0.4054061	0.0666811	0.0874396	0.91256	0.174879	1.82512	0.999941
380	-2246.677	-2246.271	-0.405322	0.089006	0.0839872	0.916013	0.167974	1.83203	0.9998569
390	-2248.322	-2247.917	-0.405322	0.0938409	0.0739023	0.926098	0.147805	1.8522	0.9998569
400	-2247.706	-2247.3	-0.4054391	0.115615	0.0814905	0.918509	0.162981	1.83702	0.999974
