Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1519.307	-1518.902	-0.405408	-0.00603272	0.0119007	0.988099	0.0238015	1.9762	0.9999429
1	1	-1520.07	-1519.665	-0.4052784	0.036202	0.00956936	0.990431	0.0191387	1.98086	0.9998133
2	0	-1520.071	-1519.665	-0.4050995	-0.00908928	0.0104735	0.989527	0.0209469	1.97905	0.9996345
3	1	-1519.673	-1519.268	-0.4047502	0.0115252	0.0114625	0.988537	0.0229251	1.97707	0.9992853
4	0	-1521.588	-1521.183	-0.4047844	0.0292066	0.0148153	0.985185	0.0296306	1.97037	0.9993195
5	1	-1521.306	-1520.902	-0.4041109	0.0209592	0.00944075	0.990559	0.0188815	1.98112	0.9986467
6	0	-1519.545	-1519.14	-0.4052581	-0.00535424	0.0121573	0.987843	0.0243145	1.97569	0.999793
7	1	-1520.323	-1519.918	-0.4046675	0.0242346	0.00976352	0.990236	0.019527	1.98047	0.9992027
8	0	-1520.153	-1519.749	-0.4048416	-0.00432445	0.012291	0.987709	0.0245819	1.97542	0.9993767
9	1	-1520.039	-1519.633	-0.4053017	0.0194082	0.0142627	0.985737	0.0285253	1.97147	0.9998366
10	0	-1519.394	-1518.989	-0.4051555	0.021382	0.0125632	0.987437	0.0251263	1.97487	0.9996904
11	1	-1521.724	-1521.32	-0.4042065	0.0198318	0.0142813	0.985719	0.0285626	1.97144	0.9987422
12	0	-1519.467	-1519.062	-0.4054176	0.0355204	0.0103212	0.989679	0.0206424	1.97936	0.9999525
13	1	-1519.252	-1518.846	-0.4053141	0.026448	0.0100896	0.98991	0.0201793	1.97982	0.999849
14	0	-1519.124	-1518.719	-0.4054176	0.00340561	0.0127949	0.987205	0.0255898	1.97441	0.9999525
15	1	-1521.817	-1521.413	-0.4042063	-0.00538924	0.00936508	0.990635	0.0187302	1.98127	0.998742
16	0	-1520.066	-1519.66	-0.4054176	-0.0166525	0.01154	0.98846	0.02308	1.97692	0.9999525
17	1	-1519.67	-1519.264	-0.4053759	-0.0049954	0.0131044	0.986896	0.0262087	1.97379	0.9999108
18	0	-1518.986	-1518.58	-0.4053607	0.0207288	0.0123249	0.987675	0.0246499	1.97535	0.9998956
19	1	-1520.745	-1520.34	-0.4045313	-0.00616116	0.0104495	0.98955	0.020899	1.9791	0.9990666
20	0	-1521.32	-1520.915	-0.4045362	-0.000186144	0.0141919	0.985808	0.0283838	1.97162	0.9990715
21	1	-1519.754	-1519.349	-0.4048437	0.00209954	0.0117281	0.988272	0.0234563	1.97654	0.9993788
22	0	-1522.366	-1521.961	-0.4053307	-0.0255057	0.014658	0.985342	0.029316	1.97068	0.9998656
23	1	-1520.182	-1519.778	-0.4045845	0.00898784	0.0125557	0.987444	0.0251113	1.97489	0.9991198
24	0	-1519.005	-1518.6	-0.4054471	0.00579161	0.0127623	0.987238	0.0255246	1.97448	0.999982
25	1	-1518.879	-1518.474	-0.4052829	0.0172194	0.0109352	0.989065	0.0218703	1.97813	0.9998178
