Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-1520.07	-1519.665	-0.4052784	0.036202	0.00956936	0.990431	0.0191387	1.98086	0.9998133
10	-1519.673	-1519.268	-0.4047502	0.0115252	0.0114625	0.988537	0.0229251	1.97707	0.9992853
20	-1521.306	-1520.902	-0.4041109	0.0209592	0.00944075	0.990559	0.0188815	1.98112	0.9986467
30	-1520.323	-1519.918	-0.4046675	0.0242346	0.00976352	0.990236	0.019527	1.98047	0.9992027
40	-1520.039	-1519.633	-0.4053017	0.0194082	0.0142627	0.985737	0.0285253	1.97147	0.9998366
50	-1521.724	-1521.32	-0.4042065	0.0198318	0.0142813	0.985719	0.0285626	1.97144	0.9987422
60	-1519.252	-1518.846	-0.4053141	0.026448	0.0100896	0.98991	0.0201793	1.97982	0.999849
70	-1521.817	-1521.413	-0.4042063	-0.00538924	0.00936508	0.990635	0.0187302	1.98127	0.998742
80	-1519.67	-1519.264	-0.4053759	-0.0049954	0.0131044	0.986896	0.0262087	1.97379	0.9999108
90	-1520.745	-1520.34	-0.4045313	-0.00616116	0.0104495	0.98955	0.020899	1.9791	0.9990666
100	-1519.754	-1519.349	-0.4048437	0.00209954	0.0117281	0.988272	0.0234563	1.97654	0.9993788
110	-1520.182	-1519.778	-0.4045845	0.00898784	0.0125557	0.987444	0.0251113	1.97489	0.9991198
120	-1518.879	-1518.474	-0.4052829	0.0172194	0.0109352	0.989065	0.0218703	1.97813	0.9998178
130	-1520.56	-1520.155	-0.4048994	0.0409971	0.0108235	0.989177	0.021647	1.97835	0.9994345
140	-1520.033	-1519.628	-0.4051134	0.00994906	0.013913	0.986087	0.027826	1.97217	0.9996483
150	-1519.522	-1519.117	-0.4051134	0.0136717	0.0097505	0.99025	0.019501	1.9805	0.9996483
160	-1520.607	-1520.203	-0.4044407	0.00524619	0.00988241	0.990118	0.0197648	1.98024	0.9989761
170	-1520.429	-1520.024	-0.4049464	-0.00863347	0.0128337	0.987166	0.0256673	1.97433	0.9994815
180	-1521.284	-1520.879	-0.4053958	0.0386157	0.0083491	0.991651	0.0166982	1.9833	0.9999307
190	-1521.203	-1520.798	-0.4045082	0.0388279	0.00997831	0.990022	0.0199566	1.98004	0.9990436
200	-1519.279	-1518.873	-0.4053825	0.0294857	0.0123561	0.987644	0.0247121	1.97529	0.9999173
210	-1519.854	-1519.448	-0.4053825	-0.0111695	0.0125754	0.987425	0.0251508	1.97485	0.9999173
220	-1523.642	-1523.237	-0.4050233	-0.00457583	0.0175491	0.982451	0.0350982	1.9649	0.9995583
230	-1519.778	-1519.374	-0.4047675	0.00772554	0.0105569	0.989443	0.0211138	1.97889	0.9993026
240	-1522.01	-1521.605	-0.4050339	0.0370004	0.00816233	0.991838	0.0163247	1.98368	0.9995689
250	-1520.899	-1520.494	-0.4050192	0.0209054	0.0148085	0.985191	0.029617	1.97038	0.9995542
260	-1520.414	-1520.009	-0.4050132	-0.013497	0.0117121	0.988288	0.0234242	1.97658	0.9995482
270	-1519.738	-1519.333	-0.4054408	0.0289184	0.0135899	0.98641	0.0271798	1.97282	0.9999757
280	-1519.603	-1519.198	-0.4054408	-0.01091	0.0120127	0.987987	0.0240254	1.97597	0.9999757
290	-1519.437	-1519.032	-0.404938	0.0201248	0.0113968	0.988603	0.0227936	1.97721	0.999473
300	-1522.484	-1522.079	-0.4051997	0.017303	0.0169911	0.983009	0.0339823	1.96602	0.9997346
310	-1519.484	-1519.079	-0.4053812	-0.00170586	0.0130718	0.986928	0.0261437	1.97386	0.9999161
320	-1519.442	-1519.037	-0.4052354	0.0324054	0.0110504	0.98895	0.0221008	1.9779	0.9997703
330	-1520.082	-1519.678	-0.4045517	0.021866	0.0107974	0.989203	0.0215948	1.97841	0.999087
