Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-370.283	-369.879	-0.4040172	-0.0355085	0.00318869	0.996811	0.00637738	1.99362	0.9985532
1	1	-372.4561	-372.0564	-0.3997541	-0.0636363	0.00479401	0.995206	0.00958801	1.99041	0.9943053
2	0	-371.0028	-370.5981	-0.4047246	0.00572617	0.00411339	0.995887	0.00822677	1.99177	0.9992597
3	1	-373.245	-372.8397	-0.4053283	-0.0875615	0.0092569	0.990743	0.0185138	1.98149	0.9998632
4	0	-370.3071	-369.9016	-0.4054554	-0.0110836	0.00448447	0.995516	0.00896893	1.99103	0.9999903
5	1	-374.8138	-374.4092	-0.40458	-0.0225712	0.0154902	0.98451	0.0309804	1.96902	0.9991153
6	0	-371.9073	-371.5031	-0.4042175	-0.0748621	0.00665288	0.993347	0.0133058	1.98669	0.9987532
7	1	-369.7877	-369.3823	-0.4054517	-0.0350852	0.0035437	0.996456	0.00708741	1.99291	0.9999866
8	0	-370.2951	-369.8909	-0.4042175	-0.032586	0.00259134	0.997409	0.00518268	1.99482	0.9987532
9	1	-369.9094	-369.504	-0.4054145	-0.0653688	0.00197397	0.998026	0.00394793	1.99605	0.9999494
10	0	-370.3915	-369.9879	-0.4036021	-0.0409297	0.00293958	0.99706	0.00587917	1.99412	0.9981387
11	1	-370.7122	-370.3076	-0.4045475	-0.0232988	0.00541701	0.994583	0.010834	1.98917	0.9990828
12	0	-371.4375	-371.0322	-0.4052784	-0.0115432	0.00778764	0.992212	0.0155753	1.98442	0.9998133
13	1	-369.9495	-369.5443	-0.4052123	-0.0738767	0.00234033	0.99766	0.00468065	1.99532	0.9997472
14	0	-375.4953	-375.0936	-0.4016939	-0.0475277	0.0139846	0.986015	0.0279692	1.97203	0.9962359
15	1	-370.0905	-369.6853	-0.4052123	-0.0436062	0.00449055	0.995509	0.0089811	1.99102	0.9997472
16	0	-370.3558	-369.9507	-0.4051466	-0.0793461	0.00367306	0.996327	0.00734613	1.99265	0.9996816
17	1	-370.9159	-370.5106	-0.4052518	0.00839403	0.00424111	0.995759	0.00848221	1.99152	0.9997868
18	0	-371.8137	-371.4095	-0.4041939	0.0139214	0.00258968	0.99741	0.00517937	1.99482	0.9987296
19	1	-371.2706	-370.8683	-0.4023123	-0.0667393	0.00405675	0.995943	0.0081135	1.99189	0.9968521
20	0	-371.4869	-371.0819	-0.4050657	-0.115171	0.00299507	0.997005	0.00599013	1.99401	0.9996007
21	1	-371.8891	-371.4883	-0.4008234	-0.0878349	0.00261862	0.997381	0.00523724	1.99476	0.995369
22	0	-371.3727	-370.9683	-0.4043769	-0.0398154	0.00706987	0.99293	0.0141397	1.98586	0.9989124
23	1	-372.1674	-371.7641	-0.4033291	0.0160793	0.00554622	0.994454	0.0110924	1.98891	0.9978663
24	0	-372.0805	-371.6804	-0.4000798	-0.0463832	0.00467669	0.995323	0.00935339	1.99065	0.9946292
25	1	-371.4089	-371.0063	-0.4025393	-0.0632751	0.00479821	0.995202	0.00959641	1.9904	0.9970785
26	0	-372.5504	-372.1513	-0.3990611	-0.0352508	0.00499087	0.995009	0.00998173	1.99002	0.9936164
27	1	-371.4333	-371.0308	-0.4025146	-0.0951005	0.00239816	0.997602	0.00479632	1.9952	0.9970539
28	0	-377.1004	-376.7016	-0.3988475	-0.0827304	0.0126719	0.987328	0.0253439	1.97466	0.9934043
29	1	-370.5037	-370.1001	-0.4035525	-0.0317406	0.00289588	0.997104	0.00579176	1.99421	0.9980892
30	0	-373.6638	-373.2632	-0.4006001	-0.0348102	0.00920926	0.990791	0.0184185	1.98158	0.9951468
31	1	-370.4647	-370.0596	-0.405067	-0.00703208	0.00398227	0.996018	0.00796454	1.99204	0.999602
32	0	-371.6781	-371.2764	-0.4016249	-0.0917163	0.00249469	0.997505	0.00498938	1.99501	0.9961672
33	1	-371.0229	-370.6188	-0.4041106	-0.05674	0.00555462	0.994445	0.0111092	1.98889	0.9986464
34	0	-370.119	-369.7137	-0.4052956	-0.0535674	0.00447716	0.995523	0.00895431	1.99105	0.9998305
35	1	-370.1604	-369.7559	-0.404429	-0.0500785	0.00362775	0.996372	0.0072555	1.99274	0.9989644
36	0	-374.9078	-374.5069	-0.4008735	-0.133531	0.00425808	0.995742	0.00851617	1.99148	0.9954189
37	1	-370.9893	-370.5867	-0.4026214	-0.0519941	0.00194448	0.998056	0.00388896	1.99611	0.9971603
38	0	-371.4524	-371.047	-0.4054321	-0.0855212	0.00587718	0.994123	0.0117544	1.98825	0.999967
39	1	-371.2318	-370.8273	-0.4045854	-0.00782259	0.00633842	0.993662	0.0126768	1.98732	0.9991207
40	0	-373.3282	-372.9301	-0.3981677	-0.0606888	0.00558509	0.994415	0.0111702	1.98883	0.9927292
41	1	-370.8544	-370.4506	-0.4038377	-0.0192297	0.00485415	0.995146	0.00970831	1.99029	0.9983739
42	0	-374.198	-373.7992	-0.3987917	0.0128186	0.00708332	0.992917	0.0141666	1.98583	0.9933488
43	1	-370.3331	-369.9278	-0.4052404	-0.0612292	0.00158825	0.998412	0.00317651	1.99682	0.9997753
44	0	-372.1643	-371.7642	-0.4001109	-0.031417	0.00497202	0.995028	0.00994404	1.99006	0.9946601
45	1	-371.8645	-371.4628	-0.4016174	-0.0276707	0.00568779	0.994312	0.0113756	1.98862	0.9961597
46	0	-371.0671	-370.6637	-0.4034388	-0.072766	0.00154201	0.998458	0.00308403	1.99692	0.9979757
47	1	-372.0173	-371.6141	-0.4032574	-0.0898567	0.00503151	0.994968	0.010063	1.98994	0.9977947
48	0	-371.1681	-370.764	-0.4041316	-0.0848672	0.00431513	0.995685	0.00863027	1.99137	0.9986674
49	1	-371.5851	-371.1821	-0.4030435	-0.0498792	0.00141265	0.998587	0.0028253	1.99717	0.9975814
50	0	-370.7333	-370.3289	-0.4043927	-0.00627556	0.00395324	0.996047	0.00790648	1.99209	0.9989281
51	1	-370.806	-370.4025	-0.4034645	-0.0669522	0.0039503	0.99605	0.00790061	1.9921	0.9980014
52	0	-370.4135	-370.0081	-0.4053955	-0.0555935	0.00527997	0.99472	0.0105599	1.98944	0.9999304
53	1	-373.1117	-372.7104	-0.4013174	0.0211517	0.00288822	0.997112	0.00577643	1.99422	0.9958609
54	0	-370.7315	-370.3261	-0.4053955	-0.00801502	0.00574102	0.994259	0.011482	1.98852	0.9999304
55	1	-372.1025	-371.6978	-0.4046536	0.0289727	0.0047368	0.995263	0.00947359	1.99053	0.9991888
56	0	-373.2161	-372.8106	-0.4054386	-0.142639	0.00326917	0.996731	0.00653835	1.99346	0.9999735
57	1	-374.418	-374.0246	-0.3933875	-0.0427263	0.00415848	0.995842	0.00831697	1.99168	0.9879951
58	0	-372.0051	-371.6016	-0.4034799	0.0182521	0.0044928	0.995507	0.00898561	1.99101	0.9980168
59	1	-376.5576	-376.1668	-0.3907925	-0.055115	0.00683988	0.99316	0.0136798	1.98632	0.9854345
60	0	-370.3533	-369.9497	-0.4036369	-0.0469243	0.00285537	0.997145	0.00571074	1.99429	0.9981735
61	1	-375.8249	-375.4355	-0.3894303	-0.0625299	0.00332201	0.996678	0.00664401	1.99336	0.984093
62	0	-374.6402	-374.2408	-0.3993896	-0.0637562	0.00347791	0.996522	0.00695583	1.99304	0.9939429
63	1	-376.071	-375.6803	-0.3907171	-0.00832426	0.00517597	0.994824	0.0103519	1.98965	0.9853602
64	0	-369.8608	-369.4557	-0.4051602	-0.0428902	0.00354252	0.996457	0.00708504	1.99291	0.9996951
65	1	-375.7747	-375.3774	-0.3973293	-0.021909	0.0113214	0.988679	0.0226428	1.97736	0.9918972
66	0	-370.571	-370.1676	-0.403387	-0.0350279	0.00362859	0.996371	0.00725719	1.99274	0.9979241
67	1	-374.6373	-374.2448	-0.3925821	-0.0689207	0.00229036	0.99771	0.00458072	1.99542	0.9871996
68	0	-371.5565	-371.1542	-0.4023187	-0.0591239	0.00513556	0.994864	0.0102711	1.98973	0.9968586
69	1	-377.1585	-376.7667	-0.3917882	0.0168347	0.00205246	0.997948	0.00410493	1.9959	0.9864162
70	0	-370.1005	-369.6952	-0.4053601	-0.0213042	0.00254983	0.99745	0.00509966	1.9949	0.999895
71	1	-376.3426	-375.9538	-0.3888017	-0.0610179	0.00429256	0.995707	0.00858511	1.99141	0.9834746
72	0	-369.8751	-369.4697	-0.4053601	-0.0411159	0.00225773	0.997742	0.00451546	1.99548	0.999895
73	1	-376.2978	-375.9089	-0.388899	-0.0566727	0.00443734	0.995563	0.00887468	1.99113	0.9835704
74	0	-370.8619	-370.4595	-0.4023779	-0.0530953	0.00324329	0.996757	0.00648658	1.99351	0.9969176
75	1	-375.9434	-375.5513	-0.3921115	-0.0685868	0.0059384	0.994062	0.0118768	1.98812	0.9867352
76	0	-371.0898	-370.6881	-0.4016761	-0.0478473	0.00304028	0.99696	0.00608055	1.99392	0.9962182
77	1	-375.1332	-374.736	-0.3972476	-0.0710802	0.00819039	0.99181	0.0163808	1.98362	0.9918162
78	0	-371.7065	-371.3016	-0.4048645	-0.00264801	0.00767679	0.992323	0.0153536	1.98465	0.9993995
79	1	-375.8191	-375.4184	-0.4006448	0.00242725	0.0138053	0.986195	0.0276107	1.97239	0.9951913
80	0	-371.0019	-370.5987	-0.4031961	-0.0196102	0.00452545	0.995475	0.0090509	1.99095	0.9977336
81	1	-375.3458	-374.946	-0.3997238	-0.00342296	0.0120525	0.987948	0.024105	1.9759	0.9942751
82	0	-372.6073	-372.2029	-0.4044352	-0.0146224	0.00125828	0.998742	0.00251655	1.99748	0.9989706
83	1	-372.7424	-372.3445	-0.3978652	-0.0700969	0.00325672	0.996743	0.00651344	1.99349	0.9924289
84	0	-373.5045	-373.1067	-0.3977397	-0.0510921	0.00597508	0.994025	0.0119502	1.98805	0.9923044
85	1	-371.3218	-370.9203	-0.4015265	-0.0293043	0.00364976	0.99635	0.00729953	1.9927	0.9960691
86	0	-374.6491	-374.2547	-0.3943627	-0.0166162	0.00208533	0.997915	0.00417066	1.99583	0.988959
87	1	-369.9857	-369.5807	-0.4049746	-0.0399749	0.00236794	0.997632	0.00473587	1.99526	0.9995096
88	0	-374.6041	-374.2114	-0.3926207	-0.0570369	0.00216381	0.997836	0.00432762	1.99567	0.9872377
89	1	-375.4487	-375.047	-0.4016724	0.0357279	0.0110828	0.988917	0.0221655	1.97783	0.9962145
90	0	-376.0306	-375.6413	-0.3892758	-0.0510364	0.00424001	0.99576	0.00848002	1.99152	0.983941
91	1	-371.5791	-371.1744	-0.4047303	-0.00601029	0.00737568	0.992624	0.0147514	1.98525	0.9992654
92	0	-377.1641	-376.7771	-0.3870518	-0.0694491	0.0016027	0.998397	0.0032054	1.99679	0.9817551
93	1	-373.6655	-373.2643	-0.4011473	0.0177566	0.0076218	0.992378	0.0152436	1.98476	0.9956915
94	0	-373.8934	-373.4985	-0.394896	-0.0330317	0.00422335	0.995777	0.00844669	1.99155	0.9894865
95	1	-370.5174	-370.1135	-0.4039603	-0.0321554	0.0042773	0.995723	0.0085546	1.99145	0.9984963
96	0	-374.7452	-374.3486	-0.3965325	0.0216335	0.00376326	0.996237	0.00752652	1.99247	0.9911072
97	1	-371.7711	-371.3693	-0.4017848	-0.0773443	0.00149832	0.998502	0.00299665	1.997	0.9963264
98	0	-370.9362	-370.5312	-0.4049895	-0.101224	0.00312606	0.996874	0.00625212	1.99375	0.9995246
99	1	-371.5144	-371.1093	-0.4051103	-0.114865	0.00312091	0.996879	0.00624182	1.99376	0.9996452
100	0	-372.2275	-371.8223	-0.4051173	0.0294327	0.00614812	0.993852	0.0122962	1.9877	0.9996523
101	1	-371.6966	-371.2951	-0.4014724	-0.0133076	0.0042329	0.995767	0.0084658	1.99153	0.9960153
102	0	-369.9355	-369.5305	-0.4050726	-0.0311673	0.00318937	0.996811	0.00637875	1.99362	0.9996076
103	1	-370.7367	-370.3337	-0.4029971	-0.0688695	0.00295899	0.997041	0.00591798	1.99408	0.997535
104	0	-372.5077	-372.1028	-0.4048207	-0.00628264	0.00219767	0.997802	0.00439533	1.9956	0.9993558
105	1	-370.1911	-369.7868	-0.404203	-0.0427517	0.00337979	0.99662	0.00675957	1.99324	0.9987387
106	0	-369.8406	-369.4352	-0.4054193	-0.0303119	0.00279164	0.997208	0.00558327	1.99442	0.9999542
107	1	-374.5444	-374.1413	-0.403153	-0.035196	0.0134613	0.986539	0.0269226	1.97308	0.9976905
108	0	-372.742	-372.3387	-0.4033335	-0.0384641	0.00939142	0.990609	0.0187828	1.98122	0.9978706
109	1	-372.951	-372.5512	-0.3998026	-0.0775843	0.0051781	0.994822	0.0103562	1.98964	0.9943535
110	0	-374.3549	-373.9507	-0.4041886	-0.040203	0.0137918	0.986208	0.0275836	1.97242	0.9987243
111	1	-372.9148	-372.5162	-0.398649	-0.045879	0.00548923	0.994511	0.0109785	1.98902	0.993207
112	0	-370.3593	-369.9551	-0.4041886	-0.0268608	0.00277718	0.997223	0.00555436	1.99445	0.9987243
113	1	-371.3513	-370.9495	-0.401843	-0.0724345	0.00345063	0.996549	0.00690126	1.9931	0.9963845
114	0	-371.6774	-371.2752	-0.4021157	-0.0271827	0.00567706	0.994323	0.0113541	1.98865	0.9966562
115	1	-374.9457	-374.5416	-0.4041272	0.0310709	0.0127306	0.987269	0.0254611	1.97454	0.998663
116	0	-370.7845	-370.3813	-0.4031975	-0.0530573	0.00414646	0.995854	0.00829293	1.99171	0.997735
117	1	-370.9768	-370.5727	-0.404111	-0.0163943	0.0054679	0.994532	0.0109358	1.98906	0.9986468
118	0	-371.5952	-371.1926	-0.4026315	-0.0218407	0.00586896	0.994131	0.0117379	1.98826	0.9971704
119	1	-370.6715	-370.2676	-0.4039364	-0.0693653	0.003937	0.996063	0.007874	1.99213	0.9984724
120	0	-372.0894	-371.6878	-0.4015916	-0.0846376	0.0042682	0.995732	0.0085364	1.99146	0.996134
121	1	-371.9505	-371.5465	-0.4040052	-0.0278307	0.00819913	0.991801	0.0163983	1.9836	0.9985412
