Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-372.4561	-372.0564	-0.3997541	-0.0636363	0.00479401	0.995206	0.00958801	1.99041	0.9943053
10	-373.245	-372.8397	-0.4053283	-0.0875615	0.0092569	0.990743	0.0185138	1.98149	0.9998632
20	-374.8138	-374.4092	-0.40458	-0.0225712	0.0154902	0.98451	0.0309804	1.96902	0.9991153
30	-369.7877	-369.3823	-0.4054517	-0.0350852	0.0035437	0.996456	0.00708741	1.99291	0.9999866
40	-369.9094	-369.504	-0.4054145	-0.0653688	0.00197397	0.998026	0.00394793	1.99605	0.9999494
50	-370.7122	-370.3076	-0.4045475	-0.0232988	0.00541701	0.994583	0.010834	1.98917	0.9990828
60	-369.9495	-369.5443	-0.4052123	-0.0738767	0.00234033	0.99766	0.00468065	1.99532	0.9997472
70	-370.0905	-369.6853	-0.4052123	-0.0436062	0.00449055	0.995509	0.0089811	1.99102	0.9997472
80	-370.9159	-370.5106	-0.4052518	0.00839403	0.00424111	0.995759	0.00848221	1.99152	0.9997868
90	-371.2706	-370.8683	-0.4023123	-0.0667393	0.00405675	0.995943	0.0081135	1.99189	0.9968521
100	-371.8891	-371.4883	-0.4008234	-0.0878349	0.00261862	0.997381	0.00523724	1.99476	0.995369
110	-372.1674	-371.7641	-0.4033291	0.0160793	0.00554622	0.994454	0.0110924	1.98891	0.9978663
120	-371.4089	-371.0063	-0.4025393	-0.0632751	0.00479821	0.995202	0.00959641	1.9904	0.9970785
130	-371.4333	-371.0308	-0.4025146	-0.0951005	0.00239816	0.997602	0.00479632	1.9952	0.9970539
140	-370.5037	-370.1001	-0.4035525	-0.0317406	0.00289588	0.997104	0.00579176	1.99421	0.9980892
150	-370.4647	-370.0596	-0.405067	-0.00703208	0.00398227	0.996018	0.00796454	1.99204	0.999602
160	-371.0229	-370.6188	-0.4041106	-0.05674	0.00555462	0.994445	0.0111092	1.98889	0.9986464
170	-370.1604	-369.7559	-0.404429	-0.0500785	0.00362775	0.996372	0.0072555	1.99274	0.9989644
180	-370.9893	-370.5867	-0.4026214	-0.0519941	0.00194448	0.998056	0.00388896	1.99611	0.9971603
190	-371.2318	-370.8273	-0.4045854	-0.00782259	0.00633842	0.993662	0.0126768	1.98732	0.9991207
200	-370.8544	-370.4506	-0.4038377	-0.0192297	0.00485415	0.995146	0.00970831	1.99029	0.9983739
210	-370.3331	-369.9278	-0.4052404	-0.0612292	0.00158825	0.998412	0.00317651	1.99682	0.9997753
220	-371.8645	-371.4628	-0.4016174	-0.0276707	0.00568779	0.994312	0.0113756	1.98862	0.9961597
230	-372.0173	-371.6141	-0.4032574	-0.0898567	0.00503151	0.994968	0.010063	1.98994	0.9977947
240	-371.5851	-371.1821	-0.4030435	-0.0498792	0.00141265	0.998587	0.0028253	1.99717	0.9975814
250	-370.806	-370.4025	-0.4034645	-0.0669522	0.0039503	0.99605	0.00790061	1.9921	0.9980014
260	-373.1117	-372.7104	-0.4013174	0.0211517	0.00288822	0.997112	0.00577643	1.99422	0.9958609
270	-372.1025	-371.6978	-0.4046536	0.0289727	0.0047368	0.995263	0.00947359	1.99053	0.9991888
280	-374.418	-374.0246	-0.3933875	-0.0427263	0.00415848	0.995842	0.00831697	1.99168	0.9879951
290	-376.5576	-376.1668	-0.3907925	-0.055115	0.00683988	0.99316	0.0136798	1.98632	0.9854345
300	-375.8249	-375.4355	-0.3894303	-0.0625299	0.00332201	0.996678	0.00664401	1.99336	0.984093
310	-376.071	-375.6803	-0.3907171	-0.00832426	0.00517597	0.994824	0.0103519	1.98965	0.9853602
320	-375.7747	-375.3774	-0.3973293	-0.021909	0.0113214	0.988679	0.0226428	1.97736	0.9918972
330	-374.6373	-374.2448	-0.3925821	-0.0689207	0.00229036	0.99771	0.00458072	1.99542	0.9871996
340	-377.1585	-376.7667	-0.3917882	0.0168347	0.00205246	0.997948	0.00410493	1.9959	0.9864162
