Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-630.32	-629.9169	-0.4030992	-0.0275672	0.189545	0.810455	0.379089	1.62091	0.9976369
1	1	-629.6833	-629.2786	-0.4047443	-0.00541445	0.176789	0.823211	0.353578	1.64642	0.9992795
2	0	-630.7037	-630.2992	-0.4044861	-0.0257179	0.20282	0.79718	0.40564	1.59436	0.9990214
3	1	-630.1733	-629.7691	-0.4041666	-0.0545311	0.189786	0.810214	0.379572	1.62043	0.9987023
4	0	-631.0182	-630.6149	-0.4032891	0.011549	0.18122	0.81878	0.362439	1.63756	0.9978263
5	1	-630.8921	-630.49	-0.4020935	-0.0367134	0.185002	0.814998	0.370003	1.63	0.9966341
6	0	-630.5747	-630.1693	-0.405399	-0.0693364	0.171551	0.828449	0.343102	1.6569	0.9999339
7	1	-629.3213	-628.9164	-0.4048098	-0.0435681	0.182647	0.817353	0.365294	1.63471	0.9993449
8	0	-631.7859	-631.3814	-0.4044638	-0.00135897	0.163155	0.836845	0.326309	1.67369	0.9989992
9	1	-629.4352	-629.0308	-0.4044635	-0.018371	0.187571	0.812429	0.375142	1.62486	0.9989989
10	0	-630.6338	-630.231	-0.4027808	-0.0328776	0.191246	0.808754	0.382491	1.61751	0.9973193
11	1	-629.7381	-629.3339	-0.4042279	-0.0168666	0.190935	0.809065	0.38187	1.61813	0.9987635
12	0	-630.0803	-629.6757	-0.4045303	-0.00956271	0.172508	0.827492	0.345017	1.65498	0.9990657
13	1	-628.8468	-628.4415	-0.4053054	-0.0323493	0.184764	0.815236	0.369529	1.63047	0.9998403
14	0	-629.5941	-629.1893	-0.4047822	-0.012006	0.175601	0.824399	0.351203	1.6488	0.9993173
15	1	-632.3082	-631.9082	-0.399956	-0.0129633	0.187286	0.812714	0.374573	1.62543	0.994506
16	0	-628.9369	-628.5317	-0.4051989	-0.0318117	0.181317	0.818683	0.362634	1.63737	0.9997338
17	1	-634.0846	-633.6863	-0.3982078	-0.0497959	0.194885	0.805115	0.389769	1.61023	0.992769
18	0	-629.8473	-629.4426	-0.404781	-0.0432581	0.195303	0.804697	0.390605	1.60939	0.9993162
19	1	-631.3757	-630.9744	-0.4013186	-0.0226752	0.187982	0.812018	0.375964	1.62404	0.9958621
20	0	-630.7401	-630.3368	-0.4032618	0.00334975	0.189059	0.810941	0.378118	1.62188	0.9977991
21	1	-629.8052	-629.4008	-0.4044355	-0.0146962	0.175077	0.824923	0.350155	1.64985	0.9989709
22	0	-629.9052	-629.5013	-0.4039761	-0.00675155	0.186138	0.813862	0.372275	1.62772	0.9985121
23	1	-630.4106	-630.0057	-0.4049176	0.0200423	0.184166	0.815834	0.368332	1.63167	0.9994526
24	0	-631.1788	-630.774	-0.4047371	-0.0208835	0.16332	0.83668	0.32664	1.67336	0.9992723
25	1	-630.3167	-629.9131	-0.4035535	-0.00609297	0.190213	0.809787	0.380425	1.61957	0.9980902
26	0	-629.8759	-629.4713	-0.4045816	-0.0554401	0.179609	0.820391	0.359218	1.64078	0.9991169
27	1	-630.326	-629.9224	-0.403569	-0.0412378	0.19231	0.80769	0.38462	1.61538	0.9981057
28	0	-631.2209	-630.818	-0.4028946	-0.0633955	0.180722	0.819278	0.361443	1.63856	0.9974328
29	1	-633.7233	-633.3195	-0.403799	0.0529619	0.186648	0.813352	0.373295	1.6267	0.9983352
30	0	-631.6332	-631.2307	-0.4024842	-0.023769	0.168763	0.831237	0.337526	1.66247	0.9970235
31	1	-631.4481	-631.0437	-0.4043413	-0.0787602	0.175302	0.824698	0.350604	1.6494	0.9988769
32	0	-629.8094	-629.4056	-0.4038089	-0.0218362	0.187334	0.812666	0.374668	1.62533	0.9983452
33	1	-631.878	-631.4741	-0.4039237	-0.0263471	0.208018	0.791982	0.416036	1.58396	0.9984597
34	0	-629.3348	-628.9302	-0.4045517	-0.0346199	0.184647	0.815353	0.369294	1.63071	0.999087
35	1	-631.1805	-630.7786	-0.4019125	-0.0149332	0.190482	0.809518	0.380964	1.61904	0.9964537
36	0	-630.2864	-629.8812	-0.4051188	-0.00152501	0.199888	0.800112	0.399775	1.60022	0.9996538
37	1	-633.7534	-633.3544	-0.3990813	-0.06633	0.180445	0.819555	0.36089	1.63911	0.9936366
38	0	-629.6677	-629.2636	-0.4040859	-0.0152988	0.182538	0.817462	0.365075	1.63492	0.9986217
39	1	-631.7276	-631.3264	-0.4012029	-0.0479919	0.187615	0.812385	0.37523	1.62477	0.9957469
40	0	-628.8825	-628.4773	-0.4052408	-0.0210293	0.183334	0.816666	0.366667	1.63333	0.9997757
41	1	-629.4892	-629.0846	-0.4046459	-0.0458726	0.186048	0.813952	0.372096	1.6279	0.9991812
42	0	-631.8219	-631.4199	-0.4019972	-0.061756	0.18988	0.81012	0.379759	1.62024	0.9965381
43	1	-632.3784	-631.975	-0.4033476	0.0346591	0.183527	0.816473	0.367053	1.63295	0.9978847
44	0	-629.1944	-628.7894	-0.4050467	-0.00943911	0.186959	0.813041	0.373918	1.62608	0.9995817
45	1	-629.3765	-628.972	-0.4045006	-0.0170816	0.183963	0.816037	0.367925	1.63207	0.9990359
46	0	-631.267	-630.8634	-0.4036392	-0.0224967	0.203035	0.796965	0.40607	1.59393	0.9981758
47	1	-630.7911	-630.3866	-0.4045006	-0.0644772	0.172486	0.827514	0.344973	1.65503	0.9990359
48	0	-632.0895	-631.6858	-0.4036392	-0.0160428	0.207921	0.792079	0.415843	1.58416	0.9981758
49	1	-630.2427	-629.8385	-0.4041835	-0.0539498	0.191597	0.808403	0.383194	1.61681	0.9987192
50	0	-628.9684	-628.5632	-0.405211	-0.0153631	0.182454	0.817546	0.364908	1.63509	0.9997459
51	1	-629.4542	-629.0497	-0.4045952	-0.0421518	0.181022	0.818978	0.362045	1.63796	0.9991304
52	0	-628.9785	-628.5732	-0.4053236	-0.0332004	0.189801	0.810199	0.379602	1.6204	0.9998585
53	1	-629.3772	-628.9721	-0.405092	-0.000427469	0.183648	0.816352	0.367296	1.6327	0.9996269
54	0	-629.771	-629.3656	-0.4053236	-0.0137864	0.170228	0.829772	0.340457	1.65954	0.9998585
55	1	-630.4945	-630.0902	-0.4043217	-7.01068e-05	0.196815	0.803185	0.39363	1.60637	0.9988572
56	0	-629.4928	-629.0882	-0.4046042	-0.042426	0.179742	0.820258	0.359484	1.64052	0.9991394
57	1	-630.2479	-629.8444	-0.4035095	-0.0396707	0.190904	0.809096	0.381807	1.61819	0.9980464
58	0	-629.384	-628.9791	-0.404915	-0.0327594	0.175753	0.824247	0.351507	1.64849	0.9994501
