Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-630.32	-629.9169	-0.4030992	-0.0275672	0.189545	0.810455	0.379089	1.62091	0.9976369
10	-630.7037	-630.2992	-0.4044861	-0.0257179	0.20282	0.79718	0.40564	1.59436	0.9990214
20	-631.0182	-630.6149	-0.4032891	0.011549	0.18122	0.81878	0.362439	1.63756	0.9978263
30	-630.5747	-630.1693	-0.405399	-0.0693364	0.171551	0.828449	0.343102	1.6569	0.9999339
40	-631.7859	-631.3814	-0.4044638	-0.00135897	0.163155	0.836845	0.326309	1.67369	0.9989992
50	-630.6338	-630.231	-0.4027808	-0.0328776	0.191246	0.808754	0.382491	1.61751	0.9973193
60	-630.0803	-629.6757	-0.4045303	-0.00956271	0.172508	0.827492	0.345017	1.65498	0.9990657
70	-629.5941	-629.1893	-0.4047822	-0.012006	0.175601	0.824399	0.351203	1.6488	0.9993173
80	-628.9369	-628.5317	-0.4051989	-0.0318117	0.181317	0.818683	0.362634	1.63737	0.9997338
90	-629.8473	-629.4426	-0.404781	-0.0432581	0.195303	0.804697	0.390605	1.60939	0.9993162
100	-630.7401	-630.3368	-0.4032618	0.00334975	0.189059	0.810941	0.378118	1.62188	0.9977991
110	-629.9052	-629.5013	-0.4039761	-0.00675155	0.186138	0.813862	0.372275	1.62772	0.9985121
120	-631.1788	-630.774	-0.4047371	-0.0208835	0.16332	0.83668	0.32664	1.67336	0.9992723
130	-629.8759	-629.4713	-0.4045816	-0.0554401	0.179609	0.820391	0.359218	1.64078	0.9991169
140	-631.2209	-630.818	-0.4028946	-0.0633955	0.180722	0.819278	0.361443	1.63856	0.9974328
150	-631.6332	-631.2307	-0.4024842	-0.023769	0.168763	0.831237	0.337526	1.66247	0.9970235
160	-629.8094	-629.4056	-0.4038089	-0.0218362	0.187334	0.812666	0.374668	1.62533	0.9983452
170	-629.3348	-628.9302	-0.4045517	-0.0346199	0.184647	0.815353	0.369294	1.63071	0.999087
180	-630.2864	-629.8812	-0.4051188	-0.00152501	0.199888	0.800112	0.399775	1.60022	0.9996538
190	-629.6677	-629.2636	-0.4040859	-0.0152988	0.182538	0.817462	0.365075	1.63492	0.9986217
200	-628.8825	-628.4773	-0.4052408	-0.0210293	0.183334	0.816666	0.366667	1.63333	0.9997757
210	-631.8219	-631.4199	-0.4019972	-0.061756	0.18988	0.81012	0.379759	1.62024	0.9965381
220	-629.1944	-628.7894	-0.4050467	-0.00943911	0.186959	0.813041	0.373918	1.62608	0.9995817
230	-631.267	-630.8634	-0.4036392	-0.0224967	0.203035	0.796965	0.40607	1.59393	0.9981758
240	-632.0895	-631.6858	-0.4036392	-0.0160428	0.207921	0.792079	0.415843	1.58416	0.9981758
