Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-1422.014	-1421.609	-0.4045688	-0.0448961	0.255067	0.744933	0.510135	1.48987	0.9991041
1	1	-1423.419	-1423.016	-0.4036875	-0.0368424	0.268454	0.731546	0.536908	1.46309	0.9982239
2	0	-1420.804	-1420.399	-0.4052273	-0.056824	0.265115	0.734885	0.530229	1.46977	0.9997622
3	1	-1426.95	-1426.546	-0.4036436	-0.00104161	0.27101	0.72899	0.542021	1.45798	0.9981802
4	0	-1422.391	-1421.985	-0.4054194	-0.0145608	0.25858	0.74142	0.517161	1.48284	0.9999542
5	1	-1421.704	-1421.299	-0.4051048	-0.0659439	0.253251	0.746749	0.506502	1.4935	0.9996397
6	0	-1421.487	-1421.082	-0.4051483	-0.0604104	0.253058	0.746942	0.506115	1.49388	0.9996833
7	1	-1424.053	-1423.649	-0.404046	-0.0547548	0.24696	0.75304	0.493919	1.50608	0.9985819
8	0	-1420.791	-1420.386	-0.4051483	-0.0501455	0.261713	0.738287	0.523425	1.47657	0.9996833
9	1	-1421.311	-1420.906	-0.4048199	-0.0558178	0.259886	0.740114	0.519771	1.48023	0.999355
10	0	-1422.713	-1422.308	-0.405011	-0.0859629	0.261077	0.738923	0.522154	1.47785	0.999546
11	1	-1421.19	-1420.786	-0.4048972	-0.0482796	0.264207	0.735793	0.528415	1.47159	0.9994323
12	0	-1424.962	-1424.559	-0.4033296	-0.0846121	0.263099	0.736901	0.526199	1.4738	0.9978668
13	1	-1422.81	-1422.406	-0.403867	-0.0635596	0.261707	0.738293	0.523415	1.47659	0.9984031
14	0	-1425.209	-1424.806	-0.4035215	-0.054214	0.245249	0.754751	0.490497	1.5095	0.9980583
15	1	-1420.777	-1420.372	-0.405198	-0.0550726	0.264014	0.735986	0.528028	1.47197	0.9997329
16	0	-1422.968	-1422.565	-0.4037248	-0.0622386	0.261117	0.738883	0.522235	1.47777	0.9982612
17	1	-1423.301	-1422.896	-0.404896	-0.0734491	0.247864	0.752136	0.495728	1.50427	0.999431
18	0	-1421.953	-1421.548	-0.4048744	-0.0703322	0.267581	0.732419	0.535162	1.46484	0.9994095
19	1	-1421.649	-1421.244	-0.404896	-0.0498726	0.253727	0.746273	0.507455	1.49255	0.999431
20	0	-1421.381	-1420.976	-0.4050338	-0.0383708	0.25683	0.74317	0.513659	1.48634	0.9995687
21	1	-1421.386	-1420.981	-0.4047407	-0.0524377	0.263593	0.736407	0.527187	1.47281	0.9992758
22	0	-1425.758	-1425.354	-0.4034541	-0.0683209	0.244922	0.755078	0.489844	1.51016	0.997991
23	1	-1422.236	-1421.832	-0.4046578	-0.0712657	0.256754	0.743246	0.513507	1.48649	0.999193
24	0	-1422.994	-1422.59	-0.4044672	-0.0780739	0.267001	0.732999	0.534001	1.466	0.9990026
25	1	-1421.967	-1421.562	-0.4053221	-0.0437297	0.248679	0.751321	0.497358	1.50264	0.999857
26	0	-1424.871	-1424.469	-0.4023352	-0.0566825	0.258464	0.741536	0.516927	1.48307	0.996875
27	1	-1423.515	-1423.111	-0.4041246	-0.0359134	0.250786	0.749214	0.501572	1.49843	0.9986604
28	0	-1421.743	-1421.339	-0.4045741	-0.0452084	0.258311	0.741689	0.516622	1.48338	0.9991094
29	1	-1422.113	-1421.708	-0.404937	-0.0290024	0.25541	0.74459	0.510821	1.48918	0.999472
30	0	-1422.436	-1422.032	-0.4042416	-0.0417422	0.267914	0.732086	0.535828	1.46417	0.9987773
31	1	-1422.871	-1422.466	-0.4046599	-0.0413918	0.249113	0.750887	0.498226	1.50177	0.9991951
32	0	-1424.398	-1423.993	-0.4045206	-0.0820709	0.248176	0.751824	0.496352	1.50365	0.9990559
33	1	-1421.047	-1420.642	-0.4049685	-0.0498379	0.261348	0.738652	0.522696	1.4773	0.9995035
34	0	-1424.833	-1424.43	-0.4026896	-0.047477	0.270868	0.729132	0.541735	1.45826	0.9972284
35	1	-1422.185	-1421.78	-0.4048587	-0.0770399	0.259527	0.740473	0.519055	1.48095	0.9993938
36	0	-1426.656	-1426.253	-0.4028903	-0.00736465	0.262531	0.737469	0.525062	1.47494	0.9974285
37	1	-1421.975	-1421.571	-0.4044662	-0.0637012	0.262287	0.737713	0.524574	1.47543	0.9990016
38	0	-1420.999	-1420.594	-0.4051658	-0.0389541	0.260131	0.739869	0.520262	1.47974	0.9997007
39	1	-1421.47	-1421.065	-0.4050002	-0.0692685	0.261106	0.738894	0.522213	1.47779	0.9995352
40	0	-1420.85	-1420.445	-0.4053091	-0.0553025	0.267859	0.732141	0.535718	1.46428	0.999844
41	1	-1421.873	-1421.468	-0.4044594	-0.0429718	0.26021	0.73979	0.52042	1.47958	0.9989948
42	0	-1420.801	-1420.395	-0.4053091	-0.0393893	0.259597	0.740403	0.519193	1.48081	0.999844
43	1	-1420.918	-1420.513	-0.4052648	-0.0366683	0.261978	0.738022	0.523956	1.47604	0.9997997
44	0	-1420.553	-1420.148	-0.4053249	-0.0533745	0.261177	0.738823	0.522354	1.47765	0.9998598
45	1	-1420.867	-1420.461	-0.4052576	-0.0391577	0.264095	0.735905	0.52819	1.47181	0.9997926
46	0	-1422.689	-1422.285	-0.4041123	-0.0466742	0.269577	0.730423	0.539153	1.46085	0.9986482
47	1	-1420.72	-1420.315	-0.4052576	-0.0530711	0.265162	0.734838	0.530324	1.46968	0.9997926
48	0	-1422.929	-1422.525	-0.4046243	-0.0202824	0.26536	0.73464	0.530719	1.46928	0.9991596
49	1	-1420.946	-1420.541	-0.4052576	-0.0488618	0.268415	0.731585	0.536829	1.46317	0.9997926
50	0	-1423.162	-1422.758	-0.4041375	-0.0745793	0.26645	0.73355	0.5329	1.4671	0.9986733
51	1	-1421.281	-1420.875	-0.4052576	-0.0325314	0.257482	0.742518	0.514964	1.48504	0.9997926
52	0	-1422.793	-1422.387	-0.4052999	-0.0279773	0.248295	0.751705	0.49659	1.50341	0.9998348
53	1	-1422.322	-1421.918	-0.4040649	-0.0522352	0.260739	0.739261	0.521479	1.47852	0.9986008
54	0	-1420.815	-1420.41	-0.4052186	-0.0516288	0.257824	0.742176	0.515647	1.48435	0.9997536
55	1	-1423.85	-1423.447	-0.4032705	-0.0455833	0.269244	0.730756	0.538488	1.46151	0.9978078
56	0	-1422.247	-1421.842	-0.4048073	-0.0714856	0.268984	0.731016	0.537967	1.46203	0.9993424
57	1	-1423.028	-1422.624	-0.4038887	-0.064331	0.267263	0.732737	0.534525	1.46547	0.9984249
58	0	-1421.929	-1421.524	-0.4053422	-0.0773979	0.254038	0.745962	0.508077	1.49192	0.9998771
59	1	-1422.137	-1421.732	-0.4049171	-0.0241245	0.261971	0.738029	0.523942	1.47606	0.9994521
60	0	-1422.795	-1422.391	-0.4042138	-0.0522191	0.252305	0.747695	0.504611	1.49539	0.9987494
61	1	-1422.452	-1422.048	-0.4042803	-0.0335467	0.260872	0.739128	0.521744	1.47826	0.9988159
62	0	-1422.482	-1422.077	-0.4054471	-0.0149911	0.25621	0.74379	0.51242	1.48758	0.999982
63	1	-1425.524	-1425.122	-0.401906	-0.0418521	0.264864	0.735136	0.529728	1.47027	0.9964472
64	0	-1425.227	-1424.822	-0.4048435	-0.0102949	0.247592	0.752408	0.495183	1.50482	0.9993785
65	1	-1421.923	-1421.518	-0.4049872	-0.0275195	0.266365	0.733635	0.53273	1.46727	0.9995222
66	0	-1421.593	-1421.188	-0.4046371	-0.0454669	0.259611	0.740389	0.519223	1.48078	0.9991723
67	1	-1421.097	-1420.692	-0.4052927	-0.0664416	0.256871	0.743129	0.513743	1.48626	0.9998276
68	0	-1421.267	-1420.862	-0.4051966	-0.0324009	0.259423	0.740577	0.518845	1.48115	0.9997315
69	1	-1420.876	-1420.471	-0.4051973	-0.0432385	0.258944	0.741056	0.517888	1.48211	0.9997322
70	0	-1428.032	-1427.63	-0.4014598	-0.0745992	0.274955	0.725045	0.54991	1.45009	0.9960027
71	1	-1422.043	-1421.639	-0.4045309	-0.0552241	0.268945	0.731055	0.53789	1.46211	0.9990662
72	0	-1425.548	-1425.143	-0.4042602	-0.0147828	0.277654	0.722346	0.555307	1.44469	0.9987958
73	1	-1427.474	-1427.07	-0.4039534	-0.0116841	0.282465	0.717535	0.56493	1.43507	0.9984894
74	0	-1421.765	-1421.36	-0.4047138	-0.0393598	0.266927	0.733073	0.533854	1.46615	0.999249
75	1	-1423.106	-1422.702	-0.4039847	-0.0487994	0.271643	0.728357	0.543287	1.45671	0.9985207
76	0	-1422.45	-1422.045	-0.4053911	-0.0221976	0.251766	0.748234	0.503532	1.49647	0.999926
77	1	-1422.042	-1421.638	-0.404319	-0.0557283	0.264669	0.735331	0.529337	1.47066	0.9988546
78	0	-1422.45	-1422.046	-0.4040986	-0.0620626	0.260315	0.739685	0.520631	1.47937	0.9986344
79	1	-1420.983	-1420.578	-0.4054565	-0.0363641	0.268759	0.731241	0.537519	1.46248	0.9999914
80	0	-1421.567	-1421.162	-0.40466	-0.0524968	0.258426	0.741574	0.516851	1.48315	0.9991952
81	1	-1423.663	-1423.259	-0.4040261	-0.0283916	0.271122	0.728878	0.542243	1.45776	0.998562
82	0	-1421.655	-1421.25	-0.4045571	-0.0517584	0.264077	0.735923	0.528155	1.47185	0.9990924
83	1	-1421.415	-1421.01	-0.404863	-0.0594585	0.26596	0.73404	0.53192	1.46808	0.9993981
84	0	-1422.763	-1422.359	-0.4045577	-0.0791383	0.259697	0.740303	0.519394	1.48061	0.9990931
85	1	-1421.996	-1421.591	-0.4053249	-0.0830383	0.26217	0.73783	0.52434	1.47566	0.9998598
86	0	-1420.958	-1420.553	-0.4051816	-0.060807	0.258492	0.741508	0.516985	1.48302	0.9997166
87	1	-1421.529	-1421.125	-0.4047112	-0.0461449	0.265526	0.734474	0.531052	1.46895	0.9992463
