Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-1422.014	-1421.609	-0.4045688	-0.0448961	0.255067	0.744933	0.510135	1.48987	0.9991041
10	-1420.804	-1420.399	-0.4052273	-0.056824	0.265115	0.734885	0.530229	1.46977	0.9997622
20	-1422.391	-1421.985	-0.4054194	-0.0145608	0.25858	0.74142	0.517161	1.48284	0.9999542
30	-1421.487	-1421.082	-0.4051483	-0.0604104	0.253058	0.746942	0.506115	1.49388	0.9996833
40	-1420.791	-1420.386	-0.4051483	-0.0501455	0.261713	0.738287	0.523425	1.47657	0.9996833
50	-1422.713	-1422.308	-0.405011	-0.0859629	0.261077	0.738923	0.522154	1.47785	0.999546
60	-1424.962	-1424.559	-0.4033296	-0.0846121	0.263099	0.736901	0.526199	1.4738	0.9978668
70	-1425.209	-1424.806	-0.4035215	-0.054214	0.245249	0.754751	0.490497	1.5095	0.9980583
80	-1422.968	-1422.565	-0.4037248	-0.0622386	0.261117	0.738883	0.522235	1.47777	0.9982612
90	-1421.953	-1421.548	-0.4048744	-0.0703322	0.267581	0.732419	0.535162	1.46484	0.9994095
100	-1421.381	-1420.976	-0.4050338	-0.0383708	0.25683	0.74317	0.513659	1.48634	0.9995687
110	-1425.758	-1425.354	-0.4034541	-0.0683209	0.244922	0.755078	0.489844	1.51016	0.997991
120	-1422.994	-1422.59	-0.4044672	-0.0780739	0.267001	0.732999	0.534001	1.466	0.9990026
130	-1424.871	-1424.469	-0.4023352	-0.0566825	0.258464	0.741536	0.516927	1.48307	0.996875
140	-1421.743	-1421.339	-0.4045741	-0.0452084	0.258311	0.741689	0.516622	1.48338	0.9991094
150	-1422.436	-1422.032	-0.4042416	-0.0417422	0.267914	0.732086	0.535828	1.46417	0.9987773
160	-1424.398	-1423.993	-0.4045206	-0.0820709	0.248176	0.751824	0.496352	1.50365	0.9990559
170	-1424.833	-1424.43	-0.4026896	-0.047477	0.270868	0.729132	0.541735	1.45826	0.9972284
180	-1426.656	-1426.253	-0.4028903	-0.00736465	0.262531	0.737469	0.525062	1.47494	0.9974285
190	-1420.999	-1420.594	-0.4051658	-0.0389541	0.260131	0.739869	0.520262	1.47974	0.9997007
200	-1420.85	-1420.445	-0.4053091	-0.0553025	0.267859	0.732141	0.535718	1.46428	0.999844
210	-1420.801	-1420.395	-0.4053091	-0.0393893	0.259597	0.740403	0.519193	1.48081	0.999844
220	-1420.553	-1420.148	-0.4053249	-0.0533745	0.261177	0.738823	0.522354	1.47765	0.9998598
230	-1422.689	-1422.285	-0.4041123	-0.0466742	0.269577	0.730423	0.539153	1.46085	0.9986482
240	-1422.929	-1422.525	-0.4046243	-0.0202824	0.26536	0.73464	0.530719	1.46928	0.9991596
250	-1423.162	-1422.758	-0.4041375	-0.0745793	0.26645	0.73355	0.5329	1.4671	0.9986733
260	-1422.793	-1422.387	-0.4052999	-0.0279773	0.248295	0.751705	0.49659	1.50341	0.9998348
270	-1420.815	-1420.41	-0.4052186	-0.0516288	0.257824	0.742176	0.515647	1.48435	0.9997536
280	-1422.247	-1421.842	-0.4048073	-0.0714856	0.268984	0.731016	0.537967	1.46203	0.9993424
290	-1421.929	-1421.524	-0.4053422	-0.0773979	0.254038	0.745962	0.508077	1.49192	0.9998771
300	-1422.795	-1422.391	-0.4042138	-0.0522191	0.252305	0.747695	0.504611	1.49539	0.9987494
310	-1422.482	-1422.077	-0.4054471	-0.0149911	0.25621	0.74379	0.51242	1.48758	0.999982
320	-1425.227	-1424.822	-0.4048435	-0.0102949	0.247592	0.752408	0.495183	1.50482	0.9993785
330	-1421.593	-1421.188	-0.4046371	-0.0454669	0.259611	0.740389	0.519223	1.48078	0.9991723
340	-1421.267	-1420.862	-0.4051966	-0.0324009	0.259423	0.740577	0.518845	1.48115	0.9997315
350	-1428.032	-1427.63	-0.4014598	-0.0745992	0.274955	0.725045	0.54991	1.45009	0.9960027
360	-1425.548	-1425.143	-0.4042602	-0.0147828	0.277654	0.722346	0.555307	1.44469	0.9987958
370	-1421.765	-1421.36	-0.4047138	-0.0393598	0.266927	0.733073	0.533854	1.46615	0.999249
380	-1422.45	-1422.045	-0.4053911	-0.0221976	0.251766	0.748234	0.503532	1.49647	0.999926
390	-1422.45	-1422.046	-0.4040986	-0.0620626	0.260315	0.739685	0.520631	1.47937	0.9986344
400	-1421.567	-1421.162	-0.40466	-0.0524968	0.258426	0.741574	0.516851	1.48315	0.9991952
410	-1421.655	-1421.25	-0.4045571	-0.0517584	0.264077	0.735923	0.528155	1.47185	0.9990924
420	-1422.763	-1422.359	-0.4045577	-0.0791383	0.259697	0.740303	0.519394	1.48061	0.9990931
430	-1420.958	-1420.553	-0.4051816	-0.060807	0.258492	0.741508	0.516985	1.48302	0.9997166
440	-1424.736	-1424.331	-0.4046547	-0.00535669	0.256004	0.743996	0.512009	1.48799	0.9991899
450	-1426.725	-1426.322	-0.4030549	-0.00589145	0.266462	0.733538	0.532924	1.46708	0.9975927
460	-1427.28	-1426.877	-0.4031014	-0.0825963	0.279167	0.720833	0.558334	1.44167	0.9976391
470	-1421.74	-1421.335	-0.4049253	-0.0718217	0.259748	0.740252	0.519497	1.4805	0.9994604
480	-1421.3	-1420.895	-0.4050191	-0.0536287	0.255332	0.744668	0.510665	1.48934	0.9995541
490	-1421.106	-1420.701	-0.4050191	-0.0457472	0.258383	0.741617	0.516765	1.48323	0.9995541
500	-1422.629	-1422.224	-0.4050191	-0.068224	0.274901	0.725099	0.549802	1.4502	0.9995541
510	-1421.142	-1420.737	-0.4052042	-0.03486	0.259231	0.740769	0.518462	1.48154	0.9997391
520	-1422.134	-1421.729	-0.4047659	-0.0749001	0.26117	0.73883	0.52234	1.47766	0.999301
530	-1424.466	-1424.063	-0.4033569	-0.0633313	0.250577	0.749423	0.501155	1.49885	0.997894
540	-1422.657	-1422.252	-0.4043158	-0.0681572	0.255533	0.744467	0.511066	1.48893	0.9988514
550	-1422.628	-1422.223	-0.4050088	-0.0336752	0.275203	0.724797	0.550407	1.44959	0.9995438
560	-1421.17	-1420.765	-0.4049979	-0.0512666	0.266737	0.733263	0.533475	1.46653	0.9995329
570	-1421.592	-1421.187	-0.4050633	-0.0719831	0.25875	0.74125	0.5175	1.4825	0.9995982
580	-1421.573	-1421.168	-0.4050633	-0.0532421	0.271455	0.728545	0.54291	1.45709	0.9995982
590	-1423.53	-1423.125	-0.4049455	-0.0128039	0.269764	0.730236	0.539528	1.46047	0.9994805
600	-1421.181	-1420.776	-0.4049455	-0.0533536	0.265566	0.734434	0.531132	1.46887	0.9994805
610	-1420.928	-1420.523	-0.4051041	-0.0440448	0.262946	0.737054	0.525891	1.47411	0.9996391
620	-1421.18	-1420.775	-0.405402	-0.0728424	0.258489	0.741511	0.516979	1.48302	0.9999369
630	-1420.48	-1420.075	-0.4054623	-0.0604188	0.262754	0.737246	0.525509	1.47449	0.9999972
640	-1420.852	-1420.447	-0.4052443	-0.0425719	0.265626	0.734374	0.531253	1.46875	0.9997792
650	-1421.372	-1420.966	-0.4051351	-0.0702232	0.259265	0.740735	0.51853	1.48147	0.99967
660	-1421.05	-1420.645	-0.4051351	-0.0425203	0.25768	0.74232	0.515359	1.48464	0.99967
670	-1421.962	-1421.556	-0.4052199	-0.0234468	0.267471	0.732529	0.534943	1.46506	0.9997548
680	-1422.941	-1422.536	-0.4051561	-0.0896266	0.264034	0.735966	0.528067	1.47193	0.999691
690	-1422.267	-1421.862	-0.4051561	-0.0804444	0.267581	0.732419	0.535162	1.46484	0.999691
700	-1422.806	-1422.401	-0.4047954	-0.0262869	0.252854	0.747146	0.505708	1.49429	0.9993305
710	-1422.065	-1421.66	-0.4049492	-0.0554781	0.273499	0.726501	0.546997	1.453	0.9994843
720	-1421.461	-1421.056	-0.4046907	-0.0518404	0.259946	0.740054	0.519893	1.48011	0.9992259
730	-1421.84	-1421.435	-0.4044749	-0.0507729	0.258151	0.741849	0.516301	1.4837	0.9990103
740	-1421.6	-1421.196	-0.4046009	-0.0492742	0.26421	0.73579	0.528419	1.47158	0.9991362
750	-1424.106	-1423.702	-0.4037497	-0.0796243	0.266727	0.733273	0.533455	1.46655	0.998286
760	-1420.653	-1420.247	-0.4054598	-0.0452029	0.267875	0.732125	0.53575	1.46425	0.9999947
770	-1421.35	-1420.945	-0.4054598	-0.0678029	0.270847	0.729153	0.541695	1.45831	0.9999947
780	-1421.458	-1421.053	-0.40493	-0.036727	0.265238	0.734762	0.530477	1.46952	0.999465
790	-1420.693	-1420.287	-0.4052579	-0.0553999	0.259849	0.740151	0.519698	1.4803	0.9997928
800	-1420.664	-1420.259	-0.4053791	-0.059043	0.265664	0.734336	0.531328	1.46867	0.999914
810	-1420.653	-1420.248	-0.4053278	-0.0544328	0.265561	0.734439	0.531121	1.46888	0.9998627
820	-1420.824	-1420.419	-0.4053278	-0.0469954	0.256015	0.743985	0.51203	1.48797	0.9998627
830	-1421.046	-1420.64	-0.4051493	-0.0511338	0.267869	0.732131	0.535738	1.46426	0.9996842
840	-1421.146	-1420.741	-0.4051493	-0.0629374	0.257152	0.742848	0.514304	1.4857	0.9996842
850	-1421.563	-1421.158	-0.4050011	-0.0401789	0.254725	0.745275	0.509449	1.49055	0.9995361
860	-1421.182	-1420.777	-0.4052494	-0.0461355	0.253795	0.746205	0.507591	1.49241	0.9997843
870	-1421.735	-1421.331	-0.4044835	-0.0497092	0.260771	0.739229	0.521542	1.47846	0.9990188
880	-1421.802	-1421.397	-0.404745	-0.0472099	0.263523	0.736477	0.527047	1.47295	0.9992801
890	-1421.925	-1421.52	-0.4052225	-0.0221905	0.259285	0.740715	0.51857	1.48143	0.9997574
900	-1423.597	-1423.193	-0.4039667	-0.0777409	0.257281	0.742719	0.514563	1.48544	0.9985027
910	-1421.165	-1420.76	-0.4052912	-0.068699	0.257427	0.742573	0.514853	1.48515	0.9998261
920	-1422.087	-1421.683	-0.4048327	-0.0730773	0.266448	0.733552	0.532897	1.4671	0.9993678
930	-1424.37	-1423.967	-0.4039148	-0.0412158	0.247046	0.752954	0.494093	1.50591	0.9984508
940	-1422.989	-1422.584	-0.4043871	-0.0250757	0.257316	0.742684	0.514632	1.48537	0.9989225
950	-1420.661	-1420.256	-0.4053751	-0.0610404	0.264361	0.735639	0.528721	1.47128	0.99991
960	-1422.307	-1421.903	-0.4046733	-0.0565213	0.272472	0.727528	0.544944	1.45506	0.9992085
970	-1421.104	-1420.699	-0.4050055	-0.0598079	0.262693	0.737307	0.525385	1.47461	0.9995405
980	-1422.452	-1422.047	-0.4050055	-0.0399029	0.249015	0.750985	0.49803	1.50197	0.9995405
990	-1422.996	-1422.591	-0.4047469	-0.0339134	0.275265	0.724735	0.55053	1.44947	0.9992821
1000	-1421.292	-1420.886	-0.4054537	-0.0655685	0.271117	0.728883	0.542234	1.45777	0.9999886
1010	-1420.452	-1420.047	-0.4054537	-0.047666	0.258771	0.741229	0.517542	1.48246	0.9999886
1020	-1424.889	-1424.484	-0.4048343	-0.0589666	0.240387	0.759613	0.480773	1.51923	0.9993694
1030	-1420.958	-1420.553	-0.4052289	-0.0633074	0.264842	0.735158	0.529685	1.47032	0.9997638
1040	-1421.426	-1421.021	-0.4048308	-0.039454	0.262233	0.737767	0.524467	1.47553	0.9993659
1050	-1422.99	-1422.586	-0.4048308	-0.0577879	0.246944	0.753056	0.493888	1.50611	0.9993659
1060	-1422.028	-1421.623	-0.4043539	-0.0491299	0.265957	0.734043	0.531915	1.46809	0.9988894
