Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-11.76739	-11.38534	-0.3820463	0.388154	0.945387	0.0546128	1.89077	0.109226	0.9768533
1	1	-16.37622	-16.25544	-0.1207757	0.434274	0.747745	0.252255	1.49549	0.50451	0.7522478
2	0	-12.38835	-12.16829	-0.2200592	0.292625	0.890424	0.109576	1.78085	0.219151	0.830767
3	1	-12.56908	-12.38728	-0.1817974	0.12123	0.928426	0.0715741	1.85685	0.143148	0.7995808
4	0	-12.62163	-12.28018	-0.341451	-0.043954	0.931197	0.0688027	1.86239	0.137605	0.9379917
5	1	-14.39928	-14.2233	-0.1759769	-0.174468	0.88056	0.11944	1.76112	0.23888	0.7949403
6	0	-13.5059	-13.48294	-0.0229621	0.395303	0.920862	0.0791375	1.84172	0.158275	0.6821518
7	1	-12.29313	-11.96436	-0.3287718	0.085353	0.89582	0.10418	1.79164	0.208361	0.9261738
8	0	-14.14206	-13.93731	-0.2047455	-0.0234666	0.82656	0.17344	1.65312	0.346879	0.8181418
9	1	-16.07875	-15.77103	-0.3077241	0.284055	0.694544	0.305456	1.38909	0.610913	0.9068838
10	0	-14.61868	-14.66154	0.04285607	0.304168	0.944539	0.0554615	1.88908	0.110923	0.6386995
11	1	-11.53824	-11.14223	-0.396011	0.310313	0.941066	0.058934	1.88213	0.117868	0.9905905
12	0	-13.35643	-13.25583	-0.1006047	0.273234	0.860957	0.139043	1.72191	0.278087	0.7372263
13	1	-11.81084	-11.49035	-0.3204891	0.202999	0.93431	0.0656898	1.86862	0.13138	0.9185343
14	0	-11.71778	-11.33085	-0.3869327	0.348721	0.907416	0.0925839	1.81483	0.185168	0.9816383
15	1	-14.86536	-14.6785	-0.1868616	0.493341	0.81302	0.18698	1.62604	0.373959	0.8036403
16	0	-16.2038	-15.81465	-0.3891488	0.045335	0.678719	0.321281	1.35744	0.642561	0.9838161
17	1	-12.75395	-12.58428	-0.1696747	0.279192	0.878731	0.121269	1.75746	0.242538	0.7899463
18	0	-12.16791	-11.77701	-0.3908953	0.0596657	0.901669	0.0983312	1.80334	0.196662	0.9855359
19	1	-13.57701	-13.53251	-0.04449709	0.103192	0.876969	0.123031	1.75394	0.246062	0.6970013
20	0	-15.71194	-15.50182	-0.2101183	0.314467	0.731377	0.268623	1.46275	0.537246	0.8225493
21	1	-12.94047	-12.77018	-0.1702852	0.320417	0.870168	0.129832	1.74034	0.259665	0.7904286
22	0	-13.29991	-12.92863	-0.3712778	-0.0295326	0.956942	0.0430577	1.91388	0.0861154	0.9663904
23	1	-13.49736	-13.40806	-0.08929527	0.432533	0.937311	0.0626887	1.87462	0.125377	0.7289356
24	0	-12.15347	-11.75859	-0.3948827	0.218714	0.956651	0.0433491	1.9133	0.0866983	0.9894734
25	1	-12.73232	-12.33874	-0.3935861	0.459238	0.865764	0.134236	1.73153	0.268471	0.9881912
26	0	-12.2951	-11.9661	-0.3290002	0.408702	0.887117	0.112883	1.77423	0.225765	0.9263854
27	1	-12.58892	-12.19534	-0.3935861	0.075145	0.871827	0.128173	1.74365	0.256345	0.9881912
28	0	-13.51267	-13.4437	-0.06897218	0.0785762	0.877799	0.122201	1.7556	0.244403	0.7142709
