Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-11.76739	-11.38534	-0.3820463	0.388154	0.945387	0.0546128	1.89077	0.109226	0.9768533
10	-12.38835	-12.16829	-0.2200592	0.292625	0.890424	0.109576	1.78085	0.219151	0.830767
20	-12.62163	-12.28018	-0.341451	-0.043954	0.931197	0.0688027	1.86239	0.137605	0.9379917
30	-13.5059	-13.48294	-0.0229621	0.395303	0.920862	0.0791375	1.84172	0.158275	0.6821518
40	-14.14206	-13.93731	-0.2047455	-0.0234666	0.82656	0.17344	1.65312	0.346879	0.8181418
50	-14.61868	-14.66154	0.04285607	0.304168	0.944539	0.0554615	1.88908	0.110923	0.6386995
60	-13.35643	-13.25583	-0.1006047	0.273234	0.860957	0.139043	1.72191	0.278087	0.7372263
70	-11.71778	-11.33085	-0.3869327	0.348721	0.907416	0.0925839	1.81483	0.185168	0.9816383
80	-16.2038	-15.81465	-0.3891488	0.045335	0.678719	0.321281	1.35744	0.642561	0.9838161
90	-12.16791	-11.77701	-0.3908953	0.0596657	0.901669	0.0983312	1.80334	0.196662	0.9855359
100	-15.71194	-15.50182	-0.2101183	0.314467	0.731377	0.268623	1.46275	0.537246	0.8225493
110	-13.29991	-12.92863	-0.3712778	-0.0295326	0.956942	0.0430577	1.91388	0.0861154	0.9663904
120	-12.15347	-11.75859	-0.3948827	0.218714	0.956651	0.0433491	1.9133	0.0866983	0.9894734
130	-12.2951	-11.9661	-0.3290002	0.408702	0.887117	0.112883	1.77423	0.225765	0.9263854
140	-13.51267	-13.4437	-0.06897218	0.0785762	0.877799	0.122201	1.7556	0.244403	0.7142709
150	-12.40152	-12.18222	-0.2193042	0.368136	0.896611	0.103389	1.79322	0.206778	0.83014
160	-12.98662	-12.70765	-0.2789702	0.369429	0.853779	0.146221	1.70756	0.292442	0.8811786
170	-13.38429	-13.00137	-0.3829186	-0.109089	0.950356	0.0496436	1.90071	0.0992873	0.9777058
180	-13.63167	-13.32735	-0.3043237	0.101758	0.819129	0.180871	1.63826	0.361741	0.9038052
190	-13.73904	-13.48515	-0.2538936	0.518172	0.856438	0.143562	1.71288	0.287124	0.8593565
200	-12.86993	-12.49808	-0.3718446	0.497682	0.956141	0.0438589	1.91228	0.0877178	0.9669384
210	-13.31065	-12.99996	-0.3106832	0.0155902	0.848649	0.151351	1.6973	0.302703	0.9095713
220	-12.28581	-12.0726	-0.2132043	0.166007	0.928297	0.0717031	1.85659	0.143406	0.8250917
230	-12.77154	-12.62024	-0.1512967	0.111442	0.928547	0.0714535	1.85709	0.142907	0.7755612
240	-12.72528	-12.60016	-0.1251181	0.379512	0.917108	0.082892	1.83422	0.165784	0.7555215
250	-12.04479	-11.71199	-0.3327959	0.185148	0.896913	0.103087	1.79383	0.206175	0.9299084
260	-15.47239	-15.11659	-0.3557922	-0.208504	0.960611	0.0393889	1.92122	0.0787777	0.9515406
270	-12.54347	-12.34476	-0.1987123	0.437769	0.924752	0.0752481	1.8495	0.150496	0.8132206
280	-15.34673	-15.27237	-0.07435622	0.491662	0.820635	0.179365	1.64127	0.358731	0.718127
290	-11.82906	-11.45079	-0.3782738	0.318515	0.949742	0.0502583	1.89948	0.100517	0.973175
300	-15.80848	-15.52372	-0.2847542	0.614985	0.811598	0.188402	1.6232	0.376804	0.8862901
310	-14.89078	-14.53839	-0.3523947	-0.29755	0.934723	0.0652771	1.86945	0.130554	0.9483133
320	-11.89099	-11.53405	-0.3569412	0.357632	0.900894	0.0991064	1.80179	0.198213	0.9526346
330	-14.07042	-13.68825	-0.3821681	-0.258484	0.89587	0.10413	1.79174	0.208259	0.9769723
340	-13.61062	-13.4622	-0.1484124	0.0753221	0.848665	0.151335	1.69733	0.30267	0.7733274
350	-14.27553	-13.99797	-0.2775605	-0.184503	0.858883	0.141117	1.71777	0.282235	0.8799373
360	-14.78243	-14.65384	-0.1285923	-0.187669	0.881635	0.118365	1.76327	0.236729	0.7581509
370	-12.00952	-11.76304	-0.2464793	0.238125	0.926622	0.0733776	1.85324	0.146755	0.8530085
380	-13.74352	-13.58412	-0.1594004	0.181713	0.828419	0.171581	1.65684	0.343162	0.7818716
390	-14.73872	-14.64482	-0.0939009	0.423765	0.818805	0.181195	1.63761	0.36239	0.7323006
400	-12.61203	-12.43328	-0.178754	0.131334	0.932644	0.0673563	1.86529	0.134713	0.797151
410	-13.49723	-13.26493	-0.232309	0.143932	0.831378	0.168622	1.66276	0.337243	0.8410063
420	-12.77068	-12.51776	-0.2529204	0.207825	0.863194	0.136806	1.72639	0.273612	0.8585205
430	-14.43549	-14.20217	-0.2333199	-0.225194	0.909869	0.0901315	1.81974	0.180263	0.8418569
440	-12.40343	-12.21562	-0.1878169	0.388905	0.921246	0.0787544	1.84249	0.157509	0.8044083
450	-13.76634	-13.73622	-0.03012471	0.0879509	0.932043	0.0679569	1.86409	0.135914	0.6870554
460	-12.79866	-12.40474	-0.3939278	0.585506	0.905661	0.0943389	1.81132	0.188678	0.988529
470	-13.17077	-13.0437	-0.1270716	0.0264831	0.907426	0.0925739	1.81485	0.185148	0.7569988
480	-12.96378	-12.78056	-0.1832198	0.00883371	0.916858	0.0831425	1.83372	0.166285	0.8007189
490	-13.24558	-13.05598	-0.1896034	0.331487	0.85139	0.14861	1.70278	0.297221	0.8058467
500	-13.68406	-13.43668	-0.2473838	-0.0116601	0.842167	0.157833	1.68433	0.315667	0.8537803
510	-11.99208	-11.63362	-0.3584565	0.199321	0.949475	0.0505249	1.89895	0.10105	0.9540792
520	-13.03064	-12.82378	-0.2068603	0.0224551	0.883886	0.116114	1.76777	0.232228	0.8198738
530	-12.26003	-12.0161	-0.2439303	0.329514	0.895572	0.104428	1.79114	0.208856	0.850837
540	-12.34819	-12.16734	-0.1808471	0.321741	0.929619	0.070381	1.85924	0.140762	0.7988213
550	-14.99592	-14.85695	-0.1389661	0.245421	0.771729	0.228271	1.54346	0.456542	0.7660568
560	-18.94719	-18.82127	-0.1259266	0.426923	0.648134	0.351866	1.29627	0.703731	0.7561326
570	-11.67529	-11.30475	-0.3705438	0.234798	0.94164	0.0583602	1.88328	0.11672	0.9656814
