Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-20.09412	-19.73076	-0.363359	0.143943	0.947973	0.0520274	1.89595	0.104055	0.958768
1	1	-20.18584	-19.82624	-0.3596025	-0.291833	0.953173	0.0468273	1.90635	0.0936546	0.9551732
2	0	-19.95935	-19.55671	-0.4026417	0.0953906	0.934832	0.0651678	1.86966	0.130336	0.9971805
3	1	-19.14082	-18.77704	-0.3637725	-0.00652277	0.96725	0.0327501	1.9345	0.0655002	0.9591646
4	0	-21.06017	-20.67471	-0.3854611	0.197987	0.929807	0.0701931	1.85961	0.140386	0.9801947
5	1	-19.15092	-18.7948	-0.3561194	-0.0594239	0.967035	0.0329647	1.93407	0.0659293	0.951852
6	0	-20.12268	-19.79258	-0.3300944	-0.229067	0.950127	0.0498731	1.90025	0.0997462	0.9273996
7	1	-20.63363	-20.24884	-0.3847869	0.221832	0.969249	0.0307507	1.9385	0.0615015	0.9795342
8	0	-19.3726	-18.9895	-0.3831	-0.102088	0.974848	0.0251519	1.9497	0.0503039	0.9778831
9	1	-18.68907	-18.29398	-0.3950906	-0.0425496	0.959451	0.0405491	1.9189	0.0810983	0.9896791
10	0	-20.35538	-19.99734	-0.3580375	-0.109073	0.978255	0.0217447	1.95651	0.0434893	0.9536795
11	1	-20.09676	-19.80811	-0.2886496	-0.0544706	0.967868	0.0321319	1.93574	0.0642639	0.8897493
12	0	-19.24855	-18.88694	-0.3616114	-0.023755	0.969882	0.0301179	1.93976	0.0602358	0.9570939
13	1	-19.34098	-18.96273	-0.3782476	0.0952959	0.959023	0.0409775	1.91805	0.0819549	0.9731495
14	0	-19.75819	-19.36429	-0.3938992	-0.304658	0.962935	0.0370655	1.92587	0.074131	0.9885007
15	1	-22.59148	-22.21648	-0.3749986	-0.0196692	0.936708	0.0632918	1.87342	0.126584	0.9699929
16	0	-18.89919	-18.51951	-0.3796745	-0.0178191	0.958532	0.0414681	1.91706	0.0829363	0.9745391
17	1	-19.9061	-19.51775	-0.388355	-0.225621	0.939824	0.0601763	1.87965	0.120353	0.9830354
18	0	-19.40333	-19.05442	-0.3489109	-0.173299	0.965059	0.0349409	1.93012	0.0698818	0.9450153
19	1	-18.99874	-18.62097	-0.3777664	-0.121616	0.968936	0.0310643	1.93787	0.0621285	0.9726814
20	0	-24.24963	-24.01108	-0.2385509	0.330135	0.951119	0.0488814	1.90224	0.0977627	0.8462722
21	1	-20.87229	-20.47571	-0.3965777	0.121873	0.920149	0.0798514	1.8403	0.159703	0.991152
22	0	-19.59633	-19.24793	-0.3483946	0.062419	0.953688	0.0463117	1.90738	0.0926234	0.9445274
23	1	-20.39486	-20.09279	-0.3020687	-0.127359	0.97303	0.0269697	1.94606	0.0539394	0.9017695
24	0	-20.36867	-19.9784	-0.390271	0.222696	0.965076	0.0349245	1.93015	0.0698489	0.9849208
25	1	-19.11328	-18.70796	-0.4053209	-0.230258	0.968851	0.0311488	1.9377	0.0622976	0.9998559
26	0	-20.30233	-19.91507	-0.3872564	0.178948	0.971839	0.0281615	1.94368	0.0563229	0.9819561
27	1	-18.55406	-18.14874	-0.4053209	-0.0928865	0.961281	0.0387193	1.92256	0.0774385	0.9998559
28	0	-19.55947	-19.17221	-0.3872564	0.00109	0.975896	0.0241041	1.95179	0.0482081	0.9819561
29	1	-20.04509	-19.67774	-0.3673535	-0.265693	0.947894	0.0521061	1.89579	0.104212	0.9626055
30	0	-18.95095	-18.55967	-0.3912783	0.0446767	0.958894	0.0411062	1.91779	0.0822124	0.9859134
31	1	-23.6249	-23.31643	-0.3084676	-0.227288	0.883147	0.116853	1.76629	0.233705	0.9075583
32	0	-18.83912	-18.46112	-0.3779915	-0.0919601	0.96246	0.0375398	1.92492	0.0750797	0.9729004
33	1	-18.67134	-18.27538	-0.395957	-0.0308518	0.961124	0.0388759	1.92225	0.0777517	0.990537
34	0	-19.02859	-18.64143	-0.3871602	0.0061333	0.970428	0.0295724	1.94086	0.0591448	0.9818616
