Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-19.30807	-18.9263	-0.3817658	-0.189547	0.971187	0.0288134	1.94237	0.0576269	0.9765793
10	-18.80249	-18.41926	-0.3832298	-0.0551281	0.959551	0.040449	1.9191	0.080898	0.97801
20	-20.21981	-19.90343	-0.3163793	-0.0985373	0.973845	0.0261546	1.94769	0.0523092	0.914767
30	-20.11356	-19.7963	-0.3172562	-0.0373293	0.973009	0.0269908	1.94602	0.0539816	0.9155696
40	-21.92096	-21.75061	-0.1703454	-0.0185681	0.942101	0.0578988	1.8842	0.115798	0.7904762
50	-22.03317	-21.80283	-0.2303348	-0.19795	0.928859	0.0711411	1.85772	0.142282	0.8393476
60	-22.19821	-21.98434	-0.213863	0.0842582	0.971605	0.0283951	1.94321	0.0567902	0.8256353
70	-20.21178	-19.90225	-0.3095331	-0.22875	0.956726	0.0432739	1.91345	0.0865479	0.9085258
80	-20.91215	-20.67854	-0.2336136	0.0304641	0.952029	0.047971	1.90406	0.0959421	0.8421042
90	-19.51041	-19.13099	-0.3794261	0.0835155	0.970772	0.029228	1.94154	0.058456	0.9742971
100	-21.42093	-21.05923	-0.3616924	-0.238288	0.933789	0.0662111	1.86758	0.132422	0.9571715
110	-18.94303	-18.55447	-0.3885532	-0.174433	0.959613	0.0403874	1.91923	0.0807749	0.9832303
120	-19.05129	-18.65109	-0.4002001	0.0877445	0.965017	0.0349834	1.93003	0.0699669	0.9947488
130	-20.69753	-20.3102	-0.3873346	0.0322678	0.917751	0.0822486	1.8355	0.164497	0.9820329
140	-20.27184	-19.87181	-0.4000306	0.140443	0.934214	0.0657859	1.86843	0.131572	0.9945802
150	-18.91569	-18.52054	-0.395148	0.0526378	0.961395	0.0386049	1.92279	0.0772097	0.9897359
160	-19.74102	-19.40763	-0.3333866	0.0226789	0.969554	0.0304462	1.93911	0.0608925	0.9304578
170	-21.21079	-20.94763	-0.2631564	-0.102828	0.974608	0.0253924	1.94922	0.0507848	0.8673535
180	-22.06344	-21.87147	-0.1919705	0.00690961	0.931947	0.0680525	1.86389	0.136105	0.8077565
190	-21.40442	-21.12717	-0.277255	0.0456766	0.968723	0.0312772	1.93745	0.0625544	0.8796685
200	-23.56102	-23.37323	-0.1877838	0.226236	0.963356	0.0366441	1.92671	0.0732881	0.8043817
210	-19.9804	-19.64827	-0.3321346	-0.0510448	0.940151	0.0598491	1.8803	0.119698	0.9292936
220	-19.26106	-18.90719	-0.3538723	0.016582	0.964292	0.0357083	1.92858	0.0714165	0.9497155
230	-19.52627	-19.19414	-0.3321326	0.00874823	0.956183	0.0438166	1.91237	0.0876333	0.9292918
240	-19.16842	-18.79945	-0.3689692	-0.0541751	0.951097	0.0489026	1.90219	0.0978052	0.964162
250	-19.36613	-18.98701	-0.3791215	0.077473	0.968916	0.0310844	1.93783	0.0621688	0.9740004
260	-18.76795	-18.37901	-0.3889411	-0.0737786	0.95798	0.0420195	1.91596	0.0840391	0.9836117
270	-19.98341	-19.61849	-0.3649161	-0.288827	0.958412	0.0415881	1.91682	0.0831763	0.9602621
280	-20.06525	-19.76494	-0.3003147	0.047178	0.963908	0.0360921	1.92782	0.0721842	0.9001891
290	-22.5454	-22.19445	-0.3509577	-0.163821	0.889395	0.110605	1.77879	0.221209	0.9469515
300	-18.69983	-18.29852	-0.4013072	0.00377779	0.95981	0.0401897	1.91962	0.0803795	0.9958507
