Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	11.02868	9.701738	1.326943	-0.515462	0.433463	0.566537	0.866925	1.13307	0.1768581
1	1	9.499494	8.481988	1.017507	-0.830138	0.463078	0.536922	0.926155	1.07384	0.2409968
2	0	10.12298	8.44472	1.67826	-0.668476	0.697806	0.302194	1.39561	0.604389	0.1244657
3	1	11.5996	10.03496	1.56464	-0.364025	0.290892	0.709108	0.581785	1.41822	0.1394422
4	0	11.96443	10.14095	1.823475	-0.481544	0.274425	0.725575	0.54885	1.45115	0.1076425
5	1	11.42193	9.595338	1.826594	-0.0176498	0.338931	0.661069	0.677863	1.32214	0.1073072
6	0	11.95975	10.11059	1.849155	-0.38873	0.65497	0.34503	1.30994	0.69006	0.1049134
7	1	12.61945	10.96481	1.654648	-0.519991	0.493767	0.506233	0.987533	1.01247	0.1274395
8	0	12.37058	10.76782	1.602759	-0.492054	0.495111	0.504889	0.990223	1.00978	0.1342269
9	1	10.26704	9.015908	1.25113	-0.426709	0.362077	0.637923	0.724155	1.27585	0.1907876
10	0	12.20183	10.32549	1.876339	-0.13411	0.371438	0.628562	0.742876	1.25712	0.1020998
11	1	11.58981	10.05502	1.534788	-0.566167	0.281702	0.718298	0.563404	1.4366	0.1436677
12	0	10.43194	8.451715	1.980229	-0.513247	0.708535	0.291465	1.41707	0.58293	0.09202511
13	1	12.78555	10.50539	2.28016	-0.304733	0.508099	0.491901	1.0162	0.983802	0.06817857
14	0	12.57068	10.7169	1.853785	-0.331518	0.330772	0.669228	0.661544	1.33846	0.1044288
15	1	12.40492	10.59892	1.805998	-0.409856	0.306094	0.693906	0.612188	1.38781	0.1095403
16	0	11.16916	9.771023	1.398136	-0.720019	0.575813	0.424187	1.15163	0.848375	0.1647047
17	1	12.63174	10.40844	2.223301	-0.49692	0.382791	0.617209	0.765582	1.23442	0.07216747
18	0	8.439924	7.554845	0.8850789	-0.687546	0.564565	0.435435	1.12913	0.870869	0.2751211
19	1	13.05998	11.14363	1.916346	-0.344618	0.404263	0.595737	0.808525	1.19147	0.09809573
20	0	12.93496	11.19003	1.744931	-0.500301	0.469628	0.530372	0.939257	1.06074	0.116438
21	1	12.75838	10.83045	1.927937	-0.264646	0.535446	0.464554	1.07089	0.929108	0.09696535
22	0	11.7503	10.20936	1.540945	-0.477817	0.297914	0.702086	0.595828	1.40417	0.1427857
23	1	12.80505	10.77691	2.028139	-0.194459	0.452223	0.547777	0.904446	1.09555	0.08772014
24	0	12.82154	10.57362	2.247915	-0.307738	0.521191	0.478809	1.04238	0.957618	0.0704128
25	1	13.00525	10.7687	2.236552	-0.325186	0.487741	0.512259	0.975483	1.02452	0.07121744
26	0	11.85308	9.982967	1.870116	-0.719855	0.499522	0.500478	0.999045	1.00096	0.1027372
27	1	10.46298	8.566636	1.896349	0.180723	0.511606	0.488394	1.02321	0.976789	0.1000771
28	0	13.01023	10.92174	2.088492	-0.520989	0.528829	0.471171	1.05766	0.942342	0.08258254
29	1	12.05092	10.49626	1.554664	-0.424454	0.435798	0.564202	0.871596	1.1284	0.1408403
30	0	12.64002	10.95297	1.687055	-0.571216	0.52749	0.47251	1.05498	0.94502	0.1233759
31	1	10.66039	9.209275	1.451118	-0.790041	0.363657	0.636343	0.727314	1.27269	0.1562055
