Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	11.02868	9.701738	1.326943	-0.515462	0.433463	0.566537	0.866925	1.13307	0.1768581
10	10.12298	8.44472	1.67826	-0.668476	0.697806	0.302194	1.39561	0.604389	0.1244657
20	11.96443	10.14095	1.823475	-0.481544	0.274425	0.725575	0.54885	1.45115	0.1076425
30	11.95975	10.11059	1.849155	-0.38873	0.65497	0.34503	1.30994	0.69006	0.1049134
40	12.37058	10.76782	1.602759	-0.492054	0.495111	0.504889	0.990223	1.00978	0.1342269
50	12.20183	10.32549	1.876339	-0.13411	0.371438	0.628562	0.742876	1.25712	0.1020998
60	10.43194	8.451715	1.980229	-0.513247	0.708535	0.291465	1.41707	0.58293	0.09202511
70	12.57068	10.7169	1.853785	-0.331518	0.330772	0.669228	0.661544	1.33846	0.1044288
80	11.16916	9.771023	1.398136	-0.720019	0.575813	0.424187	1.15163	0.848375	0.1647047
90	8.439924	7.554845	0.8850789	-0.687546	0.564565	0.435435	1.12913	0.870869	0.2751211
100	12.93496	11.19003	1.744931	-0.500301	0.469628	0.530372	0.939257	1.06074	0.116438
110	11.7503	10.20936	1.540945	-0.477817	0.297914	0.702086	0.595828	1.40417	0.1427857
120	12.82154	10.57362	2.247915	-0.307738	0.521191	0.478809	1.04238	0.957618	0.0704128
130	11.85308	9.982967	1.870116	-0.719855	0.499522	0.500478	0.999045	1.00096	0.1027372
140	13.01023	10.92174	2.088492	-0.520989	0.528829	0.471171	1.05766	0.942342	0.08258254
150	12.64002	10.95297	1.687055	-0.571216	0.52749	0.47251	1.05498	0.94502	0.1233759
160	11.30035	9.716917	1.583438	-0.604891	0.2628	0.7372	0.525599	1.4744	0.1368455
170	12.61261	10.55228	2.060337	-0.331959	0.331168	0.668832	0.662336	1.33766	0.08494067
180	10.0886	8.190182	1.898419	-0.650766	0.683541	0.316459	1.36708	0.632918	0.09987014
190	11.42824	9.281965	2.146271	-0.0922491	0.318029	0.681971	0.636059	1.36394	0.07794624
200	13.27042	11.20206	2.068368	-0.459114	0.502842	0.497158	1.00568	0.994317	0.08426124
210	12.9718	10.93528	2.036517	-0.523715	0.377105	0.622895	0.75421	1.24579	0.08698829
220	12.5116	10.60505	1.906548	-0.643779	0.536713	0.463287	1.07343	0.926574	0.09906165
230	11.2431	9.580972	1.662132	-0.18008	0.635747	0.364253	1.27149	0.728506	0.1264894
240	12.09474	9.918137	2.176599	-0.0704863	0.434171	0.565829	0.868343	1.13166	0.07561776
250	12.79239	10.7619	2.030484	-0.212789	0.403887	0.596113	0.807775	1.19223	0.08751463
260	11.9356	10.1044	1.831193	-0.561726	0.287412	0.712588	0.574825	1.42518	0.1068149
270	11.27664	9.404846	1.871796	-0.521924	0.251315	0.748685	0.50263	1.49737	0.1025648
280	10.03512	8.795548	1.239568	-0.451739	0.570995	0.429005	1.14199	0.858009	0.1930062
290	9.841239	8.544846	1.296393	-0.83958	0.479197	0.520803	0.958393	1.04161	0.1823444
300	13.1121	11.14742	1.964683	-0.354929	0.515352	0.484648	1.0307	0.969297	0.09346689
310	13.13853	10.94291	2.195614	-0.402602	0.49784	0.50216	0.995681	1.00432	0.07419345
320	13.05397	10.88611	2.167857	-0.436532	0.397047	0.602953	0.794093	1.20591	0.07628172
330	12.66594	10.49808	2.167857	-0.312369	0.356558	0.643442	0.713116	1.28688	0.07628172
340	10.18526	8.716821	1.468442	-0.0371913	0.556111	0.443889	1.11222	0.887778	0.1535227
350	9.095382	7.833139	1.262243	-0.85902	0.412546	0.587454	0.825092	1.17491	0.1886791
360	13.33916	11.27821	2.060956	-0.436681	0.478917	0.521083	0.957833	1.04217	0.0848881
370	13.28018	11.25834	2.021848	-0.362367	0.450283	0.549717	0.900567	1.09943	0.08827369
380	11.48471	9.38653	2.098185	-0.243708	0.659948	0.340052	1.3199	0.680105	0.08178593
390	12.72918	10.70771	2.021468	-0.214534	0.528111	0.471889	1.05622	0.943777	0.08830725
400	13.02858	10.86963	2.158942	-0.529561	0.478207	0.521793	0.956414	1.04359	0.0769648
410	6.192612	4.607698	1.584914	0.439396	0.241874	0.758126	0.483748	1.51625	0.1366437
420	11.75912	9.91529	1.843825	-0.0513009	0.367879	0.632121	0.735759	1.26424	0.105474
430	12.21272	9.969747	2.242976	-0.136724	0.521081	0.478919	1.04216	0.957838	0.07076142
440	12.18276	10.52782	1.654946	-0.71173	0.437115	0.562885	0.87423	1.12577	0.1274016
450	12.0777	10.20841	1.86929	-0.089	0.503787	0.496213	1.00757	0.992426	0.1028221
460	12.6796	10.99096	1.688643	-0.620229	0.409856	0.590144	0.819711	1.18029	0.12318
470	9.334741	8.025351	1.30939	-0.0180263	0.288775	0.711225	0.57755	1.42245	0.1799899
480	13.00076	11.08264	1.918116	-0.447077	0.551931	0.448069	1.10386	0.896139	0.09792225
490	12.15752	9.787046	2.370478	-0.518114	0.44129	0.55871	0.88258	1.11742	0.06229068
500	9.772661	7.691765	2.080896	0.107769	0.643817	0.356183	1.28763	0.712366	0.08321218
510	12.0635	9.68584	2.377664	-0.403735	0.557512	0.442488	1.11502	0.884975	0.06184467
520	12.18044	9.802771	2.377664	-0.425018	0.389316	0.610684	0.778632	1.22137	0.06184467
530	12.96291	11.18379	1.779122	-0.446254	0.477814	0.522186	0.955629	1.04437	0.1125242
540	10.04453	7.995283	2.049246	-0.483274	0.716779	0.283221	1.43356	0.566442	0.08588802
550	13.14378	11.23032	1.913463	-0.369574	0.48326	0.51674	0.966519	1.03348	0.09837897
560	10.9282	8.315599	2.612596	-0.336124	0.462634	0.537366	0.925267	1.07473	0.04889591
570	12.99732	10.84276	2.154564	-0.541709	0.457366	0.542634	0.914731	1.08527	0.07730247
580	12.42627	10.84831	1.57796	-0.571224	0.439342	0.560658	0.878683	1.12132	0.1375971
590	11.97118	9.96213	2.009048	-0.507834	0.445005	0.554995	0.890011	1.10999	0.08941088
600	13.24408	11.30481	1.939269	-0.487734	0.501188	0.498812	1.00238	0.997624	0.0958727
610	12.42389	10.30422	2.119674	-0.629225	0.447908	0.552092	0.895816	1.10418	0.08004715
