Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	3.301601	2.591571	0.7100308	0.228011	0.847284	0.152716	1.69457	0.305432	0.3277527
10	5.238311	4.782513	0.4557983	-0.12875	0.0142682	0.985732	0.0285363	1.97146	0.4226278
20	6.22154	4.898879	1.322661	-0.543292	0.276367	0.723633	0.552733	1.44727	0.177617
30	6.763425	5.129818	1.633608	-0.432421	0.274179	0.725821	0.548357	1.45164	0.1301493
40	5.860111	4.94238	0.917731	-0.732624	0.199536	0.800464	0.399071	1.60093	0.2662829
50	6.299598	4.375325	1.924273	0.464925	0.162347	0.837653	0.324695	1.67531	0.09732119
60	8.020577	6.333321	1.687256	-0.854677	0.072618	0.927382	0.145236	1.85476	0.1233511
70	7.908438	5.154676	2.753762	-0.276894	0.239716	0.760284	0.479432	1.52057	0.04245857
80	7.864111	6.134875	1.729236	-0.550355	0.0556064	0.944394	0.111213	1.88879	0.1182799
90	2.476382	2.44247	0.03391173	0.651263	0.501273	0.498727	1.00255	0.997454	0.6444379
100	2.078312	2.253333	-0.1750209	0.786972	0.49042	0.50958	0.980839	1.01916	0.7941807
110	4.153408	3.383849	0.7695585	-0.0592563	0.539467	0.460533	1.07893	0.921066	0.3088117
120	5.648847	4.559854	1.088993	-0.498957	0.275631	0.724369	0.551263	1.44874	0.2243701
130	5.674231	4.585238	1.088993	0.189107	0.138531	0.861469	0.277063	1.72294	0.2243701
140	4.494862	3.615062	0.8798003	0.549834	0.348962	0.651038	0.697924	1.30208	0.2765772
150	8.351392	6.409974	1.941418	-0.785292	0.0861177	0.913882	0.172235	1.82776	0.09566692
160	1.630049	1.916609	-0.2865603	-0.410318	0.685247	0.314753	1.37049	0.629507	0.8878923
170	3.535956	2.707505	0.8284507	0.780144	0.515552	0.484448	1.0311	0.968895	0.2911503
180	7.040054	4.980605	2.059449	-0.0198779	0.291744	0.708256	0.583487	1.41651	0.08501613
190	6.851286	5.029554	1.821733	-0.231815	0.304335	0.695665	0.60867	1.39133	0.1078302
200	2.192471	2.314534	-0.1220622	0.573193	0.363971	0.636029	0.727941	1.27206	0.7532163
210	5.460456	2.423461	3.036994	0.316297	0.172614	0.827386	0.345228	1.65477	0.03198593
220	8.544517	6.081518	2.462999	-0.637152	0.144716	0.855284	0.289432	1.71057	0.05678607
230	7.121575	5.405273	1.716301	-0.807095	0.264081	0.735919	0.528163	1.47184	0.1198198
240	3.508544	3.546131	-0.03758737	-0.431616	0.0887324	0.911268	0.177465	1.82254	0.6922018
250	7.167695	5.134569	2.033126	-0.0524681	0.250842	0.749158	0.501684	1.49832	0.08728373
260	7.590443	5.434381	2.156062	-0.303859	0.245194	0.754806	0.490389	1.50961	0.07718674
270	6.180411	4.834565	1.345846	0.0686215	0.163355	0.836645	0.32671	1.67329	0.1735463
280	7.926335	5.475476	2.450859	-0.387898	0.247371	0.752629	0.494743	1.50526	0.05747967
290	7.052212	5.193238	1.858974	-0.940715	0.110821	0.889179	0.221642	1.77836	0.1038883
300	4.611271	3.580066	1.031205	0.648585	0.353529	0.646471	0.707058	1.29294	0.2377179
310	7.881456	4.694007	3.187449	-0.515245	0.102065	0.897935	0.204129	1.79587	0.02751803
320	6.568193	5.029861	1.538333	0.124065	0.0359847	0.964015	0.0719693	1.92803	0.1431592
330	4.850778	4.403745	0.4470326	-0.149044	0.0610719	0.938928	0.122144	1.87786	0.4263487
340	8.35841	6.280399	2.078011	-0.730495	0.127463	0.872537	0.254926	1.74507	0.08345266
350	7.730557	5.856478	1.874078	-0.309511	0.0988934	0.901107	0.197787	1.80221	0.1023309
360	8.522862	6.200053	2.322809	-0.635908	0.0744128	0.925587	0.148826	1.85117	0.06533197
370	6.793488	4.051121	2.742367	-0.81453	0.263603	0.736397	0.527207	1.47279	0.04294513
380	6.043055	2.757573	3.285482	-0.339665	0.396159	0.603841	0.792318	1.20768	0.02494836
390	7.24357	3.958088	3.285482	-0.25704	0.225137	0.774863	0.450273	1.54973	0.02494836
400	5.888256	4.580621	1.307635	0.358621	0.161823	0.838177	0.323646	1.67635	0.1803059
410	5.819989	4.572584	1.247404	-0.296108	0.28263	0.71737	0.565259	1.43474	0.1914996
420	7.375347	4.691166	2.684181	-0.878145	0.103476	0.896524	0.206952	1.79305	0.04551805
430	5.935192	4.908534	1.026657	-0.306415	0.120582	0.879418	0.241163	1.75884	0.2388016
440	6.739177	5.064919	1.674259	-0.638593	0.341939	0.658061	0.683878	1.31612	0.1249647
450	6.003998	3.552652	2.451346	-0.0488726	0.566751	0.433249	1.1335	0.866498	0.05745167
460	7.696504	6.256251	1.440252	-0.811196	0.0901519	0.909848	0.180304	1.8197	0.157912
470	6.694654	4.11245	2.582203	-0.679515	0.402991	0.597009	0.805982	1.19402	0.05040482
480	6.165166	4.705661	1.459505	0.293585	0.176001	0.823999	0.352002	1.648	0.1549008
490	6.979999	5.468386	1.511612	-0.695947	0.22295	0.77705	0.4459	1.5541	0.147036
500	5.510323	4.3107	1.199623	-0.161601	0.329766	0.670234	0.659533	1.34047	0.2008719
510	5.901664	5.276225	0.6254395	-0.746951	0.0782361	0.921764	0.156472	1.84353	0.3566842
520	7.529908	6.172072	1.357836	-0.781929	0.0852393	0.914761	0.170479	1.82952	0.1714778
530	3.750338	2.593154	1.157183	0.803112	0.403668	0.596332	0.807336	1.19266	0.2095802
540	4.69483	4.21488	0.4799505	-0.482044	0.12636	0.87364	0.252719	1.74728	0.4125427
550	7.15228	5.307535	1.844744	0.0886069	0.0689226	0.931077	0.137845	1.86215	0.1053772
560	6.037908	3.651992	2.385915	-0.572625	0.0264205	0.97358	0.0528409	1.94716	0.06133648
570	6.019464	4.954711	1.064754	-0.629373	0.200866	0.799134	0.401731	1.59827	0.2298752
580	4.574457	4.095155	0.4793023	-0.572598	0.172347	0.827653	0.344694	1.65531	0.4128102
590	5.961322	4.557964	1.403357	-0.710856	0.437669	0.562331	0.875338	1.12466	0.163847
600	5.095539	4.350648	0.7448909	-0.954951	0.274862	0.725138	0.549724	1.45028	0.3165241
610	6.14424	3.781334	2.362906	-0.458478	0.560481	0.439519	1.12096	0.879037	0.06276414
620	4.316198	3.33926	0.9769386	-0.523107	0.739256	0.260744	1.47851	0.521488	0.2509746
630	7.306836	5.111085	2.195751	-0.219887	0.316309	0.683691	0.632619	1.36738	0.07418331
640	2.28551	2.355872	-0.07036223	-0.434722	0.434542	0.565458	0.869083	1.13092	0.7152645
650	5.541249	4.426542	1.114707	-0.204295	0.250772	0.749228	0.501543	1.49846	0.2186743
660	6.874486	5.285247	1.589239	-0.492382	0.233128	0.766872	0.466255	1.53374	0.1360539
670	5.72943	4.621664	1.107766	0.0358576	0.154113	0.845887	0.308227	1.69177	0.2201973
680	4.833015	4.248064	0.5849508	0.214051	0.0842774	0.915723	0.168555	1.83145	0.3714222
690	5.365231	4.468454	0.8967766	-0.830811	0.361773	0.638227	0.723546	1.27645	0.2719215
700	6.903705	5.60961	1.294094	-0.537487	0.0254396	0.97456	0.0508793	1.94912	0.182764
710	7.675841	6.126236	1.549605	-0.862602	0.131963	0.868037	0.263926	1.73607	0.1415546
720	6.71449	5.307383	1.407106	-0.904186	0.225473	0.774527	0.450947	1.54905	0.1632338
730	4.026188	3.607095	0.4190927	-0.471326	0.239374	0.760626	0.478749	1.52125	0.4384288
740	7.66343	5.821632	1.841798	-0.398236	0.130837	0.869163	0.261673	1.73833	0.1056881
