Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-25.19191	-24.80055	-0.3913634	0.335617	0.956162	0.0438375	1.91232	0.0876751	0.9859973
1	1	-24.75671	-24.36388	-0.3928343	0.152244	0.977361	0.0226392	1.95472	0.0452783	0.9874487
2	0	-25.20561	-24.80426	-0.4013539	-0.0594116	0.930742	0.0692582	1.86148	0.138516	0.9958973
3	1	-24.98284	-24.6013	-0.3815397	0.1948	0.934442	0.065558	1.86888	0.131116	0.9763585
4	0	-24.63094	-24.24341	-0.3875329	0.0239561	0.968194	0.0318058	1.93639	0.0636116	0.9822276
5	1	-27.71098	-27.33104	-0.3799381	0.0726009	0.856174	0.143826	1.71235	0.287652	0.974796
6	0	-26.41337	-26.06358	-0.3497895	0.345195	0.948928	0.051072	1.89786	0.102144	0.9458459
7	1	-24.10854	-23.70727	-0.4012637	0.041325	0.956544	0.0434564	1.91309	0.0869128	0.9958074
8	0	-25.55773	-25.1928	-0.3649359	0.239245	0.934325	0.0656747	1.86865	0.131349	0.9602811
9	1	-24.54072	-24.13529	-0.4054364	0.197577	0.934039	0.0659612	1.86808	0.131922	0.9999713
10	0	-24.99417	-24.5891	-0.4050736	-0.0668095	0.967785	0.0322149	1.93557	0.0644298	0.9996085
11	1	-27.07411	-26.66867	-0.4054364	-0.134373	0.889948	0.110052	1.7799	0.220104	0.9999713
12	0	-25.50762	-25.10314	-0.4044877	-0.0446114	0.914889	0.0851108	1.82978	0.170222	0.999023
13	1	-25.31405	-24.94181	-0.3722363	0.172969	0.978108	0.0218924	1.95622	0.0437847	0.9673172
14	0	-25.02495	-24.65369	-0.3712584	0.00631928	0.966382	0.0336176	1.93276	0.0672353	0.9663718
15	1	-25.06206	-24.70473	-0.357324	0.194125	0.94777	0.0522299	1.89554	0.10446	0.9529993
16	0	-24.44325	-24.04577	-0.3974826	0.203815	0.942496	0.0575035	1.88499	0.115007	0.9920493
17	1	-26.07611	-25.69759	-0.3785145	0.194818	0.906694	0.0933062	1.81339	0.186612	0.9734093
18	0	-24.37105	-23.9763	-0.3947503	0.261025	0.962372	0.0376281	1.92474	0.0752561	0.9893424
19	1	-27.11016	-26.70603	-0.404133	0.0385327	0.859892	0.140108	1.71978	0.280216	0.9986687
20	0	-26.03739	-25.68415	-0.3532345	0.340327	0.95813	0.0418695	1.91626	0.083739	0.94911
21	1	-24.53903	-24.15737	-0.381654	0.0397679	0.952831	0.047169	1.90566	0.094338	0.9764702
22	0	-24.95767	-24.59771	-0.359961	0.0438935	0.953386	0.046614	1.90677	0.093228	0.9555157
23	1	-25.87529	-25.55824	-0.3170432	0.0389513	0.95722	0.0427804	1.91444	0.0855607	0.9153746
24	0	-24.54896	-24.16506	-0.3838967	0.148904	0.942839	0.0571611	1.88568	0.114322	0.9786625
25	1	-26.88587	-26.5458	-0.3400751	0.178299	0.904306	0.0956936	1.80861	0.191387	0.936702
26	0	-26.64055	-26.25836	-0.3821958	0.0721281	0.88312	0.11688	1.76624	0.233759	0.9769993
27	1	-25.94383	-25.59377	-0.3500535	-0.0271622	0.970104	0.0298956	1.94021	0.0597912	0.9460956
28	0	-24.42567	-24.03016	-0.3955048	0.153273	0.939539	0.0604608	1.87908	0.120922	0.9900891
29	1	-25.9626	-25.63013	-0.3324737	0.0233477	0.936057	0.0639432	1.87211	0.127886	0.9296088
30	0	-25.99017	-25.59689	-0.3932856	-0.123579	0.930024	0.0699759	1.86005	0.139952	0.9878943
31	1	-26.07734	-25.77609	-0.3012488	0.156054	0.951638	0.0483616	1.90328	0.0967232	0.9010303
32	0	-24.28099	-23.87903	-0.4019612	0.26005	0.969395	0.0306047	1.93879	0.0612095	0.9965022
33	1	-27.43164	-27.1696	-0.2620385	0.162338	0.973681	0.0263194	1.94736	0.0526388	0.8663844
34	0	-24.71063	-24.33486	-0.3757678	0.251121	0.965071	0.0349292	1.93014	0.0698585	0.9707393
35	1	-27.23787	-26.98513	-0.2527453	0.10769	0.965588	0.0344123	1.93118	0.0688246	0.8583702
36	0	-24.69413	-24.29131	-0.4028147	0.203944	0.931874	0.0681258	1.86375	0.136252	0.9973531
37	1	-26.91155	-26.64858	-0.2629738	0.141267	0.963797	0.0362029	1.92759	0.0724058	0.8671951
38	0	-25.39512	-25.03604	-0.3590801	0.25452	0.973876	0.0261245	1.94775	0.0522489	0.9546744
39	1	-28.5382	-28.27517	-0.263024	0.313772	0.934525	0.0654753	1.86905	0.130951	0.8672386
40	0	-24.58541	-24.20107	-0.3843433	0.036798	0.947252	0.0527478	1.8945	0.105496	0.9790997
41	1	-27.67964	-27.41662	-0.263024	0.0718531	0.924653	0.0753465	1.84931	0.150693	0.8672386
42	0	-25.67445	-25.28726	-0.3871834	-0.0896393	0.933744	0.0662564	1.86749	0.132513	0.9818844
43	1	-26.49854	-26.19537	-0.3031686	-0.00517101	0.961656	0.0383438	1.92331	0.0766875	0.9027618
44	0	-25.84305	-25.48959	-0.3534579	0.143457	0.921647	0.078353	1.84329	0.156706	0.949322
45	1	-24.07281	-23.66755	-0.4052564	0.087055	0.970603	0.0293965	1.94121	0.0587931	0.9997913
46	0	-25.15973	-24.80598	-0.3537472	0.241483	0.967144	0.0328564	1.93429	0.0657129	0.9495967
47	1	-24.9487	-24.56733	-0.3813672	0.176892	0.933652	0.066348	1.8673	0.132696	0.9761901
48	0	-24.6175	-24.2527	-0.3647996	0.141333	0.960951	0.0390485	1.9219	0.0780971	0.9601503
49	1	-25.05863	-24.69609	-0.362542	0.226613	0.971763	0.0282366	1.94353	0.0564732	0.9579851
50	0	-24.78366	-24.40695	-0.3767154	0.162543	0.940488	0.0595119	1.88098	0.119024	0.9716597
51	1	-24.71407	-24.33013	-0.3839397	-0.00470207	0.96017	0.0398297	1.92034	0.0796594	0.9787046
52	0	-24.86938	-24.50763	-0.3617517	0.186162	0.950958	0.0490425	1.90192	0.098085	0.9572283
53	1	-25.14774	-24.74413	-0.4036046	-0.0887889	0.942466	0.0575342	1.88493	0.115068	0.9981413
54	0	-28.5235	-28.15469	-0.3688109	-0.0686824	0.854424	0.145576	1.70885	0.291153	0.9640094
55	1	-25.05603	-24.65242	-0.4036046	0.341586	0.954113	0.0458868	1.90823	0.0917736	0.9981413
