Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-23.97735	-23.57425	-0.4030963	0.194938	0.955507	0.0444932	1.91101	0.0889864	0.997634
10	-25.17228	-24.79569	-0.3765828	0.145616	0.927604	0.0723964	1.85521	0.144793	0.9715308
20	-24.59284	-24.2084	-0.3844383	0.0939646	0.940601	0.0593988	1.8812	0.118798	0.9791927
30	-24.41144	-24.00833	-0.4031112	0.00587916	0.967913	0.0320866	1.93583	0.0641732	0.9976489
40	-25.68303	-25.27992	-0.4031112	0.0445529	0.899063	0.100937	1.79813	0.201875	0.9976489
50	-24.43052	-24.03197	-0.3985476	0.0451348	0.940443	0.0595569	1.88089	0.119114	0.9931063
60	-24.36803	-23.98247	-0.3855598	0.154658	0.948896	0.0511041	1.89779	0.102208	0.9802915
70	-25.28312	-24.88087	-0.4022458	0.336987	0.945911	0.0540887	1.89182	0.108177	0.9967859
80	-29.78831	-29.43392	-0.3543993	0.0688879	0.817673	0.182327	1.63535	0.364655	0.9502162
90	-25.2561	-24.88788	-0.3682234	-0.0348708	0.954068	0.0459322	1.90814	0.0918644	0.9634432
100	-25.25154	-24.85883	-0.3927185	0.109442	0.915217	0.0847828	1.83043	0.169566	0.9873343
110	-25.35391	-24.99908	-0.354831	0.0428262	0.938643	0.0613569	1.87729	0.122714	0.9506264
120	-24.95194	-24.57389	-0.3780485	0.29271	0.965174	0.0348258	1.93035	0.0696516	0.9729558
130	-24.11732	-23.72474	-0.3925792	0.142673	0.95395	0.04605	1.9079	0.0920999	0.9871968
140	-25.91222	-25.51081	-0.4014126	0.31607	0.923773	0.0762268	1.84755	0.152454	0.9959557
150	-26.55164	-26.15884	-0.3928042	-0.0627355	0.894169	0.105831	1.78834	0.211661	0.9874189
160	-24.14588	-23.75019	-0.3956869	0.20666	0.956539	0.0434611	1.91308	0.0869223	0.9902694
170	-26.64914	-26.29331	-0.355823	0.0355449	0.980514	0.0194857	1.96103	0.0389714	0.9515699
180	-25.50818	-25.11777	-0.3904156	-0.102269	0.961791	0.0382091	1.92358	0.0764183	0.9850632
190	-26.21484	-25.87587	-0.3389689	-0.0394902	0.96846	0.0315401	1.93692	0.0630802	0.9356664
200	-27.63985	-27.23718	-0.4026767	0.251782	0.865614	0.134386	1.73123	0.268771	0.9972155
210	-28.11433	-27.73972	-0.3746118	0.4722	0.953348	0.0466521	1.9067	0.0933041	0.9696178
