Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-103.9572	-103.5546	-0.4025516	0.0751384	0.969461	0.0305385	1.93892	0.0610771	0.9970907
1	1	-105.6991	-105.3069	-0.3921498	0.0997345	0.954558	0.0454417	1.90912	0.0908833	0.9867729
2	0	-104.091	-103.6896	-0.4013577	0.204335	0.981606	0.018394	1.96321	0.0367879	0.995901
3	1	-105.0117	-104.6104	-0.4013193	0.162232	0.952529	0.0474708	1.90506	0.0949415	0.9958628
4	0	-103.0006	-102.5953	-0.4052945	0.145749	0.976164	0.0238365	1.95233	0.047673	0.9998294
5	1	-103.7995	-103.3942	-0.4052852	0.172333	0.959425	0.040575	1.91885	0.0811499	0.9998201
6	0	-103.7071	-103.3092	-0.397956	0.133123	0.97443	0.0255696	1.94886	0.0511391	0.992519
7	1	-102.951	-102.5466	-0.4043576	0.154532	0.96974	0.0302599	1.93948	0.0605198	0.9988932
8	0	-104.7736	-104.3744	-0.3992446	0.113121	0.955917	0.0440832	1.91183	0.0881665	0.9937988
9	1	-104.3081	-103.9037	-0.4043576	0.0768909	0.959098	0.0409021	1.9182	0.0818041	0.9988932
10	0	-105.7857	-105.392	-0.3936285	0.306299	0.976947	0.0230532	1.95389	0.0461065	0.9882332
11	1	-103.3938	-102.9921	-0.4016167	0.163927	0.977613	0.0223867	1.95523	0.0447734	0.996159
12	0	-106.5268	-106.1226	-0.4042031	0.0342458	0.94487	0.0551304	1.88974	0.110261	0.9987388
13	1	-105.5389	-105.1348	-0.4041032	0.175486	0.947712	0.0522876	1.89542	0.104575	0.998639
14	0	-105.4282	-105.0498	-0.3783606	0.182143	0.97224	0.0277597	1.94448	0.0555194	0.9732595
15	1	-103.2418	-102.8369	-0.4049154	0.175543	0.979157	0.020843	1.95831	0.041686	0.9994504
16	0	-105.2325	-104.8291	-0.4033175	0.0733	0.951542	0.0484578	1.90308	0.0969156	0.9978547
17	1	-104.0674	-103.6715	-0.3959596	0.184268	0.965968	0.0340322	1.93194	0.0680643	0.9905395
18	0	-106.4914	-106.098	-0.393406	0.3062	0.982934	0.017066	1.96587	0.034132	0.9880133
19	1	-104.3082	-103.9136	-0.3945716	0.237832	0.972241	0.0277595	1.94448	0.055519	0.9891656
20	0	-105.0141	-104.6124	-0.4016906	0.1663	0.952442	0.0475577	1.90488	0.0951154	0.9962327
21	1	-104.5178	-104.1145	-0.4033575	0.046573	0.970763	0.0292368	1.94153	0.0584736	0.9978946
22	0	-103.5799	-103.1783	-0.4016452	0.159015	0.964292	0.0357084	1.92858	0.0714169	0.9961873
23	1	-104.8101	-104.4156	-0.3944723	0.266267	0.97282	0.02718	1.94564	0.05436	0.9890674
24	0	-103.0868	-102.682	-0.4047304	0.145567	0.976483	0.0235173	1.95297	0.0470346	0.9992656
25	1	-103.5735	-103.1739	-0.3995984	0.1449	0.967073	0.0329267	1.93415	0.0658533	0.9941504
26	0	-104.5533	-104.1581	-0.3951311	0.0950414	0.975078	0.0249215	1.95016	0.049843	0.9897192
27	1	-106.1421	-105.7512	-0.3909383	0.0790029	0.979646	0.0203538	1.95929	0.0407076	0.9855782
28	0	-105.3104	-104.9122	-0.3982125	0.130575	0.951886	0.0481135	1.90377	0.0962271	0.9927736
29	1	-105.1962	-104.7938	-0.4024109	0.0574907	0.978281	0.0217189	1.95656	0.0434377	0.9969505
30	0	-104.1712	-103.7786	-0.392554	0.211708	0.972967	0.0270328	1.94593	0.0540656	0.9871719
31	1	-104.9704	-104.5824	-0.3879409	0.206533	0.979461	0.020539	1.95892	0.041078	0.9826284
32	0	-105.4717	-105.081	-0.3906868	0.0685241	0.962825	0.0371747	1.92565	0.0743494	0.9853303
33	1	-107.703	-107.3114	-0.3915587	0.113917	0.939231	0.0607688	1.87846	0.121538	0.9861899
34	0	-103.3743	-102.9711	-0.4032094	0.172528	0.96527	0.0347299	1.93054	0.0694598	0.9977469
35	1	-104.3933	-103.9997	-0.3935888	0.22896	0.978426	0.0215745	1.95685	0.043149	0.9881939
36	0	-105.1528	-104.7601	-0.3927224	0.16571	0.981716	0.0182841	1.96343	0.0365682	0.9873381
37	1	-103.8646	-103.4683	-0.3963282	0.128927	0.969371	0.0306294	1.93874	0.0612589	0.9909047
38	0	-105.0633	-104.6588	-0.4045278	0.29821	0.968739	0.031261	1.93748	0.0625219	0.9990631
39	1	-107.43	-107.0465	-0.3834183	0.323854	0.97581	0.0241902	1.95162	0.0483804	0.9781945
40	0	-104.5708	-104.1747	-0.3960542	0.110256	0.977872	0.0221285	1.95574	0.044257	0.9906333
41	1	-104.4177	-104.022	-0.3956741	0.0873767	0.969241	0.0307592	1.93848	0.0615184	0.9902568
42	0	-104.2559	-103.8555	-0.400393	0.0720509	0.971535	0.0284648	1.94307	0.0569296	0.9949407
43	1	-103.28	-102.878	-0.4020113	0.217802	0.974088	0.0259124	1.94818	0.0518248	0.9965522
44	0	-104.1441	-103.7506	-0.3934973	0.125652	0.970373	0.0296272	1.94075	0.0592544	0.9881035
45	1	-106.3384	-105.9515	-0.3869201	0.037096	0.968046	0.0319545	1.93609	0.0639089	0.9816259
