Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-108.4616	-108.0569	-0.4047204	0.137826	0.926036	0.0739645	1.85207	0.147929	0.9992556
10	-104.9606	-104.5643	-0.3962659	0.285291	0.977213	0.0227868	1.95443	0.0455737	0.990843
20	-106.9006	-106.4952	-0.4053625	0.270155	0.950704	0.0492958	1.90141	0.0985916	0.9998974
30	-103.1447	-102.7393	-0.4054615	0.177394	0.965646	0.0343542	1.93129	0.0687084	0.9999964
40	-103.4448	-103.0427	-0.4020228	0.126178	0.975381	0.0246194	1.95076	0.0492389	0.9965636
50	-104.0773	-103.6733	-0.4040389	0.234336	0.96418	0.0358204	1.92836	0.0716409	0.9985748
60	-103.7786	-103.3757	-0.4028525	0.0887377	0.966457	0.0335431	1.93291	0.0670863	0.9973908
70	-104.3462	-103.9421	-0.4040659	0.163259	0.982599	0.0174014	1.9652	0.0348028	0.9986017
80	-108.9193	-108.5227	-0.3966188	0.13936	0.928234	0.0717659	1.85647	0.143532	0.9911927
90	-103.2575	-102.8545	-0.4030709	0.223408	0.976311	0.0236888	1.95262	0.0473777	0.9976086
100	-103.2659	-102.8617	-0.4041912	0.16968	0.965323	0.0346768	1.93065	0.0693536	0.9987269
110	-106.3933	-106.0088	-0.3845012	0.229164	0.960327	0.039673	1.92065	0.0793461	0.9792543
120	-103.5182	-103.1128	-0.4053763	0.253945	0.978492	0.0215084	1.95698	0.0430168	0.9999112
130	-104.6814	-104.2824	-0.3989918	0.241179	0.964301	0.0356988	1.9286	0.0713977	0.9935476
140	-104.9384	-104.5419	-0.3964074	0.10471	0.957405	0.0425946	1.91481	0.0851891	0.9909832
150	-106.494	-106.0998	-0.3942026	0.101663	0.946418	0.0535819	1.89284	0.107164	0.9888007
160	-105.0892	-104.6929	-0.3962755	0.229835	0.961529	0.0384707	1.92306	0.0769413	0.9908525
170	-103.0506	-102.6467	-0.4039274	0.139075	0.96979	0.0302103	1.93958	0.0604206	0.9984635
180	-103.2333	-102.8292	-0.4040817	0.226065	0.971906	0.0280941	1.94381	0.0561882	0.9986176
190	-104.0219	-103.6178	-0.4040817	0.0668929	0.972043	0.0279575	1.94409	0.055915	0.9986176
200	-105.2552	-104.8558	-0.3993752	0.0633373	0.956208	0.0437922	1.91242	0.0875845	0.9939286
210	-103.259	-102.8579	-0.4010598	0.16275	0.975386	0.0246137	1.95077	0.0492273	0.9956043
220	-104.4083	-104.0034	-0.4049013	0.0440851	0.969965	0.0300346	1.93993	0.0600692	0.9994363
230	-103.7716	-103.3726	-0.3989702	0.109984	0.970389	0.0296109	1.94078	0.0592219	0.9935261
240	-106.2636	-105.8762	-0.3873862	0.0389314	0.966287	0.0337126	1.93257	0.0674252	0.9820836
250	-104.4294	-104.0307	-0.3986898	0.198342	0.961258	0.0387423	1.92252	0.0774845	0.9932476
260	-104.4692	-104.0798	-0.3894014	0.183695	0.969045	0.0309555	1.93809	0.061911	0.9840647
270	-103.1558	-102.7509	-0.4048631	0.115719	0.972858	0.0271417	1.94572	0.0542834	0.9993981
280	-107.0012	-106.6102	-0.3909537	0.00745645	0.972289	0.0277107	1.94458	0.0554214	0.9855934
290	-107.1573	-106.754	-0.4033497	0.337109	0.985245	0.0147547	1.97049	0.0295094	0.9978868
300	-103.6932	-103.2901	-0.4031012	0.194504	0.963601	0.036399	1.9272	0.0727981	0.9976388
310	-105.2817	-104.8918	-0.3898852	0.236993	0.981174	0.0188256	1.96235	0.0376513	0.9845408
320	-104.7929	-104.4004	-0.3924988	0.10703	0.976674	0.0233265	1.95335	0.046653	0.9871174
330	-103.5588	-103.1609	-0.3979091	0.192777	0.971573	0.0284271	1.94315	0.0568542	0.9924725
340	-104.3007	-103.9071	-0.3936704	0.110272	0.969272	0.0307277	1.93854	0.0614554	0.9882745
350	-104.853	-104.4564	-0.3966167	0.171388	0.957581	0.0424189	1.91516	0.0848379	0.9911906
360	-104.4455	-104.0523	-0.3932251	0.175714	0.979386	0.0206143	1.95877	0.0412285	0.9878346
370	-105.5442	-105.1659	-0.3783722	0.151748	0.968605	0.0313954	1.93721	0.0627907	0.9732708
380	-105.2021	-104.813	-0.3891161	0.192485	0.981116	0.0188837	1.96223	0.0377674	0.9837839
390	-103.1509	-102.7489	-0.4020814	0.174225	0.975787	0.0242132	1.95157	0.0484264	0.996622
400	-104.6927	-104.2896	-0.4030915	0.0884727	0.97966	0.0203403	1.95932	0.0406807	0.9976292
410	-103.2049	-102.7998	-0.4051097	0.109275	0.969175	0.0308253	1.93835	0.0616506	0.9996446
420	-105.6876	-105.3024	-0.3851283	0.0816895	0.964814	0.0351856	1.92963	0.0703712	0.9798685
430	-104.1614	-103.7687	-0.3926566	0.156866	0.968087	0.0319132	1.93617	0.0638264	0.9872732
440	-103.2658	-102.8612	-0.4046829	0.106506	0.971773	0.0282269	1.94355	0.0564537	0.9992181
450	-104.7224	-104.3291	-0.3932871	0.18574	0.962192	0.0378083	1.92438	0.0756165	0.9878958
460	-103.6392	-103.242	-0.3972711	0.173634	0.976027	0.0239728	1.95205	0.0479455	0.9918395
470	-102.8593	-102.4548	-0.4044408	0.164827	0.973389	0.0266109	1.94678	0.0532217	0.9989762
480	-104.025	-103.631	-0.3939188	0.162152	0.968284	0.0317163	1.93657	0.0634326	0.9885201
490	-104.9841	-104.581	-0.4030804	0.245407	0.95983	0.0401702	1.91966	0.0803404	0.9976181
500	-104.7331	-104.3457	-0.3873854	0.153128	0.967215	0.0327852	1.93443	0.0655703	0.9820827
510	-105.0304	-104.631	-0.3994432	0.145078	0.95322	0.0467801	1.90644	0.0935602	0.9939962
520	-103.6186	-103.2186	-0.4000791	0.140001	0.97673	0.0232699	1.95346	0.0465399	0.9946285
530	-104.1809	-103.7816	-0.3992159	0.261291	0.977438	0.0225621	1.95488	0.0451242	0.9937703
540	-103.575	-103.1698	-0.4052259	0.0831969	0.971655	0.0283449	1.94331	0.0566898	0.9997608
550	-104.5461	-104.142	-0.4041123	0.0411934	0.967549	0.0324515	1.9351	0.0649029	0.9986481
560	-103.5089	-103.1071	-0.4017997	0.156052	0.978231	0.021769	1.95646	0.0435379	0.9963413
570	-103.0955	-102.6924	-0.4031715	0.204558	0.972289	0.0277108	1.94458	0.0554217	0.9977091
580	-103.5628	-103.1575	-0.4052567	0.22727	0.966614	0.0333864	1.93323	0.0667728	0.9997916
590	-104.2571	-103.8543	-0.4028123	0.242727	0.964977	0.0350227	1.92995	0.0700453	0.9973507
600	-103.6969	-103.2981	-0.3988594	0.180821	0.9668	0.0332001	1.9336	0.0664001	0.993416
610	-105.4954	-105.1036	-0.391744	0.127438	0.955448	0.0445516	1.9109	0.0891032	0.9863726
620	-104.6765	-104.2767	-0.3997888	0.169345	0.982476	0.0175236	1.96495	0.0350471	0.9943398
630	-105.1318	-104.7267	-0.4051713	0.322394	0.978051	0.0219495	1.9561	0.0438989	0.9997062
640	-103.7256	-103.3204	-0.4051713	0.247761	0.968567	0.0314332	1.93713	0.0628664	0.9997062
650	-105.0669	-104.6679	-0.3989728	0.212257	0.957621	0.0423791	1.91524	0.0847582	0.9935287
660	-104.2787	-103.8816	-0.3970763	0.0925259	0.96659	0.0334096	1.93318	0.0668192	0.9916462
670	-105.1082	-104.717	-0.3911723	0.0903006	0.962741	0.0372588	1.92548	0.0745177	0.9858088
680	-103.4908	-103.0886	-0.4022459	0.179582	0.96535	0.0346497	1.9307	0.0692993	0.996786
690	-104.3069	-103.9131	-0.393732	0.233192	0.972607	0.027393	1.94521	0.0547861	0.9883354
700	-103.2961	-102.8915	-0.4046646	0.203959	0.979482	0.0205175	1.95896	0.041035	0.9991998
710	-103.0945	-102.6922	-0.4022334	0.171882	0.974832	0.0251679	1.94966	0.0503358	0.9967735
720	-106.9425	-106.5487	-0.393805	0.0733834	0.944991	0.0550089	1.88998	0.110018	0.9884076
730	-104.6457	-104.249	-0.3967236	0.103906	0.960108	0.0398915	1.92022	0.0797831	0.9912966
740	-103.7422	-103.3425	-0.3997325	0.198616	0.966702	0.0332975	1.9334	0.0665951	0.9942838
750	-103.3444	-102.9404	-0.4040712	0.106081	0.972417	0.0275833	1.94483	0.0551665	0.998607
760	-103.9218	-103.5272	-0.3946112	0.193102	0.970619	0.0293811	1.94124	0.0587621	0.9892048
770	-107.6915	-107.3289	-0.3626035	0.153578	0.961313	0.0386871	1.92263	0.0773743	0.958044
780	-102.9734	-102.5686	-0.4047696	0.18515	0.969213	0.0307871	1.93843	0.0615742	0.9993047
790	-103.9795	-103.5782	-0.4012971	0.258531	0.978316	0.0216838	1.95663	0.0433676	0.9958407
800	-105.6232	-105.2284	-0.3948644	0.210885	0.983957	0.0160428	1.96791	0.0320856	0.9894553
810	-104.666	-104.2615	-0.4045121	0.0462075	0.974473	0.0255274	1.94895	0.0510548	0.9990474
820	-104.5518	-104.147	-0.4048642	0.112986	0.953231	0.0467689	1.90646	0.0935379	0.9993993
830	-103.1257	-102.7213	-0.4043436	0.22431	0.973588	0.0264124	1.94718	0.0528248	0.9988791
840	-103.9232	-103.5204	-0.4027775	0.0932	0.963122	0.036878	1.92624	0.073756	0.997316
850	-102.9559	-102.5523	-0.4036129	0.168371	0.971236	0.0287638	1.94247	0.0575276	0.9981495
860	-107.9686	-107.577	-0.3916288	0.0107292	0.978733	0.0212672	1.95747	0.0425344	0.9862589
870	-103.6776	-103.2804	-0.3972144	0.142546	0.97389	0.0261096	1.94778	0.0522192	0.9917833
880	-105.693	-105.2994	-0.3935619	0.229629	0.983746	0.0162536	1.96749	0.0325071	0.9881674
890	-105.0382	-104.6442	-0.3940388	0.140524	0.957309	0.0426907	1.91462	0.0853815	0.9886387
900	-103.09	-102.6855	-0.4045271	0.215296	0.971489	0.0285114	1.94298	0.0570227	0.9990625
910	-103.2776	-102.873	-0.4045271	0.116707	0.966845	0.0331547	1.93369	0.0663093	0.9990625
920	-103.8824	-103.4846	-0.3977156	0.154812	0.965134	0.0348664	1.93027	0.0697328	0.9922804
930	-105.0703	-104.6701	-0.4001082	0.245501	0.961256	0.0387443	1.92251	0.0774885	0.9946574
940	-104.1925	-103.7878	-0.4046624	0.105019	0.979671	0.0203294	1.95934	0.0406587	0.9991976
950	-104.7739	-104.3811	-0.3927841	0.226646	0.98054	0.0194598	1.96108	0.0389195	0.9873991
960	-104.0181	-103.6241	-0.3940248	0.208452	0.975814	0.0241858	1.95163	0.0483716	0.9886249
970	-103.8706	-103.475	-0.3955495	0.138838	0.969553	0.030447	1.93911	0.060894	0.9901334
980	-106.2952	-105.8946	-0.4005942	0.290695	0.961178	0.0388217	1.92236	0.0776433	0.9951409
990	-103.2255	-102.8232	-0.4023276	0.136042	0.973801	0.0261994	1.9476	0.0523987	0.9968674
1000	-103.3348	-102.9337	-0.4011681	0.154303	0.968176	0.031824	1.93635	0.063648	0.9957122
1010	-106.9504	-106.556	-0.3943732	0.22182	0.949244	0.050756	1.89849	0.101512	0.9889693
