Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-11.0183	-10.86916	-0.1491393	-0.0202774	0.912478	0.0875219	1.82496	0.175044	0.7738898
1	1	-9.590717	-9.211012	-0.379705	0.457552	0.974664	0.0253362	1.94933	0.0506725	0.9745689
2	0	-11.37943	-11.13978	-0.2396578	-0.221146	0.93992	0.0600801	1.87984	0.12016	0.8472094
3	1	-12.06081	-11.66318	-0.3976247	0.535219	0.874934	0.125066	1.74987	0.250132	0.9921902
4	0	-10.06226	-9.695206	-0.3670547	0.473548	0.926173	0.0738271	1.85235	0.147654	0.9623179
5	1	-10.71751	-10.46652	-0.2509916	0.568675	0.966506	0.0334944	1.93301	0.0669888	0.8568662
6	0	-9.937631	-9.806117	-0.1315141	0.0988885	0.954694	0.0453062	1.90939	0.0906125	0.7603694
7	1	-10.15333	-9.822781	-0.3305491	0.522015	0.972864	0.0271356	1.94573	0.0542712	0.9278214
8	0	-9.553926	-9.150747	-0.4031798	0.012709	0.94544	0.0545599	1.89088	0.10912	0.9977173
9	1	-9.885164	-9.544877	-0.3402871	0.195902	0.921889	0.0781115	1.84378	0.156223	0.9369006
10	0	-12.01639	-11.63829	-0.3780936	0.123898	0.848203	0.151797	1.69641	0.303594	0.9729997
11	1	-9.292959	-9.031129	-0.2618307	0.146741	0.959828	0.0401722	1.91966	0.0803444	0.8662043
12	0	-9.947407	-9.57084	-0.3765665	0.208884	0.979975	0.020025	1.95995	0.0400501	0.971515
13	1	-9.358266	-9.00268	-0.3555861	0.0491372	0.966124	0.0338765	1.93225	0.0677529	0.9513445
14	0	-10.37187	-10.13599	-0.2358823	0.377111	0.9153	0.0846996	1.8306	0.169399	0.8440168
15	1	-8.862418	-8.471599	-0.3908192	0.393565	0.96333	0.0366697	1.92666	0.0733394	0.9854609
16	0	-9.642802	-9.496946	-0.1458567	0.226518	0.95909	0.0409104	1.91818	0.0818207	0.7713535
17	1	-9.407808	-9.016989	-0.3908192	0.25018	0.934734	0.0652664	1.86947	0.130533	0.9854609
18	0	-11.08361	-10.87595	-0.2076646	0.143172	0.889269	0.110731	1.77854	0.221462	0.8205335
19	1	-9.865564	-9.500447	-0.3651165	0.274387	0.920782	0.0792181	1.84156	0.158436	0.9604545
20	0	-10.09426	-9.813423	-0.2808361	0.245219	0.916571	0.0834285	1.83314	0.166857	0.8828243
21	1	-10.69514	-10.74109	0.04595263	0.249943	0.948938	0.0510615	1.89788	0.102123	0.6367248
22	0	-10.32863	-10.15679	-0.1718331	0.351983	0.920644	0.0793558	1.84129	0.158712	0.7916531
23	1	-9.385595	-9.002552	-0.3830438	0.0108648	0.962872	0.0371278	1.92574	0.0742555	0.9778281
24	0	-9.314611	-8.913116	-0.4014952	0.356553	0.938357	0.061643	1.87671	0.123286	0.9960379
25	1	-9.371609	-9.150902	-0.2207062	0.342046	0.952854	0.0471457	1.90571	0.0942915	0.8313047
26	0	-10.29894	-9.912387	-0.38655	0.184627	0.90784	0.0921602	1.81568	0.18432	0.9812626
27	1	-9.125676	-8.853959	-0.2717174	0.323317	0.959131	0.0408691	1.91826	0.0817381	0.8748107
28	0	-10.1165	-9.761919	-0.3545831	-0.100895	0.965503	0.0344974	1.93101	0.0689947	0.9503908
29	1	-9.637906	-9.372104	-0.2658019	0.462187	0.949129	0.050871	1.89826	0.101742	0.869651
30	0	-11.71174	-11.81204	0.1003032	0.40042	0.930426	0.0695742	1.86085	0.139148	0.6030421
31	1	-12.2198	-12.04245	-0.1773436	0.512777	0.952362	0.0476381	1.90472	0.0952762	0.7960276
32	0	-12.39452	-12.62374	0.2292173	0.102124	0.934965	0.0650353	1.86993	0.130071	0.5301038
33	1	-9.299075	-8.919211	-0.3798644	0.0477962	0.966701	0.0332985	1.9334	0.066597	0.9747242
34	0	-11.83098	-12.01134	0.180364	0.214478	0.930583	0.069417	1.86117	0.138834	0.5566442
35	1	-9.472027	-9.184253	-0.2877739	0.075815	0.950141	0.0498586	1.90028	0.0997172	0.8889705
36	0	-9.236764	-8.859955	-0.3768087	0.457792	0.950968	0.0490324	1.90194	0.0980647	0.9717503
37	1	-10.31318	-10.26586	-0.04731625	0.191175	0.961667	0.0383327	1.92333	0.0766655	0.698969
38	0	-13.46909	-13.12008	-0.3490027	-0.351091	0.873244	0.126756	1.74649	0.253512	0.945102
39	1	-8.903059	-8.512663	-0.3903959	0.402866	0.965701	0.0342986	1.9314	0.0685972	0.9850438
40	0	-11.64687	-11.45909	-0.1877838	-0.0477246	0.887609	0.112391	1.77522	0.224782	0.8043817
41	1	-8.990575	-8.656943	-0.3336328	0.21599	0.965747	0.0342532	1.93149	0.0685063	0.930687
42	0	-8.904096	-8.502004	-0.4020927	0.415234	0.958979	0.0410214	1.91796	0.0820428	0.9966332
43	1	-11.05976	-10.80787	-0.2518894	-0.117613	0.917203	0.0827974	1.83441	0.165595	0.8576359
44	0	-10.39488	-10.29665	-0.09822839	0.419999	0.93804	0.0619603	1.87608	0.123921	0.7354765
45	1	-12.16828	-11.84511	-0.3231692	0.494599	0.868182	0.131818	1.73636	0.263635	0.9209994
46	0	-13.42398	-13.65835	0.2343721	0.200001	0.881091	0.118909	1.76218	0.237817	0.5273783
47	1	-10.29943	-10.10855	-0.1908806	0.318743	0.917642	0.082358	1.83528	0.164716	0.8068767
48	0	-9.282878	-8.979963	-0.3029152	0.36196	0.945743	0.0542566	1.89149	0.108513	0.9025331
49	1	-9.493972	-9.10667	-0.3873022	0.462946	0.973754	0.0262462	1.94751	0.0524924	0.9820011
