Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-11.0183	-10.86916	-0.1491393	-0.0202774	0.912478	0.0875219	1.82496	0.175044	0.7738898
10	-11.37943	-11.13978	-0.2396578	-0.221146	0.93992	0.0600801	1.87984	0.12016	0.8472094
20	-10.06226	-9.695206	-0.3670547	0.473548	0.926173	0.0738271	1.85235	0.147654	0.9623179
30	-9.937631	-9.806117	-0.1315141	0.0988885	0.954694	0.0453062	1.90939	0.0906125	0.7603694
40	-9.553926	-9.150747	-0.4031798	0.012709	0.94544	0.0545599	1.89088	0.10912	0.9977173
50	-12.01639	-11.63829	-0.3780936	0.123898	0.848203	0.151797	1.69641	0.303594	0.9729997
60	-9.947407	-9.57084	-0.3765665	0.208884	0.979975	0.020025	1.95995	0.0400501	0.971515
70	-10.37187	-10.13599	-0.2358823	0.377111	0.9153	0.0846996	1.8306	0.169399	0.8440168
80	-9.642802	-9.496946	-0.1458567	0.226518	0.95909	0.0409104	1.91818	0.0818207	0.7713535
90	-11.08361	-10.87595	-0.2076646	0.143172	0.889269	0.110731	1.77854	0.221462	0.8205335
100	-10.09426	-9.813423	-0.2808361	0.245219	0.916571	0.0834285	1.83314	0.166857	0.8828243
110	-10.32863	-10.15679	-0.1718331	0.351983	0.920644	0.0793558	1.84129	0.158712	0.7916531
120	-9.314611	-8.913116	-0.4014952	0.356553	0.938357	0.061643	1.87671	0.123286	0.9960379
130	-10.29894	-9.912387	-0.38655	0.184627	0.90784	0.0921602	1.81568	0.18432	0.9812626
140	-10.1165	-9.761919	-0.3545831	-0.100895	0.965503	0.0344974	1.93101	0.0689947	0.9503908
150	-11.71174	-11.81204	0.1003032	0.40042	0.930426	0.0695742	1.86085	0.139148	0.6030421
160	-12.39452	-12.62374	0.2292173	0.102124	0.934965	0.0650353	1.86993	0.130071	0.5301038
170	-11.83098	-12.01134	0.180364	0.214478	0.930583	0.069417	1.86117	0.138834	0.5566442
180	-9.236764	-8.859955	-0.3768087	0.457792	0.950968	0.0490324	1.90194	0.0980647	0.9717503
190	-13.46909	-13.12008	-0.3490027	-0.351091	0.873244	0.126756	1.74649	0.253512	0.945102
200	-11.64687	-11.45909	-0.1877838	-0.0477246	0.887609	0.112391	1.77522	0.224782	0.8043817
210	-8.904096	-8.502004	-0.4020927	0.415234	0.958979	0.0410214	1.91796	0.0820428	0.9966332
220	-10.39488	-10.29665	-0.09822839	0.419999	0.93804	0.0619603	1.87608	0.123921	0.7354765
230	-13.42398	-13.65835	0.2343721	0.200001	0.881091	0.118909	1.76218	0.237817	0.5273783
240	-9.282878	-8.979963	-0.3029152	0.36196	0.945743	0.0542566	1.89149	0.108513	0.9025331
250	-9.925157	-9.836637	-0.0885194	0.20082	0.950402	0.0495984	1.9008	0.0991968	0.7283703
260	-9.158815	-8.828351	-0.3304638	0.124963	0.956013	0.0439867	1.91203	0.0879733	0.9277423
270	-9.485555	-9.093486	-0.392069	0.319008	0.932332	0.0676681	1.86466	0.135336	0.9866932
280	-13.11347	-12.8755	-0.2379718	0.636455	0.897757	0.102243	1.79551	0.204486	0.8457823
290	-10.57061	-10.34504	-0.2255769	-0.103454	0.941608	0.0583916	1.88322	0.116783	0.8353636
300	-8.999972	-8.640481	-0.3594903	0.213529	0.952315	0.0476852	1.90463	0.0953705	0.9550661
310	-9.841088	-9.458589	-0.3824992	0.31619	0.92159	0.0784102	1.84318	0.15682	0.9772958
320	-9.871969	-9.722191	-0.1497788	0.0971747	0.95717	0.0428297	1.91434	0.0856594	0.7743848
