Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-18.86693	-18.71215	-0.1547875	0.0304574	0.964796	0.0352039	1.92959	0.0704077	0.7782732
1	1	-16.00825	-15.65091	-0.3573398	0.224015	0.964819	0.0351806	1.92964	0.0703612	0.9530144
2	0	-15.91132	-15.5408	-0.3705161	0.102938	0.966842	0.0331576	1.93368	0.0663151	0.9656546
3	1	-16.98211	-16.64698	-0.3351376	0.0735657	0.957065	0.0429348	1.91413	0.0858695	0.9320885
4	0	-16.88538	-16.55849	-0.3268904	0.309058	0.960074	0.0399258	1.92015	0.0798515	0.924433
5	1	-16.29329	-15.92385	-0.3694397	0.114858	0.960732	0.0392683	1.92146	0.0785366	0.9646158
6	0	-16.41548	-16.09984	-0.3156337	0.173478	0.964742	0.0352581	1.92948	0.0705162	0.9140853
7	1	-18.83081	-18.43165	-0.3991543	0.225367	0.923907	0.0760932	1.84781	0.152186	0.9937091
8	0	-18.25209	-17.8945	-0.3575967	0.116997	0.935633	0.064367	1.87127	0.128734	0.9532592
9	1	-16.4123	-16.01541	-0.3968843	0.259913	0.956039	0.0439605	1.91208	0.087921	0.9914559
10	0	-15.25986	-14.87325	-0.3866111	0.198622	0.981094	0.0189056	1.96219	0.0378112	0.9813227
11	1	-16.87987	-16.55563	-0.3242428	0.0269905	0.963631	0.0363691	1.92726	0.0727381	0.9219887
12	0	-17.62972	-17.30605	-0.3236654	0.358869	0.955027	0.0449725	1.91005	0.089945	0.9214565
13	1	-17.06453	-16.66919	-0.3953414	0.200202	0.947082	0.0529176	1.89416	0.105835	0.9899274
14	0	-16.52996	-16.25447	-0.2754834	0.279635	0.975071	0.024929	1.95014	0.049858	0.8781115
15	1	-16.84771	-16.47755	-0.3701569	0.407593	0.963651	0.0363488	1.9273	0.0726975	0.9653079
16	0	-16.77803	-16.49391	-0.2841166	0.270465	0.96582	0.0341805	1.93164	0.068361	0.8857252
17	1	-18.02282	-17.67748	-0.3453435	-0.146316	0.975509	0.0244906	1.95102	0.0489813	0.94165
18	0	-16.04065	-15.73257	-0.3080784	0.186716	0.976619	0.0233809	1.95324	0.0467618	0.9072051
19	1	-16.55686	-16.15585	-0.401015	0.205499	0.952923	0.0470774	1.90585	0.0941547	0.9955598
20	0	-16.3539	-16.01677	-0.3371279	0.204025	0.98436	0.01564	1.96872	0.0312801	0.9339454
21	1	-16.37484	-15.98614	-0.3887046	0.0108739	0.963543	0.0364573	1.92709	0.0729145	0.9833791
22	0	-15.22605	-14.82744	-0.3986023	0.270172	0.982165	0.0178346	1.96433	0.0356691	0.9931607
23	1	-15.13769	-14.73745	-0.4002434	0.139259	0.975427	0.0245731	1.95085	0.0491462	0.9947919
24	0	-15.35663	-14.96468	-0.3919434	0.236475	0.970037	0.0299634	1.94007	0.0599269	0.9865693
25	1	-15.17948	-14.77765	-0.4018267	0.162326	0.972301	0.0276992	1.9446	0.0553985	0.9963682
26	0	-17.93012	-17.57656	-0.3535543	0.442453	0.957445	0.042555	1.91489	0.08511	0.9494136
27	1	-16.96109	-16.6015	-0.3595835	0.258341	0.953062	0.0469382	1.90612	0.0938764	0.955155
28	0	-15.64293	-15.25169	-0.3912414	0.24493	0.984598	0.0154019	1.9692	0.0308037	0.985877
29	1	-16.65808	-16.28196	-0.3761239	0.139277	0.95445	0.0455502	1.9089	0.0911003	0.971085
30	0	-16.23292	-15.89713	-0.3357975	0.0663744	0.970079	0.0299206	1.94016	0.0598411	0.9327037
31	1	-17.92221	-17.62108	-0.301136	-0.0176768	0.954901	0.0450986	1.9098	0.0901972	0.9009288
32	0	-16.77656	-16.43136	-0.3452016	0.201015	0.955847	0.0441529	1.91169	0.0883058	0.9415164
33	1	-16.82634	-16.53696	-0.2893768	0.347804	0.970428	0.0295719	1.94086	0.0591438	0.8903966
34	0	-17.35705	-17.01117	-0.3458786	0.00489224	0.954871	0.0451287	1.90974	0.0902574	0.9421541
35	1	-20.46097	-20.1269	-0.3340734	0.339059	0.916117	0.0838829	1.83223	0.167766	0.9310971
36	0	-16.89593	-16.53211	-0.3638231	-0.0653151	0.969225	0.0307752	1.93845	0.0615504	0.9592131
37	1	-18.32764	-17.96472	-0.3629221	0.156231	0.933599	0.0664006	1.8672	0.132801	0.9583493
38	0	-16.24133	-15.85296	-0.3883644	0.1558	0.958322	0.0416778	1.91664	0.0833555	0.9830447
39	1	-15.6218	-15.2215	-0.4002988	0.145309	0.96564	0.0343604	1.93128	0.0687208	0.994847
40	0	-16.85118	-16.48558	-0.3655999	-0.0638674	0.97782	0.02218	1.95564	0.0443601	0.960919
41	1	-19.28477	-19.07802	-0.206752	0.30556	0.946401	0.0535991	1.8928	0.107198	0.8197851
42	0	-15.9643	-15.56384	-0.4004663	0.34989	0.965511	0.0344888	1.93102	0.0689776	0.9950137
43	1	-18.03885	-17.74979	-0.2890631	0.154916	0.94604	0.0539603	1.89208	0.107921	0.8901173
44	0	-17.76254	-17.38221	-0.3803279	0.0426226	0.942656	0.057344	1.88531	0.114688	0.9751761
45	1	-17.22359	-16.89505	-0.3285435	-0.044732	0.979224	0.020776	1.95845	0.0415521	0.9259624
46	0	-17.35437	-17.06217	-0.2922032	-0.0158645	0.978151	0.0218485	1.9563	0.043697	0.8929167
47	1	-15.61015	-15.21846	-0.3916916	0.15203	0.966702	0.0332977	1.9334	0.0665955	0.9863209
48	0	-16.84629	-16.59054	-0.2557475	0.220497	0.979593	0.0204067	1.95919	0.0408135	0.8609511
49	1	-15.56596	-15.17029	-0.3956734	0.170499	0.966459	0.0335411	1.93292	0.0670822	0.9902561
50	0	-18.37161	-18.15155	-0.2200619	0.0626672	0.982459	0.0175409	1.96492	0.0350819	0.8307693
51	1	-18.16781	-17.79776	-0.3700422	-0.0614811	0.986011	0.0139894	1.97202	0.0279789	0.9651971
52	0	-18.89685	-18.63683	-0.2600267	0.251381	0.987612	0.0123876	1.97522	0.0247752	0.8646431
53	1	-15.61842	-15.24346	-0.3749571	0.12236	0.970299	0.029701	1.9406	0.059402	0.9699527
54	0	-17.34928	-17.12884	-0.2204309	0.185602	0.979053	0.0209465	1.95811	0.041893	0.8310758
55	1	-16.41989	-16.0584	-0.3614871	0.332776	0.963179	0.036821	1.92636	0.073642	0.956975
56	0	-18.51559	-18.17289	-0.3427	0.344163	0.940834	0.0591663	1.88167	0.118333	0.9391641
57	1	-15.54737	-15.17257	-0.3747977	0.189344	0.982483	0.0175167	1.96497	0.0350334	0.969798
58	0	-15.70058	-15.31779	-0.3827831	0.349606	0.971882	0.0281185	1.94376	0.0562369	0.9775733
59	1	-15.0434	-14.63841	-0.4049851	0.280105	0.980232	0.0197678	1.96046	0.0395356	0.9995201
60	0	-15.63312	-15.25034	-0.3827831	0.123973	0.982459	0.0175415	1.96492	0.035083	0.9775733
61	1	-15.30457	-14.90576	-0.3988147	0.193732	0.982971	0.0170288	1.96594	0.0340577	0.9933716
62	0	-15.80703	-15.46974	-0.3372899	0.13814	0.974613	0.0253869	1.94923	0.0507738	0.9340968
63	1	-16.70322	-16.36199	-0.3412363	0.0654589	0.983679	0.0163208	1.96736	0.0326416	0.9377904
64	0	-16.24977	-15.87722	-0.3725566	0.346141	0.964962	0.0350383	1.92992	0.0700767	0.9676271
65	1	-19.54368	-19.18849	-0.3551955	0.000927775	0.922024	0.0779757	1.84405	0.155951	0.950973
66	0	-16.92445	-16.58116	-0.3432905	-0.0366997	0.978958	0.0210419	1.95792	0.0420838	0.9397188
67	1	-17.54904	-17.30111	-0.2479274	0.294461	0.961929	0.0380707	1.92386	0.0761415	0.8542446
68	0	-16.16017	-15.79718	-0.3629834	0.0551863	0.967112	0.0328876	1.93422	0.0657751	0.958408
69	1	-17.01879	-16.76008	-0.2587041	0.31781	0.97073	0.0292696	1.94146	0.0585393	0.8635004
70	0	-16.97943	-16.59689	-0.3825421	0.260695	0.950573	0.0494274	1.90115	0.0988547	0.9773377
71	1	-17.72888	-17.4699	-0.2589856	0.41515	0.975963	0.0240374	1.95193	0.0480747	0.8637435
72	0	-15.60084	-15.20893	-0.3919099	0.279907	0.967503	0.0324974	1.93501	0.0649947	0.9865363
73	1	-16.82167	-16.5291	-0.2925747	0.157298	0.962368	0.0376319	1.92474	0.0752638	0.8932485
74	0	-16.43763	-16.04614	-0.391488	0.114194	0.95638	0.0436199	1.91276	0.0872398	0.9861201
75	1	-19.5932	-19.36657	-0.2266269	0.43231	0.954976	0.045024	1.90995	0.0900479	0.8362412
76	0	-17.17089	-16.85249	-0.3183972	0.231862	0.95436	0.0456398	1.90872	0.0912796	0.9166149
77	1	-19.71844	-19.48766	-0.2307794	-0.00435472	0.985426	0.0145745	1.97085	0.029149	0.8397209
78	0	-16.80835	-16.46095	-0.3473979	0.0143028	0.962258	0.0377415	1.92452	0.075483	0.9435865
79	1	-18.88435	-18.69412	-0.1902325	0.417556	0.976116	0.023884	1.95223	0.0477679	0.8063539
80	0	-16.40068	-16.11844	-0.2822355	0.253241	0.97352	0.0264795	1.94704	0.052959	0.8840607
81	1	-17.16485	-16.90515	-0.2596927	0.264276	0.982337	0.0176629	1.96467	0.0353258	0.8643544
82	0	-19.59954	-19.2448	-0.3547395	0.206694	0.917184	0.082816	1.83437	0.165632	0.9505395
83	1	-17.68822	-17.38025	-0.3079743	0.350556	0.955584	0.0444161	1.91117	0.0888322	0.9071106
84	0	-18.74972	-18.47995	-0.2697631	0.195395	0.939213	0.0607873	1.87843	0.121575	0.8731027
85	1	-17.30575	-17.00254	-0.3032136	0.178021	0.985724	0.0142756	1.97145	0.0285513	0.9028025
86	0	-17.90577	-17.63543	-0.2703393	0.00257262	0.958281	0.0417189	1.91656	0.0834378	0.873606
