Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-16.00825	-15.65091	-0.3573398	0.224015	0.964819	0.0351806	1.92964	0.0703612	0.9530144
10	-16.98211	-16.64698	-0.3351376	0.0735657	0.957065	0.0429348	1.91413	0.0858695	0.9320885
20	-16.29329	-15.92385	-0.3694397	0.114858	0.960732	0.0392683	1.92146	0.0785366	0.9646158
30	-18.83081	-18.43165	-0.3991543	0.225367	0.923907	0.0760932	1.84781	0.152186	0.9937091
40	-16.4123	-16.01541	-0.3968843	0.259913	0.956039	0.0439605	1.91208	0.087921	0.9914559
50	-16.87987	-16.55563	-0.3242428	0.0269905	0.963631	0.0363691	1.92726	0.0727381	0.9219887
60	-17.06453	-16.66919	-0.3953414	0.200202	0.947082	0.0529176	1.89416	0.105835	0.9899274
70	-16.84771	-16.47755	-0.3701569	0.407593	0.963651	0.0363488	1.9273	0.0726975	0.9653079
80	-18.02282	-17.67748	-0.3453435	-0.146316	0.975509	0.0244906	1.95102	0.0489813	0.94165
90	-16.55686	-16.15585	-0.401015	0.205499	0.952923	0.0470774	1.90585	0.0941547	0.9955598
100	-16.37484	-15.98614	-0.3887046	0.0108739	0.963543	0.0364573	1.92709	0.0729145	0.9833791
110	-15.13769	-14.73745	-0.4002434	0.139259	0.975427	0.0245731	1.95085	0.0491462	0.9947919
120	-15.17948	-14.77765	-0.4018267	0.162326	0.972301	0.0276992	1.9446	0.0553985	0.9963682
130	-16.96109	-16.6015	-0.3595835	0.258341	0.953062	0.0469382	1.90612	0.0938764	0.955155
140	-16.65808	-16.28196	-0.3761239	0.139277	0.95445	0.0455502	1.9089	0.0911003	0.971085
150	-17.92221	-17.62108	-0.301136	-0.0176768	0.954901	0.0450986	1.9098	0.0901972	0.9009288
160	-16.82634	-16.53696	-0.2893768	0.347804	0.970428	0.0295719	1.94086	0.0591438	0.8903966
170	-20.46097	-20.1269	-0.3340734	0.339059	0.916117	0.0838829	1.83223	0.167766	0.9310971
180	-18.32764	-17.96472	-0.3629221	0.156231	0.933599	0.0664006	1.8672	0.132801	0.9583493
190	-15.6218	-15.2215	-0.4002988	0.145309	0.96564	0.0343604	1.93128	0.0687208	0.994847
200	-19.28477	-19.07802	-0.206752	0.30556	0.946401	0.0535991	1.8928	0.107198	0.8197851
210	-18.03885	-17.74979	-0.2890631	0.154916	0.94604	0.0539603	1.89208	0.107921	0.8901173
220	-17.22359	-16.89505	-0.3285435	-0.044732	0.979224	0.020776	1.95845	0.0415521	0.9259624
230	-15.61015	-15.21846	-0.3916916	0.15203	0.966702	0.0332977	1.9334	0.0665955	0.9863209
240	-15.56596	-15.17029	-0.3956734	0.170499	0.966459	0.0335411	1.93292	0.0670822	0.9902561
250	-18.16781	-17.79776	-0.3700422	-0.0614811	0.986011	0.0139894	1.97202	0.0279789	0.9651971
260	-15.61842	-15.24346	-0.3749571	0.12236	0.970299	0.029701	1.9406	0.059402	0.9699527
270	-16.41989	-16.0584	-0.3614871	0.332776	0.963179	0.036821	1.92636	0.073642	0.956975
280	-15.54737	-15.17257	-0.3747977	0.189344	0.982483	0.0175167	1.96497	0.0350334	0.969798
290	-15.0434	-14.63841	-0.4049851	0.280105	0.980232	0.0197678	1.96046	0.0395356	0.9995201
300	-15.30457	-14.90576	-0.3988147	0.193732	0.982971	0.0170288	1.96594	0.0340577	0.9933716
310	-16.70322	-16.36199	-0.3412363	0.0654589	0.983679	0.0163208	1.96736	0.0326416	0.9377904
320	-19.54368	-19.18849	-0.3551955	0.000927775	0.922024	0.0779757	1.84405	0.155951	0.950973
330	-17.54904	-17.30111	-0.2479274	0.294461	0.961929	0.0380707	1.92386	0.0761415	0.8542446
340	-17.01879	-16.76008	-0.2587041	0.31781	0.97073	0.0292696	1.94146	0.0585393	0.8635004
350	-17.72888	-17.4699	-0.2589856	0.41515	0.975963	0.0240374	1.95193	0.0480747	0.8637435
360	-16.82167	-16.5291	-0.2925747	0.157298	0.962368	0.0376319	1.92474	0.0752638	0.8932485
370	-19.5932	-19.36657	-0.2266269	0.43231	0.954976	0.045024	1.90995	0.0900479	0.8362412
380	-19.71844	-19.48766	-0.2307794	-0.00435472	0.985426	0.0145745	1.97085	0.029149	0.8397209
390	-18.88435	-18.69412	-0.1902325	0.417556	0.976116	0.023884	1.95223	0.0477679	0.8063539
400	-17.16485	-16.90515	-0.2596927	0.264276	0.982337	0.0176629	1.96467	0.0353258	0.8643544
410	-17.68822	-17.38025	-0.3079743	0.350556	0.955584	0.0444161	1.91117	0.0888322	0.9071106
420	-17.30575	-17.00254	-0.3032136	0.178021	0.985724	0.0142756	1.97145	0.0285513	0.9028025
