Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	18.77428	16.06753	2.706748	-0.0537931	0.764368	0.235632	1.52874	0.471265	0.04450234
1	1	15.93429	14.22224	1.712051	-0.0298982	0.678732	0.321268	1.35746	0.642536	0.1203302
2	0	18.40607	16.09848	2.307589	-0.357358	0.578518	0.421482	1.15704	0.842965	0.06633392
3	1	17.80251	15.33283	2.469683	-0.222229	0.847934	0.152066	1.69587	0.304132	0.05640779
4	0	18.51642	16.24683	2.269595	-0.194358	0.58739	0.41261	1.17478	0.82522	0.06890272
5	1	18.04142	15.98271	2.058714	0.122544	0.732194	0.267806	1.46439	0.535613	0.08507863
6	0	19.06703	16.49387	2.573164	-0.333808	0.652063	0.347937	1.30413	0.695874	0.0508625
7	1	17.03635	15.24337	1.792979	0.118506	0.847063	0.152937	1.69413	0.305873	0.1109757
8	0	19.14536	16.57219	2.573164	-0.0242843	0.758784	0.241216	1.51757	0.482432	0.0508625
9	1	18.33406	16.06977	2.264284	0.201292	0.774318	0.225682	1.54864	0.451363	0.06926962
10	0	18.21274	15.81961	2.393136	0.241998	0.756859	0.243141	1.51372	0.486282	0.06089516
11	1	16.88746	14.63893	2.248526	-0.162418	0.425723	0.574277	0.851446	1.14855	0.07036978
12	0	17.45122	14.74103	2.710187	-0.401988	0.785727	0.214273	1.57145	0.428545	0.04434958
13	1	18.66894	16.56556	2.103373	-0.13284	0.80813	0.19187	1.61626	0.383741	0.08136274
14	0	18.09614	15.92754	2.1686	-0.256131	0.576624	0.423376	1.15325	0.846752	0.07622503
15	1	17.97857	16.01437	1.964203	-0.368027	0.711057	0.288943	1.42211	0.577886	0.09351173
16	0	18.53462	16.09433	2.440291	0.156558	0.637173	0.362827	1.27435	0.725654	0.05809032
17	1	17.7059	15.39681	2.309086	-0.369382	0.507935	0.492065	1.01587	0.98413	0.06623465
18	0	17.18834	15.30931	1.879029	-0.548116	0.674679	0.325321	1.34936	0.650642	0.1018255
19	1	19.38964	16.8257	2.563941	-0.173928	0.74438	0.25562	1.48876	0.51124	0.05133377
20	0	13.58749	11.93191	1.655579	0.557593	0.529995	0.470005	1.05999	0.940011	0.127321
21	1	17.07207	15.04489	2.027177	-0.303587	0.520549	0.479451	1.0411	0.958902	0.08780451
22	0	16.76178	15.04739	1.71439	-0.03102	0.880998	0.119002	1.762	0.238004	0.120049
23	1	19.07421	16.86266	2.211556	-0.263489	0.753811	0.246189	1.50762	0.492377	0.07302008
24	0	17.67195	15.48177	2.190173	0.0450791	0.545042	0.454958	1.09008	0.909915	0.07459827
25	1	18.71898	16.32455	2.394437	0.12701	0.661592	0.338408	1.32318	0.676817	0.06081602
26	0	17.87338	15.85567	2.017703	-0.0985255	0.86503	0.13497	1.73006	0.26994	0.08864033
27	1	18.75552	16.53033	2.225193	-0.395096	0.677015	0.322985	1.35403	0.645971	0.07203105
28	0	18.69755	16.29853	2.399023	0.0704829	0.621408	0.378592	1.24282	0.757184	0.06053774
29	1	17.86055	15.67416	2.186391	-0.577607	0.740811	0.259189	1.48162	0.518379	0.07488091
30	0	17.08284	14.91504	2.167793	-0.502165	0.517937	0.482063	1.03587	0.964126	0.07628656
31	1	18.52905	16.34266	2.186391	-0.0724228	0.650111	0.349889	1.30022	0.699777	0.07488091
32	0	17.48367	15.28012	2.203543	-0.171119	0.489087	0.510913	0.978173	1.02183	0.07360752
33	1	17.90464	15.61868	2.28596	-0.563788	0.664155	0.335845	1.32831	0.671691	0.06778426
34	0	16.5551	14.93715	1.617946	-0.352909	0.870765	0.129235	1.74153	0.258471	0.1322038
35	1	17.66812	14.82052	2.847604	-0.381601	0.719149	0.280851	1.4383	0.561701	0.03865539
36	0	17.80497	15.54878	2.25619	-0.577713	0.743131	0.256869	1.48626	0.513737	0.06983258
37	1	19.08515	16.74225	2.3429	0.00993928	0.69835	0.30165	1.3967	0.6033	0.06403244
38	0	17.40564	15.1744	2.231246	0.293779	0.817222	0.182778	1.63444	0.365556	0.07159635
39	1	19.40956	16.99255	2.417008	-0.256379	0.734683	0.265317	1.46937	0.530633	0.05945872
40	0	17.51582	15.35288	2.162942	0.148079	0.568428	0.431572	1.13686	0.863144	0.07665757
41	1	19.0526	16.83733	2.215266	-0.182302	0.726987	0.273013	1.45397	0.546026	0.07274968
42	0	19.02899	16.79487	2.234118	-0.233227	0.697798	0.302202	1.3956	0.604404	0.07139104
43	1	18.83166	16.37687	2.454786	-0.198306	0.580087	0.419913	1.16017	0.839827	0.05725441
44	0	19.30539	16.78734	2.518051	-0.20368	0.645704	0.354296	1.29141	0.708592	0.05374436
45	1	18.66433	16.2574	2.406924	-0.459389	0.745112	0.254888	1.49022	0.509775	0.06006135
46	0	18.32701	15.47415	2.852865	-0.0691131	0.60359	0.39641	1.20718	0.79282	0.03845255
47	1	19.1654	16.60276	2.562644	-0.14033	0.619735	0.380265	1.23947	0.76053	0.05140043
48	0	18.06909	15.47848	2.590603	-0.461048	0.753895	0.246105	1.50779	0.49221	0.04998321
49	1	17.27882	15.20015	2.078667	-0.612053	0.783426	0.216574	1.56685	0.433147	0.08339793
50	0	18.39388	16.33815	2.05573	-0.238866	0.834311	0.165689	1.66862	0.331378	0.08533291
51	1	18.33196	15.56966	2.762302	0.110835	0.711514	0.288486	1.42303	0.576972	0.0420975
52	0	17.98304	15.49364	2.489402	0.165305	0.806558	0.193442	1.61312	0.386884	0.05530637
53	1	17.35082	15.34774	2.003079	-0.448828	0.586164	0.413836	1.17233	0.827672	0.08994618
54	0	17.68833	15.7361	1.952232	-0.498588	0.690354	0.309646	1.38071	0.619293	0.0946379
55	1	18.2536	16.22027	2.03333	-0.417717	0.810467	0.189533	1.62093	0.379066	0.08726595
56	0	18.89869	16.14391	2.754778	-0.00640728	0.685584	0.314416	1.37117	0.628833	0.04241544
57	1	18.75274	16.21889	2.533859	-0.12897	0.566492	0.433508	1.13298	0.867016	0.05290147
58	0	17.13129	15.05323	2.078056	-0.64622	0.712089	0.287911	1.42418	0.575823	0.08344891
59	1	16.28132	13.86465	2.416667	0.451578	0.723928	0.276072	1.44786	0.552143	0.05947898
60	0	18.71756	16.51825	2.19931	-0.00528211	0.699125	0.300875	1.39825	0.60175	0.07391976
61	1	16.97207	15.2801	1.691966	-0.413939	0.821818	0.178182	1.64364	0.356364	0.1227714
62	0	19.43244	16.9818	2.450638	-0.116788	0.697487	0.302513	1.39497	0.605025	0.05749235
63	1	17.91758	16.01871	1.898873	-0.293776	0.833481	0.166519	1.66696	0.333037	0.09982488
64	0	18.93944	16.51657	2.422872	-0.323765	0.619456	0.380544	1.23891	0.761087	0.05911107
65	1	16.80137	15.03696	1.764414	-0.187365	0.893634	0.106366	1.78727	0.212732	0.1141914
66	0	18.26269	16.25684	2.005842	-0.083969	0.766407	0.233593	1.53281	0.467186	0.08969798
67	1	19.46478	17.03741	2.427377	-0.19164	0.720255	0.279745	1.44051	0.559491	0.05884537
68	0	19.13053	16.65188	2.478648	-0.169029	0.617505	0.382495	1.23501	0.764989	0.05590435
69	1	18.06759	15.45663	2.610955	-0.111861	0.509159	0.490841	1.01832	0.981683	0.04897623
70	0	17.99639	15.38562	2.610773	0.226561	0.738413	0.261587	1.47683	0.523174	0.04898514
71	1	16.49619	13.53625	2.959935	0.18078	0.712226	0.287774	1.42445	0.575548	0.0345482
72	0	19.19465	16.61312	2.581532	-0.0210599	0.747601	0.252399	1.4952	0.504797	0.05043867
