Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	18.66624	16.06487	2.601371	0.135743	0.662073	0.337927	1.32415	0.675854	0.04944788
10	17.55882	14.95744	2.601371	-0.531074	0.677362	0.322638	1.35472	0.645277	0.04944788
20	15.92954	13.91664	2.012894	0.053986	0.42265	0.57735	0.8453	1.1547	0.08906766
30	18.70404	16.3673	2.336745	0.104858	0.787617	0.212383	1.57523	0.424766	0.06442777
40	16.78985	14.83661	1.953247	-0.306957	0.530971	0.469029	1.06194	0.938057	0.09454193
50	17.28317	15.15959	2.12358	-0.139194	0.499847	0.500153	0.999694	1.00031	0.07973515
60	19.08902	16.78437	2.304643	-0.201149	0.664804	0.335196	1.32961	0.670391	0.06652959
70	18.87026	16.64847	2.221792	-0.372994	0.697375	0.302625	1.39475	0.605249	0.07227643
80	18.14568	15.82753	2.318146	0.07297	0.56554	0.43446	1.13108	0.86892	0.06563733
90	17.79704	15.09545	2.701596	-0.054991	0.508117	0.491883	1.01623	0.983766	0.04473221
100	17.90896	15.14976	2.759197	0.151353	0.739751	0.260249	1.4795	0.520498	0.04222842
110	19.01146	16.61864	2.392819	0.0443966	0.672927	0.327073	1.34585	0.654146	0.06091449
120	18.55719	15.83774	2.719453	-0.251874	0.584134	0.415866	1.16827	0.831733	0.04394052
130	17.80416	15.20256	2.601606	-0.511888	0.693262	0.306738	1.38652	0.613475	0.04943628
140	16.88793	14.80612	2.081805	-0.198847	0.470587	0.529413	0.941174	1.05883	0.0831366
150	19.17702	16.81194	2.365083	-0.289066	0.778529	0.221471	1.55706	0.442941	0.06262767
160	19.16304	16.61731	2.545731	-0.302255	0.753335	0.246665	1.50667	0.493331	0.05227714
170	17.66057	15.72866	1.931916	-0.327053	0.682615	0.317385	1.36523	0.634771	0.09658028
180	17.18536	15.43189	1.753468	-0.364675	0.781667	0.218333	1.56333	0.436667	0.1154482
190	16.30126	14.62572	1.675542	-0.407408	0.708187	0.291813	1.41637	0.583626	0.1248045
200	17.82912	15.53044	2.298686	-0.496126	0.811163	0.188837	1.62233	0.377675	0.06692709
210	19.41036	17.00937	2.400993	-0.250394	0.727321	0.272679	1.45464	0.545359	0.06041862
220	19.00782	16.55488	2.452942	-0.0199449	0.625902	0.374098	1.2518	0.748197	0.05736004
230	17.20361	14.94416	2.259447	-0.610589	0.625744	0.374256	1.25149	0.748512	0.06960549
240	18.6827	16.32279	2.359908	-0.00670524	0.819436	0.180564	1.63887	0.361129	0.06295263
250	18.85	16.33546	2.514548	-0.41927	0.682319	0.317681	1.36464	0.635362	0.05393296
260	17.54488	15.54515	1.999738	-0.361467	0.867962	0.132038	1.73592	0.264075	0.09024713
270	19.22463	16.61642	2.608208	-0.114291	0.756912	0.243088	1.51382	0.486175	0.04911098
280	17.55911	15.40254	2.156568	-0.15243	0.516616	0.483384	1.03323	0.966768	0.0771477
290	18.87784	16.59928	2.278556	-0.211848	0.63838	0.36162	1.27676	0.72324	0.06828801
300	18.50932	15.99772	2.511601	-0.3068	0.55884	0.44116	1.11768	0.88232	0.05409214
310	19.20734	16.7043	2.50304	-0.331751	0.672764	0.327236	1.34553	0.654473	0.05455721
320	18.48612	16.32478	2.161346	-0.249688	0.838605	0.161395	1.67721	0.322789	0.07678003
330	19.2523	16.61396	2.638344	-0.101566	0.74093	0.25907	1.48186	0.51814	0.04765303
340	19.3312	16.79019	2.541019	-0.186124	0.649209	0.350791	1.29842	0.701581	0.05252406
350	18.11844	16.03564	2.082802	-0.0199798	0.669711	0.330289	1.33942	0.660577	0.08305374
360	18.22679	15.64804	2.578755	0.21281	0.650037	0.349963	1.30007	0.699926	0.05057894
370	14.39844	13.14886	1.249583	-0.28244	0.875918	0.124082	1.75184	0.248165	0.1910828
380	18.19292	15.8349	2.358023	-0.533867	0.725672	0.274328	1.45134	0.548655	0.06307138
390	17.43779	15.62556	1.812225	-0.119392	0.855314	0.144686	1.71063	0.289371	0.1088603
400	15.9995	13.4834	2.516097	-0.32839	0.401656	0.598344	0.803311	1.19669	0.05384952
410	18.15338	15.40041	2.752968	-0.0588753	0.547657	0.452343	1.09531	0.904686	0.04249229
420	17.44595	15.02403	2.421916	0.0777206	0.852192	0.147808	1.70438	0.295615	0.05916759
430	17.11718	14.9566	2.160582	0.28014	0.575432	0.424568	1.15086	0.849136	0.07683865
440	18.75398	15.94745	2.806524	-0.222323	0.648946	0.351054	1.29789	0.702109	0.04027642
450	19.43277	17.01668	2.416084	-0.131176	0.712833	0.287167	1.42567	0.574334	0.05951368
460	18.40827	15.75347	2.6548	0.168888	0.69827	0.30173	1.39654	0.60346	0.04687527
470	16.1579	13.60547	2.552423	-0.183129	0.871664	0.128336	1.74333	0.256673	0.05192845
480	19.28118	16.72876	2.552423	-0.0119688	0.684553	0.315447	1.36911	0.630893	0.05192845
490	18.89369	16.10467	2.789017	-0.21372	0.66755	0.33245	1.3351	0.6649	0.04098775
500	18.03833	16.09823	1.940109	-0.0954347	0.823796	0.176204	1.64759	0.352408	0.09579217
510	17.05921	14.60522	2.453991	-0.13515	0.428978	0.571022	0.857955	1.14204	0.0572999
520	16.68162	14.61634	2.065277	-0.0300658	0.469159	0.530841	0.938318	1.06168	0.08452213
530	19.03041	16.63208	2.398332	-0.372562	0.763255	0.236745	1.52651	0.473489	0.06057958
540	18.19426	16.08279	2.11147	0.125012	0.812418	0.187582	1.62484	0.375164	0.0807066
550	17.89989	15.67386	2.226033	-0.0294429	0.862178	0.137822	1.72436	0.275644	0.07197059
560	16.14889	14.3583	1.790584	-0.00583022	0.629369	0.370631	1.25874	0.741262	0.1112418
570	16.69386	14.51641	2.177452	-0.395924	0.446514	0.553486	0.893027	1.10697	0.07555328
580	17.90177	15.852	2.049768	0.16671	0.733586	0.266414	1.46717	0.532829	0.08584322
590	17.87906	15.27286	2.606198	0.0661605	0.815566	0.184434	1.63113	0.368867	0.04920975
600	18.28706	15.68086	2.606198	-0.255544	0.535546	0.464454	1.07109	0.928908	0.04920975
610	18.24111	15.55873	2.682382	0.154459	0.739615	0.260385	1.47923	0.520769	0.04560002
620	17.7574	15.60624	2.151162	-0.585227	0.686566	0.313434	1.37313	0.626867	0.07756591
630	17.19243	14.47372	2.718704	0.12189	0.511461	0.488539	1.02292	0.977078	0.04397344
640	17.86724	14.8834	2.983839	-0.112136	0.687084	0.312916	1.37417	0.625833	0.03373214
650	18.92448	16.72679	2.197685	-0.0779315	0.732252	0.267748	1.4645	0.535497	0.07403999
660	18.99313	16.7301	2.263029	-0.218864	0.668811	0.331189	1.33762	0.662378	0.0693566
670	18.65936	16.17824	2.481117	-0.298956	0.807444	0.192556	1.61489	0.385112	0.05576649
680	18.36745	15.68721	2.680241	0.15384	0.651747	0.348253	1.30349	0.696505	0.04569774
690	19.26007	16.80757	2.452499	-0.114869	0.64908	0.35092	1.29816	0.70184	0.05738547
700	18.01246	15.72833	2.284136	0.282593	0.709424	0.290576	1.41885	0.581153	0.06790804
710	18.55043	16.02957	2.520857	-0.154287	0.544671	0.455329	1.08934	0.910657	0.05359381
720	17.79528	15.85939	1.935889	-0.365543	0.702412	0.297588	1.40482	0.595176	0.09619729
730	17.91212	15.97621	1.935911	-0.0359601	0.83568	0.16432	1.67136	0.328641	0.09619521
740	15.31014	13.36363	1.946511	0.496437	0.838448	0.161552	1.6769	0.323104	0.09518085
750	18.10323	15.77547	2.327757	0.0350655	0.546729	0.453271	1.09346	0.906543	0.06500949
760	16.73345	14.31985	2.413602	0.108085	0.435338	0.564662	0.870676	1.12932	0.05966158
770	19.02193	16.4026	2.619339	-0.114341	0.60522	0.39478	1.21044	0.78956	0.04856734
780	17.62213	15.67518	1.946943	-0.0588836	0.699147	0.300853	1.39829	0.601706	0.09513981
790	17.94148	15.70373	2.237756	-0.456457	0.573754	0.426246	1.14751	0.852492	0.07113176
800	17.39722	15.25139	2.145833	-0.580893	0.612187	0.387813	1.22437	0.775625	0.07798039
810	18.41085	16.11543	2.295418	0.0977938	0.621561	0.378439	1.24312	0.756877	0.06714618
820	18.43829	15.90452	2.533769	-0.167221	0.534208	0.465792	1.06842	0.931585	0.05290624
830	16.89519	14.07417	2.821026	-0.228765	0.813305	0.186695	1.62661	0.373389	0.03969654
840	18.83686	16.36391	2.472947	-0.190445	0.578562	0.421438	1.15712	0.842875	0.05622396
850	18.15728	15.94992	2.207361	0.214003	0.695724	0.304276	1.39145	0.608553	0.07332702
860	17.47666	14.53177	2.944891	-0.11617	0.564848	0.435152	1.1297	0.870305	0.03507187
870	13.56208	11.05236	2.509718	-0.617699	0.449655	0.550345	0.89931	1.10069	0.0541941
880	19.43645	16.91111	2.525341	-0.0798946	0.714665	0.285335	1.42933	0.570671	0.05335402
890	18.13637	16.11272	2.023653	-0.258942	0.686753	0.313247	1.37351	0.626494	0.08811453
900	18.76647	16.37258	2.39389	0.0615467	0.796687	0.203313	1.59337	0.406626	0.06084932
910	17.24164	15.3478	1.893841	0.206622	0.772697	0.227303	1.54539	0.454606	0.1003284
920	17.36722	15.16366	2.203563	0.221658	0.561717	0.438283	1.12343	0.876565	0.07360608
930	18.72069	16.02767	2.693023	-0.258172	0.766454	0.233546	1.53291	0.467092	0.04511737
940	17.36413	15.21976	2.144366	-0.1222	0.501219	0.498781	1.00244	0.997561	0.07809487
950	18.1154	15.39124	2.724152	-0.0308715	0.541123	0.458877	1.08225	0.917755	0.04373452
