Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	9.314292	6.868951	2.445341	-0.447278	0.136354	0.863646	0.272709	1.72729	0.05779772
10	6.976116	5.330468	1.645648	0.179163	0.465296	0.534704	0.930592	1.06941	0.1285917
20	10.13756	6.357448	3.780114	-0.018256	0.391212	0.608788	0.782423	1.21758	0.01521339
30	10.39356	7.058609	3.334949	-0.576153	0.343644	0.656356	0.687288	1.31271	0.02374427
40	9.757186	6.32946	3.427726	-0.24968	0.616593	0.383407	1.23319	0.766814	0.02164045
50	10.2902	6.658023	3.632176	-0.276211	0.473788	0.526212	0.947577	1.05242	0.01763902
60	10.40297	6.713935	3.689039	-0.534102	0.298003	0.701997	0.596005	1.40399	0.01666401
70	8.521533	5.532097	2.989435	-0.171834	0.792781	0.207219	1.58556	0.414438	0.0335439
80	7.921672	5.767683	2.153989	0.118278	0.0462824	0.953718	0.0925647	1.90744	0.07734692
90	8.831155	6.169231	2.661924	0.0226873	0.698552	0.301448	1.3971	0.602896	0.04654252
100	10.00229	7.014428	2.987864	-0.240866	0.364018	0.635982	0.728035	1.27196	0.03359665
110	4.876259	4.227152	0.6491068	-0.904793	0.853738	0.146262	1.70748	0.292525	0.3483415
120	10.07338	7.046276	3.027104	-0.367079	0.175557	0.824443	0.351114	1.64889	0.03230384
130	7.264222	5.511794	1.752429	0.475991	0.416775	0.583225	0.833549	1.16645	0.1155683
140	10.08404	6.551716	3.53232	-0.690561	0.34547	0.65453	0.690939	1.30906	0.01949134
150	9.215055	6.875127	2.339928	-0.572062	0.180921	0.819079	0.361842	1.63816	0.06422306
160	7.411255	5.657643	1.753611	0.605605	0.237379	0.762621	0.474758	1.52524	0.1154317
170	6.689109	5.656336	1.032774	-0.926457	0.371948	0.628052	0.743896	1.2561	0.2373454
180	6.427348	5.367553	1.059795	0.109984	0.0640462	0.935954	0.128092	1.87191	0.2310179
190	5.980963	4.921168	1.059795	0.00800649	0.158089	0.841911	0.316178	1.68382	0.2310179
200	7.215354	5.331247	1.884107	-0.943188	0.497521	0.502479	0.995041	1.00496	0.1013098
210	9.880193	6.887447	2.992746	-0.395212	0.501716	0.498284	1.00343	0.996568	0.03343303
220	10.27638	6.63991	3.636466	-0.417907	0.209714	0.790286	0.419427	1.58057	0.01756352
230	9.156791	6.739758	2.417033	-0.224271	0.122015	0.877985	0.244031	1.75597	0.05945724
240	5.336297	4.342899	0.9933976	-0.214044	0.438859	0.561141	0.877719	1.12228	0.2468776
250	4.737347	4.040196	0.6971511	0.219824	0.958851	0.0411494	1.9177	0.0822988	0.3320014
260	8.193961	6.063938	2.130023	-0.037136	0.442772	0.557228	0.885544	1.11446	0.07922302
270	8.895025	5.797288	3.097737	0.326648	0.640437	0.359563	1.28087	0.719126	0.03010086
