Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-22.10697	-21.71518	-0.3917991	0.24961	0.975645	0.0243552	1.95129	0.0487103	0.986427
1	1	-22.75125	-22.3553	-0.395958	0.21691	0.954593	0.0454065	1.90919	0.0908131	0.990538
2	0	-22.61697	-22.21829	-0.3986756	0.390584	0.979702	0.0202975	1.9594	0.0405951	0.9932335
3	1	-23.39328	-23.01267	-0.3806171	0.0062394	0.974488	0.0255116	1.94898	0.0510232	0.9754581
4	0	-23.81308	-23.41201	-0.4010722	0.204111	0.930058	0.0699418	1.86012	0.139884	0.9956167
5	1	-22.89023	-22.51544	-0.3747884	0.137409	0.981711	0.0182891	1.96342	0.0365781	0.9697891
6	0	-24.23526	-23.87375	-0.3615089	0.334908	0.951065	0.0489353	1.90213	0.0978707	0.9569959
7	1	-23.56803	-23.21201	-0.3560144	0.395909	0.979811	0.0201892	1.95962	0.0403784	0.951752
8	0	-23.59818	-23.26847	-0.3297092	0.274685	0.968216	0.0317839	1.93643	0.0635677	0.9270425
9	1	-23.75432	-23.36186	-0.3924606	0.170398	0.933232	0.0667679	1.86646	0.133536	0.9870796
10	0	-23.69515	-23.37994	-0.3152026	0.18506	0.97614	0.0238602	1.95228	0.0477205	0.9136913
11	1	-22.81069	-22.41089	-0.3998045	0.352944	0.965531	0.0344693	1.93106	0.0689386	0.9943554
12	0	-22.02652	-21.62667	-0.399843	0.252257	0.971991	0.0280089	1.94398	0.0560177	0.9943936
13	1	-22.5739	-22.20512	-0.3687848	0.225727	0.972889	0.0271108	1.94578	0.0542216	0.9639842
14	0	-23.42237	-23.02252	-0.399843	0.234633	0.94059	0.05941	1.88118	0.11882	0.9943936
15	1	-25.779	-25.3813	-0.3976934	0.144119	0.88466	0.11534	1.76932	0.23068	0.9922584
16	0	-23.5707	-23.18492	-0.3857856	0.393848	0.964346	0.0356542	1.92869	0.0713084	0.9805129
17	1	-23.40222	-23.0193	-0.3829144	0.14712	0.944616	0.0553839	1.88923	0.110768	0.9777016
18	0	-26.5589	-26.22168	-0.3372206	-0.166081	0.957052	0.0429481	1.9141	0.0858963	0.9340321
19	1	-22.44977	-22.07415	-0.3756215	0.219228	0.972274	0.0277262	1.94455	0.0554525	0.9705973
20	0	-23.84627	-23.52967	-0.3165966	0.123085	0.972831	0.0271685	1.94566	0.0543371	0.9149658
21	1	-23.7046	-23.36397	-0.3406316	0.0745419	0.96405	0.0359497	1.9281	0.0718994	0.9372235
22	0	-23.70978	-23.3861	-0.3236826	0.127116	0.968959	0.0310406	1.93792	0.0620813	0.9214724
23	1	-24.42588	-24.12831	-0.2975754	0.10626	0.976817	0.0231826	1.95363	0.0463653	0.8977266
24	0	-23.21258	-22.82914	-0.383444	0.217829	0.949885	0.0501147	1.89977	0.100229	0.9782196
25	1	-22.85046	-22.49125	-0.3592096	0.155419	0.972988	0.0270124	1.94598	0.0540247	0.954798
26	0	-22.20648	-21.81038	-0.3961056	0.243691	0.982646	0.0173544	1.96529	0.0347089	0.9906841
27	1	-23.54971	-23.22511	-0.3245997	0.178301	0.969507	0.0304927	1.93901	0.0609854	0.9223179
28	0	-28.8279	-28.43644	-0.3914564	0.556479	0.939587	0.0604134	1.87917	0.120827	0.986089
29	1	-23.40507	-23.05524	-0.3498303	0.153089	0.959205	0.0407951	1.91841	0.0815902	0.9458845
30	0	-25.37476	-25.06004	-0.3147175	0.321566	0.945968	0.0540317	1.89194	0.108063	0.9132482
31	1	-23.48921	-23.09621	-0.3929927	0.103906	0.939696	0.0603044	1.87939	0.120609	0.9876051
32	0	-22.48148	-22.09456	-0.3869158	0.110865	0.972461	0.0275393	1.94492	0.0550787	0.9816216
33	1	-23.75757	-23.40486	-0.3527145	0.10041	0.983019	0.0169811	1.96604	0.0339622	0.9486166
34	0	-25.61154	-25.2517	-0.3598363	-0.0595977	0.924964	0.075036	1.84993	0.150072	0.9553965
35	1	-24.43115	-24.14423	-0.2869129	0.301768	0.976316	0.0236841	1.95263	0.0473682	0.8882054
36	0	-23.49432	-23.11026	-0.384062	0.0477488	0.948729	0.051271	1.89746	0.102542	0.9788243
37	1	-26.97659	-26.71536	-0.2612318	0.103162	0.920893	0.0791074	1.84179	0.158215	0.8656858
38	0	-23.88457	-23.49431	-0.3902613	-0.00309888	0.943355	0.0566451	1.88671	0.11329	0.9849112
