Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-22.10697	-21.71518	-0.3917991	0.24961	0.975645	0.0243552	1.95129	0.0487103	0.986427
10	-22.61697	-22.21829	-0.3986756	0.390584	0.979702	0.0202975	1.9594	0.0405951	0.9932335
20	-23.81308	-23.41201	-0.4010722	0.204111	0.930058	0.0699418	1.86012	0.139884	0.9956167
30	-24.23526	-23.87375	-0.3615089	0.334908	0.951065	0.0489353	1.90213	0.0978707	0.9569959
40	-23.59818	-23.26847	-0.3297092	0.274685	0.968216	0.0317839	1.93643	0.0635677	0.9270425
50	-23.69515	-23.37994	-0.3152026	0.18506	0.97614	0.0238602	1.95228	0.0477205	0.9136913
60	-22.02652	-21.62667	-0.399843	0.252257	0.971991	0.0280089	1.94398	0.0560177	0.9943936
70	-23.42237	-23.02252	-0.399843	0.234633	0.94059	0.05941	1.88118	0.11882	0.9943936
80	-23.5707	-23.18492	-0.3857856	0.393848	0.964346	0.0356542	1.92869	0.0713084	0.9805129
90	-26.5589	-26.22168	-0.3372206	-0.166081	0.957052	0.0429481	1.9141	0.0858963	0.9340321
100	-23.84627	-23.52967	-0.3165966	0.123085	0.972831	0.0271685	1.94566	0.0543371	0.9149658
110	-23.70978	-23.3861	-0.3236826	0.127116	0.968959	0.0310406	1.93792	0.0620813	0.9214724
120	-23.21258	-22.82914	-0.383444	0.217829	0.949885	0.0501147	1.89977	0.100229	0.9782196
130	-22.20648	-21.81038	-0.3961056	0.243691	0.982646	0.0173544	1.96529	0.0347089	0.9906841
140	-28.8279	-28.43644	-0.3914564	0.556479	0.939587	0.0604134	1.87917	0.120827	0.986089
150	-25.37476	-25.06004	-0.3147175	0.321566	0.945968	0.0540317	1.89194	0.108063	0.9132482
160	-22.48148	-22.09456	-0.3869158	0.110865	0.972461	0.0275393	1.94492	0.0550787	0.9816216
170	-25.61154	-25.2517	-0.3598363	-0.0595977	0.924964	0.075036	1.84993	0.150072	0.9553965
180	-23.49432	-23.11026	-0.384062	0.0477488	0.948729	0.051271	1.89746	0.102542	0.9788243
190	-23.88457	-23.49431	-0.3902613	-0.00309888	0.943355	0.0566451	1.88671	0.11329	0.9849112
200	-26.27289	-25.86935	-0.403541	-0.178026	0.920979	0.079021	1.84196	0.158042	0.9980778
210	-24.31837	-23.92444	-0.3939256	0.386594	0.948381	0.0516193	1.89676	0.103239	0.9885268
220	-23.56707	-23.18961	-0.3774628	0.389993	0.966487	0.0335129	1.93297	0.0670258	0.9723862
230	-22.57274	-22.20206	-0.3706793	0.28011	0.977574	0.0224258	1.95515	0.0448516	0.9658123
240	-25.98065	-25.6316	-0.349042	-0.110126	0.936099	0.0639014	1.8722	0.127803	0.9451392
250	-23.59527	-23.25128	-0.3439905	0.232909	0.984916	0.0150838	1.96983	0.0301675	0.9403768
260	-24.50525	-24.18712	-0.3181321	0.0763789	0.952651	0.0473485	1.9053	0.0946971	0.9163719
270	-26.23702	-25.97415	-0.2628697	-0.0283976	0.963477	0.0365227	1.92695	0.0730453	0.8671048
280	-24.02518	-23.72012	-0.305066	0.229079	0.980873	0.0191267	1.96175	0.0382535	0.9044764
290	-23.4593	-23.08818	-0.371126	0.214515	0.949429	0.0505709	1.89886	0.101142	0.9662438
300	-23.13569	-22.73403	-0.4016637	-0.0141658	0.965387	0.0346134	1.93077	0.0692268	0.9962058
310	-23.10712	-22.73063	-0.3764886	0.146203	0.954151	0.0458493	1.9083	0.0916987	0.9714393
320	-22.7599	-22.3762	-0.383695	0.225776	0.985	0.0150001	1.97	0.0300001	0.9784652
330	-24.23155	-23.83815	-0.3934005	-0.0906417	0.972292	0.0277082	1.94458	0.0554164	0.9880079
340	-23.88641	-23.50895	-0.3774548	0.0597508	0.940456	0.0595436	1.88091	0.119087	0.9723783
350	-22.28423	-21.89561	-0.3886167	0.299391	0.976124	0.0238763	1.95225	0.0477526	0.9832927
360	-24.43335	-24.12119	-0.3121592	0.279074	0.958394	0.0416063	1.91679	0.0832127	0.9109148
370	-25.30323	-25.01833	-0.2849043	0.179379	0.945802	0.0541981	1.8916	0.108396	0.8864232
380	-24.03321	-23.67534	-0.3578721	0.303487	0.951359	0.0486406	1.90272	0.0972812	0.9535218
390	-24.96059	-24.57858	-0.3820142	-0.019606	0.985637	0.0143629	1.97127	0.0287258	0.9768219
400	-24.50624	-24.14725	-0.3589888	0.205844	0.93231	0.0676898	1.86462	0.13538	0.9545872
410	-24.8955	-24.56639	-0.3291104	0.16747	0.934866	0.0651337	1.86973	0.130267	0.9264875
420	-23.95669	-23.64213	-0.3145649	0.160013	0.963241	0.036759	1.92648	0.073518	0.9131088
430	-25.39674	-25.13943	-0.2573094	0.195042	0.957199	0.0428006	1.9144	0.0856012	0.8622969
440	-23.94361	-23.60297	-0.3406423	0.136625	0.950972	0.0490277	1.90194	0.0980553	0.9372336
450	-27.7878	-27.49783	-0.2899792	0.075928	0.889396	0.110604	1.77879	0.221208	0.8909331
460	-25.67984	-25.38523	-0.2946072	0.0209292	0.942368	0.0576317	1.88474	0.115263	0.8950659
470	-23.34746	-22.96106	-0.3864023	0.410434	0.971454	0.0285464	1.94291	0.0570927	0.9811177
480	-23.76205	-23.39373	-0.3683225	0.12427	0.943197	0.0568027	1.88639	0.113605	0.9635388
490	-24.48504	-24.09357	-0.3914693	0.485218	0.970352	0.0296484	1.9407	0.0592968	0.9861017
500	-24.5696	-24.23807	-0.3315267	0.082424	0.94349	0.0565097	1.88698	0.113019	0.9287288
510	-24.84338	-24.50758	-0.3357948	0.0600348	0.936828	0.0631724	1.87366	0.126345	0.9327013
520	-24.2584	-23.95466	-0.3037359	0.208969	0.96099	0.0390101	1.92198	0.0780203	0.9032742
530	-22.67926	-22.28881	-0.390451	0.192377	0.957699	0.0423008	1.9154	0.0846015	0.9850981
540	-23.18232	-22.82068	-0.3616435	0.0759841	0.973401	0.0265987	1.9468	0.0531974	0.9571247
550	-23.43526	-23.05193	-0.3833322	0.380133	0.964845	0.0351549	1.92969	0.0703098	0.9781103
560	-22.90012	-22.52168	-0.3784401	0.0683281	0.97368	0.0263199	1.94736	0.0526398	0.9733369
570	-22.73713	-22.3699	-0.3672349	0.226569	0.967958	0.0320422	1.93592	0.0640843	0.9624913
580	-22.15312	-21.75991	-0.3932097	0.198583	0.97962	0.0203796	1.95924	0.0407593	0.9878193
590	-22.18652	-21.79096	-0.3955668	0.290875	0.981596	0.0184037	1.96319	0.0368075	0.9901505
600	-22.17524	-21.78434	-0.3909027	0.28215	0.977297	0.0227033	1.95459	0.0454066	0.9855431
610	-23.70465	-23.31054	-0.3941138	0.265497	0.989499	0.010501	1.979	0.0210021	0.9887129
620	-23.69529	-23.33501	-0.3602724	0.043832	0.956719	0.0432812	1.91344	0.0865624	0.9558132
630	-23.30133	-22.91661	-0.3847168	0.079016	0.949774	0.0502257	1.89955	0.100451	0.9794654
640	-24.30891	-23.95604	-0.3528614	0.194051	0.938213	0.0617873	1.87643	0.123575	0.9487559
650	-22.91012	-22.5522	-0.3579171	0.159943	0.969589	0.0304113	1.93918	0.0608227	0.9535647
660	-23.74428	-23.34263	-0.4016492	-0.0674014	0.961135	0.0388653	1.92227	0.0777306	0.9961913
670	-22.3574	-21.95388	-0.4035202	0.0785802	0.969544	0.0304557	1.93909	0.0609115	0.998057
680	-23.24495	-22.88657	-0.3583839	0.226951	0.959704	0.0402964	1.91941	0.0805928	0.9540099
690	-22.56882	-22.18915	-0.3796699	0.261837	0.982986	0.0170135	1.96597	0.0340271	0.9745347
700	-24.51805	-24.16661	-0.3514377	0.0534893	0.937894	0.0621058	1.87579	0.124212	0.9474061
710	-23.32173	-22.91991	-0.4018165	0.0114495	0.950296	0.0497041	1.90059	0.0994082	0.9963581
720	-23.49766	-23.13603	-0.3616266	0.285357	0.957766	0.0422337	1.91553	0.0844673	0.9571085
730	-23.84125	-23.47265	-0.3686079	0.148012	0.940834	0.0591657	1.88167	0.118331	0.9638137
740	-22.79363	-22.39756	-0.3960733	0.132634	0.953436	0.0465638	1.90687	0.0931275	0.9906521
750	-22.77718	-22.41667	-0.3605077	0.232278	0.971252	0.0287482	1.9425	0.0574964	0.9560382
760	-23.11281	-22.74308	-0.3697366	0.177552	0.956567	0.0434331	1.91313	0.0868663	0.9649022
770	-23.14516	-22.79033	-0.3548345	0.314627	0.971671	0.0283285	1.94334	0.0566571	0.9506298
780	-23.13976	-22.74605	-0.3937148	0.18487	0.946213	0.0537868	1.89243	0.107574	0.9883185
790	-22.19514	-21.79702	-0.3981222	0.325129	0.979781	0.0202194	1.95956	0.0404389	0.992684
800	-23.42991	-23.04916	-0.3807461	0.238886	0.947824	0.0521755	1.89565	0.104351	0.975584
810	-24.43482	-24.07344	-0.3613757	-0.0241777	0.979475	0.0205252	1.95895	0.0410505	0.9568684
820	-22.66101	-22.26862	-0.3923869	0.312477	0.965511	0.0344891	1.93102	0.0689782	0.9870069
830	-22.93178	-22.57225	-0.3595237	0.238082	0.967212	0.032788	1.93442	0.065576	0.9550979
840	-27.33628	-26.94392	-0.392362	0.262073	0.864952	0.135048	1.7299	0.270096	0.9869823
850	-24.15689	-23.7816	-0.3752959	-0.0309243	0.978818	0.0211817	1.95764	0.0423633	0.9702813
860	-25.80971	-25.50294	-0.3067707	0.017153	0.933022	0.0669777	1.86604	0.133955	0.9060195
870	-23.93003	-23.55189	-0.3781315	-0.0413933	0.961052	0.0389477	1.9221	0.0778955	0.9730365
880	-27.07511	-26.78452	-0.290591	0.343636	0.929915	0.0700852	1.85983	0.14017	0.8914784
890	-27.01916	-26.76764	-0.2515232	0.459876	0.983211	0.0167894	1.96642	0.0335787	0.8573218
900	-23.47815	-23.1125	-0.3656531	0.316912	0.960374	0.0396261	1.92075	0.0792522	0.96097
910	-22.99305	-22.61473	-0.3783285	0.0936723	0.980521	0.0194794	1.96104	0.0389588	0.9732283
920	-23.78109	-23.40698	-0.3741044	-0.0241465	0.964794	0.0352063	1.92959	0.0704125	0.969126
930	-24.7603	-24.41733	-0.3429711	0.0537668	0.984935	0.0150651	1.96987	0.0301302	0.9394187
940	-22.91186	-22.54437	-0.3674884	0.115684	0.977601	0.0223993	1.9552	0.0447985	0.9627354
950	-24.28104	-23.88508	-0.395967	-0.0107992	0.931316	0.0686845	1.86263	0.137369	0.9905469
960	-22.95102	-22.58515	-0.3658705	0.0999659	0.973232	0.0267684	1.94646	0.0535367	0.9611791
970	-24.25718	-23.86988	-0.3872986	0.322907	0.93986	0.0601397	1.87972	0.120279	0.9819975
980	-22.28471	-21.88811	-0.3966015	0.113718	0.97203	0.0279705	1.94406	0.0559409	0.9911756
990	-23.18444	-22.81144	-0.3729961	0.1401	0.954075	0.0459248	1.90815	0.0918497	0.9680525
1000	-22.48537	-22.11058	-0.3747957	0.263197	0.973941	0.0260585	1.94788	0.0521171	0.9697961
1010	-23.59994	-23.23965	-0.360291	0.125377	0.95051	0.0494897	1.90102	0.0989794	0.955831
1020	-24.2206	-23.93006	-0.2905443	0.211724	0.970791	0.0292085	1.94158	0.058417	0.8914367
1030	-24.25642	-23.95094	-0.3054822	0.148118	0.960541	0.0394587	1.92108	0.0789175	0.9048529
1040	-25.75651	-25.38375	-0.3727604	0.470103	0.954229	0.0457715	1.90846	0.0915429	0.9678243
1050	-28.72298	-28.39708	-0.3258969	-0.0977315	0.872632	0.127368	1.74526	0.254737	0.923515
1060	-25.22973	-24.92185	-0.3078866	0.0080642	0.979257	0.0207428	1.95851	0.0414857	0.9070311
1070	-25.29166	-24.98334	-0.3083221	0.294608	0.945829	0.0541712	1.89166	0.108342	0.9074262
1080	-22.70006	-22.3049	-0.3951638	0.258946	0.958436	0.0415639	1.91687	0.0831279	0.9897515
1090	-23.9291	-23.5705	-0.3586012	-0.00640006	0.972436	0.0275643	1.94487	0.0551286	0.9542172
1100	-23.63618	-23.24223	-0.3939418	0.355711	0.95374	0.0462597	1.90748	0.0925195	0.9885428
1110	-23.5382	-23.16154	-0.3766589	0.0121717	0.958544	0.0414564	1.91709	0.0829129	0.9716048
1120	-24.90605	-24.55742	-0.3486315	0.306432	0.939432	0.0605681	1.87886	0.121136	0.9447513
1130	-22.8287	-22.43789	-0.3908153	0.138391	0.954695	0.0453055	1.90939	0.0906109	0.9854569
1140	-23.33189	-22.96112	-0.3707674	0.0297917	0.968578	0.0314217	1.93716	0.0628434	0.9658974
1150	-26.32706	-25.98066	-0.3463971	-0.0672853	0.915173	0.0848274	1.83035	0.169655	0.9426426
1160	-23.29824	-22.92023	-0.3780143	0.0774482	0.953328	0.0466722	1.90666	0.0933444	0.9729225
1170	-23.98588	-23.59714	-0.3887377	0.0962792	0.987471	0.0125288	1.97494	0.0250576	0.9834117
1180	-23.3088	-22.94082	-0.3679887	0.111678	0.954887	0.045113	1.90977	0.0902259	0.9632172
1190	-22.35916	-21.98072	-0.3784377	0.215911	0.974938	0.0250615	1.94988	0.050123	0.9733345
1200	-22.63709	-22.25794	-0.3791519	0.183326	0.963902	0.036098	1.9278	0.0721959	0.9740299
1210	-22.13507	-21.73506	-0.4000087	0.164106	0.979965	0.0200349	1.95993	0.0400698	0.9945585
1220	-25.73934	-25.38965	-0.3496987	-0.0935645	0.979564	0.0204357	1.95913	0.0408714	0.9457601
1230	-22.44543	-22.04133	-0.4041079	0.378479	0.97671	0.0232899	1.95342	0.0465799	0.9986437
1240	-24.48734	-24.13203	-0.3553121	0.0348935	0.939019	0.0609811	1.87804	0.121962	0.9510839
1250	-24.55778	-24.18187	-0.3759078	0.379109	0.94884	0.0511602	1.89768	0.10232	0.9708753
1260	-25.88355	-25.47976	-0.4037869	0.444202	0.935026	0.0649743	1.87005	0.129949	0.9983232
1270	-21.8788	-21.47501	-0.4037869	0.248059	0.978516	0.0214838	1.95703	0.0429675	0.9983232
1280	-23.50701	-23.10236	-0.404646	-0.0272201	0.952075	0.0479246	1.90415	0.0958492	0.9991812
1290	-26.83728	-26.46089	-0.376388	0.19387	0.873465	0.126535	1.74693	0.25307	0.9713416
1300	-23.07441	-22.69196	-0.3824488	0.325347	0.962869	0.0371314	1.92574	0.0742627	0.9772466
1310	-24.37937	-24.05277	-0.3266045	0.304524	0.956724	0.043276	1.91345	0.086552	0.9241687
1320	-22.38358	-22.00591	-0.3776719	0.234382	0.978173	0.0218275	1.95635	0.0436549	0.9725895
1330	-23.51169	-23.14642	-0.3652738	0.108312	0.9513	0.0486998	1.9026	0.0973995	0.9606057
1340	-22.49776	-22.0946	-0.4031602	0.0855181	0.979846	0.0201535	1.95969	0.040307	0.9976977
1350	-21.94179	-21.54166	-0.4001276	0.208108	0.976203	0.0237972	1.95241	0.0475944	0.9946767
1360	-23.91026	-23.50583	-0.4044221	-0.0362658	0.942293	0.0577072	1.88459	0.115414	0.9989576
1370	-22.29099	-21.90586	-0.3851314	0.248628	0.980276	0.0197242	1.96055	0.0394484	0.9798716
1380	-24.61247	-24.24885	-0.3636265	0.300415	0.9384	0.0615999	1.8768	0.1232	0.9590245
1390	-22.18299	-21.79257	-0.3904178	0.1748	0.974479	0.0255206	1.94896	0.0510412	0.9850654
1400	-26.73158	-26.40057	-0.3310124	0.172913	0.894796	0.105204	1.78959	0.210409	0.9282514
1410	-24.25451	-23.92772	-0.3267922	0.378917	0.971365	0.0286353	1.94273	0.0572706	0.9243423
1420	-25.42802	-25.17814	-0.2498787	0.107291	0.974362	0.0256378	1.94872	0.0512756	0.8559131
1430	-24.77139	-24.48754	-0.2838466	0.181563	0.958236	0.0417643	1.91647	0.0835285	0.8854861
1440	-23.487	-23.14745	-0.3395575	0.285846	0.967146	0.0328537	1.93429	0.0657075	0.9362174
1450	-23.33602	-22.99172	-0.3443009	0.250444	0.965328	0.0346722	1.93066	0.0693445	0.9406687
1460	-24.04184	-23.68666	-0.3551794	0.185395	0.942527	0.0574734	1.88505	0.114947	0.9509576
1470	-24.5093	-24.15577	-0.3535308	0.375332	0.956281	0.0437195	1.91256	0.087439	0.9493913
1480	-26.92618	-26.59677	-0.3294043	-0.145502	0.934648	0.0653517	1.8693	0.130703	0.9267598
1490	-22.63485	-22.26824	-0.3666106	0.181156	0.974392	0.0256077	1.94878	0.0512154	0.9618906
1500	-23.39864	-23.01242	-0.3862182	0.343519	0.958367	0.0416335	1.91673	0.083267	0.9809371
1510	-23.5532	-23.17375	-0.3794511	0.358307	0.987733	0.0122675	1.97547	0.024535	0.9743215
1520	-23.23241	-22.82887	-0.4035443	0.440496	0.974512	0.0254882	1.94902	0.0509764	0.9980811
1530	-23.82822	-23.42468	-0.4035443	0.131459	0.926762	0.0732383	1.85352	0.146477	0.9980811
1540	-22.18016	-21.77997	-0.400198	0.324373	0.975554	0.0244461	1.95111	0.0488922	0.9947468
1550	-22.83154	-22.45855	-0.372987	0.163696	0.982075	0.0179246	1.96415	0.0358491	0.9680436
1560	-24.05816	-23.65611	-0.4020539	0.115256	0.922366	0.0776343	1.84473	0.155269	0.9965946
1570	-24.66978	-24.28749	-0.3822867	0.344468	0.938079	0.0619213	1.87616	0.123843	0.9770882
1580	-23.06363	-22.66269	-0.400936	0.14073	0.944873	0.0551273	1.88975	0.110255	0.9954811
1590	-23.34261	-22.94622	-0.3963938	0.236083	0.943553	0.0564473	1.88711	0.112895	0.9909697
1600	-23.59996	-23.2355	-0.3644669	0.413704	0.981938	0.0180623	1.96388	0.0361247	0.9598308
1610	-23.94231	-23.59858	-0.343726	0.228267	0.986548	0.0134525	1.9731	0.0269049	0.9401281
1620	-26.44637	-26.05959	-0.3867831	0.469483	0.99195	0.00805024	1.9839	0.0161005	0.9814914
1630	-23.29227	-22.93438	-0.3578896	0.0891704	0.978005	0.0219946	1.95601	0.0439892	0.9535385
1640	-22.49748	-22.11714	-0.3803431	0.283257	0.981893	0.018107	1.96379	0.0362139	0.9751909
1650	-24.52117	-24.20853	-0.312642	0.264028	0.954971	0.0450291	1.90994	0.0900582	0.9113547
1660	-22.57659	-22.20725	-0.3693382	0.236828	0.97929	0.0207099	1.95858	0.0414198	0.9645179
1670	-22.54074	-22.15872	-0.3820275	0.318799	0.981489	0.0185114	1.96298	0.0370229	0.976835
1680	-23.98593	-23.64381	-0.3421203	0.0402123	0.977296	0.0227044	1.95459	0.0454088	0.9386198
1690	-24.20391	-23.87798	-0.325929	0.0446789	0.975123	0.0248773	1.95025	0.0497547	0.9235447
1700	-23.34373	-22.97361	-0.3701282	0.0665946	0.957771	0.0422286	1.91554	0.0844571	0.9652801
1710	-23.47822	-23.1265	-0.3517223	0.0885908	0.961574	0.0384258	1.92315	0.0768516	0.9476758
1720	-24.00705	-23.63797	-0.3690888	0.340456	0.988666	0.0113336	1.97733	0.0226672	0.9642774
1730	-22.92679	-22.53978	-0.3870042	0.0644477	0.961245	0.0387552	1.92249	0.0775104	0.9817085
1740	-23.98364	-23.66428	-0.3193547	0.272256	0.983927	0.0160731	1.96785	0.0321461	0.9174929
1750	-25.48602	-25.21145	-0.2745687	0.385485	0.983217	0.0167827	1.96643	0.0335654	0.8773086
1760	-24.39698	-24.09881	-0.2981764	0.253504	0.962937	0.0370628	1.92587	0.0741256	0.8982663
1770	-25.61989	-25.32874	-0.2911497	-0.0254989	0.959587	0.0404133	1.91917	0.0808267	0.8919765
1780	-24.45188	-24.12799	-0.3238836	0.201922	0.947484	0.0525165	1.89497	0.105033	0.9216576
1790	-22.67396	-22.3047	-0.3692587	0.15298	0.976414	0.0235864	1.95283	0.0471727	0.9644412
1800	-22.81465	-22.45629	-0.3583673	0.258163	0.979454	0.0205459	1.95891	0.0410919	0.9539941
1810	-22.62407	-22.25685	-0.3672216	0.242496	0.979439	0.0205608	1.95888	0.0411216	0.9624785
1820	-22.26657	-21.869	-0.3975741	0.163222	0.965196	0.0348042	1.93039	0.0696084	0.99214
1830	-21.90885	-21.50481	-0.4040329	0.198629	0.978566	0.0214344	1.95713	0.0428688	0.9985688
1840	-23.8496	-23.44557	-0.4040329	0.0784714	0.927907	0.0720929	1.85581	0.144186	0.9985688
1850	-22.80288	-22.39816	-0.4047219	0.0644468	0.954891	0.045109	1.90978	0.090218	0.999257
1860	-22.47606	-22.08979	-0.386271	0.165412	0.96514	0.0348601	1.93028	0.0697202	0.980989
1870	-23.99136	-23.62239	-0.368972	0.124379	0.937701	0.0622993	1.8754	0.124599	0.9641648
1880	-23.03781	-22.66884	-0.368972	0.121373	0.980943	0.0190569	1.96189	0.0381137	0.9641648
1890	-23.55583	-23.16358	-0.3922428	0.353925	0.955344	0.0446559	1.91069	0.0893117	0.9868647
1900	-22.67544	-22.28541	-0.3900296	0.284059	0.985578	0.0144222	1.97116	0.0288444	0.984683
1910	-23.30368	-22.91371	-0.3899693	0.0682876	0.948311	0.0516892	1.89662	0.103378	0.9846236
1920	-23.27179	-22.8841	-0.3876839	0.0591453	0.951359	0.0486408	1.90272	0.0972817	0.982376
1930	-23.23455	-22.83767	-0.3968783	0.376746	0.96308	0.0369197	1.92616	0.0738394	0.9914499
1940	-22.34109	-21.9485	-0.3925893	0.325339	0.975257	0.0247429	1.95051	0.0494858	0.9872067
1950	-22.88506	-22.49787	-0.3871846	0.375061	0.984017	0.0159833	1.96803	0.0319667	0.9818855
1960	-27.93114	-27.55462	-0.3765222	-0.0696656	0.858398	0.141602	1.7168	0.283204	0.971472
1970	-25.13514	-24.79127	-0.3438719	0.293079	0.935036	0.0649636	1.87007	0.129927	0.9402653
1980	-22.94835	-22.54445	-0.4039088	0.314807	0.956314	0.0436857	1.91263	0.0873715	0.9984449
1990	-22.66673	-22.29451	-0.3722105	0.184281	0.980712	0.0192882	1.96142	0.0385765	0.9672923
2000	-23.07328	-22.68455	-0.3887265	0.375641	0.985911	0.0140885	1.97182	0.028177	0.9834007
2010	-23.48192	-23.11728	-0.3646429	0.405802	0.979413	0.0205867	1.95883	0.0411734	0.9599998
2020	-23.23883	-22.85733	-0.3814937	0.189396	0.949038	0.0509619	1.89808	0.101924	0.9763136
