Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	0	-99.56861	-99.17344	-0.3951719	0.142789	0.984907	0.0150932	1.96981	0.0301864	0.9897596
1	1	-99.1011	-98.70505	-0.3960499	0.161892	0.979989	0.0200108	1.95998	0.0400216	0.990629
2	0	-101.4696	-101.0751	-0.3944736	0.0915954	0.965642	0.0343583	1.93128	0.0687165	0.9890686
3	1	-101.6476	-101.2598	-0.3877501	0.145088	0.966668	0.0333318	1.93334	0.0666637	0.982441
4	0	-99.71565	-99.32572	-0.3899314	0.172407	0.98463	0.0153703	1.96926	0.0307406	0.9845863
5	1	-102.9764	-102.6067	-0.3696981	0.1855	0.969791	0.030209	1.93958	0.060418	0.964865
6	0	-100.6244	-100.2437	-0.3806389	0.19341	0.98552	0.01448	1.97104	0.02896	0.9754795
7	1	-103.3162	-102.9277	-0.3884625	0.0173572	0.966289	0.0337112	1.93258	0.0674223	0.9831411
8	0	-101.5004	-101.1186	-0.3817207	0.182569	0.971559	0.028441	1.94312	0.056882	0.9765352
9	1	-99.72353	-99.33174	-0.3917864	0.164909	0.977189	0.0228108	1.95438	0.0456216	0.9864144
10	0	-101.1834	-100.7963	-0.3871249	0.216444	0.972134	0.0278656	1.94427	0.0557312	0.9818269
11	1	-99.61711	-99.2189	-0.3982096	0.204216	0.974391	0.0256087	1.94878	0.0512174	0.9927707
12	0	-99.22797	-98.82532	-0.4026566	0.117171	0.97496	0.0250404	1.94992	0.0500807	0.9971954
13	1	-100.5962	-100.2151	-0.3810334	0.205113	0.98582	0.01418	1.97164	0.0283601	0.9758643
14	0	-99.25548	-98.85283	-0.4026566	0.188697	0.973396	0.0266042	1.94679	0.0532084	0.9971954
15	1	-100.1083	-99.71045	-0.3978803	0.121474	0.971081	0.0289192	1.94216	0.0578384	0.9924439
16	0	-103.127	-102.7244	-0.4026058	0.342789	0.9725	0.0274998	1.945	0.0549995	0.9971448
17	1	-98.44042	-98.03541	-0.4050088	0.213944	0.986863	0.0131366	1.97373	0.0262731	0.9995438
18	0	-98.81095	-98.40581	-0.4051414	0.178626	0.974524	0.0254758	1.94905	0.0509516	0.9996763
19	1	-98.90466	-98.5023	-0.4023597	0.138285	0.984705	0.0152948	1.96941	0.0305896	0.9968995
20	0	-100.4305	-100.0279	-0.4026062	0.0759873	0.985602	0.0143981	1.9712	0.0287962	0.9971452
21	1	-100.1281	-99.7255	-0.4026478	0.333049	0.985276	0.0147239	1.97055	0.0294477	0.9971867
22	0	-98.96078	-98.55925	-0.4015279	0.132001	0.977471	0.0225287	1.95494	0.0450573	0.9960705
23	1	-99.91623	-99.52127	-0.3949597	0.168537	0.973362	0.0266381	1.94672	0.0532761	0.9895496
24	0	-98.50082	-98.09856	-0.4022598	0.159413	0.980553	0.0194472	1.96111	0.0388944	0.9967998
25	1	-99.13523	-98.73714	-0.3980821	0.182067	0.977089	0.0229112	1.95418	0.0458224	0.9926442
26	0	-99.76992	-99.37662	-0.3932974	0.12266	0.978468	0.0215325	1.95694	0.0430649	0.987906
27	1	-98.65297	-98.24866	-0.4043187	0.124134	0.981664	0.0183364	1.96333	0.0366727	0.9988542
28	0	-99.94564	-99.55319	-0.3924487	0.128387	0.984255	0.0157446	1.96851	0.0314892	0.987068
29	1	-98.61637	-98.21231	-0.404057	0.213362	0.987194	0.0128059	1.97439	0.0256118	0.9985929
30	0	-99.75049	-99.35524	-0.3952513	0.241668	0.977929	0.0220712	1.95586	0.0441424	0.9898382
31	1	-99.7569	-99.35738	-0.3995193	0.112527	0.985318	0.0146825	1.97064	0.029365	0.9940719
32	0	-98.49198	-98.08911	-0.4028633	0.156191	0.979909	0.0200911	1.95982	0.0401822	0.9974015
33	1	-99.3002	-98.89522	-0.4049713	0.168294	0.971285	0.0287147	1.94257	0.0574293	0.9995063
34	0	-98.99253	-98.59472	-0.3978076	0.22811	0.986047	0.013953	1.97209	0.027906	0.9923718
35	1	-99.01091	-98.6103	-0.4006157	0.127593	0.978653	0.0213471	1.95731	0.0426942	0.9951623
36	0	-99.66012	-99.26585	-0.3942768	0.256638	0.980832	0.0191681	1.96166	0.0383362	0.988874
