Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-98.22361	-97.81948	-0.4041337	0.203776	0.984772	0.015228	1.96954	0.0304561	0.9986695
10	-98.83404	-98.42991	-0.4041337	0.218704	0.976646	0.0233544	1.95329	0.0467087	0.9986695
20	-98.68368	-98.27954	-0.4041367	0.24791	0.980106	0.0198941	1.96021	0.0397883	0.9986724
30	-99.73157	-99.33164	-0.3999333	0.269487	0.988918	0.0110817	1.97784	0.0221635	0.9944835
40	-99.5707	-99.17625	-0.3944505	0.261231	0.986414	0.0135865	1.97283	0.0271729	0.9890458
50	-98.53104	-98.12873	-0.4023121	0.232328	0.985738	0.0142621	1.97148	0.0285242	0.996852
60	-105.0844	-104.693	-0.3913804	0.0902102	0.95053	0.0494702	1.90106	0.0989405	0.986014
70	-98.82484	-98.42663	-0.3982131	0.220249	0.981654	0.0183462	1.96331	0.0366925	0.9927742
80	-103.5707	-103.2023	-0.3683882	0.0993545	0.967782	0.0322176	1.93556	0.0644352	0.963602
90	-101.4044	-101.0294	-0.3750253	0.23948	0.979864	0.0201356	1.95973	0.0402712	0.9700188
100	-100.1973	-99.81363	-0.3836416	0.219996	0.982161	0.017839	1.96432	0.035678	0.9784129
110	-102.2626	-101.8743	-0.388205	0.133823	0.962802	0.0371985	1.9256	0.0743969	0.9828879
120	-101.4325	-101.0275	-0.4050445	0.297685	0.97138	0.0286196	1.94276	0.0572393	0.9995795
130	-99.97738	-99.57271	-0.404668	0.0541534	0.979861	0.0201394	1.95972	0.0402788	0.9992033
140	-98.39218	-97.98752	-0.404668	0.249924	0.982866	0.0171343	1.96573	0.0342686	0.9992033
150	-99.96959	-99.5706	-0.3989957	0.268967	0.977363	0.0226368	1.95473	0.0452737	0.9935515
160	-98.89868	-98.4964	-0.4022828	0.135144	0.984311	0.0156889	1.96862	0.0313778	0.9968227
170	-99.22688	-98.82393	-0.4029515	0.100656	0.977134	0.0228664	1.95427	0.0457329	0.9974896
180	-99.3287	-98.93595	-0.3927553	0.221128	0.982061	0.0179395	1.96412	0.035879	0.9873707
190	-100.7399	-100.3453	-0.3946584	0.135663	0.98802	0.0119801	1.97604	0.0239602	0.9892515
200	-98.70985	-98.31098	-0.3988648	0.178612	0.981392	0.0186078	1.96278	0.0372156	0.9934215
210	-99.73154	-99.33526	-0.3962875	0.2244	0.97603	0.0239698	1.95206	0.0479395	0.9908643
220	-101.9876	-101.5974	-0.3901492	0.313617	0.977544	0.0224563	1.95509	0.0449125	0.9848008
230	-102.0638	-101.6751	-0.3887009	0.312812	0.990287	0.00971338	1.98057	0.0194268	0.9833755
240	-103.1899	-102.7941	-0.3957856	-0.0167611	0.97942	0.0205797	1.95884	0.0411595	0.9903672
250	-98.69711	-98.29734	-0.3997789	0.23304	0.984648	0.015352	1.9693	0.0307041	0.99433
260	-99.22784	-98.82808	-0.3997632	0.269182	0.981779	0.0182209	1.96356	0.0364418	0.9943143
270	-99.34422	-98.93934	-0.4048724	0.145956	0.971058	0.0289424	1.94212	0.0578848	0.9994075
280	-100.3226	-99.92619	-0.3964479	0.300538	0.981033	0.0189673	1.96207	0.0379346	0.9910233
290	-98.94978	-98.54681	-0.4029728	0.112206	0.981262	0.0187383	1.96252	0.0374765	0.9975108
300	-99.2851	-98.88934	-0.3957616	0.140394	0.982382	0.0176176	1.96476	0.0352353	0.9903434
310	-99.45531	-99.06179	-0.3935169	0.143331	0.98202	0.0179796	1.96404	0.0359591	0.9881229
320	-101.1301	-100.7452	-0.3848804	0.226929	0.988917	0.0110833	1.97783	0.0221666	0.9796257
330	-98.74665	-98.34804	-0.3986059	0.201557	0.984648	0.0153523	1.9693	0.0307046	0.9931642
340	-104.4099	-104.016	-0.3938653	0.121716	0.947398	0.0526021	1.8948	0.105204	0.9884672
350	-98.28595	-97.88151	-0.4044419	0.183655	0.979528	0.0204722	1.95906	0.0409443	0.9989773
360	-100.5889	-100.1986	-0.3902738	0.218169	0.973901	0.0260993	1.9478	0.0521985	0.9849235
370	-99.52379	-99.12278	-0.4010159	0.290954	0.987825	0.012175	1.97565	0.0243501	0.9955607
380	-99.99632	-99.59751	-0.398808	0.130176	0.987026	0.0129737	1.97405	0.0259474	0.993365
390	-99.59152	-99.19494	-0.3965846	0.177695	0.974652	0.0253483	1.9493	0.0506966	0.9911588
400	-100.4221	-100.0255	-0.3966564	0.125647	0.969492	0.0305081	1.93898	0.0610161	0.99123
410	-99.12585	-98.72494	-0.4009034	0.203351	0.975872	0.0241282	1.95174	0.0482565	0.9954487
420	-99.55893	-99.15492	-0.4040172	0.29917	0.981022	0.018978	1.96204	0.037956	0.9985531
430	-98.20269	-97.79872	-0.4039744	0.217591	0.983359	0.0166409	1.96672	0.0332818	0.9985104
440	-99.51633	-99.11404	-0.4022854	0.0887953	0.982276	0.0177238	1.96455	0.0354476	0.9968254
450	-99.26789	-98.86959	-0.3983034	0.135016	0.984197	0.0158025	1.96839	0.0316051	0.9928638
460	-98.57852	-98.17852	-0.4000019	0.215304	0.983804	0.0161964	1.96761	0.0323929	0.9945517
470	-98.69518	-98.29496	-0.4002167	0.218051	0.980678	0.0193225	1.96136	0.0386449	0.9947654
480	-99.08152	-98.68033	-0.401199	0.193175	0.98749	0.0125098	1.97498	0.0250196	0.995743
490	-99.19829	-98.79895	-0.3993426	0.121526	0.982401	0.0175992	1.9648	0.0351984	0.9938962
500	-98.22886	-97.82447	-0.4043925	0.231432	0.983741	0.0162588	1.96748	0.0325176	0.9989279
510	-98.31074	-97.90565	-0.4050859	0.246033	0.982851	0.0171492	1.9657	0.0342985	0.9996209
520	-98.89913	-98.50187	-0.39726	0.21714	0.981639	0.0183611	1.96328	0.0367221	0.9918285
530	-102.1071	-101.7218	-0.3852676	0.0741241	0.985304	0.0146962	1.97061	0.0293925	0.9800051
540	-101.2633	-100.866	-0.3973013	0.0562402	0.984641	0.015359	1.96928	0.030718	0.9918694
550	-98.92806	-98.52563	-0.4024385	0.254913	0.987481	0.0125194	1.97496	0.0250388	0.996978
560	-98.93085	-98.53408	-0.396769	0.171226	0.982598	0.0174022	1.9652	0.0348043	0.9913416
570	-100.286	-99.90001	-0.3860148	0.255263	0.9859	0.0140998	1.9718	0.0281997	0.9807376
580	-101.2372	-100.8634	-0.3737636	0.217779	0.985288	0.0147118	1.97058	0.0294235	0.9687957
590	-105.4655	-105.0993	-0.3661549	0.112332	0.956687	0.0433129	1.91337	0.0866258	0.9614524
600	-99.58352	-99.18694	-0.3965718	0.165055	0.974627	0.0253726	1.94925	0.0507452	0.9911461
610	-99.37152	-98.97673	-0.3947928	0.249701	0.982314	0.0176863	1.96463	0.0353727	0.9893845
620	-99.03212	-98.62878	-0.4033474	0.192735	0.974546	0.025454	1.94909	0.0509081	0.9978845
630	-99.91202	-99.52176	-0.3902647	0.153736	0.984955	0.0150453	1.96991	0.0300906	0.9849145
640	-100.464	-100.0803	-0.383689	0.201584	0.986437	0.013563	1.97287	0.027126	0.9784592
650	-99.41682	-99.01198	-0.4048426	0.314463	0.985086	0.0149141	1.97017	0.0298281	0.9993777
660	-98.48683	-98.0829	-0.4039231	0.142272	0.980149	0.0198515	1.9603	0.039703	0.9984591
670	-98.98461	-98.58459	-0.4000241	0.219817	0.978368	0.0216318	1.95674	0.0432636	0.9945738
680	-98.35587	-97.9519	-0.4039678	0.243289	0.984236	0.0157644	1.96847	0.0315288	0.9985038
690	-99.479	-99.07629	-0.402703	0.0994326	0.974509	0.025491	1.94902	0.050982	0.9972417
700	-98.90956	-98.50413	-0.4054291	0.23356	0.97648	0.0235202	1.95296	0.0470404	0.999964
710	-100.5288	-100.1261	-0.4027082	0.0942263	0.966614	0.0333861	1.93323	0.0667722	0.9972469
720	-100.3126	-99.91306	-0.399588	0.191264	0.969014	0.0309861	1.93803	0.0619722	0.9941401
730	-98.78847	-98.38383	-0.4046446	0.182199	0.975068	0.0249318	1.95014	0.0498636	0.9991799
740	-99.44799	-99.048	-0.399993	0.225301	0.97569	0.0243101	1.95138	0.0486202	0.9945428
